,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Delight,11.0,1.0,5.0,2.0,43.0,0.0,1.6,6086.0,229.0,14.0,66.0,44.0,14.0,15.0,13.0,2.48,1.65,0.56,0.53,38.6,3450.0,223.0,2649.0,578.0,130.0,7.8,0.11,60.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,491.0,0.0,0.0,0.0,0.0,1771.0,154.0,15749.0,1224.0,8.0,72.0,14819.0,123.0,17.0,31.0,0.0
Delight,10.0,0.0,6.0,1.0,35.0,0.0,1.2,5905.0,204.0,12.8,85.0,43.0,12.0,14.0,12.0,2.94,1.49,0.48,0.41,42.5,2748.0,771.0,1671.0,306.0,95.0,5.3,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-655.0,6.0,-20.0,0.0,0.0,0.0,0.0,40.0,0.0,15091.0,721.0,24.0,116.0,15675.0,152.0,16.0,27.0,0.0
Delight,13.0,1.0,2.0,6.0,39.0,2.0,1.1,8170.0,240.0,14.5,93.0,58.0,18.0,17.0,15.0,2.74,1.71,0.5,0.53,33.0,7749.0,829.0,5656.0,1264.0,228.0,11.5,0.21,77.8,0.0,0.0,0.0,0.0,0.0,960.0,5.0,395.0,1.0,0.0,2052.0,2052.0,1205.0,0.0,8380.0,6069.0,20.0,214.0,12193.0,45.0,19.0,36.0,0.0
Delight,13.0,0.0,4.0,4.0,37.0,0.0,1.1,7410.0,218.0,12.3,91.0,58.0,12.0,18.0,16.0,2.68,1.71,0.53,0.35,37.8,2979.0,827.0,1490.0,662.0,88.0,4.8,0.12,40.0,0.0,0.0,0.0,0.0,0.0,-98.0,1.0,-55.0,0.0,0.0,524.0,524.0,623.0,0.0,15348.0,669.0,25.0,105.0,13808.0,103.0,20.0,34.0,0.0
Delight,14.0,0.0,2.0,12.0,42.0,0.0,1.2,8685.0,247.0,12.5,106.0,65.0,16.0,13.0,13.0,3.02,1.85,0.37,0.46,37.3,2189.0,291.0,1898.0,0.0,62.0,3.1,0.34,75.0,0.0,0.0,0.0,0.0,0.0,204.0,7.0,-22.0,0.0,0.0,2223.0,2223.0,2708.0,939.0,15436.0,2063.0,11.0,41.0,9585.0,63.0,17.0,34.0,3.77
Delight,12.0,1.0,1.0,7.0,39.0,0.0,1.3,7668.0,248.0,13.2,83.0,55.0,11.0,14.0,14.0,2.69,1.78,0.45,0.36,32.4,3757.0,695.0,2264.0,798.0,122.0,7.7,0.26,72.7,0.0,0.0,0.0,0.0,0.0,392.0,13.0,12.0,0.0,0.0,424.0,424.0,714.0,0.0,13712.0,0.0,18.0,163.0,5365.0,27.0,17.0,28.0,3.77
Delight,13.0,0.0,5.0,6.0,47.0,0.0,1.3,8347.0,227.0,12.0,118.0,70.0,22.0,22.0,20.0,3.21,1.9,0.6,0.6,38.4,3971.0,448.0,3023.0,500.0,108.0,5.6,0.16,54.5,0.0,0.0,0.0,0.0,0.0,343.0,13.0,405.0,0.0,0.0,0.0,0.0,826.0,0.0,17339.0,697.0,15.0,77.0,14763.0,210.0,25.0,38.0,0.0
Delight,12.0,2.0,3.0,7.0,52.0,0.0,1.6,7454.0,228.0,13.9,105.0,63.0,28.0,18.0,16.0,3.21,1.93,0.55,0.86,43.9,4518.0,558.0,3468.0,492.0,138.0,6.7,0.28,90.0,0.0,0.0,0.0,0.0,0.0,-7.0,5.0,-190.0,0.0,0.0,304.0,304.0,1061.0,0.0,7990.0,2238.0,17.0,175.0,10602.0,87.0,22.0,36.0,0.0
Delight,13.0,0.0,0.0,8.0,40.0,0.0,1.3,7377.0,234.0,11.9,103.0,61.0,14.0,18.0,18.0,3.27,1.93,0.57,0.44,41.5,2146.0,791.0,949.0,406.0,68.0,3.6,0.25,61.5,0.0,0.0,0.0,0.0,0.0,-158.0,8.0,786.0,1.0,0.0,0.0,0.0,535.0,0.0,20610.0,0.0,20.0,71.0,11909.0,0.0,20.0,33.0,3.77
Delight,12.0,1.0,1.0,4.0,27.0,0.0,0.8,7623.0,233.0,14.1,101.0,72.0,17.0,20.0,18.0,3.09,2.21,0.61,0.52,43.3,9898.0,938.0,8302.0,658.0,303.0,17.7,0.15,62.5,0.0,0.0,0.0,0.0,0.0,452.0,-14.0,-180.0,0.0,0.0,503.0,503.0,251.0,0.0,5462.0,2804.0,20.0,175.0,7888.0,31.0,22.0,37.0,0.0
