,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Hena,12.0,1.0,6.0,2.0,213.0,9.0,8.0,8917.0,335.0,20.5,24.0,10.0,11.0,3.0,3.0,0.9,0.38,0.11,0.41,14.0,11121.0,8311.0,2810.0,0.0,418.0,25.2,0.11,60.0,0.0,0.0,0.0,0.0,0.0,-528.0,8.0,-88.0,0.0,0.0,914.0,914.0,1270.0,672.0,8738.0,0.0,25.0,190.0,14039.0,172.0,7.0,24.0,0.0
Hena,13.0,0.0,6.0,1.0,225.0,23.0,7.8,9293.0,321.0,20.2,16.0,9.0,3.0,1.0,1.0,0.55,0.31,0.03,0.1,8.0,9573.0,6998.0,2419.0,156.0,331.0,18.5,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-1801.0,-8.0,-661.0,0.0,0.0,0.0,0.0,32.0,0.0,9132.0,0.0,16.0,283.0,15112.0,182.0,4.0,20.0,0.0
Hena,15.0,2.0,2.0,2.0,328.0,22.0,9.7,13527.0,398.0,24.1,53.0,13.0,25.0,3.0,3.0,1.56,0.38,0.09,0.74,18.8,16016.0,10406.0,4918.0,692.0,471.0,23.9,0.12,44.4,0.0,0.0,0.0,0.0,0.0,-46.0,3.0,177.0,0.0,0.0,5757.0,5757.0,1476.0,316.0,9499.0,0.0,7.0,119.0,13454.0,99.0,8.0,32.0,0.0
Hena,14.0,4.0,1.0,2.0,312.0,19.0,9.2,14908.0,439.0,24.7,36.0,16.0,20.0,5.0,5.0,1.06,0.47,0.15,0.59,14.9,12315.0,9089.0,2988.0,238.0,362.0,19.9,0.18,60.0,0.0,1.0,0.0,0.0,0.0,-544.0,5.0,83.0,0.0,0.0,2882.0,2882.0,1837.0,0.0,9495.0,0.0,17.0,274.0,12380.0,48.0,8.0,28.0,0.0
Hena,18.0,7.0,0.0,8.0,395.0,52.0,11.2,19131.0,545.0,27.5,46.0,16.0,20.0,5.0,5.0,1.31,0.46,0.14,0.57,16.2,16833.0,10173.0,6268.0,392.0,479.0,23.9,0.43,93.8,0.0,2.0,1.0,0.0,0.0,924.0,-2.0,782.0,1.0,0.0,9852.0,9852.0,2908.0,932.0,14140.0,0.0,5.0,150.0,7625.0,0.0,6.0,25.0,3.77
Hena,16.0,3.0,0.0,5.0,339.0,34.0,11.0,14722.0,477.0,25.4,60.0,16.0,27.0,5.0,5.0,1.94,0.52,0.16,0.87,23.4,12646.0,5354.0,7024.0,268.0,410.0,25.9,0.26,72.7,0.0,1.0,0.0,0.0,0.0,1001.0,30.0,1624.0,2.0,0.0,4588.0,4588.0,486.0,140.0,6599.0,0.0,5.0,208.0,3842.0,0.0,9.0,26.0,3.77
Hena,17.0,3.0,3.0,3.0,331.0,20.0,9.0,17273.0,470.0,24.9,47.0,17.0,11.0,5.0,5.0,1.28,0.46,0.14,0.3,15.3,9552.0,9179.0,373.0,0.0,260.0,13.4,0.16,54.5,1.0,1.0,0.0,0.0,0.0,-173.0,4.0,665.0,0.0,0.0,4216.0,4216.0,1611.0,0.0,14172.0,0.0,5.0,68.0,16929.0,110.0,7.0,28.0,0.0
Hena,16.0,1.0,2.0,4.0,333.0,34.0,10.2,12703.0,388.0,23.7,30.0,16.0,10.0,5.0,4.0,0.92,0.49,0.15,0.31,12.6,19828.0,17189.0,1433.0,1206.0,606.0,29.2,0.15,50.0,0.0,0.0,0.0,0.0,0.0,158.0,2.0,-414.0,-1.0,0.0,0.0,0.0,4496.0,0.0,14995.0,0.0,10.0,181.0,14732.0,10.0,9.0,24.0,0.0
Hena,17.0,10.0,2.0,3.0,348.0,32.0,11.0,16146.0,512.0,26.1,43.0,19.0,13.0,9.0,9.0,1.36,0.6,0.29,0.41,17.3,30151.0,27835.0,363.0,1953.0,956.0,50.0,0.41,100.0,0.0,2.0,1.0,0.0,0.0,512.0,19.0,799.0,1.0,0.0,2361.0,2361.0,1099.0,0.0,7514.0,0.0,0.0,82.0,9495.0,57.0,13.0,34.0,3.77
Hena,15.0,1.0,2.0,2.0,363.0,32.0,11.1,14150.0,433.0,26.2,40.0,17.0,9.0,8.0,7.0,1.23,0.52,0.25,0.28,17.2,14513.0,13794.0,0.0,719.0,445.0,26.0,0.09,37.5,0.0,0.0,0.0,0.0,0.0,502.0,-7.0,266.0,0.0,0.0,2118.0,2118.0,1347.0,471.0,6479.0,0.0,0.0,43.0,8929.0,39.0,11.0,30.0,0.0
Hena,17.0,3.0,0.0,4.0,357.0,29.0,11.4,14977.0,479.0,24.3,42.0,15.0,13.0,6.0,5.0,1.34,0.48,0.19,0.42,13.6,9844.0,4753.0,5091.0,0.0,315.0,26.0,0.22,70.0,1.0,0.0,0.0,0.0,0.0,584.0,4.0,-275.0,-1.0,0.0,10086.0,10086.0,412.0,0.0,11596.0,0.0,2.0,114.0,7754.0,0.0,7.0,24.0,3.77
Hena,16.0,2.0,1.0,10.0,356.0,48.0,11.4,14598.0,467.0,24.8,35.0,15.0,12.0,4.0,4.0,1.12,0.48,0.13,0.38,14.5,15666.0,14541.0,0.0,1125.0,501.0,25.3,0.38,85.7,0.0,0.0,0.0,0.0,0.0,706.0,17.0,899.0,0.0,0.0,5281.0,5281.0,1645.0,398.0,5941.0,0.0,1.0,39.0,11035.0,14.0,6.0,22.0,3.77
Hena,15.0,1.0,2.0,2.0,300.0,27.0,8.4,12230.0,344.0,22.6,44.0,14.0,9.0,2.0,2.0,1.24,0.39,0.06,0.25,16.4,12275.0,11542.0,601.0,132.0,345.0,23.7,0.08,50.0,0.0,0.0,0.0,0.0,0.0,-1477.0,-7.0,-548.0,-1.0,0.0,761.0,761.0,3364.0,835.0,14319.0,0.0,5.0,122.0,11148.0,44.0,5.0,19.0,0.0
Hena,18.0,2.0,2.0,6.0,431.0,54.0,9.7,19949.0,448.0,24.5,62.0,21.0,14.0,1.0,1.0,1.39,0.47,0.02,0.31,16.1,20548.0,19081.0,731.0,736.0,462.0,33.9,0.18,80.0,0.0,0.0,0.0,0.0,0.0,-1222.0,-20.0,-1094.0,-1.0,0.0,4963.0,4963.0,2791.0,205.0,22153.0,0.0,5.0,237.0,9816.0,63.0,6.0,22.0,0.0
Hena,15.0,4.0,1.0,5.0,309.0,20.0,9.9,14429.0,461.0,24.9,63.0,16.0,29.0,6.0,6.0,2.01,0.51,0.19,0.93,23.2,12905.0,7789.0,5084.0,32.0,413.0,24.2,0.29,69.2,0.0,1.0,0.0,0.0,0.0,347.0,-5.0,-203.0,0.0,0.0,5177.0,5177.0,1838.0,408.0,9378.0,0.0,1.0,72.0,9925.0,40.0,7.0,24.0,3.77
Hena,16.0,5.0,1.0,2.0,357.0,39.0,9.4,16303.0,431.0,25.9,45.0,14.0,16.0,2.0,2.0,1.19,0.37,0.05,0.42,13.4,24023.0,22971.0,457.0,595.0,636.0,38.6,0.19,70.0,0.0,0.0,0.0,0.0,0.0,102.0,-14.0,-177.0,-1.0,0.0,5111.0,5111.0,1768.0,1169.0,8476.0,1008.0,17.0,232.0,13072.0,55.0,8.0,30.0,0.0
Hena,14.0,3.0,4.0,3.0,306.0,21.0,9.1,13361.0,398.0,24.2,40.0,17.0,11.0,7.0,7.0,1.19,0.51,0.21,0.33,15.8,14257.0,12615.0,772.0,870.0,424.0,21.2,0.18,66.7,0.0,0.0,0.0,0.0,0.0,-579.0,-6.0,248.0,0.0,0.0,2789.0,2789.0,1789.0,481.0,7005.0,0.0,11.0,61.0,11993.0,112.0,10.0,26.0,0.0
Hena,16.0,7.0,1.0,6.0,305.0,28.0,9.4,16465.0,505.0,25.5,68.0,16.0,24.0,5.0,5.0,2.09,0.49,0.15,0.74,22.1,14076.0,11968.0,1905.0,203.0,432.0,20.3,0.4,81.3,1.0,2.0,0.0,0.0,0.0,595.0,-4.0,172.0,0.0,0.0,7940.0,7940.0,2587.0,604.0,10582.0,0.0,11.0,425.0,12713.0,36.0,10.0,31.0,3.77
