,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Lava,14.0,0.0,4.0,2.0,226.0,4.0,8.5,8816.0,331.0,20.3,19.0,2.0,9.0,2.0,1.0,0.71,0.08,0.08,0.34,11.1,12297.0,393.0,11733.0,171.0,462.0,27.9,0.08,40.0,0.0,0.0,0.0,0.0,0.0,155.0,-4.0,-285.0,0.0,0.0,62.0,62.0,1587.0,0.0,11543.0,0.0,21.0,177.0,21839.0,124.0,2.0,18.0,0.0
Lava,15.0,0.0,5.0,2.0,266.0,24.0,9.2,10591.0,366.0,23.0,29.0,6.0,6.0,5.0,4.0,1.0,0.21,0.17,0.21,14.5,14345.0,629.0,13716.0,0.0,496.0,27.7,0.07,100.0,0.0,0.0,0.0,0.0,0.0,-40.0,1.0,-763.0,-1.0,0.0,1596.0,1596.0,138.0,0.0,11006.0,0.0,12.0,214.0,18592.0,168.0,7.0,24.0,0.0
Lava,15.0,2.0,5.0,5.0,269.0,14.0,7.9,12126.0,357.0,21.6,29.0,9.0,7.0,6.0,6.0,0.85,0.26,0.18,0.21,10.3,25669.0,269.0,25400.0,0.0,755.0,38.2,0.21,77.8,0.0,0.0,0.0,0.0,0.0,-364.0,-9.0,-421.0,-1.0,0.0,2563.0,2563.0,1393.0,0.0,16410.0,0.0,25.0,431.0,16994.0,134.0,6.0,24.0,0.0
Lava,17.0,3.0,2.0,5.0,313.0,21.0,9.2,14356.0,422.0,23.8,39.0,12.0,21.0,8.0,7.0,1.15,0.35,0.24,0.62,16.2,18013.0,344.0,17669.0,0.0,530.0,29.1,0.24,80.0,0.0,0.0,0.0,0.0,0.0,-17.0,-4.0,-765.0,-1.0,0.0,3505.0,3505.0,1613.0,0.0,11878.0,0.0,9.0,242.0,16285.0,10.0,12.0,34.0,0.0
Lava,18.0,5.0,0.0,10.0,317.0,40.0,9.0,16798.0,478.0,24.1,41.0,14.0,10.0,6.0,5.0,1.17,0.4,0.17,0.28,14.4,28367.0,1544.0,25818.0,1005.0,807.0,40.2,0.43,93.8,1.0,0.0,0.0,0.0,0.0,785.0,4.0,300.0,1.0,0.0,2969.0,2969.0,2360.0,0.0,18744.0,0.0,19.0,430.0,9838.0,0.0,8.0,26.0,3.77
Lava,16.0,5.0,0.0,4.0,294.0,30.0,9.5,14029.0,455.0,24.2,31.0,16.0,8.0,8.0,8.0,1.0,0.52,0.26,0.26,12.1,19835.0,609.0,18190.0,1036.0,643.0,40.6,0.29,81.8,0.0,0.0,0.0,0.0,0.0,1276.0,10.0,712.0,1.0,0.0,3577.0,3577.0,255.0,0.0,8429.0,0.0,9.0,315.0,5249.0,0.0,11.0,22.0,3.77
Lava,18.0,3.0,3.0,5.0,343.0,39.0,9.3,15343.0,417.0,22.1,48.0,9.0,18.0,8.0,8.0,1.3,0.24,0.22,0.49,15.6,28362.0,1034.0,27282.0,46.0,771.0,39.7,0.22,72.7,1.0,0.0,0.0,0.0,0.0,723.0,21.0,1517.0,1.0,0.0,5745.0,5745.0,1995.0,0.0,13483.0,0.0,35.0,294.0,16637.0,112.0,8.0,25.0,0.0
Lava,16.0,5.0,5.0,3.0,246.0,0.0,7.5,12340.0,377.0,23.1,23.0,9.0,10.0,7.0,7.0,0.7,0.28,0.21,0.31,9.6,23046.0,356.0,21045.0,1645.0,705.0,33.9,0.24,80.0,1.0,0.0,0.0,0.0,0.0,-101.0,-25.0,-596.0,0.0,0.0,3167.0,3167.0,3710.0,0.0,21017.0,0.0,33.0,507.0,30790.0,164.0,8.0,26.0,0.0
Lava,18.0,1.0,0.0,11.0,334.0,44.0,10.6,14623.0,464.0,23.6,35.0,11.0,11.0,5.0,5.0,1.11,0.35,0.16,0.35,14.1,10096.0,829.0,9267.0,0.0,320.0,16.7,0.38,92.3,0.0,0.0,0.0,0.0,0.0,587.0,17.0,123.0,0.0,0.0,3924.0,3924.0,2849.0,304.0,12245.0,0.0,8.0,80.0,13850.0,0.0,5.0,21.0,3.77
Lava,16.0,3.0,4.0,5.0,276.0,14.0,8.5,11965.0,366.0,22.1,33.0,7.0,16.0,3.0,3.0,1.01,0.21,0.09,0.49,14.2,14843.0,514.0,14329.0,0.0,455.0,26.6,0.25,100.0,1.0,0.0,0.0,0.0,0.0,-541.0,-16.0,-440.0,0.0,0.0,1458.0,1458.0,3356.0,0.0,10023.0,0.0,26.0,92.0,19357.0,131.0,3.0,18.0,0.0
