,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Morgan,14.0,2.0,5.0,0.0,231.0,8.0,8.7,11430.0,430.0,26.3,24.0,10.0,8.0,8.0,6.0,0.9,0.38,0.3,0.3,14.0,11347.0,9743.0,1604.0,0.0,427.0,25.7,0.08,40.0,0.0,1.0,0.0,0.0,0.0,1392.0,37.0,239.0,0.0,0.0,5829.0,5829.0,4915.0,0.0,22307.0,0.0,11.0,40.0,26709.0,162.0,9.0,28.0,0.0
Morgan,16.0,1.0,3.0,0.0,267.0,7.0,9.2,11102.0,384.0,24.1,30.0,7.0,8.0,5.0,3.0,1.04,0.24,0.17,0.28,15.0,17255.0,1681.0,10474.0,5100.0,596.0,33.4,0.03,50.0,0.0,0.0,0.0,0.0,0.0,630.0,29.0,236.0,0.0,0.0,613.0,613.0,5010.0,0.0,16768.0,0.0,4.0,43.0,20513.0,94.0,8.0,23.0,0.0
Morgan,16.0,1.0,4.0,2.0,270.0,8.0,7.9,11377.0,335.0,20.3,51.0,18.0,8.0,9.0,9.0,1.5,0.53,0.26,0.24,18.1,7953.0,1850.0,5893.0,210.0,234.0,11.9,0.09,33.3,0.0,0.0,0.0,0.0,0.0,-815.0,10.0,-437.0,0.0,0.0,397.0,397.0,4478.0,248.0,45228.0,0.0,19.0,1037.0,30802.0,154.0,10.0,30.0,0.0
Morgan,17.0,0.0,3.0,3.0,291.0,14.0,8.6,12838.0,378.0,21.3,35.0,16.0,10.0,12.0,11.0,1.03,0.47,0.35,0.29,14.5,15708.0,2326.0,13382.0,0.0,462.0,25.4,0.09,30.0,0.0,0.0,0.0,0.0,0.0,1061.0,35.0,229.0,0.0,0.0,3345.0,3345.0,2680.0,0.0,8883.0,0.0,12.0,43.0,13772.0,70.0,13.0,32.0,0.0
Morgan,18.0,3.0,2.0,6.0,277.0,7.0,7.9,14334.0,408.0,20.6,39.0,17.0,11.0,13.0,12.0,1.11,0.48,0.37,0.31,13.7,16255.0,13056.0,3199.0,0.0,463.0,23.0,0.26,56.3,0.0,1.0,0.0,0.0,0.0,-907.0,-12.0,-312.0,-1.0,0.0,4775.0,4775.0,4958.0,0.0,18221.0,0.0,27.0,538.0,20345.0,76.0,16.0,37.0,3.77
Morgan,16.0,0.0,0.0,4.0,275.0,28.0,8.9,11924.0,386.0,20.6,38.0,15.0,6.0,11.0,10.0,1.23,0.49,0.36,0.19,14.8,7258.0,1045.0,4418.0,1795.0,235.0,14.8,0.13,36.4,0.0,0.0,0.0,0.0,0.0,-105.0,1.0,-69.0,0.0,0.0,7272.0,7272.0,1167.0,0.0,12926.0,0.0,2.0,30.0,9701.0,0.0,14.0,30.0,3.77
Morgan,18.0,3.0,3.0,4.0,292.0,20.0,7.9,15492.0,421.0,22.4,31.0,17.0,7.0,15.0,13.0,0.84,0.46,0.41,0.19,10.1,23442.0,17542.0,5178.0,722.0,637.0,32.8,0.19,63.6,2.0,0.0,0.0,0.0,0.0,-197.0,2.0,-120.0,0.0,0.0,8112.0,8112.0,6921.0,0.0,42205.0,0.0,27.0,593.0,28305.0,149.0,19.0,37.0,0.0
Morgan,16.0,1.0,4.0,4.0,278.0,32.0,8.5,11071.0,339.0,20.7,41.0,11.0,14.0,8.0,7.0,1.25,0.34,0.24,0.43,17.2,12455.0,10886.0,48.0,1521.0,381.0,18.3,0.15,50.0,0.0,0.0,0.0,0.0,0.0,-329.0,8.0,199.0,0.0,0.0,1372.0,1372.0,8518.0,0.0,28841.0,0.0,12.0,177.0,29797.0,124.0,9.0,27.0,0.0
Morgan,18.0,2.0,1.0,5.0,314.0,16.0,10.0,14305.0,454.0,23.1,34.0,13.0,5.0,7.0,7.0,1.08,0.41,0.22,0.16,13.7,14052.0,1612.0,9197.0,3243.0,446.0,23.3,0.22,53.8,0.0,0.0,0.0,0.0,0.0,464.0,24.0,726.0,1.0,0.0,8322.0,8322.0,3240.0,0.0,24251.0,0.0,3.0,36.0,21457.0,48.0,10.0,27.0,3.77
Morgan,16.0,1.0,3.0,2.0,262.0,24.0,8.0,11017.0,337.0,20.4,28.0,12.0,7.0,9.0,8.0,0.86,0.37,0.28,0.21,12.0,8968.0,1369.0,4694.0,2905.0,275.0,16.1,0.09,37.5,0.0,0.0,0.0,0.0,0.0,-188.0,12.0,-582.0,0.0,0.0,993.0,993.0,872.0,0.0,14223.0,0.0,1.0,23.0,16986.0,58.0,11.0,24.0,0.0
Morgan,17.0,3.0,1.0,2.0,283.0,16.0,9.0,13998.0,447.0,22.7,53.0,13.0,15.0,10.0,9.0,1.69,0.42,0.32,0.48,17.2,8189.0,7423.0,766.0,0.0,262.0,21.6,0.16,50.0,0.0,0.0,0.0,0.0,0.0,1561.0,7.0,661.0,0.0,0.0,4151.0,4151.0,4206.0,0.0,23785.0,0.0,9.0,40.0,21719.0,12.0,11.0,29.0,3.77
Morgan,17.0,6.0,1.0,3.0,290.0,34.0,9.3,14403.0,461.0,24.4,37.0,10.0,9.0,6.0,5.0,1.18,0.32,0.19,0.29,15.3,15359.0,11256.0,3967.0,136.0,491.0,24.8,0.29,64.3,0.0,1.0,0.0,0.0,0.0,-226.0,-6.0,-187.0,0.0,0.0,8176.0,8176.0,4574.0,0.0,13920.0,0.0,12.0,486.0,18206.0,21.0,9.0,26.0,3.77
Morgan,17.0,2.0,3.0,2.0,303.0,14.0,8.5,13609.0,382.0,25.2,40.0,14.0,11.0,9.0,9.0,1.12,0.39,0.25,0.31,14.9,15748.0,2105.0,9659.0,3984.0,443.0,30.4,0.11,66.7,1.0,0.0,0.0,0.0,0.0,831.0,19.0,634.0,1.0,0.0,2192.0,2192.0,2074.0,0.0,26442.0,0.0,4.0,57.0,27105.0,88.0,11.0,26.0,0.0
