,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Sw0rd,13.0,4.0,6.0,0.0,165.0,8.0,7.0,8875.0,374.0,22.0,29.0,12.0,4.0,7.0,7.0,1.22,0.51,0.3,0.17,19.2,12779.0,10746.0,2033.0,0.0,539.0,33.7,0.17,36.4,0.0,1.0,0.0,0.0,0.0,-1881.0,-18.0,-982.0,-1.0,0.0,0.0,0.0,1727.0,0.0,15523.0,0.0,25.0,292.0,16371.0,165.0,8.0,22.0,0.0
Sw0rd,14.0,1.0,4.0,3.0,206.0,4.0,7.0,8908.0,305.0,19.7,37.0,13.0,14.0,8.0,8.0,1.26,0.44,0.27,0.48,17.0,8344.0,4707.0,2643.0,994.0,285.0,20.0,0.14,50.0,0.0,0.0,0.0,0.0,0.0,-794.0,-22.0,-1028.0,-1.0,0.0,0.0,0.0,1042.0,0.0,25181.0,0.0,18.0,555.0,19618.0,106.0,9.0,28.0,0.0
Sw0rd,18.0,4.0,3.0,2.0,388.0,14.0,8.2,20417.0,433.0,25.1,53.0,12.0,14.0,9.0,9.0,1.12,0.25,0.19,0.3,12.8,35937.0,26656.0,5291.0,3990.0,762.0,32.7,0.13,66.7,1.0,0.0,0.0,0.0,0.0,-755.0,-29.0,-671.0,0.0,0.0,5130.0,5130.0,11136.0,0.0,23953.0,0.0,12.0,503.0,30840.0,92.0,12.0,33.0,0.0
Sw0rd,16.0,0.0,3.0,0.0,281.0,0.0,9.3,10638.0,350.0,22.6,37.0,14.0,9.0,9.0,9.0,1.22,0.46,0.3,0.3,16.7,6654.0,5615.0,1039.0,0.0,219.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-956.0,-8.0,-103.0,0.0,0.0,2604.0,2604.0,327.0,0.0,15241.0,0.0,13.0,495.0,15232.0,71.0,12.0,28.0,0.0
Sw0rd,14.0,1.0,1.0,3.0,222.0,9.0,8.5,11755.0,451.0,27.1,25.0,13.0,2.0,6.0,6.0,0.96,0.5,0.23,0.08,15.5,18685.0,11648.0,4786.0,2251.0,716.0,36.5,0.15,80.0,0.0,0.0,0.0,0.0,0.0,-65.0,-1.0,-90.0,0.0,0.0,734.0,734.0,4561.0,0.0,10839.0,0.0,11.0,310.0,17230.0,27.0,6.0,21.0,0.0
Sw0rd,17.0,1.0,2.0,3.0,328.0,23.0,10.0,16907.0,513.0,29.5,23.0,6.0,4.0,1.0,1.0,0.7,0.18,0.03,0.12,8.0,20091.0,10874.0,6500.0,2717.0,610.0,38.0,0.12,66.7,0.0,0.0,0.0,0.0,0.0,1351.0,12.0,381.0,0.0,0.0,8145.0,8145.0,3464.0,0.0,10622.0,0.0,15.0,349.0,16006.0,48.0,1.0,22.0,0.0
Sw0rd,16.0,0.0,2.0,0.0,248.0,0.0,8.0,9742.0,315.0,19.3,19.0,9.0,3.0,6.0,6.0,0.61,0.29,0.19,0.1,8.5,8950.0,1025.0,7925.0,0.0,289.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1946.0,-23.0,-403.0,-1.0,0.0,0.0,0.0,12947.0,0.0,20365.0,0.0,20.0,388.0,24906.0,45.0,8.0,27.0,0.0
Sw0rd,15.0,2.0,4.0,5.0,230.0,12.0,7.5,11692.0,379.0,22.5,28.0,9.0,6.0,4.0,4.0,0.91,0.29,0.13,0.19,10.3,18086.0,9709.0,7424.0,953.0,587.0,26.9,0.23,70.0,0.0,0.0,0.0,0.0,0.0,-205.0,-20.0,-18.0,0.0,0.0,4266.0,4266.0,785.0,0.0,34212.0,0.0,32.0,697.0,17552.0,99.0,5.0,21.0,0.0
Sw0rd,18.0,3.0,4.0,10.0,293.0,18.0,6.6,15318.0,344.0,19.4,61.0,26.0,16.0,21.0,21.0,1.37,0.58,0.47,0.36,13.7,23385.0,2959.0,20426.0,0.0,525.0,19.5,0.29,81.3,0.0,0.0,0.0,0.0,0.0,54.0,-10.0,-249.0,0.0,0.0,0.0,0.0,24689.0,0.0,79297.0,0.0,60.0,440.0,47696.0,208.0,24.0,44.0,0.0
Sw0rd,18.0,3.0,3.0,5.0,299.0,28.0,7.8,14991.0,390.0,19.8,46.0,23.0,10.0,14.0,13.0,1.2,0.6,0.36,0.26,11.0,9105.0,7332.0,1773.0,0.0,237.0,13.0,0.21,42.1,0.0,0.0,0.0,0.0,0.0,-1453.0,-18.0,-46.0,0.0,0.0,2156.0,2156.0,4977.0,0.0,30455.0,563.0,13.0,322.0,24088.0,95.0,16.0,35.0,3.77
Sw0rd,18.0,1.0,0.0,5.0,284.0,2.0,6.5,13972.0,322.0,18.5,57.0,19.0,10.0,14.0,14.0,1.31,0.44,0.32,0.23,13.7,11758.0,1128.0,8847.0,1783.0,271.0,15.9,0.14,60.0,0.0,0.0,0.0,0.0,0.0,-764.0,-28.0,-166.0,0.0,0.0,924.0,924.0,21077.0,0.0,49324.0,0.0,21.0,634.0,30867.0,0.0,17.0,38.0,3.77
Sw0rd,18.0,4.0,2.0,5.0,311.0,16.0,7.6,15872.0,388.0,21.8,46.0,17.0,16.0,12.0,12.0,1.13,0.42,0.29,0.39,13.4,28523.0,3489.0,15898.0,9136.0,698.0,30.5,0.22,69.2,0.0,0.0,0.0,0.0,0.0,-322.0,-29.0,-418.0,0.0,0.0,7491.0,7491.0,8680.0,0.0,24783.0,0.0,6.0,70.0,32047.0,101.0,17.0,38.0,3.77
