,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
UmTi,13.0,1.0,3.0,3.0,138.0,119.0,5.2,8258.0,310.0,19.0,38.0,10.0,12.0,9.0,9.0,1.43,0.38,0.34,0.45,22.2,5917.0,4702.0,353.0,862.0,222.0,13.4,0.15,80.0,0.0,0.0,0.0,0.0,0.0,-531.0,-20.0,-968.0,-1.0,0.0,872.0,872.0,7419.0,0.0,15739.0,0.0,11.0,56.0,20923.0,77.0,10.0,25.0,0.0
UmTi,13.0,1.0,6.0,1.0,156.0,136.0,5.4,9094.0,314.0,19.8,40.0,12.0,8.0,13.0,10.0,1.38,0.41,0.45,0.28,20.0,7805.0,6622.0,585.0,598.0,270.0,15.1,0.07,100.0,0.0,0.0,0.0,0.0,0.0,184.0,12.0,-144.0,0.0,0.0,0.0,0.0,12344.0,0.0,25726.0,0.0,13.0,391.0,29482.0,177.0,13.0,31.0,0.0
UmTi,14.0,3.0,2.0,5.0,189.0,146.0,5.6,10954.0,322.0,19.5,56.0,13.0,25.0,14.0,13.0,1.65,0.38,0.41,0.74,19.9,9722.0,6934.0,2031.0,757.0,286.0,14.5,0.24,88.9,0.0,0.0,0.0,0.0,0.0,19.0,8.0,97.0,0.0,0.0,332.0,332.0,10017.0,0.0,31217.0,0.0,28.0,676.0,24870.0,48.0,14.0,34.0,0.0
UmTi,14.0,3.0,4.0,5.0,139.0,119.0,4.1,10846.0,319.0,18.0,40.0,28.0,9.0,18.0,16.0,1.18,0.82,0.53,0.26,16.6,12928.0,10671.0,1674.0,583.0,380.0,20.9,0.24,80.0,0.0,0.0,0.0,0.0,0.0,-479.0,-35.0,-693.0,-1.0,0.0,712.0,712.0,10596.0,0.0,21616.0,417.0,15.0,402.0,26213.0,90.0,19.0,36.0,0.0
UmTi,15.0,1.0,0.0,9.0,167.0,145.0,4.8,10611.0,302.0,15.3,52.0,15.0,12.0,13.0,13.0,1.48,0.43,0.37,0.34,18.3,6928.0,5413.0,862.0,653.0,197.0,9.8,0.28,62.5,0.0,0.0,0.0,0.0,0.0,-803.0,-3.0,178.0,0.0,0.0,501.0,501.0,16696.0,0.0,23460.0,0.0,14.0,749.0,23712.0,0.0,14.0,30.0,3.77
UmTi,14.0,2.0,1.0,4.0,162.0,131.0,5.2,9564.0,310.0,16.5,44.0,18.0,18.0,17.0,17.0,1.43,0.58,0.55,0.58,17.2,5416.0,4431.0,614.0,371.0,175.0,11.1,0.19,54.5,0.0,0.0,0.0,0.0,0.0,343.0,4.0,183.0,0.0,0.0,1206.0,1206.0,5617.0,0.0,21170.0,0.0,23.0,525.0,13635.0,44.0,17.0,36.0,3.77
UmTi,16.0,2.0,3.0,4.0,248.0,206.0,6.7,12859.0,350.0,18.6,63.0,15.0,20.0,16.0,14.0,1.71,0.41,0.43,0.54,20.5,6148.0,5406.0,180.0,562.0,167.0,8.6,0.16,54.5,0.0,0.0,0.0,0.0,0.0,220.0,18.0,770.0,1.0,0.0,825.0,825.0,8640.0,0.0,29319.0,0.0,10.0,284.0,22347.0,97.0,16.0,35.0,0.0
UmTi,14.0,1.0,4.0,8.0,169.0,129.0,5.2,9936.0,304.0,18.6,40.0,17.0,17.0,18.0,15.0,1.22,0.52,0.55,0.52,16.7,8050.0,6575.0,792.0,683.0,246.0,11.9,0.28,90.0,0.0,0.0,0.0,0.0,0.0,-931.0,3.0,-595.0,0.0,0.0,436.0,436.0,5429.0,0.0,23164.0,0.0,22.0,331.0,21759.0,104.0,18.0,39.0,0.0
UmTi,14.0,0.0,1.0,6.0,160.0,145.0,5.1,9500.0,301.0,15.3,33.0,11.0,7.0,12.0,11.0,1.05,0.35,0.38,0.22,13.3,3916.0,3110.0,738.0,68.0,124.0,6.5,0.19,46.2,0.0,0.0,0.0,0.0,0.0,-245.0,-12.0,-637.0,-1.0,0.0,153.0,153.0,8157.0,0.0,31473.0,0.0,10.0,626.0,17152.0,48.0,12.0,29.0,3.77
UmTi,14.0,2.0,4.0,5.0,156.0,141.0,4.8,9330.0,286.0,17.3,31.0,21.0,9.0,14.0,11.0,0.95,0.64,0.43,0.28,13.3,7565.0,5950.0,1107.0,508.0,232.0,13.6,0.21,87.5,0.0,0.0,0.0,0.0,0.0,-86.0,-2.0,139.0,0.0,0.0,0.0,0.0,4858.0,0.0,22644.0,278.0,13.0,539.0,22462.0,82.0,14.0,33.0,0.0
