,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
BeryL,15.0,0.0,1.0,10.0,47.0,0.0,1.1,9449.0,224.0,12.6,164.0,116.0,27.0,27.0,25.0,3.89,2.75,0.64,0.64,39.2,5520.0,732.0,4166.0,622.0,131.0,6.3,0.24,52.6,0.0,0.0,0.0,0.0,0.0,-487.0,-2.0,315.0,0.0,0.0,204.0,204.0,14408.0,2834.0,15724.0,1047.0,24.0,194.0,21875.0,35.0,30.0,47.0,9.425
BeryL,12.0,1.0,0.0,6.0,29.0,0.0,1.0,7410.0,258.0,13.5,86.0,42.0,12.0,13.0,11.0,2.99,1.46,0.45,0.42,36.3,6496.0,1402.0,3978.0,1116.0,226.0,8.6,0.24,50.0,0.0,0.0,0.0,0.0,0.0,-482.0,8.0,1179.0,2.0,0.0,1573.0,1573.0,1182.0,0.0,7323.0,4023.0,14.0,225.0,7560.0,0.0,15.0,29.0,9.425
BeryL,13.0,1.0,2.0,11.0,32.0,0.0,1.0,7865.0,244.0,14.6,80.0,46.0,19.0,16.0,15.0,2.49,1.43,0.5,0.59,33.5,7120.0,1136.0,3840.0,2144.0,221.0,10.8,0.37,100.0,0.0,0.0,0.0,0.0,0.0,-499.0,1.0,116.0,0.0,0.0,723.0,723.0,1352.0,0.0,13468.0,4553.0,19.0,290.0,15733.0,69.0,18.0,34.0,0.0
BeryL,14.0,1.0,4.0,8.0,65.0,18.0,1.4,11288.0,244.0,14.0,116.0,79.0,23.0,25.0,23.0,2.51,1.71,0.54,0.5,30.4,16777.0,247.0,14167.0,2363.0,363.0,15.2,0.19,52.9,0.0,0.0,0.0,0.0,0.0,-151.0,-2.0,-294.0,0.0,0.0,867.0,867.0,7214.0,0.0,9126.0,0.0,24.0,201.0,22587.0,96.0,28.0,43.0,9.425
BeryL,12.0,0.0,3.0,3.0,40.0,0.0,1.3,6869.0,220.0,13.6,89.0,38.0,18.0,11.0,9.0,2.86,1.22,0.35,0.58,40.6,9831.0,373.0,8986.0,472.0,315.0,18.4,0.1,60.0,0.0,0.0,0.0,0.0,0.0,-360.0,5.0,-229.0,-1.0,0.0,0.0,0.0,1319.0,0.0,4488.0,0.0,21.0,200.0,11210.0,57.0,13.0,26.0,0.0
BeryL,14.0,1.0,2.0,14.0,39.0,0.0,1.0,10161.0,269.0,14.6,103.0,62.0,14.0,19.0,19.0,2.72,1.64,0.5,0.37,28.9,8476.0,966.0,6062.0,1448.0,224.0,10.4,0.4,100.0,0.0,0.0,0.0,0.0,0.0,508.0,1.0,868.0,1.0,0.0,447.0,447.0,3116.0,667.0,19624.0,1588.0,33.0,146.0,17475.0,62.0,23.0,38.0,9.425
BeryL,13.0,0.0,2.0,15.0,18.0,0.0,0.6,8090.0,268.0,13.7,73.0,45.0,9.0,14.0,14.0,2.42,1.49,0.46,0.3,32.4,6778.0,1098.0,3982.0,1698.0,225.0,11.1,0.5,75.0,0.0,0.0,0.0,0.0,0.0,234.0,-3.0,323.0,1.0,0.0,1987.0,1987.0,1619.0,0.0,6864.0,3901.0,16.0,169.0,11625.0,42.0,16.0,32.0,9.425
BeryL,14.0,1.0,1.0,7.0,55.0,4.0,1.4,9872.0,251.0,14.1,92.0,54.0,16.0,18.0,18.0,2.34,1.37,0.46,0.41,26.7,7889.0,481.0,6750.0,658.0,200.0,11.3,0.2,88.9,0.0,0.0,0.0,0.0,0.0,-79.0,6.0,-493.0,-1.0,0.0,603.0,603.0,2202.0,0.0,6801.0,4570.0,22.0,276.0,10537.0,8.0,20.0,36.0,9.425
BeryL,10.0,0.0,3.0,0.0,17.0,0.0,0.6,5897.0,199.0,13.1,58.0,34.0,7.0,10.0,8.0,1.96,1.15,0.34,0.24,30.4,4995.0,622.0,4373.0,0.0,168.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.0,-18.0,-927.0,-1.0,0.0,129.0,129.0,9599.0,6470.0,4086.0,447.0,27.0,150.0,9370.0,71.0,13.0,25.0,0.0
BeryL,14.0,0.0,1.0,14.0,30.0,4.0,0.8,10664.0,281.0,14.5,113.0,69.0,19.0,14.0,20.0,2.98,1.82,0.37,0.5,37.9,12639.0,536.0,10381.0,1722.0,334.0,11.9,0.37,77.8,0.0,0.0,0.0,0.0,0.0,1205.0,2.0,365.0,0.0,0.0,1594.0,1594.0,3704.0,372.0,9553.0,8496.0,26.0,184.0,10818.0,38.0,23.0,37.0,9.425
