,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Deft,18.0,5.0,0.0,4.0,388.0,37.0,9.2,17575.0,417.0,23.5,67.0,22.0,15.0,6.0,6.0,1.59,0.52,0.14,0.36,16.0,19285.0,16676.0,1526.0,1083.0,458.0,21.9,0.21,47.4,0.0,2.0,0.0,0.0,0.0,-756.0,-23.0,-269.0,0.0,0.0,5378.0,5378.0,5462.0,0.0,18651.0,0.0,12.0,76.0,22208.0,0.0,9.0,31.0,9.425
Deft,14.0,3.0,3.0,4.0,288.0,20.0,10.0,12895.0,449.0,23.6,31.0,13.0,7.0,5.0,4.0,1.08,0.45,0.17,0.24,13.1,18093.0,10790.0,4241.0,3062.0,630.0,23.9,0.24,50.0,0.0,0.0,0.0,0.0,0.0,262.0,-3.0,-112.0,0.0,0.0,5041.0,5041.0,1998.0,782.0,10417.0,0.0,13.0,346.0,16979.0,63.0,9.0,32.0,9.425
Deft,14.0,4.0,3.0,5.0,242.0,13.0,7.5,12754.0,396.0,23.7,37.0,15.0,8.0,5.0,5.0,1.15,0.47,0.16,0.25,15.5,9964.0,7922.0,2042.0,0.0,310.0,15.1,0.28,75.0,0.0,0.0,0.0,0.0,0.0,-652.0,-53.0,-682.0,-1.0,0.0,2946.0,2946.0,346.0,0.0,11955.0,0.0,6.0,354.0,14622.0,96.0,8.0,29.0,0.0
Deft,18.0,6.0,1.0,6.0,391.0,33.0,8.5,19904.0,431.0,24.7,59.0,26.0,12.0,9.0,9.0,1.28,0.56,0.19,0.26,15.4,41043.0,36424.0,3868.0,751.0,889.0,37.1,0.26,70.6,0.0,1.0,0.0,0.0,0.0,-778.0,-19.0,-576.0,-1.0,0.0,8524.0,8524.0,8316.0,0.0,12201.0,0.0,34.0,718.0,18172.0,21.0,15.0,36.0,9.425
Deft,16.0,1.0,3.0,1.0,358.0,23.0,11.5,13085.0,420.0,26.0,29.0,14.0,9.0,5.0,5.0,0.93,0.45,0.16,0.29,13.2,12733.0,12240.0,0.0,493.0,409.0,23.9,0.06,40.0,0.0,0.0,0.0,0.0,0.0,-321.0,-10.0,16.0,0.0,0.0,756.0,756.0,2082.0,338.0,7699.0,0.0,0.0,64.0,12794.0,48.0,8.0,24.0,0.0
Deft,17.0,5.0,0.0,6.0,337.0,34.0,8.9,16049.0,425.0,23.0,64.0,24.0,11.0,10.0,10.0,1.69,0.63,0.26,0.29,17.9,21258.0,13267.0,6847.0,1144.0,562.0,26.1,0.29,73.3,0.0,2.0,0.0,0.0,0.0,-310.0,-4.0,-511.0,0.0,0.0,4408.0,4408.0,3157.0,564.0,12284.0,0.0,41.0,493.0,7872.0,0.0,13.0,35.0,9.425
Deft,15.0,3.0,2.0,4.0,288.0,28.0,9.6,12594.0,418.0,21.3,43.0,14.0,13.0,7.0,7.0,1.43,0.46,0.23,0.43,19.1,16174.0,9221.0,4678.0,2275.0,537.0,26.4,0.23,35.0,0.0,1.0,0.0,0.0,0.0,474.0,7.0,929.0,1.0,0.0,4959.0,4959.0,725.0,370.0,7172.0,0.0,15.0,248.0,13786.0,75.0,10.0,30.0,9.425
Deft,18.0,5.0,0.0,3.0,356.0,54.0,9.0,17525.0,445.0,25.0,47.0,19.0,15.0,5.0,5.0,1.19,0.48,0.13,0.38,13.7,19535.0,17295.0,2030.0,210.0,496.0,28.1,0.2,88.9,0.0,1.0,0.0,0.0,0.0,-1332.0,-41.0,-1117.0,-1.0,0.0,8088.0,8088.0,6627.0,0.0,10910.0,0.0,14.0,98.0,19830.0,0.0,9.0,31.0,9.425
Deft,14.0,0.0,3.0,1.0,294.0,24.0,9.9,10587.0,357.0,23.6,25.0,15.0,4.0,6.0,5.0,0.84,0.51,0.2,0.13,13.1,15248.0,12911.0,681.0,1656.0,514.0,36.2,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-500.0,18.0,1017.0,1.0,0.0,572.0,572.0,115.0,0.0,16423.0,0.0,8.0,233.0,8742.0,57.0,9.0,26.0,0.0
Deft,18.0,2.0,1.0,7.0,403.0,46.0,10.6,18372.0,485.0,25.0,53.0,20.0,8.0,7.0,6.0,1.4,0.53,0.18,0.21,17.8,36504.0,19429.0,13730.0,3345.0,964.0,34.4,0.24,50.0,0.0,0.0,0.0,0.0,0.0,655.0,-2.0,155.0,0.0,0.0,6043.0,6043.0,6859.0,0.0,13982.0,0.0,15.0,315.0,18688.0,33.0,9.0,32.0,9.425
Deft,17.0,2.0,1.0,9.0,330.0,42.0,8.5,16009.0,414.0,22.2,78.0,22.0,15.0,10.0,7.0,2.02,0.57,0.26,0.39,18.4,17016.0,12350.0,2808.0,1858.0,440.0,15.5,0.28,61.1,0.0,1.0,0.0,0.0,0.0,44.0,3.0,247.0,0.0,0.0,4726.0,4726.0,2360.0,0.0,15694.0,0.0,17.0,524.0,21056.0,44.0,14.0,37.0,9.425
Deft,18.0,5.0,1.0,2.0,394.0,35.0,9.4,21243.0,506.0,27.8,42.0,22.0,9.0,8.0,7.0,1.0,0.52,0.19,0.21,12.0,22406.0,21070.0,400.0,936.0,533.0,29.6,0.17,77.8,0.0,1.0,0.0,0.0,0.0,904.0,12.0,-210.0,0.0,0.0,9154.0,9154.0,1458.0,0.0,10061.0,0.0,14.0,160.0,18802.0,21.0,11.0,34.0,9.425
Deft,18.0,3.0,4.0,4.0,417.0,57.0,9.8,20614.0,486.0,26.6,62.0,21.0,8.0,6.0,6.0,1.46,0.49,0.14,0.19,17.4,43874.0,26611.0,14190.0,3073.0,1034.0,39.1,0.16,63.6,0.0,0.0,0.0,0.0,0.0,754.0,7.0,135.0,0.0,0.0,8006.0,8006.0,4797.0,0.0,14415.0,0.0,11.0,349.0,23914.0,180.0,11.0,32.0,0.0
Deft,15.0,1.0,4.0,3.0,273.0,11.0,7.8,12235.0,350.0,20.3,47.0,19.0,8.0,8.0,8.0,1.34,0.54,0.23,0.23,13.4,15169.0,12727.0,2162.0,280.0,433.0,21.5,0.11,44.4,0.0,0.0,0.0,0.0,0.0,760.0,26.0,673.0,0.0,0.0,2417.0,2417.0,2171.0,412.0,10245.0,0.0,47.0,910.0,17680.0,114.0,11.0,31.0,0.0
Deft,13.0,1.0,1.0,6.0,238.0,22.0,9.6,11066.0,447.0,22.2,24.0,11.0,4.0,4.0,3.0,0.97,0.44,0.16,0.16,14.9,10656.0,9257.0,1009.0,390.0,430.0,21.3,0.28,43.8,0.0,0.0,0.0,0.0,0.0,1239.0,20.0,234.0,1.0,0.0,7566.0,7566.0,1464.0,0.0,4139.0,0.0,13.0,61.0,9454.0,43.0,8.0,25.0,9.425
Deft,16.0,1.0,1.0,0.0,354.0,50.0,10.4,14014.0,411.0,25.6,30.0,14.0,4.0,4.0,3.0,0.88,0.41,0.12,0.12,10.0,18381.0,15834.0,1122.0,1425.0,539.0,28.7,0.03,33.3,0.0,0.0,0.0,0.0,0.0,823.0,30.0,568.0,0.0,0.0,2764.0,2764.0,0.0,0.0,14965.0,0.0,12.0,175.0,5900.0,0.0,7.0,24.0,0.0
