,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Juhan,14.0,3.0,4.0,6.0,165.0,144.0,4.6,10729.0,297.0,18.3,48.0,26.0,9.0,16.0,15.0,1.33,0.72,0.44,0.25,17.9,12904.0,10274.0,1928.0,702.0,357.0,17.8,0.25,90.0,0.0,0.0,0.0,0.0,0.0,596.0,13.0,271.0,0.0,0.0,135.0,135.0,13659.0,0.0,37501.0,950.0,15.0,595.0,30522.0,95.0,16.0,31.0,0.0
Juhan,14.0,5.0,1.0,12.0,150.0,120.0,5.7,10130.0,383.0,17.4,28.0,8.0,6.0,6.0,6.0,1.06,0.3,0.23,0.23,17.2,18358.0,804.0,16569.0,985.0,694.0,21.7,0.64,65.4,1.0,1.0,0.0,0.0,0.0,1254.0,17.0,924.0,1.0,0.0,1287.0,1287.0,17278.0,0.0,18270.0,0.0,46.0,575.0,28467.0,32.0,6.0,22.0,9.425
Juhan,13.0,1.0,2.0,7.0,145.0,129.0,5.8,8661.0,347.0,17.6,35.0,11.0,7.0,9.0,9.0,1.4,0.44,0.36,0.28,20.0,6113.0,337.0,5257.0,519.0,245.0,9.7,0.32,72.7,0.0,0.0,0.0,0.0,0.0,-976.0,-24.0,-727.0,-1.0,0.0,0.0,0.0,11319.0,294.0,21762.0,0.0,31.0,716.0,21531.0,79.0,9.0,27.0,9.425
Juhan,13.0,4.0,0.0,17.0,125.0,109.0,5.3,9405.0,400.0,18.4,36.0,11.0,10.0,8.0,8.0,1.53,0.47,0.34,0.42,21.3,10995.0,5377.0,5124.0,494.0,467.0,20.0,0.89,91.3,0.0,0.0,0.0,0.0,0.0,966.0,-10.0,202.0,0.0,0.0,919.0,919.0,7606.0,616.0,19865.0,0.0,23.0,272.0,21187.0,0.0,8.0,23.0,3.77
Juhan,15.0,1.0,2.0,5.0,174.0,135.0,4.9,10392.0,290.0,15.6,65.0,16.0,23.0,15.0,14.0,1.81,0.45,0.42,0.64,22.6,5354.0,2463.0,2339.0,552.0,149.0,6.9,0.17,54.5,0.0,0.0,0.0,0.0,0.0,281.0,23.0,446.0,1.0,0.0,840.0,840.0,9646.0,355.0,26589.0,0.0,9.0,283.0,30251.0,84.0,15.0,34.0,3.77
Juhan,14.0,0.0,6.0,3.0,137.0,98.0,3.7,9504.0,254.0,14.4,54.0,19.0,14.0,17.0,17.0,1.44,0.51,0.45,0.37,17.8,8725.0,6707.0,417.0,1601.0,233.0,8.5,0.08,33.3,0.0,0.0,0.0,0.0,0.0,-1018.0,-4.0,-227.0,-1.0,0.0,91.0,91.0,6968.0,0.0,25582.0,0.0,25.0,245.0,25297.0,136.0,17.0,35.0,0.0
Juhan,16.0,4.0,0.0,12.0,155.0,120.0,4.2,11735.0,315.0,16.4,67.0,21.0,24.0,19.0,19.0,1.8,0.56,0.51,0.64,22.6,8809.0,6373.0,2014.0,422.0,236.0,9.6,0.43,84.2,1.0,0.0,0.0,0.0,0.0,58.0,-4.0,-814.0,0.0,0.0,1237.0,1237.0,9365.0,0.0,32857.0,0.0,21.0,817.0,22853.0,0.0,20.0,38.0,3.77
Juhan,15.0,3.0,0.0,7.0,155.0,112.0,4.5,11079.0,324.0,17.4,62.0,20.0,14.0,18.0,18.0,1.81,0.58,0.53,0.41,21.8,5828.0,4565.0,612.0,651.0,170.0,9.0,0.29,71.4,0.0,0.0,0.0,0.0,0.0,-692.0,-6.0,-525.0,-1.0,0.0,4371.0,4371.0,9117.0,0.0,18930.0,0.0,6.0,123.0,22283.0,0.0,19.0,35.0,3.77
Juhan,14.0,1.0,4.0,9.0,130.0,110.0,4.1,9069.0,283.0,14.9,51.0,16.0,11.0,15.0,13.0,1.59,0.5,0.47,0.34,18.3,7386.0,6158.0,440.0,788.0,231.0,8.3,0.31,71.4,0.0,0.0,0.0,0.0,0.0,-421.0,-9.0,-73.0,0.0,0.0,0.0,0.0,7576.0,0.0,26250.0,0.0,25.0,253.0,24525.0,148.0,15.0,31.0,3.77
Juhan,14.0,4.0,3.0,5.0,152.0,131.0,4.7,10993.0,339.0,17.9,51.0,19.0,15.0,24.0,17.0,1.57,0.59,0.74,0.46,19.8,9326.0,7714.0,880.0,732.0,288.0,11.8,0.28,64.3,0.0,1.0,0.0,0.0,0.0,656.0,-6.0,-17.0,0.0,0.0,2885.0,2885.0,11666.0,0.0,18343.0,0.0,14.0,146.0,24702.0,76.0,18.0,40.0,3.77
