,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Pyosik,16.0,5.0,4.0,8.0,192.0,163.0,4.6,13765.0,327.0,18.4,68.0,21.0,17.0,21.0,20.0,1.61,0.5,0.5,0.4,16.3,12377.0,6709.0,3842.0,1826.0,294.0,14.1,0.31,68.4,0.0,1.0,0.0,0.0,0.0,-137.0,-9.0,-368.0,0.0,0.0,526.0,526.0,19270.0,0.0,50572.0,0.0,19.0,223.0,40180.0,155.0,22.0,41.0,9.425
Pyosik,13.0,4.0,0.0,6.0,118.0,101.0,4.1,9114.0,317.0,16.6,44.0,13.0,8.0,12.0,11.0,1.53,0.45,0.42,0.28,18.6,9599.0,648.0,8013.0,938.0,334.0,12.7,0.35,71.4,0.0,0.0,0.0,0.0,0.0,144.0,-24.0,271.0,1.0,0.0,123.0,123.0,9294.0,0.0,15473.0,0.0,45.0,869.0,15454.0,0.0,13.0,25.0,9.425
Pyosik,14.0,2.0,2.0,6.0,180.0,136.0,5.6,10335.0,321.0,19.2,50.0,14.0,17.0,20.0,13.0,1.55,0.44,0.62,0.53,20.9,12021.0,9232.0,1700.0,1089.0,374.0,18.2,0.25,66.7,0.0,0.0,0.0,0.0,0.0,924.0,-13.0,18.0,0.0,1.0,413.0,413.0,13393.0,0.0,19898.0,0.0,23.0,245.0,25693.0,84.0,15.0,33.0,0.0
Pyosik,17.0,1.0,3.0,10.0,222.0,160.0,4.8,13566.0,294.0,16.9,87.0,20.0,41.0,22.0,19.0,1.88,0.43,0.48,0.89,22.8,10772.0,8359.0,1346.0,1067.0,233.0,9.7,0.24,64.7,0.0,0.0,0.0,0.0,0.0,-2174.0,-21.0,67.0,0.0,0.0,1235.0,1235.0,17843.0,0.0,28987.0,0.0,15.0,243.0,32021.0,118.0,20.0,45.0,9.425
Pyosik,13.0,0.0,3.0,3.0,143.0,124.0,4.6,8173.0,262.0,16.2,49.0,16.0,13.0,15.0,14.0,1.57,0.51,0.48,0.42,22.4,6423.0,5562.0,295.0,566.0,206.0,12.0,0.1,60.0,0.0,0.0,0.0,0.0,0.0,371.0,16.0,501.0,0.0,0.0,0.0,0.0,9458.0,0.0,14656.0,0.0,9.0,167.0,24395.0,73.0,15.0,29.0,0.0
Pyosik,17.0,6.0,2.0,6.0,267.0,199.0,7.1,15454.0,409.0,22.1,90.0,41.0,23.0,9.0,9.0,2.38,1.08,0.24,0.61,25.2,21841.0,10838.0,7175.0,3828.0,578.0,26.8,0.32,80.0,0.0,0.0,0.0,0.0,0.0,306.0,15.0,627.0,1.0,0.0,4875.0,4875.0,15917.0,2805.0,16496.0,0.0,3.0,226.0,23571.0,69.0,9.0,33.0,9.425
Pyosik,14.0,6.0,0.0,7.0,177.0,147.0,5.9,11641.0,386.0,19.7,60.0,15.0,19.0,18.0,13.0,1.99,0.5,0.6,0.63,26.7,10938.0,8863.0,1483.0,592.0,363.0,17.8,0.43,65.0,0.0,1.0,0.0,0.0,0.0,694.0,-2.0,55.0,0.0,0.0,2345.0,2345.0,13057.0,0.0,13584.0,107.0,13.0,155.0,19997.0,0.0,14.0,32.0,9.425
Pyosik,17.0,0.0,1.0,4.0,227.0,181.0,5.8,12420.0,315.0,17.7,105.0,44.0,24.0,11.0,11.0,2.67,1.12,0.28,0.61,30.5,10519.0,5289.0,3833.0,1397.0,267.0,15.1,0.1,44.4,0.0,0.0,0.0,0.0,0.0,33.0,-23.0,-230.0,0.0,0.0,1938.0,1938.0,14800.0,1989.0,15892.0,0.0,2.0,202.0,25479.0,44.0,11.0,29.0,9.425
Pyosik,12.0,1.0,2.0,1.0,144.0,113.0,4.9,8000.0,270.0,17.8,51.0,16.0,15.0,17.0,14.0,1.72,0.54,0.57,0.51,26.7,6476.0,3806.0,2162.0,508.0,218.0,15.4,0.07,100.0,0.0,0.0,0.0,0.0,0.0,-792.0,-6.0,-310.0,0.0,0.0,0.0,0.0,6887.0,0.0,21042.0,0.0,16.0,540.0,22848.0,38.0,18.0,32.0,0.0
Pyosik,15.0,4.0,2.0,7.0,158.0,137.0,4.2,11295.0,298.0,15.4,52.0,17.0,12.0,19.0,16.0,1.37,0.45,0.5,0.32,17.4,10874.0,8863.0,1343.0,668.0,287.0,10.2,0.29,61.1,0.0,1.0,0.0,0.0,0.0,-440.0,3.0,-203.0,0.0,1.0,672.0,672.0,16233.0,0.0,24569.0,0.0,16.0,254.0,27110.0,53.0,17.0,36.0,9.425
