,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Zeka,18.0,3.0,2.0,9.0,387.0,29.0,9.2,18568.0,441.0,24.9,62.0,23.0,11.0,11.0,9.0,1.47,0.55,0.26,0.26,14.8,23385.0,267.0,22308.0,810.0,555.0,26.6,0.28,63.2,0.0,0.0,0.0,0.0,0.0,310.0,-3.0,-585.0,-1.0,0.0,12956.0,12956.0,2981.0,0.0,13752.0,0.0,15.0,312.0,15604.0,42.0,14.0,33.0,9.425
Zeka,17.0,1.0,1.0,5.0,291.0,30.0,10.1,11996.0,417.0,21.9,42.0,16.0,7.0,9.0,7.0,1.46,0.56,0.31,0.24,17.7,16563.0,873.0,15690.0,0.0,576.0,21.9,0.21,42.9,0.0,0.0,0.0,0.0,0.0,290.0,7.0,87.0,0.0,0.0,1995.0,1995.0,957.0,0.0,8595.0,0.0,12.0,244.0,14526.0,45.0,13.0,27.0,9.425
Zeka,16.0,5.0,2.0,3.0,277.0,23.0,8.6,13849.0,430.0,25.7,32.0,12.0,8.0,11.0,10.0,0.99,0.37,0.34,0.25,13.4,20733.0,377.0,17836.0,2520.0,644.0,31.4,0.25,66.7,0.0,0.0,0.0,0.0,0.0,-172.0,-11.0,-113.0,0.0,0.0,2354.0,2354.0,4462.0,0.0,20110.0,319.0,30.0,510.0,29122.0,86.0,12.0,34.0,0.0
Zeka,18.0,5.0,2.0,2.0,415.0,33.0,9.0,18461.0,400.0,22.9,63.0,7.0,25.0,5.0,5.0,1.36,0.15,0.11,0.54,16.5,22272.0,0.0,21146.0,1126.0,482.0,20.1,0.15,41.2,0.0,1.0,0.0,0.0,0.0,581.0,35.0,1003.0,1.0,0.0,5616.0,5616.0,12219.0,0.0,39112.0,0.0,30.0,624.0,39998.0,119.0,10.0,34.0,9.425
Zeka,16.0,1.0,4.0,3.0,285.0,6.0,9.1,11899.0,382.0,23.6,24.0,6.0,7.0,6.0,4.0,0.77,0.19,0.19,0.22,11.0,11597.0,253.0,11004.0,340.0,372.0,21.7,0.13,80.0,0.0,0.0,0.0,0.0,0.0,-454.0,-21.0,-1137.0,-1.0,0.0,1707.0,1707.0,3974.0,0.0,19239.0,0.0,26.0,490.0,28832.0,108.0,7.0,24.0,0.0
Zeka,18.0,2.0,2.0,9.0,332.0,17.0,8.8,15562.0,412.0,22.3,65.0,34.0,11.0,13.0,13.0,1.72,0.9,0.34,0.29,18.2,13734.0,66.0,12918.0,750.0,363.0,16.9,0.29,73.3,0.0,0.0,0.0,0.0,0.0,604.0,13.0,483.0,0.0,0.0,4692.0,4692.0,4911.0,0.0,29924.0,329.0,25.0,114.0,19449.0,63.0,14.0,34.0,9.425
Zeka,17.0,7.0,0.0,2.0,297.0,19.0,9.9,14832.0,492.0,25.1,17.0,5.0,6.0,4.0,3.0,0.56,0.17,0.13,0.2,7.6,14871.0,415.0,14171.0,285.0,494.0,24.3,0.3,45.0,2.0,1.0,1.0,0.0,0.0,471.0,5.0,278.0,0.0,0.0,7965.0,7965.0,4050.0,0.0,9492.0,0.0,1.0,106.0,17254.0,0.0,6.0,25.0,9.425
Zeka,18.0,1.0,0.0,5.0,391.0,20.0,9.9,16782.0,426.0,23.9,42.0,13.0,10.0,11.0,11.0,1.07,0.33,0.28,0.25,12.2,16627.0,1818.0,12424.0,2385.0,422.0,23.9,0.15,66.7,0.0,0.0,0.0,0.0,0.0,740.0,21.0,-111.0,0.0,0.0,3762.0,3762.0,5771.0,0.0,7219.0,0.0,17.0,121.0,12508.0,0.0,13.0,36.0,9.425
Zeka,16.0,0.0,2.0,0.0,276.0,24.0,9.3,10774.0,363.0,24.0,32.0,15.0,5.0,6.0,5.0,1.08,0.51,0.2,0.17,16.8,10244.0,372.0,9872.0,0.0,345.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-261.0,-8.0,-225.0,0.0,0.0,5446.0,5446.0,608.0,0.0,6537.0,0.0,5.0,205.0,10560.0,35.0,9.0,22.0,0.0
Zeka,18.0,10.0,2.0,4.0,310.0,36.0,8.2,17847.0,471.0,24.3,41.0,9.0,10.0,4.0,4.0,1.08,0.24,0.11,0.26,13.8,30002.0,134.0,29868.0,0.0,792.0,28.3,0.37,77.8,4.0,1.0,0.0,1.0,0.0,100.0,-3.0,298.0,0.0,0.0,9676.0,9676.0,12574.0,0.0,24101.0,0.0,21.0,427.0,32456.0,72.0,6.0,28.0,9.425
Zeka,18.0,6.0,1.0,9.0,357.0,39.0,9.2,16964.0,438.0,23.5,68.0,23.0,13.0,9.0,9.0,1.76,0.59,0.23,0.34,16.1,31002.0,1157.0,27579.0,2266.0,801.0,28.3,0.39,83.3,0.0,2.0,0.0,0.0,0.0,-725.0,3.0,-52.0,0.0,0.0,960.0,960.0,4543.0,0.0,14790.0,0.0,12.0,350.0,24363.0,50.0,10.0,27.0,9.425
Zeka,18.0,2.0,2.0,5.0,354.0,20.0,8.4,16460.0,392.0,21.6,39.0,18.0,15.0,14.0,14.0,0.93,0.43,0.33,0.36,11.2,13341.0,188.0,12729.0,424.0,318.0,17.6,0.17,77.8,0.0,0.0,0.0,0.0,0.0,-353.0,-20.0,-879.0,-1.0,0.0,1353.0,1353.0,3016.0,0.0,21537.0,0.0,15.0,600.0,31273.0,21.0,16.0,41.0,9.425
Zeka,18.0,2.0,2.0,2.0,420.0,41.0,9.9,17794.0,419.0,23.0,45.0,11.0,8.0,11.0,9.0,1.06,0.26,0.26,0.19,12.6,14685.0,516.0,14019.0,150.0,346.0,13.1,0.09,36.4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-509.0,0.0,0.0,2249.0,2249.0,8409.0,0.0,22487.0,0.0,1.0,140.0,32322.0,48.0,15.0,37.0,0.0
Zeka,17.0,3.0,2.0,5.0,338.0,20.0,9.7,14648.0,419.0,24.3,39.0,16.0,8.0,7.0,5.0,1.11,0.46,0.2,0.23,11.1,16898.0,510.0,16079.0,309.0,483.0,23.9,0.23,88.9,0.0,1.0,0.0,0.0,0.0,32.0,6.0,-476.0,0.0,0.0,838.0,838.0,2267.0,0.0,10899.0,1291.0,16.0,185.0,17468.0,92.0,10.0,31.0,0.0
Zeka,15.0,9.0,0.0,3.0,238.0,26.0,9.6,12744.0,515.0,25.6,22.0,6.0,4.0,4.0,4.0,0.89,0.24,0.16,0.16,13.7,12464.0,1142.0,10939.0,383.0,503.0,24.9,0.48,75.0,1.0,1.0,1.0,0.0,0.0,685.0,-2.0,-232.0,-1.0,0.0,4484.0,4484.0,1321.0,0.0,7117.0,0.0,11.0,371.0,10038.0,0.0,6.0,22.0,9.425
Zeka,17.0,0.0,2.0,2.0,350.0,25.0,10.3,13244.0,388.0,24.2,35.0,20.0,9.0,9.0,9.0,1.03,0.59,0.26,0.26,11.7,14641.0,983.0,13658.0,0.0,429.0,22.9,0.06,66.7,0.0,0.0,0.0,0.0,0.0,643.0,20.0,314.0,0.0,0.0,2636.0,2636.0,326.0,0.0,8141.0,0.0,7.0,259.0,11627.0,45.0,11.0,25.0,0.0
Zeka,17.0,4.0,2.0,4.0,299.0,26.0,9.5,14027.0,445.0,21.4,20.0,6.0,4.0,4.0,4.0,0.63,0.19,0.13,0.13,7.4,15953.0,947.0,14640.0,366.0,506.0,17.1,0.25,42.1,0.0,1.0,0.0,0.0,0.0,-509.0,-2.0,-191.0,0.0,0.0,6788.0,6788.0,5996.0,0.0,21063.0,0.0,18.0,481.0,26831.0,76.0,5.0,23.0,9.425
Zeka,18.0,7.0,0.0,5.0,323.0,25.0,10.7,16093.0,532.0,25.3,37.0,6.0,10.0,4.0,4.0,1.22,0.2,0.13,0.33,15.0,14515.0,498.0,13852.0,165.0,480.0,22.3,0.4,60.0,1.0,1.0,0.0,0.0,0.0,877.0,-10.0,162.0,0.0,0.0,5772.0,5772.0,1063.0,0.0,10899.0,0.0,2.0,147.0,17455.0,0.0,9.0,26.0,9.425
