,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
kingen,18.0,6.0,3.0,6.0,269.0,27.0,6.4,15346.0,364.0,20.5,57.0,15.0,18.0,12.0,12.0,1.35,0.36,0.28,0.43,13.6,27392.0,26129.0,0.0,1263.0,650.0,31.1,0.28,63.2,2.0,0.0,0.0,0.0,0.0,637.0,22.0,1872.0,2.0,0.0,966.0,966.0,21444.0,0.0,61310.0,0.0,20.0,189.0,40472.0,150.0,13.0,35.0,9.425
kingen,16.0,5.0,0.0,5.0,231.0,44.0,8.0,13335.0,464.0,24.4,34.0,9.0,7.0,6.0,6.0,1.18,0.31,0.21,0.24,14.3,24991.0,24940.0,51.0,0.0,870.0,33.0,0.35,71.4,0.0,1.0,0.0,0.0,0.0,1075.0,16.0,1149.0,1.0,0.0,4498.0,4498.0,11155.0,0.0,25631.0,0.0,21.0,220.0,17557.0,0.0,7.0,26.0,9.425
kingen,14.0,0.0,3.0,5.0,200.0,4.0,6.2,9004.0,280.0,16.7,40.0,22.0,7.0,12.0,12.0,1.24,0.68,0.37,0.22,16.7,16293.0,4110.0,8744.0,3439.0,506.0,24.6,0.16,41.7,0.0,0.0,0.0,0.0,0.0,-397.0,14.0,38.0,0.0,0.0,0.0,0.0,1291.0,0.0,28130.0,0.0,36.0,1166.0,29490.0,108.0,13.0,31.0,0.0
kingen,18.0,4.0,3.0,10.0,350.0,37.0,7.6,17288.0,374.0,21.5,57.0,16.0,24.0,16.0,12.0,1.23,0.35,0.35,0.52,14.9,19713.0,11908.0,1210.0,6595.0,427.0,17.8,0.3,82.4,1.0,0.0,0.0,0.0,0.0,-104.0,2.0,516.0,1.0,0.0,6160.0,6160.0,21956.0,0.0,62012.0,0.0,17.0,236.0,46490.0,150.0,17.0,38.0,9.425
kingen,15.0,3.0,2.0,1.0,219.0,0.0,7.0,10355.0,332.0,20.6,28.0,9.0,7.0,7.0,6.0,0.9,0.29,0.22,0.22,12.8,12762.0,12762.0,0.0,0.0,409.0,23.9,0.13,80.0,0.0,0.0,0.0,0.0,0.0,-711.0,-14.0,-301.0,-1.0,0.0,0.0,0.0,8082.0,0.0,24014.0,0.0,13.0,136.0,20355.0,78.0,8.0,23.0,0.0
kingen,17.0,1.0,2.0,9.0,226.0,3.0,6.0,12606.0,333.0,18.1,35.0,14.0,7.0,11.0,10.0,0.93,0.37,0.29,0.19,9.8,16105.0,1889.0,13797.0,419.0,426.0,19.8,0.26,66.7,0.0,0.0,0.0,0.0,0.0,-970.0,-14.0,-299.0,0.0,0.0,2445.0,2445.0,8263.0,0.0,27791.0,0.0,31.0,1015.0,17635.0,88.0,13.0,29.0,9.425
kingen,16.0,4.0,1.0,6.0,216.0,7.0,7.2,12032.0,399.0,20.3,32.0,24.0,4.0,15.0,14.0,1.06,0.8,0.5,0.13,14.2,12519.0,3647.0,8450.0,422.0,415.0,20.4,0.33,50.0,1.0,0.0,0.0,0.0,0.0,1107.0,10.0,417.0,1.0,0.0,5222.0,5222.0,4101.0,0.0,29112.0,0.0,32.0,1241.0,21029.0,21.0,16.0,34.0,9.425
kingen,18.0,2.0,1.0,4.0,273.0,6.0,6.9,13554.0,344.0,19.3,58.0,25.0,13.0,20.0,20.0,1.47,0.63,0.51,0.33,16.9,14987.0,1909.0,12658.0,420.0,381.0,21.5,0.15,66.7,0.0,1.0,0.0,0.0,0.0,-592.0,-14.0,-653.0,-1.0,0.0,456.0,456.0,16836.0,0.0,36422.0,0.0,37.0,551.0,28889.0,0.0,22.0,43.0,9.425
kingen,15.0,1.0,2.0,1.0,227.0,14.0,7.7,9655.0,326.0,21.5,25.0,6.0,6.0,3.0,2.0,0.84,0.2,0.1,0.2,13.1,5170.0,3581.0,356.0,1233.0,174.0,12.3,0.07,100.0,0.0,0.0,0.0,0.0,0.0,-744.0,-18.0,-855.0,0.0,0.0,2564.0,2564.0,2554.0,0.0,12678.0,0.0,5.0,143.0,14225.0,97.0,4.0,20.0,0.0
kingen,18.0,2.0,1.0,3.0,346.0,35.0,9.1,15216.0,402.0,20.7,39.0,16.0,13.0,14.0,12.0,1.03,0.42,0.37,0.34,13.1,16129.0,9356.0,1781.0,4992.0,426.0,15.2,0.13,27.8,0.0,0.0,0.0,0.0,0.0,-673.0,12.0,296.0,0.0,0.0,3237.0,3237.0,13826.0,1605.0,32791.0,0.0,7.0,112.0,26272.0,61.0,15.0,38.0,9.425
kingen,18.0,6.0,5.0,6.0,275.0,41.0,7.1,16234.0,419.0,22.5,54.0,15.0,14.0,11.0,11.0,1.4,0.39,0.28,0.36,12.8,27535.0,13629.0,1384.0,12522.0,711.0,25.1,0.31,66.7,0.0,1.0,0.0,0.0,0.0,-80.0,-9.0,-405.0,-1.0,0.0,11862.0,11862.0,10683.0,0.0,41542.0,0.0,24.0,301.0,36962.0,248.0,12.0,30.0,9.425
kingen,18.0,1.0,2.0,3.0,326.0,34.0,7.8,14928.0,355.0,19.5,35.0,12.0,14.0,5.0,5.0,0.83,0.29,0.12,0.33,10.0,13678.0,13472.0,0.0,206.0,326.0,18.1,0.1,44.4,0.0,0.0,0.0,0.0,0.0,151.0,13.0,82.0,0.0,0.0,2435.0,2435.0,12847.0,0.0,39244.0,0.0,18.0,275.0,35180.0,45.0,6.0,22.0,9.425
kingen,18.0,3.0,4.0,5.0,293.0,44.0,6.9,15819.0,373.0,20.4,43.0,17.0,5.0,13.0,12.0,1.01,0.4,0.31,0.12,12.0,21699.0,21585.0,0.0,114.0,511.0,19.3,0.19,72.7,0.0,0.0,0.0,0.0,0.0,58.0,21.0,416.0,0.0,0.0,4996.0,4996.0,16263.0,0.0,54307.0,0.0,25.0,200.0,36547.0,92.0,14.0,37.0,0.0
kingen,17.0,3.0,2.0,1.0,282.0,19.0,8.1,13966.0,399.0,23.1,40.0,11.0,10.0,6.0,6.0,1.14,0.31,0.17,0.29,11.4,11770.0,7649.0,1392.0,2729.0,336.0,16.6,0.11,44.4,1.0,0.0,0.0,0.0,0.0,-1175.0,-35.0,-441.0,0.0,0.0,12257.0,12257.0,9552.0,213.0,25063.0,0.0,5.0,140.0,30137.0,107.0,7.0,27.0,0.0
kingen,14.0,3.0,3.0,7.0,165.0,4.0,6.7,9156.0,370.0,18.4,16.0,6.0,1.0,2.0,1.0,0.65,0.24,0.08,0.04,9.9,14281.0,8293.0,1011.0,4977.0,577.0,28.6,0.4,62.5,0.0,0.0,0.0,0.0,0.0,-1591.0,-15.0,-185.0,0.0,0.0,2539.0,2539.0,3623.0,0.0,19099.0,0.0,15.0,123.0,20841.0,69.0,3.0,18.0,9.425
kingen,15.0,0.0,5.0,2.0,201.0,5.0,5.9,9505.0,279.0,17.4,20.0,9.0,4.0,4.0,4.0,0.59,0.26,0.12,0.12,6.7,16337.0,1209.0,15128.0,0.0,479.0,25.5,0.06,66.7,0.0,0.0,0.0,0.0,0.0,-651.0,-28.0,-1215.0,-1.0,0.0,1141.0,1141.0,6999.0,0.0,26118.0,0.0,78.0,1541.0,26850.0,185.0,6.0,24.0,0.0
kingen,17.0,4.0,0.0,10.0,275.0,24.0,8.7,14212.0,451.0,21.7,37.0,12.0,9.0,8.0,8.0,1.17,0.38,0.25,0.29,13.8,21125.0,21071.0,0.0,54.0,671.0,22.7,0.44,73.7,1.0,2.0,0.0,0.0,0.0,1083.0,11.0,761.0,0.0,0.0,5363.0,5363.0,15642.0,0.0,33590.0,0.0,18.0,372.0,25656.0,0.0,10.0,27.0,9.425
kingen,17.0,3.0,1.0,7.0,266.0,32.0,8.8,13416.0,444.0,21.1,22.0,7.0,3.0,3.0,3.0,0.73,0.23,0.1,0.1,8.9,13651.0,13651.0,0.0,0.0,451.0,21.0,0.33,50.0,0.0,0.0,0.0,0.0,0.0,594.0,16.0,549.0,1.0,0.0,5117.0,5117.0,9728.0,0.0,26029.0,0.0,12.0,130.0,18309.0,49.0,4.0,20.0,9.425
kingen,14.0,3.0,1.0,6.0,169.0,12.0,7.2,8835.0,377.0,18.8,14.0,9.0,4.0,6.0,6.0,0.6,0.38,0.26,0.17,7.5,10576.0,4072.0,6504.0,0.0,451.0,26.9,0.38,60.0,1.0,0.0,0.0,0.0,0.0,798.0,-5.0,331.0,0.0,0.0,1560.0,1560.0,239.0,0.0,17572.0,0.0,28.0,942.0,11793.0,42.0,7.0,28.0,9.425
kingen,17.0,2.0,0.0,5.0,282.0,40.0,9.4,12639.0,420.0,20.4,28.0,10.0,7.0,7.0,6.0,0.93,0.33,0.23,0.23,9.3,11269.0,9696.0,1573.0,0.0,375.0,22.4,0.23,46.7,0.0,0.0,0.0,0.0,0.0,1313.0,35.0,794.0,1.0,0.0,6540.0,6540.0,4626.0,0.0,15827.0,0.0,15.0,373.0,17242.0,0.0,10.0,25.0,9.425
kingen,16.0,1.0,5.0,4.0,242.0,20.0,6.7,11367.0,314.0,19.4,33.0,13.0,6.0,11.0,9.0,0.91,0.36,0.3,0.17,12.3,14661.0,8378.0,5330.0,953.0,406.0,20.2,0.14,50.0,0.0,0.0,0.0,0.0,0.0,-52.0,-5.0,-468.0,-1.0,0.0,2571.0,2571.0,2039.0,0.0,39927.0,0.0,25.0,1095.0,30208.0,174.0,13.0,32.0,0.0
kingen,17.0,3.0,3.0,3.0,283.0,16.0,8.4,13075.0,388.0,21.7,39.0,8.0,14.0,4.0,4.0,1.16,0.24,0.12,0.42,14.9,15537.0,6586.0,677.0,8274.0,461.0,18.7,0.18,42.9,1.0,0.0,0.0,0.0,0.0,-1490.0,-25.0,-885.0,-1.0,0.0,4870.0,4870.0,9510.0,0.0,26206.0,0.0,14.0,219.0,26105.0,128.0,5.0,25.0,9.425
kingen,14.0,4.0,1.0,6.0,180.0,12.0,8.0,9239.0,409.0,19.3,16.0,9.0,1.0,5.0,4.0,0.71,0.4,0.22,0.04,11.1,14467.0,87.0,14323.0,57.0,641.0,19.7,0.44,43.5,0.0,1.0,0.0,0.0,0.0,22.0,4.0,432.0,1.0,0.0,1079.0,1079.0,5459.0,0.0,11805.0,0.0,18.0,278.0,16515.0,0.0,7.0,19.0,9.425
kingen,15.0,3.0,3.0,6.0,212.0,8.0,8.0,12152.0,459.0,20.9,27.0,6.0,6.0,3.0,3.0,1.02,0.23,0.11,0.23,16.6,19022.0,16778.0,2244.0,0.0,719.0,22.5,0.34,34.6,0.0,1.0,0.0,0.0,0.0,1222.0,4.0,-573.0,-1.0,0.0,4759.0,4759.0,7256.0,0.0,15978.0,0.0,29.0,358.0,22622.0,110.0,4.0,21.0,9.425
