,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Burdol,17.0,1.0,3.0,6.0,282.0,19.0,8.5,13323.0,402.0,23.7,24.0,9.0,7.0,5.0,5.0,0.72,0.27,0.15,0.21,9.9,12241.0,7393.0,2605.0,2243.0,369.0,17.3,0.21,63.6,1.0,0.0,0.0,0.0,0.0,7.0,26.0,499.0,0.0,0.0,5087.0,5087.0,2138.0,0.0,23501.0,0.0,16.0,147.0,20076.0,74.0,7.0,26.0,0.0
Burdol,18.0,0.0,3.0,1.0,350.0,49.0,8.2,15230.0,355.0,22.3,45.0,14.0,10.0,6.0,6.0,1.05,0.33,0.14,0.23,11.2,13288.0,336.0,11985.0,967.0,310.0,25.7,0.02,50.0,0.0,0.0,0.0,0.0,0.0,142.0,-10.0,23.0,0.0,0.0,3147.0,3147.0,1218.0,0.0,16483.0,0.0,8.0,237.0,18805.0,97.0,9.0,28.0,0.0
Burdol,17.0,4.0,3.0,8.0,284.0,46.0,8.7,13459.0,410.0,22.3,19.0,12.0,2.0,7.0,7.0,0.58,0.37,0.21,0.06,7.2,9686.0,6083.0,2737.0,866.0,295.0,16.3,0.37,66.7,2.0,1.0,0.0,0.0,0.0,631.0,1.0,1265.0,1.0,0.0,3195.0,3195.0,3989.0,0.0,18749.0,0.0,14.0,157.0,18533.0,85.0,9.0,32.0,3.77
Burdol,14.0,0.0,4.0,1.0,222.0,8.0,8.7,8589.0,336.0,20.0,24.0,10.0,4.0,8.0,6.0,0.94,0.39,0.31,0.16,12.9,9862.0,8066.0,1796.0,0.0,386.0,19.8,0.04,10.0,0.0,0.0,0.0,0.0,0.0,-368.0,8.0,25.0,0.0,0.0,0.0,0.0,5706.0,0.0,20417.0,0.0,10.0,26.0,26405.0,154.0,9.0,24.0,0.0
Burdol,12.0,2.0,5.0,4.0,178.0,5.0,7.1,8807.0,351.0,22.2,17.0,11.0,1.0,8.0,7.0,0.68,0.44,0.32,0.04,9.4,9886.0,8373.0,1249.0,264.0,394.0,20.2,0.24,85.7,0.0,0.0,0.0,0.0,0.0,906.0,17.0,139.0,0.0,0.0,1785.0,1785.0,6491.0,0.0,15958.0,0.0,14.0,47.0,27925.0,111.0,9.0,30.0,0.0
Burdol,18.0,0.0,1.0,6.0,280.0,16.0,6.7,13467.0,321.0,18.4,51.0,16.0,12.0,12.0,12.0,1.22,0.38,0.29,0.29,14.5,13061.0,7489.0,880.0,4692.0,311.0,14.4,0.14,37.5,0.0,0.0,0.0,0.0,0.0,-507.0,-6.0,453.0,1.0,0.0,1037.0,1037.0,8314.0,0.0,33098.0,0.0,17.0,217.0,26974.0,58.0,13.0,40.0,3.77
Burdol,18.0,2.0,4.0,3.0,309.0,24.0,7.7,15922.0,394.0,22.3,37.0,13.0,11.0,10.0,9.0,0.92,0.32,0.25,0.27,14.0,32870.0,2266.0,20766.0,9838.0,814.0,34.7,0.12,35.7,0.0,0.0,0.0,0.0,0.0,-1032.0,-7.0,336.0,0.0,0.0,7378.0,7378.0,10924.0,0.0,28180.0,0.0,8.0,71.0,36973.0,149.0,11.0,30.0,0.0
Burdol,14.0,0.0,4.0,2.0,198.0,2.0,6.4,8299.0,270.0,18.7,21.0,14.0,4.0,11.0,9.0,0.68,0.46,0.36,0.13,11.3,9834.0,2649.0,6935.0,250.0,320.0,19.9,0.07,50.0,0.0,0.0,0.0,0.0,0.0,-325.0,6.0,145.0,0.0,0.0,0.0,0.0,220.0,0.0,23673.0,0.0,33.0,668.0,21254.0,116.0,12.0,35.0,0.0
Burdol,18.0,4.0,5.0,9.0,383.0,61.0,9.6,17221.0,430.0,23.4,47.0,12.0,14.0,7.0,6.0,1.17,0.3,0.17,0.35,15.3,22607.0,15153.0,5605.0,1849.0,564.0,22.1,0.32,68.4,1.0,1.0,0.0,0.0,0.0,76.0,12.0,225.0,0.0,0.0,4553.0,4553.0,3187.0,0.0,37819.0,0.0,25.0,222.0,25388.0,137.0,9.0,37.0,3.77
Burdol,18.0,1.0,0.0,2.0,335.0,19.0,7.8,15615.0,364.0,20.4,46.0,17.0,14.0,12.0,12.0,1.07,0.4,0.28,0.33,11.3,7943.0,7054.0,889.0,0.0,185.0,8.5,0.07,25.0,0.0,0.0,0.0,0.0,0.0,164.0,-7.0,-155.0,0.0,0.0,8301.0,8301.0,17835.0,0.0,38595.0,0.0,9.0,38.0,33798.0,0.0,17.0,42.0,3.77
