,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Canyon,17.0,3.0,3.0,6.0,227.0,189.0,5.1,14271.0,318.0,19.6,77.0,20.0,25.0,13.0,13.0,1.72,0.45,0.29,0.56,21.9,14243.0,12609.0,192.0,1442.0,318.0,16.9,0.2,81.8,0.0,0.0,0.0,0.0,0.0,-111.0,17.0,134.0,0.0,1.0,0.0,0.0,33742.0,0.0,53158.0,0.0,28.0,340.0,57313.0,67.0,13.0,32.0,0.0
Canyon,13.0,4.0,1.0,5.0,153.0,141.0,6.2,10474.0,428.0,21.0,43.0,10.0,10.0,13.0,8.0,1.76,0.41,0.53,0.41,19.2,8486.0,7303.0,967.0,216.0,347.0,19.8,0.37,69.2,0.0,1.0,0.0,0.0,0.0,2365.0,17.0,566.0,0.0,0.0,2453.0,2453.0,9596.0,0.0,11198.0,0.0,11.0,178.0,17649.0,32.0,8.0,21.0,9.425
Canyon,14.0,4.0,1.0,5.0,150.0,132.0,5.7,9600.0,368.0,19.1,46.0,11.0,11.0,12.0,10.0,1.76,0.42,0.46,0.42,28.8,7951.0,5720.0,1326.0,905.0,304.0,13.2,0.34,60.0,0.0,0.0,0.0,0.0,0.0,113.0,2.0,55.0,0.0,0.0,317.0,317.0,15963.0,0.0,15616.0,0.0,11.0,135.0,25477.0,10.0,11.0,25.0,9.425
Canyon,15.0,2.0,5.0,5.0,159.0,136.0,3.8,11446.0,270.0,16.9,55.0,13.0,14.0,12.0,12.0,1.3,0.31,0.28,0.33,18.3,11907.0,8866.0,1651.0,1390.0,281.0,13.1,0.17,63.6,0.0,0.0,0.0,0.0,0.0,369.0,-7.0,-554.0,-1.0,0.0,205.0,205.0,10923.0,0.0,30671.0,0.0,11.0,170.0,36133.0,173.0,12.0,29.0,0.0
Canyon,14.0,3.0,3.0,4.0,194.0,170.0,7.5,10019.0,387.0,23.4,31.0,10.0,6.0,7.0,5.0,1.2,0.39,0.27,0.23,23.3,15556.0,14783.0,581.0,192.0,601.0,29.7,0.27,100.0,0.0,0.0,0.0,0.0,0.0,1633.0,32.0,1400.0,1.0,0.0,298.0,298.0,14845.0,0.0,20180.0,0.0,21.0,246.0,29454.0,78.0,7.0,27.0,0.0
Canyon,13.0,0.0,6.0,10.0,113.0,99.0,3.3,8482.0,249.0,14.3,51.0,14.0,12.0,13.0,12.0,1.5,0.41,0.38,0.35,19.6,13948.0,850.0,12255.0,843.0,410.0,15.9,0.29,58.8,0.0,0.0,0.0,0.0,0.0,-634.0,-9.0,-818.0,-1.0,0.0,0.0,0.0,10877.0,1442.0,24648.0,0.0,65.0,641.0,32121.0,159.0,13.0,26.0,0.0
Canyon,16.0,11.0,0.0,3.0,249.0,169.0,8.5,16157.0,554.0,27.0,83.0,28.0,21.0,7.0,6.0,2.84,0.96,0.24,0.72,33.2,20682.0,17891.0,1471.0,1320.0,709.0,24.6,0.48,66.7,0.0,0.0,2.0,0.0,0.0,2226.0,42.0,1430.0,1.0,0.0,6421.0,6421.0,14188.0,0.0,24603.0,0.0,17.0,842.0,20410.0,0.0,9.0,29.0,9.425
Canyon,14.0,2.0,2.0,10.0,132.0,113.0,4.7,9872.0,351.0,16.6,49.0,15.0,13.0,15.0,13.0,1.74,0.53,0.53,0.46,25.4,10919.0,5634.0,4571.0,714.0,388.0,13.7,0.43,57.1,0.0,0.0,0.0,0.0,0.0,537.0,-9.0,176.0,1.0,1.0,1098.0,1098.0,7269.0,0.0,25170.0,0.0,24.0,277.0,27714.0,73.0,15.0,30.0,9.425
Canyon,14.0,6.0,1.0,4.0,161.0,126.0,6.3,10726.0,423.0,20.7,45.0,10.0,10.0,16.0,8.0,1.77,0.39,0.63,0.39,21.6,9764.0,7960.0,1208.0,596.0,385.0,13.7,0.39,55.6,1.0,1.0,0.0,0.0,0.0,477.0,11.0,447.0,0.0,0.0,2952.0,2952.0,14041.0,575.0,17699.0,537.0,9.0,197.0,24281.0,36.0,8.0,24.0,9.425
Canyon,13.0,1.0,2.0,10.0,155.0,148.0,5.3,9252.0,314.0,17.7,30.0,15.0,2.0,7.0,6.0,1.02,0.51,0.24,0.07,13.1,8272.0,6523.0,1396.0,353.0,281.0,11.5,0.37,91.7,0.0,0.0,0.0,0.0,0.0,-1196.0,-34.0,-1453.0,-2.0,0.0,1544.0,1544.0,12433.0,0.0,28071.0,842.0,14.0,487.0,26734.0,37.0,7.0,23.0,9.425
Canyon,14.0,2.0,6.0,9.0,172.0,123.0,4.7,11042.0,299.0,17.8,63.0,12.0,30.0,14.0,11.0,1.71,0.33,0.38,0.81,19.9,20705.0,528.0,19232.0,945.0,561.0,28.7,0.3,100.0,0.0,0.0,0.0,0.0,0.0,-606.0,-8.0,-863.0,-1.0,2.0,99.0,99.0,9974.0,0.0,25006.0,0.0,65.0,693.0,30804.0,166.0,16.0,36.0,0.0
Canyon,17.0,3.0,2.0,10.0,255.0,205.0,7.9,14550.0,448.0,21.3,90.0,34.0,22.0,10.0,10.0,2.77,1.05,0.31,0.68,31.4,17192.0,14731.0,1582.0,879.0,530.0,22.3,0.4,76.5,0.0,1.0,0.0,0.0,0.0,1457.0,8.0,320.0,0.0,0.0,3760.0,3760.0,17432.0,0.0,24022.0,0.0,38.0,595.0,27671.0,65.0,11.0,33.0,9.425
Canyon,15.0,1.0,2.0,6.0,179.0,155.0,4.8,10924.0,296.0,16.5,59.0,13.0,19.0,13.0,11.0,1.6,0.35,0.35,0.51,19.0,10421.0,8112.0,1762.0,547.0,282.0,12.7,0.19,53.8,0.0,0.0,0.0,0.0,0.0,-429.0,-12.0,-48.0,0.0,0.0,3027.0,3027.0,13500.0,0.0,22916.0,0.0,15.0,182.0,28656.0,72.0,13.0,32.0,3.77
Canyon,13.0,4.0,0.0,8.0,151.0,131.0,5.3,10274.0,358.0,19.1,45.0,19.0,13.0,11.0,10.0,1.57,0.66,0.38,0.45,18.2,9950.0,8456.0,1340.0,154.0,347.0,13.4,0.42,85.7,0.0,0.0,0.0,0.0,0.0,-173.0,-12.0,-436.0,-1.0,0.0,610.0,610.0,14008.0,0.0,27832.0,824.0,9.0,441.0,21727.0,0.0,11.0,28.0,3.77
Canyon,12.0,3.0,6.0,3.0,119.0,104.0,3.6,9170.0,277.0,16.3,48.0,13.0,14.0,13.0,11.0,1.45,0.39,0.39,0.42,19.8,5964.0,4656.0,353.0,955.0,180.0,8.4,0.18,54.5,0.0,0.0,0.0,0.0,0.0,-469.0,-27.0,26.0,0.0,0.0,0.0,0.0,5226.0,0.0,21722.0,0.0,18.0,242.0,23280.0,176.0,15.0,32.0,0.0
Canyon,14.0,3.0,1.0,8.0,168.0,148.0,5.2,10784.0,333.0,18.4,49.0,11.0,14.0,11.0,10.0,1.51,0.34,0.34,0.43,16.6,8517.0,4061.0,4080.0,376.0,263.0,15.2,0.34,84.6,0.0,0.0,0.0,0.0,0.0,905.0,-5.0,-191.0,0.0,0.0,729.0,729.0,9905.0,240.0,30954.0,0.0,25.0,286.0,30497.0,27.0,11.0,26.0,3.77
Canyon,15.0,0.0,2.0,0.0,203.0,177.0,4.7,10953.0,256.0,16.0,59.0,15.0,16.0,13.0,13.0,1.38,0.35,0.3,0.37,14.7,4881.0,3783.0,752.0,346.0,114.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-287.0,9.0,411.0,1.0,0.0,0.0,0.0,9031.0,0.0,41076.0,0.0,19.0,1413.0,25076.0,40.0,14.0,32.0,0.0
Canyon,14.0,1.0,1.0,10.0,129.0,111.0,3.9,9146.0,279.0,15.2,50.0,13.0,13.0,11.0,11.0,1.52,0.4,0.34,0.4,19.0,5766.0,4869.0,674.0,223.0,176.0,9.7,0.34,61.1,0.0,0.0,0.0,0.0,0.0,356.0,-11.0,-82.0,0.0,0.0,1689.0,1689.0,9860.0,0.0,16724.0,0.0,12.0,133.0,21631.0,36.0,11.0,25.0,3.77
Canyon,17.0,1.0,0.0,14.0,259.0,215.0,6.8,14579.0,381.0,19.4,88.0,47.0,16.0,17.0,17.0,2.3,1.23,0.44,0.42,25.3,23059.0,524.0,20004.0,2531.0,602.0,30.5,0.39,100.0,0.0,0.0,0.0,0.0,0.0,955.0,36.0,1049.0,1.0,0.0,1515.0,1515.0,14109.0,0.0,16581.0,590.0,39.0,284.0,20027.0,0.0,18.0,34.0,3.77
Canyon,12.0,3.0,2.0,5.0,146.0,115.0,5.7,9125.0,357.0,21.2,30.0,10.0,8.0,11.0,9.0,1.17,0.39,0.43,0.31,16.1,8525.0,5974.0,1875.0,676.0,333.0,17.1,0.31,80.0,0.0,0.0,0.0,0.0,0.0,898.0,-2.0,-35.0,0.0,1.0,0.0,0.0,4568.0,0.0,19641.0,0.0,27.0,1005.0,14500.0,50.0,11.0,29.0,0.0
Canyon,12.0,2.0,3.0,4.0,125.0,118.0,5.0,8396.0,335.0,21.1,32.0,11.0,7.0,11.0,9.0,1.28,0.44,0.44,0.28,17.8,8585.0,6980.0,965.0,640.0,342.0,17.5,0.24,85.7,0.0,0.0,0.0,0.0,0.0,-1054.0,-1.0,-229.0,-1.0,0.0,311.0,311.0,8015.0,0.0,15221.0,0.0,8.0,153.0,22211.0,90.0,11.0,27.0,0.0
Canyon,16.0,2.0,2.0,10.0,195.0,177.0,4.7,12806.0,305.0,17.5,64.0,19.0,16.0,18.0,18.0,1.53,0.45,0.43,0.38,18.2,9593.0,7944.0,961.0,688.0,229.0,10.6,0.29,75.0,0.0,0.0,0.0,0.0,0.0,-110.0,-3.0,635.0,1.0,0.0,1462.0,1462.0,14858.0,0.0,30962.0,0.0,16.0,112.0,35795.0,64.0,21.0,45.0,3.77
Canyon,17.0,4.0,3.0,6.0,215.0,189.0,5.3,13727.0,340.0,19.3,54.0,17.0,12.0,20.0,15.0,1.34,0.42,0.5,0.3,20.4,9730.0,8080.0,1461.0,189.0,241.0,10.3,0.25,71.4,0.0,1.0,0.0,0.0,0.0,-493.0,1.0,528.0,1.0,0.0,882.0,882.0,10502.0,0.0,41557.0,0.0,21.0,300.0,25884.0,48.0,20.0,46.0,0.0
Canyon,12.0,1.0,3.0,2.0,140.0,115.0,4.6,7911.0,258.0,17.8,34.0,12.0,13.0,10.0,10.0,1.11,0.39,0.33,0.42,18.3,6192.0,4863.0,953.0,376.0,202.0,12.5,0.1,75.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,106.0,0.0,0.0,0.0,0.0,9851.0,0.0,16417.0,0.0,8.0,190.0,23021.0,109.0,10.0,24.0,0.0
Canyon,15.0,2.0,1.0,13.0,155.0,121.0,3.9,10967.0,274.0,14.9,58.0,21.0,23.0,18.0,18.0,1.45,0.52,0.45,0.57,18.9,9870.0,6815.0,2057.0,998.0,246.0,9.6,0.37,78.9,0.0,0.0,0.0,0.0,0.0,24.0,-2.0,177.0,1.0,0.0,1936.0,1936.0,7614.0,0.0,26985.0,0.0,30.0,1391.0,23505.0,42.0,19.0,34.0,3.77
Canyon,16.0,2.0,2.0,5.0,191.0,169.0,4.5,12471.0,291.0,16.3,68.0,24.0,13.0,20.0,20.0,1.59,0.56,0.47,0.3,16.7,10999.0,8982.0,1405.0,612.0,257.0,11.8,0.16,58.3,0.0,0.0,0.0,0.0,0.0,-1008.0,-35.0,-1056.0,-1.0,1.0,1900.0,1900.0,17917.0,0.0,30193.0,0.0,11.0,173.0,36863.0,65.0,20.0,43.0,3.77
Canyon,14.0,3.0,3.0,3.0,158.0,141.0,5.1,9951.0,319.0,20.2,30.0,13.0,3.0,13.0,10.0,0.96,0.42,0.42,0.1,15.1,7245.0,5955.0,741.0,549.0,232.0,10.0,0.19,85.7,0.0,0.0,0.0,0.0,0.0,-1290.0,-17.0,-561.0,0.0,0.0,0.0,0.0,5338.0,0.0,23318.0,0.0,15.0,260.0,19114.0,73.0,14.0,35.0,0.0
Canyon,12.0,2.0,6.0,2.0,145.0,133.0,4.6,8749.0,278.0,18.1,40.0,14.0,8.0,14.0,12.0,1.27,0.45,0.45,0.25,17.3,8839.0,7931.0,359.0,549.0,281.0,16.0,0.13,80.0,0.0,0.0,0.0,0.0,0.0,262.0,2.0,188.0,0.0,0.0,0.0,0.0,10912.0,0.0,20748.0,0.0,17.0,512.0,29461.0,228.0,14.0,31.0,0.0
Canyon,17.0,5.0,5.0,12.0,223.0,158.0,5.5,13617.0,334.0,17.6,51.0,28.0,13.0,15.0,14.0,1.25,0.69,0.37,0.32,17.7,18649.0,13689.0,2847.0,2113.0,457.0,15.4,0.42,89.5,0.0,0.0,0.0,0.0,0.0,319.0,18.0,932.0,1.0,0.0,1404.0,1404.0,17260.0,0.0,52434.0,1253.0,31.0,667.0,43859.0,168.0,17.0,37.0,3.77
Canyon,17.0,2.0,1.0,10.0,215.0,175.0,5.2,13764.0,330.0,18.5,68.0,17.0,14.0,26.0,15.0,1.63,0.41,0.62,0.34,20.9,6380.0,4729.0,1285.0,366.0,153.0,6.4,0.29,85.7,0.0,0.0,0.0,0.0,0.0,-40.0,12.0,422.0,0.0,0.0,2039.0,2039.0,18733.0,0.0,40043.0,0.0,13.0,240.0,29100.0,37.0,16.0,38.0,3.77
Canyon,14.0,1.0,2.0,2.0,155.0,139.0,3.9,9608.0,240.0,15.7,57.0,17.0,15.0,20.0,16.0,1.43,0.43,0.5,0.38,19.5,4520.0,3564.0,900.0,56.0,113.0,6.3,0.08,42.9,0.0,0.0,0.0,0.0,0.0,-1258.0,-13.0,-620.0,-1.0,0.0,0.0,0.0,10989.0,0.0,21449.0,0.0,8.0,171.0,27124.0,46.0,17.0,35.0,0.0
Canyon,18.0,9.0,5.0,20.0,254.0,241.0,6.4,18474.0,462.0,22.6,33.0,9.0,6.0,7.0,7.0,0.83,0.23,0.18,0.15,10.2,51881.0,82.0,45371.0,6428.0,1298.0,40.8,0.73,87.9,0.0,2.0,0.0,0.0,0.0,1496.0,18.0,1391.0,1.0,0.0,418.0,418.0,11701.0,0.0,15293.0,0.0,29.0,250.0,30823.0,260.0,9.0,30.0,3.77
Canyon,13.0,2.0,2.0,0.0,164.0,138.0,5.9,9050.0,328.0,19.9,53.0,10.0,21.0,10.0,9.0,1.92,0.36,0.36,0.76,30.1,5940.0,4092.0,1332.0,516.0,215.0,19.1,0.07,50.0,0.0,0.0,0.0,0.0,0.0,-879.0,8.0,-1401.0,-1.0,0.0,1475.0,1475.0,11117.0,0.0,17316.0,0.0,12.0,384.0,23556.0,73.0,10.0,29.0,0.0
