,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Kellin,15.0,0.0,3.0,5.0,10.0,0.0,0.2,8607.0,192.0,11.8,120.0,80.0,8.0,24.0,22.0,2.68,1.78,0.54,0.18,34.2,4878.0,731.0,3201.0,946.0,109.0,5.8,0.11,45.5,0.0,0.0,0.0,0.0,0.0,279.0,1.0,765.0,1.0,0.0,308.0,308.0,1242.0,0.0,12610.0,8432.0,15.0,222.0,15654.0,65.0,26.0,40.0,0.0
Kellin,11.0,0.0,0.0,8.0,9.0,0.0,0.4,6752.0,276.0,13.6,87.0,64.0,6.0,12.0,12.0,3.55,2.61,0.49,0.25,38.8,3608.0,897.0,2521.0,190.0,147.0,8.4,0.33,61.5,0.0,0.0,0.0,0.0,0.0,828.0,-7.0,-259.0,0.0,0.0,1430.0,1430.0,798.0,0.0,4069.0,1486.0,17.0,212.0,4210.0,0.0,14.0,27.0,9.425
Kellin,12.0,0.0,0.0,12.0,12.0,0.0,0.5,6887.0,264.0,13.7,48.0,29.0,7.0,9.0,9.0,1.84,1.11,0.34,0.27,30.0,6394.0,1102.0,4321.0,971.0,245.0,10.6,0.46,80.0,0.0,0.0,0.0,0.0,0.0,705.0,2.0,565.0,0.0,0.0,1070.0,1070.0,756.0,0.0,3354.0,2701.0,25.0,217.0,5451.0,0.0,11.0,24.0,9.425
Kellin,14.0,2.0,4.0,8.0,14.0,0.0,0.3,9211.0,218.0,13.6,114.0,62.0,10.0,21.0,19.0,2.69,1.46,0.5,0.24,37.9,7610.0,844.0,6608.0,158.0,180.0,8.3,0.24,90.9,0.0,0.0,0.0,0.0,0.0,493.0,2.0,-559.0,-1.0,0.0,582.0,582.0,11782.0,9244.0,7769.0,2892.0,33.0,149.0,12597.0,103.0,23.0,38.0,0.0
Kellin,10.0,0.0,2.0,5.0,5.0,0.0,0.2,5191.0,201.0,12.1,48.0,33.0,1.0,10.0,9.0,1.85,1.27,0.39,0.04,36.1,6009.0,786.0,5223.0,0.0,232.0,11.5,0.19,71.4,0.0,0.0,0.0,0.0,0.0,-477.0,-4.0,-653.0,-1.0,0.0,195.0,195.0,6155.0,3805.0,3473.0,1136.0,24.0,128.0,7846.0,51.0,12.0,24.0,0.0
Kellin,12.0,0.0,8.0,8.0,33.0,0.0,1.0,7366.0,216.0,12.4,87.0,58.0,10.0,20.0,19.0,2.56,1.7,0.59,0.29,33.5,6005.0,1311.0,3232.0,1462.0,176.0,6.9,0.23,47.1,0.0,0.0,0.0,0.0,0.0,-216.0,6.0,758.0,1.0,0.0,0.0,0.0,318.0,367.0,20877.0,724.0,41.0,138.0,18633.0,203.0,22.0,36.0,0.0
Kellin,13.0,1.0,1.0,16.0,7.0,0.0,0.2,7951.0,272.0,13.3,77.0,55.0,6.0,17.0,17.0,2.64,1.88,0.58,0.21,30.8,5925.0,781.0,4322.0,822.0,203.0,7.0,0.58,81.0,0.0,0.0,0.0,0.0,0.0,898.0,-4.0,44.0,0.0,0.0,607.0,607.0,1560.0,888.0,6078.0,4246.0,27.0,191.0,8616.0,37.0,19.0,33.0,9.425
Kellin,13.0,3.0,0.0,14.0,17.0,0.0,0.6,8858.0,315.0,14.9,71.0,49.0,5.0,12.0,14.0,2.53,1.74,0.43,0.18,36.8,6567.0,1072.0,4200.0,1295.0,234.0,8.2,0.6,81.0,1.0,0.0,0.0,0.0,0.0,468.0,7.0,-40.0,0.0,0.0,680.0,680.0,2096.0,0.0,8993.0,3181.0,18.0,240.0,11850.0,0.0,17.0,29.0,9.425
Kellin,12.0,1.0,0.0,12.0,6.0,0.0,0.2,7520.0,296.0,14.5,60.0,30.0,4.0,9.0,8.0,2.36,1.18,0.35,0.16,28.8,6203.0,387.0,5816.0,0.0,244.0,8.7,0.51,72.2,0.0,0.0,0.0,0.0,0.0,588.0,-10.0,199.0,0.0,0.0,2693.0,2693.0,8280.0,7235.0,1456.0,1051.0,23.0,161.0,3080.0,0.0,11.0,24.0,9.425
Kellin,11.0,1.0,1.0,9.0,18.0,0.0,0.6,6937.0,235.0,13.3,105.0,61.0,14.0,14.0,14.0,3.56,2.07,0.48,0.48,45.9,5238.0,1038.0,3711.0,489.0,178.0,7.3,0.34,83.3,0.0,0.0,0.0,0.0,0.0,1167.0,-9.0,-6.0,0.0,0.0,908.0,908.0,1051.0,0.0,6929.0,3284.0,22.0,169.0,9206.0,14.0,16.0,29.0,9.425
