,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Nuguri,18.0,4.0,4.0,3.0,341.0,28.0,7.6,16156.0,360.0,22.2,52.0,10.0,15.0,7.0,6.0,1.16,0.22,0.16,0.33,14.8,16818.0,14985.0,1833.0,0.0,375.0,19.9,0.16,63.6,0.0,0.0,0.0,0.0,0.0,351.0,8.0,137.0,0.0,0.0,1338.0,1338.0,8000.0,0.0,29644.0,0.0,20.0,141.0,34988.0,161.0,8.0,33.0,0.0
Nuguri,15.0,2.0,1.0,3.0,216.0,16.0,8.8,10897.0,445.0,21.9,16.0,6.0,1.0,3.0,3.0,0.65,0.25,0.12,0.04,7.1,7183.0,6593.0,590.0,0.0,293.0,16.7,0.2,38.5,0.0,0.0,0.0,0.0,0.0,1000.0,17.0,1039.0,0.0,0.0,7114.0,7114.0,3742.0,0.0,8762.0,0.0,9.0,33.0,13100.0,41.0,4.0,19.0,9.425
Nuguri,15.0,4.0,1.0,8.0,211.0,8.0,8.1,11495.0,440.0,22.9,19.0,5.0,4.0,3.0,3.0,0.73,0.19,0.11,0.15,11.9,16369.0,8582.0,6726.0,1061.0,627.0,27.2,0.46,80.0,0.0,1.0,0.0,0.0,0.0,1192.0,-2.0,327.0,0.0,0.0,5044.0,5044.0,3707.0,0.0,25317.0,0.0,26.0,553.0,20937.0,42.0,4.0,23.0,9.425
Nuguri,18.0,2.0,3.0,7.0,265.0,15.0,6.3,13293.0,314.0,19.6,28.0,9.0,4.0,5.0,5.0,0.66,0.21,0.12,0.09,9.3,17115.0,2494.0,13987.0,634.0,404.0,18.8,0.21,81.8,0.0,0.0,0.0,0.0,0.0,278.0,-5.0,-201.0,0.0,0.0,2124.0,2124.0,19286.0,0.0,53857.0,0.0,46.0,568.0,38735.0,73.0,7.0,24.0,0.0
Nuguri,14.0,2.0,5.0,2.0,192.0,8.0,7.4,9417.0,364.0,22.0,22.0,9.0,6.0,5.0,5.0,0.85,0.35,0.19,0.23,16.5,12062.0,2139.0,9923.0,0.0,466.0,23.0,0.15,57.1,0.0,1.0,0.0,0.0,0.0,-267.0,-13.0,-381.0,0.0,0.0,2758.0,2758.0,5756.0,0.0,20175.0,0.0,35.0,405.0,21476.0,161.0,7.0,25.0,0.0
Nuguri,15.0,1.0,8.0,2.0,248.0,56.0,7.3,11541.0,339.0,19.5,37.0,11.0,5.0,7.0,7.0,1.09,0.32,0.21,0.15,14.2,15872.0,10013.0,5589.0,270.0,466.0,18.1,0.09,17.6,1.0,0.0,0.0,0.0,0.0,-512.0,-13.0,-1335.0,-1.0,0.0,0.0,0.0,3386.0,0.0,21254.0,0.0,11.0,103.0,24546.0,218.0,8.0,30.0,0.0
Nuguri,15.0,1.0,3.0,9.0,188.0,12.0,6.4,9999.0,343.0,16.7,36.0,14.0,6.0,10.0,10.0,1.23,0.48,0.34,0.21,14.4,16311.0,633.0,15678.0,0.0,559.0,19.4,0.34,47.6,1.0,0.0,0.0,0.0,0.0,-1022.0,-9.0,-332.0,-1.0,0.0,686.0,686.0,11108.0,0.0,16295.0,0.0,32.0,388.0,25871.0,113.0,12.0,31.0,9.425
Nuguri,16.0,2.0,1.0,2.0,270.0,39.0,9.6,12462.0,443.0,21.0,24.0,10.0,2.0,7.0,5.0,0.85,0.36,0.25,0.07,12.4,15410.0,15148.0,72.0,190.0,548.0,19.3,0.14,19.0,0.0,0.0,0.0,0.0,0.0,1471.0,38.0,534.0,0.0,0.0,8298.0,8298.0,7817.0,0.0,17898.0,0.0,18.0,179.0,16731.0,48.0,8.0,28.0,9.425
Nuguri,15.0,3.0,1.0,5.0,197.0,14.0,7.8,10840.0,427.0,20.9,23.0,7.0,5.0,5.0,5.0,0.91,0.28,0.2,0.2,11.1,16868.0,8787.0,7369.0,712.0,665.0,23.6,0.32,44.4,2.0,0.0,0.0,0.0,0.0,-191.0,-11.0,676.0,1.0,0.0,8047.0,8047.0,2755.0,0.0,23440.0,0.0,31.0,938.0,18216.0,21.0,6.0,20.0,9.425
Nuguri,15.0,6.0,2.0,2.0,247.0,25.0,8.4,12570.0,427.0,24.1,31.0,10.0,6.0,7.0,6.0,1.05,0.34,0.24,0.2,13.5,22013.0,19889.0,1790.0,334.0,747.0,30.7,0.27,66.7,1.0,1.0,0.0,0.0,0.0,749.0,-4.0,-406.0,-1.0,0.0,4687.0,4687.0,2554.0,0.0,9044.0,0.0,6.0,177.0,11077.0,51.0,8.0,28.0,9.425
Nuguri,17.0,0.0,4.0,0.0,290.0,29.0,7.9,12473.0,338.0,20.1,43.0,12.0,9.0,8.0,8.0,1.17,0.33,0.22,0.24,13.6,10456.0,9761.0,695.0,0.0,283.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,-3.0,-440.0,0.0,0.0,1616.0,1616.0,10023.0,0.0,29943.0,0.0,18.0,57.0,33212.0,134.0,9.0,27.0,0.0
Nuguri,18.0,3.0,2.0,8.0,305.0,24.0,9.4,15182.0,468.0,22.2,31.0,9.0,8.0,5.0,5.0,0.96,0.28,0.15,0.25,10.8,21650.0,11725.0,1533.0,8392.0,667.0,28.0,0.34,64.7,0.0,1.0,0.0,0.0,0.0,780.0,12.0,672.0,1.0,0.0,6226.0,6226.0,11796.0,0.0,29403.0,0.0,24.0,282.0,33217.0,45.0,7.0,30.0,9.425
Nuguri,18.0,4.0,1.0,6.0,316.0,59.0,8.6,15329.0,415.0,23.1,54.0,11.0,17.0,8.0,8.0,1.46,0.3,0.22,0.46,17.4,18407.0,17496.0,657.0,254.0,498.0,22.4,0.27,76.9,0.0,1.0,0.0,0.0,0.0,1025.0,46.0,996.0,0.0,0.0,6145.0,6145.0,13826.0,0.0,25397.0,0.0,24.0,346.0,26460.0,38.0,9.0,26.0,3.77
Nuguri,15.0,2.0,0.0,7.0,234.0,10.0,8.2,11969.0,418.0,22.2,38.0,12.0,13.0,7.0,7.0,1.33,0.42,0.24,0.45,15.4,16724.0,1264.0,11072.0,4388.0,583.0,22.5,0.31,64.3,0.0,0.0,0.0,0.0,0.0,633.0,24.0,616.0,1.0,0.0,10511.0,10511.0,8203.0,0.0,14246.0,0.0,5.0,54.0,16690.0,0.0,9.0,27.0,3.77
Nuguri,17.0,2.0,0.0,3.0,320.0,52.0,9.9,12801.0,395.0,21.9,44.0,12.0,11.0,6.0,6.0,1.36,0.37,0.19,0.34,14.9,11145.0,11145.0,0.0,0.0,344.0,19.9,0.15,38.5,0.0,0.0,0.0,0.0,0.0,849.0,28.0,878.0,0.0,0.0,2989.0,2989.0,6982.0,0.0,11187.0,0.0,11.0,216.0,11735.0,0.0,7.0,25.0,3.77
Nuguri,18.0,3.0,4.0,7.0,331.0,27.0,8.6,16259.0,425.0,21.6,47.0,11.0,11.0,8.0,8.0,1.23,0.29,0.21,0.29,13.5,15829.0,12501.0,2720.0,608.0,413.0,20.9,0.26,66.7,0.0,1.0,0.0,0.0,0.0,420.0,-2.0,-250.0,-1.0,0.0,4560.0,4560.0,13514.0,0.0,33943.0,0.0,16.0,79.0,33575.0,174.0,9.0,27.0,3.77
Nuguri,14.0,0.0,6.0,3.0,197.0,10.0,6.3,8543.0,274.0,17.4,27.0,12.0,4.0,7.0,7.0,0.86,0.38,0.22,0.13,13.6,21297.0,6172.0,15125.0,0.0,682.0,29.5,0.1,42.9,0.0,0.0,0.0,0.0,0.0,-416.0,0.0,-173.0,0.0,0.0,0.0,0.0,1794.0,0.0,35909.0,0.0,48.0,1340.0,33582.0,189.0,8.0,30.0,0.0
Nuguri,15.0,0.0,3.0,2.0,235.0,4.0,7.5,9548.0,304.0,19.7,37.0,10.0,9.0,5.0,5.0,1.18,0.32,0.16,0.29,16.0,10329.0,6368.0,3961.0,0.0,329.0,18.7,0.06,40.0,0.0,0.0,0.0,0.0,0.0,-207.0,-15.0,-266.0,0.0,0.0,0.0,0.0,1257.0,0.0,24644.0,0.0,18.0,757.0,23784.0,96.0,6.0,25.0,0.0
