,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
ShowMaker,18.0,2.0,5.0,7.0,300.0,8.0,6.7,14500.0,323.0,19.9,46.0,29.0,10.0,20.0,17.0,1.03,0.65,0.45,0.22,13.1,24604.0,526.0,23598.0,480.0,549.0,29.1,0.2,81.8,0.0,0.0,0.0,0.0,0.0,-986.0,-7.0,-459.0,0.0,0.0,0.0,0.0,1235.0,0.0,14283.0,0.0,31.0,285.0,22753.0,179.0,24.0,48.0,0.0
ShowMaker,14.0,3.0,0.0,4.0,198.0,12.0,8.1,10033.0,410.0,20.1,51.0,22.0,14.0,11.0,9.0,2.08,0.9,0.45,0.57,22.8,12851.0,1253.0,11598.0,0.0,525.0,30.0,0.29,53.8,0.0,1.0,0.0,0.0,0.0,184.0,-9.0,389.0,0.0,0.0,1324.0,1324.0,2173.0,0.0,5753.0,0.0,12.0,34.0,10873.0,0.0,11.0,25.0,9.425
ShowMaker,15.0,3.0,0.0,9.0,236.0,12.0,9.0,10786.0,413.0,21.5,19.0,13.0,2.0,6.0,6.0,0.73,0.5,0.23,0.08,11.9,17825.0,1408.0,15798.0,619.0,683.0,29.6,0.46,80.0,1.0,0.0,0.0,0.0,0.0,478.0,9.0,672.0,1.0,0.0,2744.0,2744.0,7402.0,0.0,9495.0,0.0,26.0,166.0,16209.0,0.0,6.0,22.0,9.425
ShowMaker,17.0,3.0,3.0,5.0,327.0,15.0,7.7,15885.0,375.0,23.4,50.0,25.0,8.0,10.0,10.0,1.18,0.59,0.24,0.19,16.6,30676.0,868.0,28965.0,843.0,725.0,33.6,0.19,72.7,0.0,1.0,0.0,0.0,0.0,-1269.0,-17.0,-329.0,0.0,0.0,2639.0,2639.0,1878.0,0.0,14148.0,0.0,12.0,275.0,16176.0,68.0,13.0,30.0,0.0
ShowMaker,13.0,0.0,4.0,5.0,188.0,2.0,7.3,8979.0,347.0,21.0,17.0,7.0,3.0,3.0,2.0,0.66,0.27,0.12,0.12,12.8,9792.0,1211.0,8391.0,190.0,378.0,18.7,0.19,71.4,0.0,0.0,0.0,0.0,0.0,881.0,19.0,1448.0,2.0,0.0,2224.0,2224.0,326.0,0.0,7969.0,0.0,25.0,195.0,11410.0,145.0,3.0,21.0,0.0
ShowMaker,16.0,6.0,1.0,5.0,239.0,16.0,7.0,13486.0,396.0,22.8,57.0,29.0,12.0,10.0,8.0,1.67,0.85,0.29,0.35,21.9,22396.0,2567.0,19454.0,375.0,658.0,25.6,0.32,64.7,2.0,0.0,0.0,0.0,0.0,648.0,17.0,763.0,1.0,0.0,727.0,727.0,4737.0,0.0,13961.0,0.0,22.0,106.0,21060.0,54.0,12.0,31.0,0.0
ShowMaker,17.0,1.0,0.0,11.0,273.0,16.0,9.4,12974.0,445.0,21.7,33.0,18.0,6.0,8.0,8.0,1.13,0.62,0.27,0.21,13.2,21708.0,1859.0,19747.0,102.0,744.0,25.8,0.41,57.1,1.0,0.0,0.0,0.0,0.0,414.0,8.0,349.0,1.0,0.0,5997.0,5997.0,3899.0,0.0,11438.0,0.0,23.0,125.0,17005.0,0.0,11.0,29.0,9.425
ShowMaker,16.0,5.0,1.0,6.0,266.0,34.0,9.5,13034.0,464.0,22.0,27.0,12.0,6.0,10.0,10.0,0.96,0.43,0.36,0.21,14.0,26311.0,92.0,26073.0,146.0,936.0,33.0,0.39,52.4,1.0,0.0,0.0,0.0,0.0,629.0,8.0,393.0,1.0,0.0,4539.0,4539.0,7412.0,0.0,15878.0,0.0,27.0,435.0,18970.0,38.0,12.0,29.0,9.425
ShowMaker,14.0,3.0,0.0,6.0,185.0,16.0,7.3,10301.0,406.0,19.8,57.0,26.0,14.0,9.0,9.0,2.25,1.02,0.35,0.55,27.4,17358.0,1301.0,15871.0,186.0,684.0,24.3,0.35,50.0,0.0,0.0,0.0,0.0,0.0,416.0,8.0,522.0,1.0,0.0,1705.0,1705.0,2257.0,0.0,5675.0,0.0,10.0,51.0,10766.0,0.0,11.0,22.0,9.425
ShowMaker,16.0,2.0,1.0,3.0,273.0,12.0,9.3,11789.0,400.0,22.6,34.0,17.0,6.0,7.0,7.0,1.15,0.58,0.24,0.2,14.8,15768.0,19.0,15528.0,221.0,535.0,22.0,0.17,41.7,0.0,0.0,0.0,0.0,0.0,84.0,22.0,794.0,1.0,0.0,5124.0,5124.0,1592.0,0.0,7973.0,0.0,10.0,187.0,11085.0,30.0,10.0,26.0,9.425
