,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
deokdam,18.0,2.0,3.0,2.0,466.0,56.0,10.4,19210.0,428.0,26.4,56.0,20.0,17.0,7.0,7.0,1.25,0.45,0.16,0.38,16.0,23877.0,22208.0,1184.0,485.0,532.0,28.3,0.09,36.4,0.0,0.0,0.0,0.0,0.0,708.0,2.0,-506.0,-1.0,0.0,5526.0,5526.0,5040.0,1055.0,37417.0,0.0,11.0,172.0,19947.0,78.0,12.0,30.0,0.0
deokdam,14.0,4.0,0.0,3.0,255.0,23.0,10.4,11639.0,475.0,23.4,27.0,10.0,8.0,3.0,3.0,1.1,0.41,0.12,0.33,12.1,10769.0,10033.0,670.0,66.0,440.0,25.1,0.29,53.8,0.0,0.0,1.0,0.0,0.0,659.0,-4.0,393.0,0.0,0.0,8839.0,8839.0,3613.0,248.0,4654.0,0.0,6.0,144.0,6268.0,0.0,6.0,19.0,9.425
deokdam,13.0,4.0,0.0,5.0,243.0,31.0,9.3,11431.0,438.0,22.8,28.0,10.0,11.0,3.0,3.0,1.07,0.38,0.11,0.42,17.5,11625.0,9920.0,1355.0,350.0,445.0,19.3,0.34,60.0,0.0,1.0,0.0,0.0,0.0,763.0,19.0,-90.0,0.0,0.0,6226.0,6226.0,2922.0,694.0,8398.0,0.0,10.0,167.0,6867.0,0.0,7.0,16.0,9.425
deokdam,16.0,2.0,2.0,6.0,380.0,39.0,9.0,18045.0,426.0,26.6,54.0,18.0,18.0,4.0,4.0,1.28,0.43,0.09,0.43,17.9,23870.0,14448.0,7293.0,2129.0,564.0,26.2,0.19,72.7,0.0,0.0,0.0,0.0,0.0,1016.0,15.0,640.0,1.0,0.0,3629.0,3629.0,1932.0,0.0,15695.0,0.0,4.0,102.0,19552.0,52.0,8.0,28.0,0.0
deokdam,12.0,2.0,3.0,1.0,225.0,16.0,8.7,9192.0,355.0,21.5,15.0,9.0,3.0,4.0,2.0,0.58,0.35,0.15,0.12,11.3,8957.0,5714.0,3024.0,219.0,346.0,17.1,0.12,42.9,0.0,0.0,0.0,0.0,0.0,-1136.0,-30.0,-506.0,-1.0,0.0,418.0,418.0,627.0,0.0,6219.0,0.0,0.0,26.0,11086.0,89.0,7.0,21.0,0.0
deokdam,15.0,10.0,5.0,4.0,291.0,31.0,8.5,18322.0,538.0,31.0,28.0,10.0,6.0,2.0,1.0,0.82,0.29,0.06,0.18,10.8,29339.0,26391.0,1600.0,1348.0,862.0,33.5,0.41,82.4,0.0,2.0,0.0,0.0,0.0,3939.0,35.0,1982.0,2.0,0.0,9713.0,9713.0,4966.0,1058.0,14469.0,0.0,8.0,143.0,19687.0,147.0,4.0,23.0,0.0
deokdam,14.0,7.0,2.0,8.0,209.0,19.0,7.2,12781.0,438.0,21.4,21.0,11.0,4.0,3.0,2.0,0.72,0.38,0.1,0.14,8.4,19582.0,17391.0,1897.0,294.0,671.0,23.3,0.51,71.4,0.0,2.0,0.0,0.0,0.0,489.0,-14.0,410.0,1.0,0.0,9298.0,9298.0,1579.0,136.0,12530.0,0.0,10.0,108.0,14150.0,40.0,7.0,23.0,9.425
deokdam,14.0,9.0,4.0,4.0,220.0,20.0,7.8,15148.0,539.0,25.5,22.0,9.0,4.0,2.0,0.0,0.78,0.32,0.07,0.14,11.4,20599.0,18095.0,391.0,2113.0,733.0,25.8,0.46,61.9,0.0,2.0,0.0,0.0,0.0,-441.0,-22.0,198.0,0.0,0.0,6979.0,6979.0,915.0,0.0,9753.0,0.0,5.0,47.0,16875.0,70.0,8.0,26.0,9.425
deokdam,13.0,5.0,0.0,7.0,228.0,12.0,9.0,12516.0,493.0,24.1,23.0,9.0,3.0,2.0,1.0,0.91,0.35,0.08,0.12,11.1,21133.0,13290.0,6756.0,1087.0,833.0,29.6,0.47,66.7,0.0,1.0,0.0,0.0,0.0,1278.0,25.0,529.0,1.0,0.0,7763.0,7763.0,630.0,0.0,4910.0,0.0,1.0,35.0,8896.0,0.0,5.0,17.0,9.425
deokdam,14.0,2.0,2.0,8.0,235.0,20.0,8.0,11678.0,396.0,22.4,29.0,13.0,7.0,4.0,4.0,0.98,0.44,0.14,0.24,12.7,20352.0,15792.0,1195.0,3365.0,691.0,28.4,0.34,83.3,0.0,0.0,0.0,0.0,0.0,501.0,6.0,-128.0,0.0,0.0,7493.0,7493.0,1891.0,838.0,15017.0,0.0,14.0,180.0,11671.0,21.0,5.0,20.0,9.425
