,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Chovy,17.0,1.0,2.0,4.0,321.0,28.0,8.5,13160.0,348.0,21.8,61.0,20.0,12.0,8.0,7.0,1.61,0.53,0.21,0.32,19.4,10542.0,1544.0,8940.0,58.0,279.0,20.0,0.13,62.5,0.0,0.0,0.0,0.0,0.0,-604.0,-13.0,-483.0,0.0,0.0,167.0,167.0,4115.0,290.0,8085.0,0.0,22.0,87.0,15289.0,32.0,10.0,28.0,0.0
Chovy,16.0,1.0,4.0,2.0,292.0,16.0,9.7,11605.0,385.0,24.2,39.0,14.0,9.0,3.0,3.0,1.29,0.46,0.1,0.3,16.2,17349.0,1096.0,16253.0,0.0,576.0,32.1,0.1,60.0,0.0,0.0,0.0,0.0,0.0,-471.0,-5.0,-278.0,0.0,0.0,3662.0,3662.0,67.0,0.0,8457.0,0.0,9.0,225.0,13037.0,103.0,7.0,24.0,0.0
Chovy,18.0,1.0,1.0,0.0,357.0,4.0,9.1,15749.0,400.0,25.1,31.0,4.0,13.0,0.0,0.0,0.79,0.1,0.0,0.33,10.4,15704.0,484.0,14509.0,711.0,399.0,22.8,0.03,33.3,1.0,0.0,0.0,0.0,0.0,-740.0,-21.0,111.0,0.0,0.0,6387.0,6387.0,4508.0,0.0,21664.0,0.0,23.0,611.0,24962.0,53.0,2.0,24.0,0.0
Chovy,16.0,2.0,0.0,4.0,298.0,23.0,10.1,13059.0,440.0,22.3,43.0,11.0,15.0,8.0,7.0,1.45,0.37,0.27,0.51,18.3,7685.0,99.0,7216.0,370.0,259.0,16.0,0.2,50.0,1.0,0.0,0.0,0.0,0.0,261.0,8.0,225.0,0.0,0.0,8751.0,8751.0,342.0,0.0,6275.0,0.0,9.0,424.0,10192.0,0.0,11.0,30.0,9.425
Chovy,18.0,7.0,2.0,6.0,383.0,52.0,8.5,19450.0,434.0,23.8,72.0,22.0,13.0,6.0,6.0,1.61,0.49,0.13,0.29,17.3,36152.0,486.0,35616.0,50.0,806.0,29.8,0.29,72.2,0.0,1.0,0.0,0.0,0.0,986.0,7.0,459.0,0.0,0.0,2175.0,2175.0,649.0,0.0,18321.0,0.0,16.0,497.0,14506.0,56.0,8.0,29.0,9.425
Chovy,14.0,1.0,1.0,1.0,223.0,12.0,9.1,8654.0,353.0,23.3,22.0,11.0,7.0,3.0,3.0,0.9,0.45,0.12,0.29,14.4,9302.0,573.0,8729.0,0.0,380.0,29.5,0.08,100.0,0.0,0.0,0.0,0.0,0.0,-184.0,9.0,-389.0,0.0,0.0,0.0,0.0,47.0,0.0,6654.0,0.0,4.0,150.0,10591.0,0.0,3.0,17.0,0.0
Chovy,15.0,1.0,4.0,0.0,258.0,12.0,9.9,10237.0,392.0,25.8,43.0,13.0,8.0,4.0,4.0,1.65,0.5,0.15,0.31,22.6,15514.0,42.0,14908.0,564.0,594.0,32.8,0.04,50.0,0.0,0.0,0.0,0.0,0.0,-478.0,-9.0,-672.0,-1.0,0.0,6470.0,6470.0,436.0,0.0,8612.0,0.0,8.0,237.0,14763.0,121.0,6.0,25.0,0.0
Chovy,18.0,7.0,0.0,5.0,425.0,72.0,10.0,19814.0,468.0,26.2,55.0,8.0,13.0,6.0,5.0,1.3,0.19,0.14,0.31,15.4,24963.0,14887.0,5952.0,4124.0,590.0,27.5,0.28,70.6,0.0,1.0,0.0,0.0,0.0,1269.0,17.0,329.0,0.0,0.0,7977.0,7977.0,2495.0,0.0,47275.0,0.0,26.0,219.0,23271.0,0.0,8.0,28.0,9.425
Chovy,15.0,11.0,3.0,3.0,233.0,13.0,9.0,13792.0,533.0,26.9,36.0,7.0,5.0,3.0,1.0,1.39,0.27,0.12,0.19,17.9,14864.0,678.0,14186.0,0.0,574.0,24.9,0.54,82.4,0.0,1.0,2.0,0.0,0.0,-881.0,-19.0,-1448.0,-2.0,0.0,5037.0,5037.0,2130.0,178.0,9064.0,0.0,16.0,73.0,15772.0,82.0,3.0,20.0,9.425
Chovy,16.0,7.0,0.0,7.0,248.0,32.0,10.2,12644.0,522.0,24.9,21.0,5.0,4.0,2.0,2.0,0.87,0.21,0.08,0.17,13.2,13279.0,237.0,12544.0,498.0,548.0,24.2,0.58,70.0,0.0,0.0,1.0,0.0,0.0,1133.0,29.0,1589.0,1.0,0.0,4945.0,4945.0,3071.0,0.0,11684.0,767.0,22.0,406.0,15725.0,0.0,2.0,15.0,9.425
