,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Doran,16.0,3.0,3.0,5.0,284.0,16.0,7.5,14148.0,374.0,23.5,49.0,11.0,23.0,8.0,6.0,1.3,0.29,0.21,0.61,15.6,9018.0,7059.0,1710.0,249.0,239.0,17.1,0.21,100.0,0.0,0.0,0.0,0.0,0.0,970.0,14.0,299.0,0.0,0.0,5105.0,5105.0,11461.0,0.0,41804.0,0.0,10.0,61.0,33080.0,101.0,9.0,26.0,0.0
Doran,14.0,0.0,5.0,2.0,211.0,13.0,7.0,9241.0,307.0,19.2,37.0,15.0,8.0,11.0,10.0,1.23,0.5,0.37,0.27,15.4,8579.0,4990.0,3129.0,460.0,285.0,15.9,0.07,40.0,0.0,0.0,0.0,0.0,0.0,-1107.0,-10.0,-417.0,-1.0,0.0,813.0,813.0,644.0,0.0,18971.0,0.0,19.0,859.0,18404.0,132.0,12.0,30.0,0.0
Doran,16.0,0.0,2.0,0.0,263.0,2.0,6.7,12278.0,312.0,19.6,30.0,14.0,9.0,13.0,10.0,0.76,0.36,0.33,0.23,10.1,9484.0,3551.0,5933.0,0.0,241.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,14.0,653.0,1.0,0.0,2860.0,2860.0,3323.0,0.0,48709.0,0.0,23.0,2210.0,24252.0,48.0,15.0,36.0,0.0
Doran,16.0,3.0,1.0,3.0,267.0,25.0,9.0,12257.0,413.0,21.0,29.0,10.0,6.0,7.0,6.0,0.98,0.34,0.24,0.2,12.3,13524.0,8752.0,1293.0,3479.0,456.0,28.1,0.2,50.0,1.0,0.0,0.0,0.0,0.0,744.0,18.0,855.0,0.0,0.0,4809.0,4809.0,8576.0,312.0,19562.0,0.0,4.0,92.0,21107.0,35.0,9.0,27.0,9.425
Doran,18.0,1.0,2.0,9.0,336.0,36.0,7.5,16502.0,368.0,20.2,58.0,15.0,15.0,11.0,10.0,1.29,0.33,0.25,0.33,13.9,24667.0,20809.0,3858.0,0.0,550.0,20.3,0.22,55.6,1.0,0.0,0.0,0.0,0.0,-351.0,-8.0,-137.0,0.0,0.0,8230.0,8230.0,11837.0,0.0,35959.0,0.0,25.0,634.0,34528.0,103.0,13.0,33.0,9.425
Doran,13.0,1.0,2.0,1.0,198.0,16.0,8.1,9016.0,368.0,24.3,20.0,10.0,8.0,5.0,5.0,0.82,0.41,0.2,0.33,13.1,8876.0,8422.0,454.0,0.0,363.0,28.1,0.08,100.0,0.0,0.0,0.0,0.0,0.0,-1000.0,-17.0,-1039.0,0.0,0.0,391.0,391.0,3314.0,0.0,10491.0,0.0,13.0,292.0,12987.0,10.0,7.0,23.0,0.0
Doran,13.0,0.0,3.0,1.0,200.0,6.0,7.7,7776.0,298.0,19.6,19.0,11.0,5.0,5.0,4.0,0.73,0.42,0.19,0.19,10.0,10328.0,1421.0,8907.0,0.0,395.0,21.8,0.04,50.0,0.0,0.0,0.0,0.0,0.0,-1192.0,2.0,-327.0,0.0,0.0,0.0,0.0,6216.0,0.0,20671.0,0.0,44.0,684.0,20584.0,95.0,7.0,21.0,0.0
Doran,18.0,3.0,2.0,3.0,296.0,17.0,7.0,14922.0,352.0,19.7,65.0,18.0,15.0,12.0,11.0,1.54,0.43,0.28,0.35,18.2,17212.0,10701.0,1362.0,5149.0,407.0,19.0,0.14,35.3,0.0,0.0,0.0,0.0,0.0,-278.0,5.0,201.0,0.0,0.0,4708.0,4708.0,9070.0,0.0,42830.0,0.0,19.0,288.0,31063.0,88.0,13.0,32.0,9.425
Doran,14.0,1.0,3.0,9.0,201.0,18.0,7.8,10384.0,401.0,20.3,26.0,8.0,6.0,5.0,5.0,1.0,0.31,0.19,0.23,12.9,10842.0,9933.0,909.0,0.0,419.0,18.2,0.39,58.8,0.0,0.0,0.0,0.0,0.0,267.0,13.0,381.0,0.0,0.0,3882.0,3882.0,7190.0,0.0,22756.0,0.0,18.0,45.0,27586.0,108.0,6.0,22.0,9.425
Doran,15.0,4.0,0.0,11.0,199.0,0.0,8.2,10519.0,434.0,20.7,28.0,8.0,8.0,4.0,4.0,1.16,0.33,0.17,0.33,17.6,19043.0,10869.0,1104.0,7070.0,786.0,34.7,0.62,75.0,2.0,0.0,0.0,0.0,0.0,549.0,9.0,883.0,0.0,0.0,4021.0,4021.0,5672.0,0.0,17318.0,0.0,14.0,196.0,19002.0,0.0,6.0,22.0,9.425
Doran,15.0,1.0,3.0,4.0,226.0,13.0,8.3,10109.0,370.0,19.7,24.0,7.0,4.0,4.0,4.0,0.88,0.26,0.15,0.15,11.3,6244.0,5644.0,600.0,0.0,229.0,10.2,0.18,33.3,0.0,0.0,0.0,0.0,0.0,-1616.0,6.0,17.0,0.0,0.0,2470.0,2470.0,6273.0,0.0,22422.0,0.0,7.0,33.0,21696.0,106.0,5.0,17.0,9.425
Doran,15.0,2.0,1.0,5.0,207.0,8.0,8.2,9813.0,390.0,17.9,26.0,11.0,5.0,8.0,7.0,1.03,0.44,0.32,0.2,11.3,10414.0,1066.0,9348.0,0.0,414.0,17.7,0.28,53.8,0.0,0.0,0.0,0.0,0.0,467.0,27.0,1129.0,1.0,0.0,1754.0,1754.0,7151.0,0.0,20671.0,0.0,43.0,916.0,20352.0,41.0,9.0,25.0,9.425
Doran,15.0,1.0,2.0,7.0,178.0,0.0,6.8,9474.0,362.0,17.0,20.0,8.0,2.0,3.0,3.0,0.76,0.31,0.11,0.08,8.7,12540.0,2001.0,10539.0,0.0,479.0,15.6,0.31,38.1,0.0,0.0,0.0,0.0,0.0,-1014.0,-24.0,-379.0,-1.0,0.0,5150.0,5150.0,11029.0,0.0,25294.0,0.0,37.0,640.0,24617.0,47.0,5.0,20.0,9.425
Doran,18.0,5.0,2.0,10.0,299.0,12.0,7.6,15681.0,399.0,20.7,52.0,17.0,14.0,13.0,13.0,1.32,0.43,0.33,0.36,14.6,31901.0,15514.0,14329.0,2058.0,811.0,24.3,0.38,60.0,0.0,0.0,0.0,0.0,0.0,-498.0,-8.0,-361.0,-1.0,0.0,3532.0,3532.0,7053.0,0.0,79344.0,0.0,47.0,2033.0,38142.0,86.0,16.0,38.0,9.425
Doran,16.0,5.0,4.0,5.0,214.0,6.0,7.3,11732.0,398.0,20.8,22.0,8.0,4.0,3.0,3.0,0.75,0.27,0.1,0.14,9.1,17615.0,11745.0,1030.0,4840.0,597.0,24.3,0.34,58.8,2.0,0.0,0.0,0.0,0.0,-1544.0,-21.0,-55.0,0.0,0.0,0.0,0.0,5904.0,0.0,30709.0,0.0,21.0,281.0,22777.0,105.0,4.0,23.0,9.425
