,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Lehends,11.0,0.0,5.0,4.0,38.0,0.0,1.0,6987.0,185.0,11.6,101.0,72.0,12.0,22.0,20.0,2.67,1.9,0.58,0.32,32.2,3501.0,667.0,2476.0,358.0,93.0,6.6,0.11,50.0,0.0,0.0,0.0,0.0,0.0,-508.0,-1.0,-868.0,-1.0,0.0,0.0,0.0,1315.0,0.0,22781.0,0.0,47.0,285.0,16918.0,131.0,26.0,38.0,0.0
Lehends,11.0,1.0,4.0,3.0,16.0,4.0,0.5,6363.0,211.0,13.2,76.0,52.0,6.0,20.0,18.0,2.52,1.73,0.66,0.2,31.5,6643.0,670.0,5113.0,860.0,220.0,12.3,0.13,80.0,0.0,0.0,0.0,0.0,0.0,-234.0,3.0,-323.0,-1.0,0.0,257.0,257.0,174.0,0.0,5021.0,2066.0,11.0,100.0,7832.0,99.0,22.0,33.0,0.0
Lehends,11.0,0.0,2.0,2.0,15.0,0.0,0.4,7373.0,187.0,11.8,104.0,73.0,11.0,25.0,22.0,2.64,1.85,0.63,0.28,35.0,6033.0,304.0,5372.0,357.0,153.0,8.7,0.05,66.7,0.0,0.0,0.0,0.0,0.0,79.0,-6.0,493.0,1.0,0.0,689.0,689.0,1707.0,0.0,8258.0,4381.0,12.0,125.0,11046.0,29.0,27.0,41.0,0.0
Lehends,13.0,0.0,1.0,9.0,35.0,0.0,1.2,7246.0,244.0,12.4,68.0,46.0,5.0,16.0,14.0,2.29,1.55,0.54,0.17,28.9,6037.0,205.0,5448.0,384.0,204.0,12.6,0.3,75.0,0.0,0.0,0.0,0.0,0.0,376.0,18.0,927.0,1.0,0.0,403.0,403.0,2932.0,255.0,14374.0,2627.0,14.0,85.0,12119.0,16.0,19.0,34.0,9.425
Lehends,15.0,0.0,4.0,12.0,14.0,0.0,0.3,9690.0,216.0,11.9,124.0,68.0,14.0,15.0,15.0,2.76,1.52,0.33,0.31,29.7,8499.0,1012.0,7362.0,125.0,189.0,7.0,0.27,66.7,0.0,0.0,0.0,0.0,0.0,-279.0,-1.0,-765.0,-1.0,0.0,1461.0,1461.0,12037.0,9736.0,5205.0,1947.0,28.0,163.0,13191.0,151.0,18.0,36.0,9.425
Lehends,9.0,0.0,4.0,2.0,16.0,0.0,0.7,5011.0,205.0,13.5,47.0,33.0,7.0,11.0,10.0,1.92,1.35,0.45,0.29,30.7,2670.0,457.0,1869.0,344.0,109.0,8.5,0.08,100.0,0.0,0.0,0.0,0.0,0.0,-828.0,7.0,259.0,0.0,0.0,97.0,97.0,0.0,0.0,5321.0,2373.0,11.0,86.0,8972.0,107.0,13.0,24.0,0.0
Lehends,9.0,0.0,4.0,2.0,4.0,0.0,0.2,4968.0,190.0,12.5,55.0,33.0,3.0,12.0,10.0,2.11,1.26,0.46,0.11,28.9,3839.0,536.0,3303.0,0.0,147.0,8.1,0.08,100.0,0.0,0.0,0.0,0.0,0.0,-705.0,-2.0,-565.0,0.0,0.0,0.0,0.0,5404.0,3820.0,4077.0,909.0,18.0,119.0,9816.0,85.0,14.0,25.0,0.0
Lehends,15.0,1.0,4.0,12.0,7.0,0.0,0.2,9507.0,225.0,12.6,100.0,67.0,4.0,18.0,18.0,2.36,1.58,0.43,0.09,28.0,7815.0,1059.0,5802.0,954.0,185.0,8.6,0.31,76.5,0.0,0.0,0.0,0.0,0.0,-493.0,-2.0,559.0,1.0,0.0,749.0,749.0,16260.0,14865.0,7812.0,3426.0,10.0,41.0,9656.0,136.0,20.0,38.0,9.425
Lehends,12.0,0.0,0.0,14.0,14.0,4.0,0.5,6836.0,264.0,13.3,59.0,30.0,7.0,9.0,6.0,2.28,1.16,0.35,0.27,29.4,5562.0,854.0,3886.0,822.0,215.0,9.3,0.54,82.4,0.0,0.0,0.0,0.0,0.0,477.0,4.0,653.0,1.0,0.0,1221.0,1221.0,9338.0,8161.0,5598.0,1588.0,16.0,41.0,5522.0,0.0,11.0,21.0,9.425
Lehends,11.0,1.0,1.0,14.0,14.0,0.0,0.6,6380.0,263.0,12.6,42.0,24.0,8.0,11.0,10.0,1.73,0.99,0.45,0.33,26.4,3408.0,647.0,2391.0,370.0,141.0,6.2,0.62,75.0,0.0,0.0,0.0,0.0,0.0,-29.0,6.0,-41.0,0.0,0.0,975.0,975.0,404.0,0.0,3228.0,3918.0,15.0,149.0,5561.0,0.0,13.0,24.0,9.425
