,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Peanut,15.0,0.0,4.0,4.0,208.0,166.0,5.5,10885.0,288.0,18.1,57.0,9.0,27.0,10.0,8.0,1.51,0.24,0.26,0.71,18.2,6477.0,5803.0,233.0,441.0,171.0,12.3,0.11,50.0,0.0,0.0,0.0,0.0,0.0,-306.0,-15.0,-627.0,-1.0,0.0,167.0,167.0,12098.0,0.0,20036.0,0.0,6.0,151.0,28711.0,106.0,10.0,26.0,0.0
Peanut,12.0,0.0,4.0,3.0,157.0,138.0,5.2,8952.0,297.0,18.6,50.0,8.0,17.0,5.0,4.0,1.66,0.27,0.17,0.56,20.7,5246.0,3644.0,1020.0,582.0,174.0,9.7,0.1,60.0,0.0,0.0,0.0,0.0,0.0,-694.0,2.0,-55.0,0.0,0.0,893.0,893.0,12793.0,0.0,28590.0,0.0,16.0,449.0,26478.0,104.0,6.0,26.0,0.0
Peanut,16.0,1.0,3.0,0.0,265.0,191.0,6.7,12450.0,316.0,19.9,98.0,37.0,30.0,9.0,8.0,2.49,0.94,0.23,0.76,33.0,9240.0,8286.0,577.0,377.0,235.0,13.4,0.03,33.3,0.0,0.0,0.0,0.0,0.0,-33.0,23.0,230.0,0.0,0.0,1246.0,1246.0,10746.0,0.0,20393.0,0.0,15.0,497.0,23862.0,77.0,9.0,25.0,0.0
Peanut,14.0,2.0,0.0,5.0,188.0,162.0,6.3,11309.0,381.0,19.3,54.0,14.0,15.0,22.0,9.0,1.82,0.47,0.74,0.51,23.0,5148.0,4362.0,686.0,100.0,174.0,10.7,0.24,58.3,0.0,0.0,0.0,0.0,0.0,792.0,6.0,310.0,0.0,0.0,3605.0,3605.0,13947.0,0.0,17980.0,0.0,6.0,211.0,24269.0,0.0,10.0,29.0,9.425
Peanut,18.0,4.0,2.0,7.0,193.0,157.0,4.3,13702.0,306.0,16.8,75.0,14.0,18.0,14.0,12.0,1.67,0.31,0.31,0.4,18.0,12372.0,5809.0,5815.0,748.0,276.0,10.2,0.25,61.1,1.0,0.0,0.0,0.0,0.0,111.0,-17.0,-134.0,0.0,0.0,371.0,371.0,16452.0,692.0,62790.0,0.0,28.0,1124.0,36825.0,51.0,15.0,33.0,9.425
Peanut,10.0,0.0,5.0,2.0,102.0,86.0,4.2,5897.0,241.0,15.9,29.0,8.0,13.0,6.0,6.0,1.18,0.33,0.25,0.53,19.0,4309.0,2519.0,1300.0,490.0,176.0,13.7,0.08,100.0,0.0,0.0,0.0,0.0,0.0,-2365.0,-17.0,-566.0,0.0,0.0,0.0,0.0,4910.0,218.0,16505.0,0.0,10.0,364.0,19620.0,130.0,7.0,17.0,0.0
Peanut,11.0,1.0,2.0,0.0,128.0,112.0,4.9,7138.0,273.0,18.0,33.0,9.0,8.0,9.0,6.0,1.26,0.34,0.34,0.31,17.4,5448.0,3809.0,865.0,774.0,209.0,11.5,0.04,50.0,0.0,0.0,0.0,0.0,0.0,-113.0,-2.0,-55.0,0.0,0.0,0.0,0.0,5624.0,0.0,20006.0,0.0,16.0,686.0,17350.0,68.0,10.0,24.0,0.0
Peanut,16.0,0.0,3.0,13.0,192.0,158.0,4.5,12199.0,288.0,16.1,81.0,11.0,18.0,15.0,9.0,1.91,0.26,0.35,0.43,22.7,15440.0,7384.0,7288.0,768.0,365.0,17.0,0.31,76.5,0.0,0.0,0.0,0.0,0.0,-369.0,7.0,554.0,1.0,1.0,1412.0,1412.0,10042.0,767.0,65484.0,0.0,36.0,1539.0,43591.0,140.0,18.0,33.0,9.425
Peanut,13.0,1.0,1.0,14.0,123.0,102.0,4.8,8084.0,312.0,15.8,37.0,8.0,12.0,7.0,6.0,1.43,0.31,0.27,0.46,18.4,10464.0,1159.0,8801.0,504.0,404.0,17.6,0.58,88.2,0.0,0.0,0.0,0.0,0.0,-1633.0,-32.0,-1400.0,-1.0,0.0,749.0,749.0,11828.0,677.0,20418.0,0.0,42.0,830.0,22022.0,14.0,9.0,23.0,9.425
Peanut,14.0,3.0,1.0,9.0,156.0,135.0,6.4,9351.0,386.0,18.4,29.0,7.0,12.0,5.0,5.0,1.2,0.29,0.21,0.5,18.2,5100.0,4839.0,36.0,225.0,211.0,9.3,0.5,60.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0,372.0,0.0,0.0,1737.0,1737.0,8229.0,0.0,23292.0,0.0,12.0,264.0,16818.0,30.0,5.0,22.0,9.425
Peanut,13.0,2.0,0.0,7.0,150.0,132.0,5.5,9361.0,343.0,18.3,41.0,12.0,10.0,9.0,9.0,1.5,0.44,0.33,0.37,19.3,7691.0,5368.0,1715.0,608.0,282.0,12.6,0.33,60.0,0.0,0.0,0.0,0.0,0.0,516.0,22.0,479.0,1.0,0.0,1000.0,1000.0,20463.0,0.0,19987.0,0.0,24.0,384.0,26451.0,0.0,10.0,22.0,9.425
Peanut,13.0,2.0,0.0,6.0,189.0,155.0,7.5,10566.0,420.0,19.3,74.0,32.0,22.0,5.0,5.0,2.94,1.27,0.2,0.87,32.2,13011.0,11622.0,1145.0,244.0,517.0,22.2,0.32,61.5,0.0,0.0,0.0,0.0,0.0,1130.0,8.0,484.0,1.0,0.0,2433.0,2433.0,12179.0,0.0,14168.0,0.0,11.0,349.0,19805.0,0.0,5.0,21.0,9.425
Peanut,14.0,6.0,0.0,8.0,200.0,164.0,7.6,12441.0,475.0,22.3,100.0,36.0,25.0,5.0,5.0,3.82,1.38,0.19,0.96,43.3,20686.0,18153.0,1592.0,941.0,791.0,25.7,0.54,66.7,0.0,0.0,0.0,0.0,0.0,1493.0,31.0,1035.0,1.0,0.0,3104.0,3104.0,12896.0,0.0,16567.0,0.0,29.0,589.0,19420.0,0.0,5.0,21.0,9.425
Peanut,17.0,6.0,2.0,14.0,232.0,185.0,5.9,14931.0,380.0,19.7,65.0,13.0,22.0,14.0,12.0,1.65,0.33,0.36,0.56,18.2,22930.0,18521.0,3431.0,978.0,583.0,17.5,0.51,80.0,0.0,1.0,0.0,0.0,0.0,776.0,11.0,-85.0,0.0,0.0,2161.0,2161.0,26987.0,0.0,40203.0,0.0,23.0,260.0,39871.0,57.0,15.0,38.0,9.425
Peanut,14.0,3.0,0.0,10.0,169.0,134.0,5.7,10118.0,343.0,17.9,46.0,10.0,10.0,9.0,8.0,1.56,0.34,0.31,0.34,19.0,8208.0,5630.0,1720.0,858.0,278.0,11.3,0.44,76.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,666.0,1.0,1.0,1360.0,1360.0,21357.0,0.0,31029.0,0.0,23.0,602.0,29013.0,0.0,9.0,26.0,9.425
Peanut,13.0,0.0,2.0,5.0,168.0,154.0,5.6,8652.0,287.0,18.0,31.0,13.0,5.0,13.0,11.0,1.03,0.43,0.43,0.17,15.3,4546.0,2586.0,963.0,997.0,151.0,11.2,0.17,100.0,0.0,0.0,0.0,0.0,0.0,-995.0,12.0,-97.0,0.0,0.0,0.0,0.0,5099.0,0.0,24287.0,0.0,16.0,846.0,19263.0,85.0,13.0,29.0,0.0
Peanut,15.0,1.0,0.0,6.0,182.0,154.0,5.3,10299.0,299.0,16.2,42.0,13.0,8.0,10.0,10.0,1.22,0.38,0.29,0.23,13.7,7624.0,6862.0,394.0,368.0,221.0,10.2,0.2,63.6,0.0,0.0,0.0,0.0,0.0,-911.0,-2.0,-44.0,0.0,0.0,1863.0,1863.0,17774.0,0.0,28301.0,0.0,11.0,517.0,26696.0,0.0,10.0,26.0,3.77
