,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Ruler,17.0,4.0,1.0,3.0,356.0,20.0,9.4,15050.0,398.0,25.0,46.0,22.0,15.0,11.0,11.0,1.22,0.58,0.29,0.4,14.6,23200.0,22772.0,386.0,42.0,614.0,44.0,0.19,87.5,0.0,1.0,0.0,0.0,0.0,310.0,4.0,511.0,0.0,0.0,0.0,0.0,984.0,0.0,7538.0,0.0,14.0,49.0,11353.0,57.0,14.0,34.0,0.0
Ruler,14.0,3.0,3.0,0.0,300.0,28.0,10.0,11888.0,395.0,24.7,39.0,15.0,10.0,6.0,6.0,1.29,0.5,0.2,0.33,16.2,16249.0,11629.0,3415.0,1205.0,539.0,30.1,0.1,60.0,0.0,0.0,0.0,0.0,0.0,-474.0,-7.0,-929.0,-1.0,0.0,238.0,238.0,77.0,0.0,7374.0,0.0,6.0,135.0,14491.0,67.0,9.0,28.0,0.0
Ruler,16.0,1.0,1.0,1.0,368.0,32.0,9.3,14783.0,375.0,23.6,34.0,23.0,13.0,12.0,11.0,0.86,0.58,0.3,0.33,11.4,28505.0,25876.0,2533.0,96.0,724.0,41.3,0.05,66.7,0.0,0.0,0.0,0.0,0.0,1332.0,41.0,1117.0,1.0,0.0,2517.0,2517.0,2852.0,0.0,8816.0,0.0,22.0,326.0,13289.0,51.0,18.0,40.0,0.0
Ruler,15.0,5.0,0.0,3.0,298.0,28.0,10.1,14634.0,494.0,25.0,41.0,14.0,9.0,8.0,5.0,1.38,0.47,0.27,0.3,17.4,15709.0,10603.0,5028.0,78.0,530.0,32.7,0.27,66.7,0.0,1.0,0.0,0.0,0.0,500.0,-18.0,-1017.0,-1.0,0.0,5915.0,5915.0,1165.0,399.0,9150.0,0.0,22.0,345.0,6467.0,0.0,12.0,37.0,9.425
Ruler,18.0,6.0,1.0,6.0,463.0,48.0,10.3,22301.0,497.0,27.3,88.0,21.0,26.0,7.0,6.0,1.96,0.47,0.16,0.58,21.1,39636.0,24962.0,11976.0,2698.0,884.0,32.7,0.27,66.7,0.0,0.0,0.0,1.0,0.0,-708.0,-2.0,506.0,1.0,0.0,8544.0,8544.0,1994.0,0.0,10733.0,0.0,4.0,195.0,17723.0,50.0,14.0,33.0,9.425
Ruler,12.0,0.0,1.0,1.0,243.0,4.0,9.9,8527.0,348.0,23.0,35.0,12.0,18.0,7.0,6.0,1.43,0.49,0.29,0.74,22.9,6403.0,5518.0,544.0,341.0,262.0,20.3,0.04,50.0,0.0,0.0,0.0,0.0,0.0,-659.0,4.0,-393.0,0.0,0.0,348.0,348.0,1623.0,0.0,3155.0,0.0,2.0,6.0,6340.0,40.0,10.0,24.0,0.0
Ruler,13.0,0.0,2.0,2.0,240.0,13.0,9.2,9600.0,368.0,24.2,40.0,11.0,13.0,4.0,4.0,1.53,0.42,0.15,0.5,21.1,12142.0,5974.0,5237.0,931.0,465.0,25.7,0.08,100.0,0.0,0.0,0.0,0.0,0.0,-763.0,-19.0,90.0,0.0,0.0,0.0,0.0,591.0,0.0,6547.0,0.0,2.0,37.0,13611.0,64.0,7.0,22.0,0.0
Ruler,18.0,6.0,2.0,5.0,434.0,55.0,10.3,19233.0,454.0,25.4,56.0,16.0,16.0,5.0,5.0,1.32,0.38,0.12,0.38,15.7,25181.0,21587.0,1335.0,2259.0,595.0,27.8,0.26,64.7,0.0,1.0,1.0,0.0,0.0,-1016.0,-15.0,-640.0,-1.0,0.0,13280.0,13280.0,1506.0,926.0,20008.0,0.0,7.0,267.0,14507.0,103.0,10.0,28.0,9.425
Ruler,14.0,4.0,0.0,8.0,274.0,20.0,10.6,12165.0,470.0,23.7,43.0,13.0,11.0,6.0,5.0,1.66,0.5,0.23,0.42,21.4,17862.0,15769.0,584.0,1509.0,690.0,30.0,0.46,70.6,0.0,0.0,0.0,0.0,0.0,1136.0,30.0,506.0,1.0,0.0,6716.0,6716.0,271.0,0.0,15175.0,0.0,6.0,148.0,8823.0,0.0,10.0,25.0,9.425
Ruler,14.0,5.0,0.0,7.0,241.0,20.0,10.0,11932.0,493.0,23.5,39.0,13.0,11.0,6.0,5.0,1.61,0.54,0.25,0.45,24.5,14012.0,12272.0,1714.0,26.0,579.0,25.5,0.5,60.0,0.0,1.0,0.0,0.0,0.0,304.0,11.0,274.0,0.0,0.0,11486.0,11486.0,1556.0,0.0,9962.0,0.0,5.0,117.0,6782.0,0.0,9.0,24.0,9.425
Ruler,14.0,5.0,1.0,10.0,227.0,8.0,8.3,12474.0,457.0,24.4,33.0,13.0,6.0,7.0,5.0,1.21,0.48,0.26,0.22,15.6,21320.0,18424.0,2193.0,703.0,780.0,34.9,0.55,100.0,1.0,1.0,0.0,0.0,0.0,1039.0,4.0,495.0,1.0,0.0,7862.0,7862.0,2416.0,433.0,10164.0,0.0,13.0,135.0,7974.0,14.0,9.0,23.0,9.425
Ruler,14.0,7.0,1.0,3.0,242.0,13.0,9.6,15219.0,604.0,27.8,33.0,12.0,9.0,4.0,4.0,1.31,0.48,0.16,0.36,14.3,21287.0,12676.0,7237.0,1374.0,845.0,36.2,0.4,76.9,0.0,1.0,0.0,0.0,0.0,3540.0,52.0,1908.0,2.0,0.0,11364.0,11364.0,49.0,0.0,4853.0,0.0,2.0,18.0,9457.0,42.0,8.0,26.0,9.425
Ruler,14.0,6.0,1.0,7.0,265.0,16.0,10.1,14161.0,541.0,25.4,31.0,12.0,8.0,7.0,5.0,1.18,0.46,0.27,0.31,13.4,25346.0,15323.0,8877.0,1146.0,969.0,31.5,0.5,61.9,0.0,0.0,0.0,0.0,0.0,1647.0,23.0,897.0,1.0,0.0,5141.0,5141.0,1381.0,0.0,5222.0,0.0,2.0,42.0,8913.0,16.0,11.0,29.0,9.425
Ruler,18.0,6.0,3.0,8.0,363.0,45.0,9.2,17505.0,445.0,23.1,80.0,18.0,32.0,5.0,5.0,2.03,0.46,0.13,0.81,22.4,28141.0,25433.0,1564.0,1144.0,715.0,21.4,0.36,56.0,0.0,2.0,0.0,0.0,0.0,701.0,1.0,-441.0,-1.0,0.0,5778.0,5778.0,2514.0,189.0,6785.0,0.0,17.0,121.0,14311.0,99.0,7.0,29.0,9.425
