,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Cheoni,15.0,1.0,2.0,2.0,382.0,22.0,10.9,14870.0,423.0,26.7,41.0,17.0,11.0,11.0,8.0,1.17,0.48,0.31,0.31,15.5,11523.0,10459.0,0.0,1064.0,328.0,28.9,0.09,75.0,0.0,0.0,0.0,0.0,0.0,-924.0,2.0,-782.0,-1.0,0.0,2250.0,2250.0,2495.0,632.0,7384.0,0.0,1.0,43.0,11158.0,30.0,13.0,31.0,0.0
Cheoni,14.0,0.0,2.0,2.0,287.0,15.0,9.3,10871.0,352.0,22.8,18.0,11.0,4.0,1.0,1.0,0.58,0.36,0.03,0.13,7.8,5925.0,3826.0,1555.0,544.0,192.0,32.3,0.06,100.0,0.0,0.0,0.0,0.0,0.0,-1001.0,-30.0,-1624.0,-2.0,0.0,965.0,965.0,0.0,0.0,3423.0,0.0,1.0,28.0,8572.0,8.0,5.0,19.0,0.0
Cheoni,17.0,5.0,1.0,10.0,332.0,33.0,9.0,16693.0,454.0,23.1,39.0,10.0,16.0,4.0,4.0,1.06,0.27,0.11,0.43,14.0,11289.0,10395.0,480.0,414.0,307.0,15.5,0.41,88.2,0.0,1.0,0.0,0.0,0.0,173.0,-4.0,-665.0,0.0,0.0,3972.0,3972.0,666.0,0.0,13098.0,0.0,17.0,425.0,12180.0,33.0,6.0,29.0,3.77
Cheoni,15.0,0.0,2.0,1.0,363.0,12.0,11.2,13290.0,410.0,27.1,47.0,14.0,14.0,6.0,6.0,1.45,0.43,0.19,0.43,21.6,14179.0,13874.0,0.0,305.0,438.0,32.2,0.03,50.0,0.0,0.0,0.0,0.0,0.0,453.0,14.0,409.0,0.0,0.0,399.0,399.0,1380.0,0.0,5798.0,0.0,0.0,0.0,10134.0,47.0,9.0,26.0,0.0
Cheoni,17.0,5.0,2.0,1.0,372.0,16.0,9.2,17066.0,421.0,27.7,60.0,19.0,27.0,7.0,7.0,1.48,0.47,0.17,0.67,19.5,21961.0,13354.0,7763.0,844.0,542.0,45.3,0.15,100.0,0.0,2.0,0.0,0.0,0.0,122.0,8.0,649.0,1.0,0.0,624.0,624.0,182.0,0.0,9890.0,0.0,2.0,60.0,19075.0,55.0,11.0,31.0,0.0
Cheoni,13.0,2.0,3.0,1.0,243.0,5.0,8.5,10672.0,372.0,23.1,34.0,13.0,6.0,5.0,4.0,1.18,0.45,0.17,0.21,17.1,6019.0,5090.0,929.0,0.0,210.0,13.7,0.1,42.9,0.0,0.0,0.0,0.0,0.0,-1175.0,1.0,500.0,1.0,0.0,2451.0,2451.0,815.0,0.0,6577.0,0.0,3.0,211.0,10302.0,87.0,9.0,25.0,0.0
Cheoni,13.0,0.0,3.0,0.0,270.0,4.0,9.0,10121.0,337.0,23.6,24.0,13.0,5.0,5.0,5.0,0.8,0.43,0.17,0.17,13.5,8142.0,3800.0,4342.0,0.0,271.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-928.0,16.0,537.0,1.0,0.0,0.0,0.0,1461.0,0.0,10319.0,0.0,2.0,68.0,13934.0,84.0,7.0,19.0,0.0
Cheoni,14.0,3.0,1.0,2.0,277.0,21.0,8.3,13697.0,412.0,25.5,36.0,17.0,8.0,5.0,5.0,1.08,0.51,0.15,0.24,16.7,17361.0,16204.0,857.0,300.0,522.0,30.8,0.15,83.3,1.0,0.0,0.0,0.0,0.0,-1182.0,-36.0,-1052.0,-1.0,0.0,3918.0,3918.0,2537.0,678.0,6030.0,0.0,8.0,100.0,7651.0,10.0,9.0,28.0,0.0
Cheoni,14.0,1.0,3.0,1.0,288.0,8.0,9.4,11547.0,378.0,24.2,28.0,13.0,4.0,5.0,5.0,0.92,0.43,0.16,0.13,13.9,11000.0,9671.0,1247.0,82.0,360.0,20.0,0.07,50.0,0.0,0.0,0.0,0.0,0.0,385.0,8.0,145.0,0.0,0.0,2352.0,2352.0,3632.0,559.0,9225.0,0.0,9.0,118.0,11803.0,100.0,9.0,25.0,0.0
Cheoni,11.0,1.0,3.0,0.0,183.0,13.0,7.0,7619.0,291.0,20.7,19.0,11.0,3.0,3.0,3.0,0.73,0.42,0.11,0.11,12.1,7587.0,4428.0,2329.0,830.0,290.0,21.7,0.04,50.0,0.0,0.0,0.0,0.0,0.0,-3899.0,-65.0,-1934.0,-1.0,0.0,339.0,339.0,102.0,0.0,4366.0,0.0,4.0,67.0,9227.0,26.0,6.0,23.0,0.0
Cheoni,13.0,5.0,3.0,0.0,244.0,11.0,8.3,12120.0,414.0,27.6,24.0,11.0,4.0,4.0,4.0,0.82,0.38,0.14,0.14,13.1,12608.0,9624.0,2334.0,650.0,430.0,27.3,0.17,100.0,0.0,1.0,1.0,0.0,0.0,-73.0,-15.0,-506.0,0.0,0.0,58.0,58.0,1823.0,0.0,7363.0,0.0,10.0,229.0,15499.0,30.0,8.0,24.0,0.0
