,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
DuDu,18.0,1.0,0.0,8.0,332.0,36.0,10.8,14726.0,480.0,22.4,35.0,8.0,11.0,5.0,4.0,1.14,0.26,0.16,0.36,14.4,14114.0,12573.0,1541.0,0.0,460.0,21.6,0.29,50.0,0.0,0.0,0.0,0.0,0.0,1768.0,41.0,608.0,0.0,0.0,8420.0,8420.0,15708.0,0.0,28388.0,0.0,21.0,49.0,28602.0,0.0,6.0,20.0,3.77
DuDu,17.0,3.0,2.0,14.0,242.0,16.0,7.4,12815.0,390.0,19.5,30.0,11.0,5.0,7.0,7.0,0.91,0.34,0.21,0.15,12.5,13626.0,11624.0,1592.0,410.0,415.0,18.3,0.52,77.3,0.0,0.0,0.0,0.0,0.0,410.0,11.0,455.0,1.0,0.0,3754.0,3754.0,15946.0,0.0,30548.0,0.0,16.0,46.0,33389.0,81.0,8.0,27.0,3.77
DuDu,17.0,0.0,2.0,0.0,306.0,22.0,9.4,12374.0,382.0,24.0,30.0,8.0,8.0,3.0,3.0,0.92,0.25,0.09,0.25,13.6,10434.0,10434.0,0.0,0.0,322.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,12.0,432.0,0.0,0.0,1050.0,1050.0,9357.0,0.0,22335.0,0.0,16.0,212.0,20822.0,101.0,4.0,20.0,0.0
DuDu,16.0,2.0,4.0,2.0,246.0,8.0,7.7,11629.0,364.0,21.7,27.0,11.0,3.0,8.0,6.0,0.84,0.34,0.25,0.09,12.5,18371.0,15173.0,3165.0,33.0,575.0,26.2,0.13,44.4,0.0,0.0,0.0,0.0,0.0,328.0,3.0,-233.0,0.0,0.0,4125.0,4125.0,5548.0,0.0,23351.0,0.0,29.0,477.0,24328.0,130.0,10.0,30.0,0.0
DuDu,15.0,0.0,1.0,2.0,233.0,8.0,7.1,10074.0,308.0,20.4,23.0,8.0,6.0,4.0,3.0,0.7,0.24,0.12,0.18,11.3,12229.0,1345.0,10884.0,0.0,374.0,28.5,0.06,100.0,0.0,0.0,0.0,0.0,0.0,-351.0,-8.0,651.0,0.0,0.0,2780.0,2780.0,14684.0,0.0,39257.0,0.0,36.0,1049.0,29409.0,47.0,7.0,23.0,0.0
DuDu,17.0,0.0,4.0,2.0,299.0,16.0,8.5,12773.0,364.0,22.9,38.0,9.0,14.0,4.0,3.0,1.08,0.26,0.11,0.4,14.4,10211.0,1621.0,6185.0,2405.0,291.0,25.7,0.06,50.0,0.0,0.0,0.0,0.0,0.0,907.0,12.0,312.0,1.0,0.0,2533.0,2533.0,1519.0,0.0,26372.0,0.0,2.0,57.0,27548.0,133.0,7.0,23.0,0.0
DuDu,17.0,0.0,1.0,1.0,323.0,25.0,10.5,12217.0,396.0,25.7,22.0,10.0,6.0,6.0,5.0,0.71,0.32,0.19,0.19,9.5,5759.0,4895.0,688.0,176.0,187.0,31.4,0.03,50.0,0.0,0.0,0.0,0.0,0.0,105.0,-1.0,69.0,0.0,0.0,1649.0,1649.0,3012.0,0.0,12533.0,0.0,13.0,440.0,16328.0,56.0,7.0,23.0,0.0
DuDu,18.0,10.0,4.0,7.0,377.0,20.0,10.2,21192.0,576.0,29.4,16.0,10.0,1.0,4.0,4.0,0.43,0.27,0.11,0.03,5.8,35376.0,25453.0,6977.0,2946.0,962.0,48.6,0.46,100.0,1.0,2.0,1.0,0.0,0.0,197.0,-2.0,120.0,0.0,0.0,5673.0,5673.0,8788.0,0.0,20491.0,0.0,12.0,408.0,28075.0,142.0,5.0,26.0,3.77
DuDu,15.0,1.0,4.0,1.0,232.0,4.0,8.3,9821.0,351.0,23.0,30.0,7.0,9.0,3.0,2.0,1.07,0.25,0.11,0.32,16.4,13527.0,11616.0,1874.0,37.0,483.0,29.5,0.07,50.0,1.0,0.0,0.0,0.0,0.0,-18.0,6.0,-219.0,0.0,0.0,996.0,996.0,2547.0,0.0,20963.0,0.0,22.0,436.0,24152.0,166.0,6.0,24.0,0.0
DuDu,16.0,0.0,5.0,1.0,243.0,9.0,7.5,10164.0,314.0,20.7,17.0,8.0,4.0,3.0,3.0,0.52,0.25,0.09,0.12,7.8,10427.0,1434.0,5354.0,3639.0,322.0,23.7,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-1739.0,-41.0,-1719.0,-1.0,0.0,0.0,0.0,1652.0,0.0,18598.0,0.0,4.0,41.0,22426.0,123.0,4.0,23.0,0.0
