,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Hans SamD,16.0,7.0,2.0,6.0,275.0,30.0,9.0,16958.0,553.0,25.7,39.0,13.0,7.0,3.0,3.0,1.27,0.42,0.1,0.23,16.0,18593.0,18315.0,106.0,172.0,606.0,28.5,0.42,72.2,0.0,1.0,0.0,1.0,0.0,1330.0,9.0,799.0,0.0,0.0,8039.0,8039.0,3535.0,0.0,7089.0,0.0,9.0,89.0,12794.0,79.0,6.0,25.0,3.77
Hans SamD,17.0,8.0,2.0,8.0,339.0,23.0,10.3,18012.0,549.0,27.4,51.0,11.0,16.0,3.0,3.0,1.55,0.34,0.09,0.49,21.3,16688.0,15201.0,687.0,800.0,508.0,22.5,0.49,72.7,0.0,3.0,0.0,0.0,0.0,-187.0,-9.0,-87.0,0.0,0.0,7769.0,7769.0,2035.0,0.0,10560.0,0.0,11.0,491.0,11402.0,73.0,6.0,26.0,3.77
Hans SamD,14.0,1.0,2.0,2.0,317.0,24.0,9.8,13006.0,401.0,25.2,38.0,16.0,8.0,7.0,7.0,1.17,0.49,0.22,0.25,17.2,12016.0,10409.0,946.0,661.0,370.0,25.6,0.09,100.0,0.0,0.0,0.0,0.0,0.0,-531.0,-17.0,-449.0,0.0,0.0,1514.0,1514.0,515.0,0.0,7359.0,0.0,17.0,114.0,12271.0,78.0,10.0,26.0,0.0
Hans SamD,14.0,1.0,6.0,2.0,267.0,28.0,8.4,12008.0,376.0,22.4,32.0,14.0,6.0,5.0,5.0,1.0,0.44,0.16,0.19,14.8,13969.0,11440.0,2117.0,412.0,437.0,19.9,0.09,33.3,0.0,0.0,0.0,0.0,0.0,-1462.0,-6.0,-1005.0,-1.0,0.0,806.0,806.0,1011.0,0.0,14419.0,0.0,14.0,227.0,20254.0,164.0,8.0,27.0,0.0
Hans SamD,14.0,0.0,4.0,1.0,345.0,33.0,10.5,12869.0,393.0,26.0,29.0,13.0,13.0,3.0,3.0,0.89,0.4,0.09,0.4,14.3,13141.0,5937.0,6782.0,422.0,401.0,30.6,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-1051.0,10.0,-70.0,0.0,0.0,583.0,583.0,703.0,0.0,12148.0,0.0,5.0,222.0,15617.0,86.0,7.0,25.0,0.0
Hans SamD,12.0,0.0,3.0,1.0,257.0,16.0,9.2,9928.0,355.0,23.2,36.0,11.0,12.0,4.0,3.0,1.29,0.39,0.14,0.43,19.7,16654.0,14527.0,0.0,2127.0,595.0,36.3,0.04,25.0,0.0,0.0,0.0,0.0,0.0,-106.0,5.0,351.0,0.0,0.0,574.0,574.0,1821.0,468.0,6150.0,0.0,2.0,32.0,12145.0,112.0,6.0,25.0,0.0
Hans SamD,14.0,0.0,2.0,0.0,317.0,17.0,10.1,11622.0,369.0,25.4,35.0,16.0,9.0,5.0,5.0,1.11,0.51,0.16,0.29,16.4,12122.0,8378.0,3612.0,132.0,385.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,6.0,-92.0,0.0,0.0,1610.0,1610.0,507.0,0.0,7660.0,0.0,0.0,3.0,12598.0,34.0,8.0,23.0,0.0
Hans SamD,18.0,3.0,2.0,6.0,496.0,57.0,11.8,19796.0,471.0,27.1,89.0,21.0,26.0,7.0,7.0,2.12,0.5,0.17,0.62,23.6,28331.0,27263.0,0.0,1068.0,674.0,35.2,0.21,64.3,0.0,1.0,0.0,0.0,0.0,-452.0,-10.0,-691.0,-1.0,0.0,3580.0,3580.0,3151.0,0.0,12184.0,0.0,0.0,102.0,18094.0,85.0,10.0,30.0,3.77
Hans SamD,14.0,0.0,0.0,0.0,276.0,12.0,8.7,12002.0,379.0,23.8,35.0,14.0,10.0,5.0,4.0,1.11,0.44,0.16,0.32,17.2,6065.0,5987.0,0.0,78.0,192.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,491.0,0.0,0.0,2706.0,2706.0,500.0,0.0,4268.0,0.0,2.0,47.0,7848.0,0.0,8.0,23.0,0.0
Hans SamD,11.0,1.0,2.0,1.0,200.0,8.0,9.0,9221.0,415.0,26.1,16.0,8.0,5.0,2.0,2.0,0.72,0.36,0.09,0.23,14.0,7910.0,7479.0,0.0,431.0,356.0,25.0,0.09,100.0,0.0,0.0,0.0,0.0,0.0,528.0,18.0,256.0,1.0,0.0,2005.0,2005.0,191.0,0.0,4205.0,0.0,4.0,36.0,8842.0,63.0,5.0,17.0,0.0
