,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Karis,16.0,6.0,3.0,9.0,252.0,14.0,8.2,13861.0,452.0,21.0,44.0,18.0,7.0,7.0,6.0,1.43,0.59,0.23,0.23,18.1,17234.0,1402.0,15832.0,0.0,562.0,26.4,0.49,83.3,1.0,0.0,0.0,0.0,0.0,941.0,-6.0,-35.0,0.0,0.0,3977.0,3977.0,2362.0,0.0,7604.0,0.0,27.0,250.0,14370.0,78.0,8.0,23.0,3.77
Karis,17.0,7.0,2.0,12.0,245.0,13.0,7.5,15036.0,458.0,22.9,20.0,10.0,5.0,8.0,7.0,0.61,0.3,0.24,0.15,8.3,27181.0,140.0,25116.0,1925.0,828.0,36.6,0.58,86.4,0.0,1.0,1.0,0.0,0.0,-662.0,-24.0,118.0,1.0,0.0,8329.0,8329.0,7813.0,0.0,17336.0,0.0,44.0,516.0,27524.0,35.0,9.0,25.0,3.77
Karis,14.0,0.0,4.0,2.0,227.0,0.0,7.0,10079.0,311.0,19.6,28.0,11.0,4.0,7.0,7.0,0.86,0.34,0.22,0.12,12.7,11890.0,533.0,11357.0,0.0,367.0,25.3,0.06,66.7,0.0,0.0,0.0,0.0,0.0,-772.0,-14.0,-1239.0,-1.0,0.0,2679.0,2679.0,256.0,0.0,7753.0,0.0,11.0,238.0,17443.0,144.0,9.0,26.0,0.0
Karis,16.0,3.0,3.0,3.0,250.0,8.0,7.8,11837.0,370.0,22.1,35.0,9.0,11.0,6.0,6.0,1.09,0.28,0.19,0.34,16.2,21123.0,640.0,19885.0,598.0,661.0,30.2,0.19,66.7,1.0,0.0,0.0,0.0,0.0,-749.0,-7.0,-415.0,-1.0,0.0,845.0,845.0,1512.0,0.0,15453.0,0.0,2.0,112.0,25904.0,89.0,7.0,26.0,0.0
Karis,15.0,0.0,5.0,1.0,247.0,0.0,7.5,10088.0,308.0,20.4,22.0,12.0,4.0,9.0,9.0,0.67,0.37,0.27,0.12,10.8,7868.0,203.0,7665.0,0.0,240.0,18.3,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-2150.0,-24.0,-1449.0,-1.0,0.0,807.0,807.0,2643.0,0.0,16699.0,0.0,12.0,415.0,24007.0,122.0,10.0,28.0,0.0
Karis,15.0,1.0,3.0,2.0,234.0,4.0,6.7,10617.0,302.0,19.0,40.0,18.0,4.0,7.0,7.0,1.14,0.51,0.2,0.11,15.2,8535.0,52.0,8483.0,0.0,243.0,21.4,0.09,75.0,0.0,0.0,0.0,0.0,0.0,-785.0,-4.0,-300.0,-1.0,0.0,0.0,0.0,819.0,0.0,23865.0,650.0,18.0,77.0,17723.0,93.0,7.0,25.0,0.0
Karis,14.0,0.0,2.0,2.0,241.0,0.0,7.8,9603.0,311.0,20.2,35.0,7.0,10.0,5.0,5.0,1.13,0.23,0.16,0.32,15.1,2903.0,140.0,2763.0,0.0,94.0,15.8,0.06,100.0,0.0,0.0,0.0,0.0,0.0,-1276.0,-10.0,-712.0,-1.0,0.0,832.0,832.0,221.0,0.0,6980.0,0.0,11.0,407.0,13298.0,16.0,6.0,22.0,0.0
Karis,18.0,1.0,1.0,13.0,296.0,0.0,8.0,13701.0,372.0,19.0,56.0,37.0,11.0,14.0,14.0,1.52,1.01,0.38,0.3,20.1,12299.0,809.0,9075.0,2415.0,334.0,16.9,0.38,82.4,0.0,0.0,0.0,0.0,0.0,-723.0,-21.0,-1517.0,-1.0,0.0,3100.0,3100.0,6121.0,0.0,11316.0,0.0,15.0,56.0,15318.0,32.0,14.0,30.0,3.77
Karis,14.0,2.0,3.0,0.0,223.0,0.0,8.0,9551.0,341.0,22.3,13.0,8.0,2.0,6.0,5.0,0.46,0.29,0.21,0.07,7.1,7559.0,140.0,7240.0,179.0,270.0,16.5,0.07,50.0,0.0,0.0,0.0,0.0,0.0,-430.0,3.0,223.0,0.0,0.0,3511.0,3511.0,501.0,0.0,12254.0,0.0,13.0,365.0,17591.0,89.0,7.0,25.0,0.0
Karis,15.0,1.0,3.0,0.0,254.0,4.0,7.8,10633.0,328.0,21.6,28.0,9.0,7.0,5.0,5.0,0.86,0.28,0.15,0.22,12.8,12303.0,128.0,12175.0,0.0,380.0,28.0,0.03,50.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,301.0,0.0,0.0,0.0,0.0,332.0,0.0,7150.0,0.0,13.0,211.0,13818.0,93.0,7.0,23.0,0.0
Karis,17.0,0.0,3.0,3.0,325.0,14.0,8.0,13379.0,330.0,21.7,54.0,32.0,15.0,11.0,11.0,1.33,0.79,0.27,0.37,17.6,10738.0,574.0,6725.0,3439.0,265.0,22.1,0.07,50.0,0.0,0.0,0.0,0.0,0.0,369.0,13.0,293.0,0.0,0.0,3010.0,3010.0,2494.0,0.0,10903.0,0.0,11.0,79.0,14727.0,109.0,11.0,26.0,0.0
Karis,15.0,0.0,2.0,0.0,238.0,0.0,7.6,9552.0,303.0,20.9,34.0,19.0,6.0,9.0,9.0,1.08,0.6,0.29,0.19,16.0,4074.0,0.0,4074.0,0.0,129.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-378.0,-10.0,-170.0,0.0,0.0,278.0,278.0,856.0,0.0,14834.0,1315.0,9.0,55.0,12290.0,35.0,9.0,24.0,0.0
