,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
OnFleek,15.0,3.0,0.0,12.0,170.0,141.0,5.5,12093.0,394.0,18.4,61.0,12.0,17.0,10.0,10.0,1.99,0.39,0.33,0.55,25.1,9335.0,7980.0,946.0,409.0,304.0,14.3,0.49,83.3,0.0,0.0,0.0,0.0,0.0,1816.0,-4.0,558.0,0.0,0.0,2985.0,2985.0,10527.0,0.0,28048.0,0.0,25.0,573.0,18955.0,0.0,12.0,28.0,3.77
OnFleek,15.0,3.0,4.0,10.0,183.0,152.0,5.6,11929.0,363.0,18.2,68.0,13.0,25.0,11.0,11.0,2.07,0.4,0.34,0.76,28.3,9041.0,8160.0,663.0,218.0,275.0,12.2,0.4,59.1,0.0,0.0,0.0,0.0,0.0,1150.0,-8.0,842.0,1.0,0.0,1369.0,1369.0,7148.0,0.0,24210.0,0.0,21.0,553.0,21990.0,93.0,11.0,33.0,3.77
OnFleek,14.0,1.0,4.0,1.0,156.0,130.0,4.8,9479.0,292.0,18.4,51.0,16.0,16.0,15.0,14.0,1.57,0.49,0.46,0.49,23.1,5847.0,4675.0,547.0,625.0,180.0,12.4,0.06,66.7,0.0,0.0,0.0,0.0,0.0,-946.0,-14.0,-1123.0,-2.0,0.0,235.0,235.0,7208.0,0.0,19887.0,0.0,10.0,113.0,24376.0,133.0,15.0,31.0,0.0
OnFleek,14.0,1.0,4.0,5.0,187.0,142.0,5.8,10782.0,337.0,20.1,52.0,12.0,13.0,10.0,10.0,1.63,0.38,0.31,0.41,24.1,9944.0,8441.0,792.0,711.0,311.0,14.2,0.19,66.7,0.0,0.0,0.0,0.0,0.0,-1062.0,-7.0,-1064.0,-1.0,0.0,0.0,0.0,10007.0,0.0,30245.0,0.0,27.0,637.0,26192.0,92.0,11.0,30.0,0.0
OnFleek,14.0,2.0,2.0,0.0,187.0,140.0,5.7,10000.0,305.0,20.2,45.0,13.0,15.0,14.0,12.0,1.37,0.4,0.43,0.46,22.2,6632.0,4540.0,1364.0,728.0,203.0,15.5,0.06,100.0,0.0,0.0,0.0,0.0,0.0,-1457.0,12.0,306.0,0.0,0.0,576.0,576.0,10063.0,0.0,39268.0,0.0,19.0,866.0,29412.0,58.0,14.0,32.0,0.0
OnFleek,14.0,2.0,4.0,2.0,180.0,145.0,5.1,10745.0,306.0,19.3,68.0,17.0,22.0,15.0,15.0,1.94,0.48,0.43,0.63,25.8,7335.0,6406.0,453.0,476.0,209.0,18.4,0.11,100.0,0.0,0.0,0.0,0.0,0.0,803.0,3.0,-178.0,0.0,0.0,2461.0,2461.0,6770.0,0.0,24381.0,0.0,10.0,134.0,25051.0,112.0,16.0,32.0,0.0
OnFleek,13.0,1.0,3.0,1.0,150.0,121.0,4.9,8556.0,277.0,18.0,72.0,38.0,18.0,12.0,11.0,2.33,1.23,0.39,0.58,31.0,1577.0,540.0,687.0,350.0,51.0,8.6,0.06,100.0,0.0,0.0,0.0,0.0,0.0,-343.0,-4.0,-183.0,0.0,0.0,264.0,264.0,3845.0,0.0,27099.0,0.0,13.0,618.0,19722.0,103.0,12.0,29.0,0.0
OnFleek,16.0,0.0,2.0,13.0,167.0,131.0,4.5,11281.0,307.0,15.6,77.0,15.0,29.0,14.0,14.0,2.09,0.41,0.38,0.79,27.7,7723.0,5715.0,1615.0,393.0,210.0,10.6,0.35,76.5,0.0,0.0,0.0,0.0,0.0,-220.0,-18.0,-770.0,-1.0,0.0,6995.0,6995.0,25484.0,0.0,36616.0,0.0,18.0,514.0,38047.0,75.0,14.0,36.0,3.77
OnFleek,13.0,0.0,6.0,1.0,157.0,127.0,5.6,7964.0,284.0,18.6,41.0,10.0,10.0,8.0,8.0,1.46,0.36,0.29,0.36,22.4,5091.0,3932.0,319.0,840.0,182.0,11.1,0.04,25.0,0.0,0.0,0.0,0.0,0.0,-493.0,5.0,299.0,0.0,0.0,424.0,424.0,9152.0,0.0,16781.0,0.0,7.0,224.0,26306.0,164.0,8.0,25.0,0.0
OnFleek,12.0,0.0,4.0,0.0,140.0,124.0,4.4,7867.0,250.0,17.2,65.0,34.0,15.0,12.0,12.0,2.06,1.08,0.38,0.48,30.5,2001.0,502.0,1116.0,383.0,63.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1148.0,-7.0,-680.0,-1.0,0.0,0.0,0.0,4664.0,0.0,26812.0,0.0,8.0,586.0,18843.0,148.0,12.0,26.0,0.0
OnFleek,16.0,2.0,0.0,7.0,210.0,152.0,5.0,12894.0,307.0,17.6,84.0,20.0,28.0,20.0,20.0,2.0,0.48,0.48,0.67,22.3,7426.0,5554.0,1260.0,612.0,177.0,9.2,0.21,64.3,0.0,0.0,0.0,0.0,0.0,261.0,4.0,-9.0,0.0,0.0,1372.0,1372.0,16520.0,0.0,53302.0,0.0,24.0,747.0,36485.0,0.0,21.0,39.0,3.77
OnFleek,14.0,0.0,2.0,0.0,186.0,157.0,5.9,8889.0,281.0,17.6,49.0,24.0,14.0,15.0,13.0,1.55,0.76,0.47,0.44,24.0,3956.0,3310.0,531.0,115.0,125.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1410.0,6.0,-65.0,0.0,0.0,816.0,816.0,6732.0,0.0,26294.0,324.0,7.0,565.0,25283.0,21.0,15.0,30.0,0.0
OnFleek,11.0,0.0,3.0,2.0,117.0,105.0,5.3,6228.0,280.0,17.6,31.0,7.0,7.0,6.0,5.0,1.4,0.32,0.27,0.32,27.2,6513.0,5445.0,908.0,160.0,293.0,20.6,0.09,100.0,0.0,0.0,0.0,0.0,0.0,-1293.0,6.0,154.0,0.0,0.0,0.0,0.0,3583.0,0.0,15807.0,0.0,23.0,595.0,14357.0,84.0,6.0,19.0,0.0
OnFleek,16.0,0.0,3.0,3.0,186.0,150.0,4.7,10487.0,264.0,15.3,66.0,16.0,25.0,15.0,15.0,1.66,0.4,0.38,0.63,22.5,8096.0,6426.0,1289.0,381.0,204.0,10.5,0.08,33.3,0.0,0.0,0.0,0.0,0.0,-714.0,-2.0,-651.0,-1.0,0.0,2329.0,2329.0,10744.0,0.0,29459.0,0.0,7.0,177.0,31947.0,100.0,15.0,31.0,3.77
OnFleek,12.0,0.0,4.0,1.0,131.0,96.0,4.4,7218.0,240.0,16.9,50.0,12.0,21.0,11.0,10.0,1.66,0.4,0.37,0.7,28.1,7605.0,3675.0,3149.0,781.0,253.0,14.5,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-1281.0,-5.0,-753.0,-1.0,0.0,488.0,488.0,16797.0,0.0,24753.0,0.0,21.0,354.0,32291.0,89.0,11.0,30.0,0.0
OnFleek,13.0,1.0,5.0,3.0,135.0,108.0,4.1,9313.0,280.0,17.3,42.0,14.0,12.0,13.0,12.0,1.26,0.42,0.39,0.36,19.5,7466.0,5736.0,1142.0,588.0,225.0,13.3,0.12,66.7,0.0,0.0,0.0,0.0,0.0,318.0,-2.0,117.0,1.0,0.0,2220.0,2220.0,7804.0,0.0,19816.0,0.0,11.0,24.0,25896.0,122.0,13.0,31.0,0.0
OnFleek,14.0,1.0,4.0,0.0,163.0,132.0,5.3,8678.0,284.0,18.2,40.0,11.0,14.0,11.0,10.0,1.31,0.36,0.36,0.46,19.9,9548.0,7879.0,920.0,749.0,313.0,17.3,0.03,25.0,0.0,0.0,0.0,0.0,0.0,-492.0,-24.0,-586.0,0.0,0.0,0.0,0.0,11435.0,0.0,23337.0,0.0,13.0,509.0,32918.0,134.0,12.0,32.0,0.0
OnFleek,11.0,1.0,4.0,1.0,131.0,109.0,5.0,6931.0,265.0,18.8,36.0,12.0,9.0,12.0,11.0,1.38,0.46,0.46,0.34,22.9,2795.0,1367.0,1247.0,181.0,107.0,8.0,0.08,100.0,1.0,0.0,0.0,0.0,0.0,150.0,12.0,1275.0,1.0,0.0,205.0,205.0,9869.0,0.0,19871.0,0.0,19.0,1181.0,23600.0,127.0,12.0,25.0,0.0
