,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Vsta,13.0,1.0,2.0,14.0,26.0,0.0,0.8,8241.0,269.0,12.5,64.0,41.0,5.0,12.0,12.0,2.09,1.34,0.39,0.16,26.3,5956.0,870.0,4640.0,446.0,194.0,9.1,0.49,83.3,0.0,0.0,0.0,0.0,0.0,354.0,-6.0,3.0,0.0,0.0,71.0,71.0,3111.0,491.0,12375.0,1155.0,19.0,104.0,13683.0,52.0,15.0,27.0,3.77
Vsta,13.0,1.0,4.0,16.0,29.0,4.0,0.9,7924.0,241.0,12.1,71.0,46.0,4.0,15.0,14.0,2.16,1.4,0.46,0.12,29.6,7747.0,193.0,6313.0,1241.0,236.0,10.4,0.52,77.3,0.0,0.0,0.0,0.0,0.0,-219.0,-9.0,-2.0,0.0,1.0,0.0,0.0,2074.0,0.0,9164.0,0.0,34.0,120.0,14306.0,115.0,17.0,30.0,3.77
Vsta,12.0,1.0,4.0,2.0,32.0,0.0,1.0,6601.0,204.0,12.8,74.0,48.0,6.0,15.0,13.0,2.28,1.48,0.46,0.18,33.5,6782.0,184.0,5800.0,798.0,209.0,14.4,0.09,100.0,0.0,0.0,0.0,0.0,0.0,-470.0,14.0,-545.0,-1.0,0.0,186.0,186.0,4314.0,147.0,19154.0,2053.0,16.0,119.0,19822.0,114.0,17.0,30.0,0.0
Vsta,11.0,2.0,4.0,4.0,30.0,0.0,0.9,7318.0,229.0,13.7,70.0,42.0,8.0,15.0,13.0,2.19,1.31,0.47,0.25,32.4,6629.0,382.0,5170.0,1077.0,207.0,9.5,0.19,66.7,0.0,0.0,0.0,0.0,0.0,-812.0,-14.0,-1234.0,-1.0,0.0,0.0,0.0,1424.0,0.0,10287.0,0.0,41.0,184.0,15101.0,123.0,18.0,31.0,0.0
Vsta,12.0,0.0,3.0,2.0,22.0,0.0,0.7,6376.0,195.0,12.9,84.0,46.0,13.0,13.0,11.0,2.57,1.41,0.4,0.4,41.4,3029.0,201.0,2828.0,0.0,93.0,7.1,0.06,100.0,0.0,0.0,0.0,0.0,0.0,-779.0,4.0,-32.0,-1.0,0.0,0.0,0.0,1888.0,722.0,5272.0,4620.0,18.0,211.0,8497.0,39.0,15.0,30.0,0.0
Vsta,12.0,0.0,3.0,3.0,30.0,0.0,0.9,6767.0,193.0,12.1,77.0,50.0,8.0,16.0,14.0,2.19,1.42,0.46,0.23,29.2,2204.0,480.0,1232.0,492.0,63.0,5.5,0.09,75.0,0.0,0.0,0.0,0.0,0.0,-204.0,-7.0,22.0,0.0,0.0,0.0,0.0,136.0,0.0,15909.0,1487.0,23.0,141.0,11007.0,53.0,18.0,31.0,0.0
Vsta,10.0,1.0,3.0,1.0,20.0,0.0,0.6,6366.0,206.0,13.4,85.0,59.0,11.0,19.0,17.0,2.75,1.91,0.62,0.36,36.6,2182.0,178.0,1903.0,101.0,71.0,11.9,0.06,100.0,0.0,0.0,0.0,0.0,0.0,-392.0,-13.0,-12.0,0.0,0.0,130.0,130.0,3906.0,2585.0,4119.0,0.0,14.0,131.0,9149.0,72.0,21.0,33.0,0.0
Vsta,15.0,1.0,3.0,11.0,41.0,0.0,1.1,9295.0,253.0,12.9,90.0,67.0,14.0,18.0,18.0,2.45,1.82,0.49,0.38,32.4,6126.0,135.0,5353.0,638.0,167.0,8.4,0.33,70.6,0.0,0.0,0.0,0.0,0.0,-343.0,-13.0,-405.0,0.0,0.0,655.0,655.0,779.0,0.0,9021.0,0.0,20.0,89.0,12101.0,109.0,20.0,33.0,3.77
Vsta,10.0,1.0,4.0,1.0,25.0,0.0,0.9,5483.0,196.0,12.8,63.0,38.0,2.0,12.0,10.0,2.25,1.36,0.43,0.07,34.4,3007.0,541.0,1678.0,788.0,107.0,6.6,0.07,50.0,0.0,0.0,0.0,0.0,0.0,-311.0,18.0,-210.0,0.0,0.0,0.0,0.0,607.0,0.0,14730.0,0.0,35.0,190.0,12655.0,96.0,14.0,25.0,0.0
Vsta,12.0,0.0,3.0,1.0,32.0,0.0,1.0,6130.0,189.0,12.5,78.0,52.0,7.0,16.0,16.0,2.41,1.6,0.49,0.22,35.8,3137.0,0.0,2867.0,270.0,97.0,7.1,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-41.0,-2.0,839.0,1.0,0.0,0.0,0.0,1788.0,119.0,14294.0,4398.0,7.0,57.0,12370.0,78.0,18.0,31.0,0.0
