,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Ellim,10.0,0.0,5.0,2.0,116.0,94.0,4.7,6356.0,259.0,17.1,46.0,9.0,18.0,8.0,7.0,1.88,0.37,0.33,0.73,22.7,3602.0,3031.0,0.0,571.0,147.0,9.3,0.08,66.7,0.0,0.0,0.0,0.0,0.0,-784.0,-3.0,-203.0,0.0,0.0,0.0,0.0,4452.0,0.0,16058.0,0.0,14.0,210.0,17601.0,132.0,8.0,19.0,0.0
Ellim,13.0,0.0,3.0,3.0,142.0,123.0,4.3,8011.0,244.0,16.4,38.0,13.0,5.0,11.0,11.0,1.16,0.4,0.34,0.15,14.7,3176.0,2291.0,633.0,252.0,97.0,5.9,0.09,100.0,0.0,0.0,0.0,0.0,0.0,-644.0,-18.0,-358.0,0.0,0.0,0.0,0.0,5046.0,0.0,20709.0,0.0,14.0,1014.0,17541.0,95.0,11.0,24.0,0.0
Ellim,17.0,5.0,3.0,6.0,164.0,142.0,4.0,14266.0,350.0,19.8,55.0,16.0,14.0,16.0,16.0,1.35,0.39,0.39,0.34,15.3,9864.0,6805.0,2259.0,800.0,242.0,10.2,0.27,73.3,3.0,1.0,0.0,0.0,0.0,-319.0,-18.0,-932.0,-1.0,0.0,4283.0,4283.0,21236.0,0.0,42231.0,0.0,36.0,939.0,42138.0,107.0,16.0,38.0,0.0
Ellim,15.0,0.0,4.0,3.0,166.0,138.0,4.0,10267.0,247.0,16.5,51.0,14.0,11.0,15.0,13.0,1.22,0.34,0.36,0.26,17.3,4696.0,3021.0,1383.0,292.0,113.0,6.3,0.07,100.0,0.0,0.0,0.0,0.0,0.0,40.0,-12.0,-422.0,0.0,0.0,0.0,0.0,4789.0,0.0,32909.0,0.0,15.0,752.0,23428.0,121.0,15.0,31.0,0.0
Ellim,13.0,2.0,3.0,4.0,161.0,133.0,4.4,9786.0,268.0,17.1,52.0,17.0,12.0,17.0,15.0,1.42,0.47,0.47,0.33,18.9,6792.0,4479.0,304.0,2009.0,186.0,12.0,0.16,100.0,0.0,0.0,0.0,0.0,0.0,489.0,-12.0,285.0,0.0,0.0,0.0,0.0,4623.0,0.0,23615.0,0.0,18.0,506.0,19784.0,125.0,17.0,33.0,0.0
Ellim,14.0,0.0,3.0,4.0,153.0,134.0,4.3,9370.0,263.0,16.4,56.0,23.0,12.0,16.0,12.0,1.57,0.65,0.45,0.34,19.1,4556.0,3800.0,503.0,253.0,128.0,8.3,0.11,100.0,0.0,0.0,0.0,0.0,0.0,-307.0,-31.0,-894.0,-1.0,0.0,0.0,0.0,7058.0,0.0,27377.0,407.0,11.0,466.0,24572.0,119.0,16.0,34.0,0.0
Ellim,11.0,1.0,2.0,1.0,98.0,81.0,4.0,6564.0,270.0,18.2,33.0,9.0,10.0,7.0,7.0,1.36,0.37,0.29,0.41,22.6,5022.0,3985.0,591.0,446.0,206.0,19.0,0.08,100.0,0.0,0.0,0.0,0.0,0.0,-2209.0,-34.0,-1175.0,-1.0,0.0,262.0,262.0,3458.0,0.0,10018.0,0.0,6.0,117.0,13456.0,34.0,7.0,20.0,0.0
Ellim,12.0,1.0,5.0,3.0,117.0,104.0,4.5,6758.0,259.0,17.6,36.0,12.0,10.0,11.0,10.0,1.38,0.46,0.42,0.38,22.9,6651.0,6079.0,226.0,346.0,255.0,15.3,0.15,80.0,0.0,0.0,0.0,0.0,0.0,-535.0,-22.0,-552.0,0.0,0.0,0.0,0.0,6789.0,0.0,12978.0,0.0,10.0,414.0,21015.0,120.0,11.0,24.0,0.0
Ellim,17.0,1.0,2.0,9.0,173.0,126.0,4.3,11842.0,292.0,15.9,58.0,17.0,16.0,16.0,15.0,1.43,0.42,0.39,0.39,13.8,10760.0,3636.0,645.0,6479.0,265.0,14.4,0.25,58.8,0.0,0.0,0.0,0.0,0.0,-1121.0,-21.0,-460.0,0.0,0.0,398.0,398.0,7196.0,0.0,31850.0,0.0,15.0,437.0,27610.0,90.0,16.0,33.0,3.77
Ellim,14.0,3.0,0.0,5.0,157.0,123.0,5.0,10930.0,347.0,17.9,53.0,15.0,23.0,13.0,13.0,1.68,0.48,0.41,0.73,20.3,6659.0,5788.0,611.0,260.0,211.0,14.0,0.25,72.7,0.0,0.0,0.0,0.0,0.0,1148.0,7.0,680.0,1.0,1.0,2705.0,2705.0,8418.0,0.0,18069.0,0.0,6.0,115.0,19568.0,0.0,13.0,30.0,3.77
