,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
FATE,13.0,0.0,1.0,2.0,203.0,4.0,8.3,7902.0,322.0,21.3,40.0,20.0,11.0,3.0,3.0,1.63,0.82,0.12,0.45,19.7,14159.0,1217.0,12805.0,137.0,578.0,36.6,0.08,66.7,0.0,0.0,0.0,0.0,0.0,-504.0,-2.0,54.0,0.0,0.0,0.0,0.0,939.0,0.0,6687.0,0.0,10.0,30.0,12282.0,0.0,3.0,14.0,0.0
FATE,15.0,0.0,2.0,2.0,257.0,13.0,7.8,11167.0,340.0,22.9,39.0,14.0,13.0,7.0,7.0,1.19,0.43,0.21,0.4,15.1,15567.0,74.0,14760.0,733.0,474.0,29.0,0.06,66.7,0.0,0.0,0.0,0.0,0.0,59.0,18.0,862.0,1.0,0.0,1673.0,1673.0,1718.0,0.0,8969.0,0.0,9.0,202.0,17202.0,42.0,11.0,28.0,0.0
FATE,18.0,1.0,4.0,5.0,312.0,13.0,7.6,14577.0,357.0,20.2,70.0,24.0,19.0,4.0,4.0,1.71,0.59,0.1,0.47,19.5,23472.0,1568.0,21904.0,0.0,575.0,24.3,0.15,40.0,0.0,0.0,0.0,0.0,0.0,-750.0,-17.0,-1178.0,-1.0,0.0,2741.0,2741.0,1789.0,0.0,13158.0,0.0,19.0,107.0,23368.0,113.0,4.0,22.0,0.0
FATE,18.0,1.0,2.0,2.0,386.0,24.0,9.3,16334.0,392.0,26.3,43.0,15.0,9.0,6.0,5.0,1.03,0.36,0.14,0.22,14.6,28643.0,316.0,27363.0,964.0,688.0,38.2,0.07,100.0,0.0,0.0,0.0,0.0,0.0,111.0,-16.0,-404.0,0.0,0.0,1823.0,1823.0,2657.0,0.0,21197.0,0.0,14.0,359.0,22808.0,58.0,10.0,32.0,0.0
FATE,18.0,1.0,1.0,4.0,391.0,27.0,10.7,15279.0,418.0,26.7,27.0,7.0,4.0,3.0,2.0,0.74,0.19,0.08,0.11,9.8,14105.0,482.0,13573.0,50.0,386.0,24.8,0.14,83.3,0.0,0.0,0.0,0.0,0.0,182.0,2.0,-10.0,0.0,0.0,2723.0,2723.0,2457.0,276.0,6125.0,0.0,29.0,788.0,11694.0,0.0,4.0,20.0,0.0
FATE,18.0,2.0,2.0,2.0,368.0,12.0,10.3,14760.0,415.0,25.8,46.0,10.0,10.0,4.0,4.0,1.29,0.28,0.11,0.28,15.7,21195.0,468.0,20727.0,0.0,595.0,38.4,0.11,100.0,0.0,0.0,0.0,0.0,0.0,-438.0,-21.0,-870.0,-1.0,0.0,0.0,0.0,2741.0,290.0,5709.0,0.0,43.0,621.0,12106.0,45.0,6.0,28.0,0.0
FATE,13.0,0.0,4.0,1.0,201.0,0.0,8.3,8211.0,337.0,22.8,23.0,8.0,6.0,6.0,5.0,0.94,0.33,0.25,0.25,15.8,5433.0,463.0,4970.0,0.0,223.0,20.5,0.04,50.0,0.0,0.0,0.0,0.0,0.0,-1441.0,-18.0,-1043.0,0.0,0.0,592.0,592.0,1349.0,234.0,7531.0,0.0,7.0,48.0,13399.0,86.0,6.0,20.0,0.0
FATE,14.0,1.0,2.0,3.0,220.0,0.0,8.4,8834.0,339.0,23.0,12.0,11.0,2.0,4.0,3.0,0.46,0.42,0.15,0.08,7.6,8343.0,476.0,7867.0,0.0,320.0,19.2,0.15,80.0,0.0,0.0,0.0,0.0,0.0,-1753.0,-37.0,-1199.0,-1.0,0.0,0.0,0.0,864.0,0.0,9074.0,0.0,10.0,63.0,15693.0,63.0,4.0,21.0,0.0
FATE,18.0,3.0,1.0,10.0,367.0,34.0,9.1,17193.0,424.0,23.1,51.0,12.0,12.0,5.0,5.0,1.26,0.3,0.12,0.3,12.1,11987.0,579.0,10990.0,418.0,296.0,16.0,0.32,76.5,0.0,0.0,0.0,0.0,0.0,-369.0,-13.0,-293.0,0.0,0.0,3259.0,3259.0,3702.0,132.0,8020.0,0.0,16.0,226.0,12753.0,0.0,7.0,27.0,3.77
FATE,17.0,3.0,0.0,6.0,294.0,45.0,9.3,13219.0,419.0,21.6,36.0,13.0,11.0,11.0,11.0,1.14,0.41,0.35,0.35,13.8,8988.0,1389.0,7551.0,48.0,285.0,18.9,0.29,81.8,0.0,0.0,0.0,0.0,0.0,378.0,10.0,170.0,0.0,0.0,4092.0,4092.0,1882.0,0.0,6598.0,0.0,13.0,117.0,10078.0,0.0,13.0,26.0,3.77
FATE,18.0,3.0,1.0,1.0,351.0,2.0,8.4,16161.0,385.0,23.5,44.0,19.0,5.0,10.0,10.0,1.05,0.45,0.24,0.12,11.3,33333.0,382.0,32951.0,0.0,793.0,36.1,0.1,80.0,0.0,0.0,1.0,0.0,0.0,175.0,8.0,60.0,0.0,0.0,5210.0,5210.0,1549.0,0.0,10683.0,0.0,12.0,272.0,15518.0,0.0,13.0,34.0,0.0
FATE,17.0,3.0,1.0,12.0,268.0,37.0,7.5,12916.0,363.0,20.0,46.0,20.0,7.0,10.0,10.0,1.29,0.56,0.28,0.2,14.6,15036.0,1306.0,13381.0,349.0,423.0,20.8,0.42,83.3,0.0,1.0,0.0,0.0,0.0,375.0,8.0,457.0,1.0,0.0,1370.0,1370.0,2320.0,248.0,4683.0,0.0,39.0,624.0,9938.0,45.0,13.0,28.0,3.77
FATE,18.0,5.0,2.0,6.0,379.0,43.0,8.5,18054.0,406.0,22.7,49.0,15.0,7.0,8.0,7.0,1.1,0.34,0.18,0.16,12.1,19168.0,904.0,18037.0,227.0,431.0,25.4,0.25,78.6,0.0,1.0,0.0,0.0,0.0,261.0,10.0,-321.0,-1.0,0.0,1459.0,1459.0,2908.0,304.0,4064.0,0.0,32.0,768.0,9867.0,45.0,11.0,30.0,3.77
FATE,16.0,0.0,2.0,6.0,282.0,11.0,9.0,11098.0,355.0,22.2,23.0,12.0,4.0,6.0,5.0,0.74,0.38,0.19,0.13,9.7,16332.0,1091.0,15017.0,224.0,522.0,31.3,0.19,100.0,0.0,0.0,0.0,0.0,0.0,-703.0,2.0,58.0,0.0,0.0,580.0,580.0,2191.0,0.0,5435.0,0.0,45.0,610.0,10878.0,30.0,8.0,22.0,0.0
FATE,18.0,2.0,2.0,7.0,471.0,42.0,9.3,19343.0,382.0,24.0,40.0,17.0,5.0,6.0,6.0,0.79,0.34,0.12,0.1,8.7,30946.0,835.0,29658.0,453.0,612.0,28.2,0.18,75.0,0.0,0.0,0.0,0.0,0.0,-84.0,-3.0,-115.0,0.0,0.0,776.0,776.0,5407.0,157.0,9991.0,0.0,50.0,1006.0,22089.0,62.0,10.0,27.0,0.0
FATE,15.0,1.0,3.0,4.0,249.0,0.0,7.9,10527.0,332.0,21.2,21.0,8.0,3.0,6.0,6.0,0.66,0.25,0.19,0.09,8.3,18534.0,1318.0,16696.0,520.0,585.0,35.4,0.16,71.4,0.0,0.0,0.0,0.0,0.0,-891.0,-7.0,-763.0,-1.0,0.0,0.0,0.0,1692.0,0.0,6065.0,0.0,25.0,191.0,12727.0,66.0,8.0,22.0,0.0
FATE,17.0,3.0,1.0,4.0,332.0,12.0,8.3,14677.0,366.0,22.9,69.0,34.0,13.0,11.0,11.0,1.72,0.85,0.27,0.32,20.7,17731.0,919.0,12501.0,4311.0,443.0,26.6,0.17,70.0,0.0,0.0,0.0,0.0,0.0,570.0,17.0,351.0,0.0,0.0,1566.0,1566.0,6210.0,0.0,12859.0,0.0,25.0,105.0,17087.0,0.0,13.0,32.0,0.0
FATE,16.0,6.0,1.0,2.0,281.0,4.0,8.7,13002.0,401.0,24.3,40.0,8.0,17.0,6.0,6.0,1.23,0.25,0.19,0.52,16.8,12715.0,782.0,8863.0,3070.0,392.0,21.2,0.25,72.7,0.0,1.0,0.0,0.0,0.0,158.0,0.0,179.0,0.0,0.0,885.0,885.0,4065.0,0.0,6973.0,0.0,20.0,91.0,12023.0,0.0,8.0,21.0,0.0
FATE,17.0,6.0,1.0,6.0,276.0,24.0,8.9,13849.0,449.0,22.7,43.0,13.0,5.0,5.0,5.0,1.39,0.42,0.16,0.16,15.3,11602.0,1009.0,10430.0,163.0,376.0,22.7,0.39,70.6,0.0,0.0,0.0,0.0,0.0,-422.0,-13.0,-32.0,0.0,0.0,1378.0,1378.0,1940.0,0.0,5945.0,0.0,21.0,455.0,11804.0,32.0,5.0,21.0,3.77
FATE,17.0,1.0,2.0,4.0,302.0,15.0,9.4,11745.0,365.0,22.8,28.0,9.0,6.0,9.0,7.0,0.87,0.28,0.28,0.19,12.7,11003.0,1148.0,9578.0,277.0,342.0,22.1,0.16,71.4,0.0,0.0,0.0,0.0,0.0,-704.0,-2.0,-331.0,0.0,0.0,2185.0,2185.0,2127.0,220.0,8069.0,0.0,19.0,246.0,11948.0,16.0,12.0,30.0,0.0
FATE,18.0,1.0,2.0,3.0,308.0,30.0,7.3,13235.0,314.0,19.5,38.0,20.0,8.0,16.0,16.0,0.9,0.48,0.38,0.19,10.6,23114.0,1468.0,21646.0,0.0,549.0,25.3,0.1,66.7,0.0,0.0,0.0,0.0,0.0,45.0,5.0,78.0,0.0,0.0,0.0,0.0,16243.0,0.0,23563.0,0.0,41.0,531.0,28884.0,12.0,18.0,36.0,0.0
FATE,15.0,1.0,2.0,3.0,239.0,10.0,8.9,10127.0,377.0,22.0,22.0,10.0,2.0,7.0,6.0,0.82,0.37,0.26,0.07,11.6,8424.0,1029.0,7293.0,102.0,314.0,20.5,0.15,100.0,0.0,0.0,0.0,0.0,0.0,346.0,5.0,-684.0,-1.0,0.0,2758.0,2758.0,815.0,0.0,5572.0,0.0,19.0,189.0,10881.0,38.0,10.0,22.0,0.0
FATE,17.0,0.0,2.0,0.0,315.0,8.0,9.3,11561.0,340.0,22.8,26.0,7.0,7.0,5.0,5.0,0.76,0.21,0.15,0.21,10.5,8973.0,554.0,8419.0,0.0,264.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1115.0,-8.0,-656.0,0.0,0.0,0.0,0.0,4130.0,0.0,21139.0,0.0,22.0,498.0,27572.0,45.0,6.0,19.0,0.0
FATE,16.0,2.0,2.0,11.0,277.0,0.0,8.4,12514.0,377.0,19.3,62.0,31.0,11.0,13.0,11.0,1.87,0.94,0.39,0.33,21.1,17448.0,1373.0,15838.0,237.0,526.0,25.6,0.39,86.7,0.0,1.0,0.0,0.0,0.0,122.0,2.0,14.0,0.0,0.0,1596.0,1596.0,2961.0,0.0,11134.0,0.0,41.0,309.0,18523.0,73.0,17.0,34.0,3.77
FATE,14.0,2.0,2.0,3.0,239.0,9.0,9.3,9789.0,380.0,23.8,21.0,8.0,7.0,5.0,5.0,0.82,0.31,0.19,0.27,11.9,5027.0,626.0,4357.0,44.0,195.0,16.8,0.19,100.0,0.0,0.0,0.0,0.0,0.0,620.0,-5.0,68.0,0.0,0.0,0.0,0.0,381.0,0.0,7811.0,0.0,13.0,98.0,13292.0,38.0,5.0,22.0,0.0
FATE,16.0,1.0,0.0,7.0,269.0,34.0,9.2,11649.0,398.0,20.8,26.0,6.0,6.0,2.0,2.0,0.89,0.21,0.07,0.21,12.1,11316.0,735.0,10246.0,335.0,387.0,27.3,0.27,66.7,0.0,0.0,0.0,0.0,0.0,-57.0,-5.0,188.0,1.0,0.0,1305.0,1305.0,2027.0,0.0,4083.0,0.0,24.0,508.0,9095.0,0.0,5.0,19.0,3.77
FATE,18.0,2.0,1.0,7.0,353.0,26.0,7.5,17451.0,370.0,20.4,48.0,23.0,8.0,18.0,18.0,1.02,0.49,0.38,0.17,12.2,15362.0,1064.0,14215.0,83.0,326.0,18.9,0.19,81.8,0.0,0.0,0.0,0.0,0.0,-856.0,-12.0,-511.0,-1.0,0.0,2967.0,2967.0,12695.0,0.0,31157.0,0.0,44.0,763.0,37983.0,49.0,19.0,41.0,3.77
FATE,18.0,1.0,0.0,3.0,356.0,41.0,11.7,13040.0,429.0,21.3,39.0,16.0,11.0,12.0,11.0,1.28,0.53,0.4,0.36,15.4,5782.0,278.0,5504.0,0.0,190.0,16.1,0.13,40.0,1.0,0.0,0.0,0.0,0.0,-176.0,-3.0,299.0,0.0,0.0,2316.0,2316.0,2165.0,0.0,5787.0,0.0,10.0,83.0,11321.0,0.0,12.0,27.0,3.77
FATE,15.0,0.0,2.0,1.0,261.0,14.0,8.1,10407.0,325.0,21.1,41.0,21.0,9.0,6.0,6.0,1.28,0.66,0.19,0.28,16.7,13053.0,1900.0,8382.0,2771.0,407.0,27.8,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-686.0,-17.0,-1519.0,-1.0,0.0,546.0,546.0,3668.0,0.0,8725.0,0.0,4.0,25.0,12566.0,32.0,8.0,22.0,0.0
FATE,15.0,0.0,1.0,0.0,279.0,0.0,9.4,10049.0,337.0,23.1,18.0,13.0,1.0,5.0,4.0,0.6,0.44,0.17,0.03,8.5,6966.0,892.0,5864.0,210.0,233.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1545.0,-21.0,-1039.0,-1.0,0.0,166.0,166.0,1624.0,0.0,12181.0,0.0,15.0,161.0,18711.0,32.0,5.0,24.0,0.0
FATE,18.0,2.0,2.0,10.0,317.0,5.0,8.2,14239.0,367.0,19.3,41.0,13.0,11.0,11.0,11.0,1.06,0.33,0.28,0.28,10.8,9446.0,3005.0,6197.0,244.0,243.0,12.2,0.31,63.2,0.0,0.0,0.0,0.0,0.0,-1130.0,-10.0,-132.0,0.0,0.0,685.0,685.0,2858.0,318.0,36530.0,0.0,24.0,2153.0,20847.0,47.0,12.0,31.0,3.77
FATE,16.0,2.0,1.0,7.0,239.0,0.0,7.6,11420.0,365.0,19.9,31.0,9.0,6.0,6.0,6.0,0.99,0.29,0.19,0.19,10.2,12024.0,1229.0,10445.0,350.0,385.0,20.4,0.29,75.0,0.0,0.0,0.0,0.0,0.0,-683.0,-22.0,-186.0,0.0,0.0,2491.0,2491.0,6372.0,0.0,14918.0,0.0,40.0,357.0,19879.0,49.0,6.0,14.0,3.77
FATE,14.0,1.0,3.0,5.0,198.0,3.0,7.1,8794.0,315.0,20.2,22.0,8.0,2.0,7.0,6.0,0.79,0.29,0.25,0.07,10.8,5874.0,1673.0,4001.0,200.0,210.0,13.8,0.21,75.0,0.0,0.0,0.0,0.0,0.0,-14.0,-2.0,-380.0,0.0,0.0,0.0,0.0,853.0,0.0,25248.0,0.0,11.0,980.0,26076.0,68.0,8.0,24.0,0.0
FATE,17.0,1.0,1.0,0.0,334.0,16.0,10.4,12759.0,397.0,25.8,34.0,22.0,8.0,15.0,13.0,1.06,0.68,0.47,0.25,13.7,13271.0,562.0,12041.0,668.0,413.0,34.6,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-1594.0,3.0,-240.0,-1.0,0.0,0.0,0.0,1257.0,0.0,8068.0,0.0,8.0,220.0,11958.0,0.0,18.0,34.0,0.0
FATE,17.0,4.0,1.0,8.0,329.0,13.0,9.4,15780.0,450.0,26.3,59.0,28.0,10.0,12.0,11.0,1.68,0.8,0.34,0.29,21.5,21275.0,1218.0,14771.0,5286.0,607.0,28.7,0.34,92.3,1.0,0.0,0.0,0.0,0.0,812.0,-1.0,893.0,0.0,0.0,966.0,966.0,5439.0,0.0,8071.0,0.0,24.0,92.0,15958.0,0.0,13.0,27.0,0.0
FATE,16.0,1.0,1.0,2.0,280.0,8.0,8.4,11900.0,358.0,21.6,36.0,15.0,13.0,12.0,12.0,1.08,0.45,0.36,0.39,14.6,11767.0,1258.0,7215.0,3294.0,354.0,19.0,0.09,37.5,0.0,0.0,0.0,0.0,0.0,-526.0,8.0,327.0,0.0,0.0,1675.0,1675.0,1693.0,0.0,5974.0,0.0,8.0,67.0,9218.0,50.0,15.0,32.0,0.0
FATE,18.0,4.0,2.0,7.0,399.0,5.0,8.8,18803.0,415.0,23.1,67.0,17.0,22.0,15.0,15.0,1.48,0.37,0.33,0.49,17.7,16906.0,1054.0,10303.0,5549.0,373.0,18.2,0.24,78.6,0.0,1.0,0.0,0.0,0.0,-505.0,4.0,-161.0,0.0,0.0,3747.0,3747.0,5742.0,318.0,12017.0,0.0,11.0,114.0,15419.0,54.0,18.0,39.0,0.0
FATE,15.0,0.0,1.0,2.0,265.0,4.0,8.0,11369.0,343.0,21.2,69.0,29.0,18.0,9.0,9.0,2.08,0.87,0.27,0.54,23.5,16440.0,1043.0,15397.0,0.0,496.0,27.1,0.06,33.3,0.0,0.0,0.0,0.0,0.0,56.0,-9.0,-378.0,0.0,0.0,3846.0,3846.0,2657.0,0.0,8732.0,0.0,9.0,34.0,12117.0,0.0,11.0,23.0,0.0
FATE,17.0,3.0,4.0,3.0,331.0,26.0,9.0,14652.0,400.0,24.9,35.0,12.0,9.0,11.0,9.0,0.95,0.33,0.3,0.25,11.3,18336.0,762.0,17478.0,96.0,500.0,30.1,0.16,85.7,0.0,0.0,0.0,0.0,0.0,1404.0,4.0,738.0,1.0,0.0,791.0,791.0,1703.0,0.0,8368.0,0.0,28.0,638.0,14203.0,127.0,13.0,32.0,0.0
FATE,17.0,2.0,1.0,9.0,241.0,12.0,7.6,14103.0,444.0,21.6,27.0,9.0,6.0,5.0,5.0,0.85,0.28,0.16,0.19,9.2,10734.0,1244.0,9055.0,435.0,338.0,19.5,0.35,64.7,0.0,0.0,0.0,0.0,0.0,1638.0,6.0,395.0,1.0,0.0,2851.0,2851.0,1672.0,0.0,6693.0,0.0,18.0,185.0,9435.0,0.0,5.0,19.0,3.77
FATE,18.0,3.0,1.0,6.0,330.0,10.0,8.5,14741.0,380.0,22.6,50.0,24.0,11.0,10.0,8.0,1.29,0.62,0.26,0.28,16.4,20796.0,1563.0,13717.0,5516.0,536.0,32.1,0.23,81.8,0.0,1.0,0.0,0.0,0.0,1334.0,10.0,-185.0,0.0,0.0,676.0,676.0,6839.0,0.0,11404.0,0.0,23.0,94.0,18707.0,35.0,11.0,30.0,0.0
