,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Hoit,9.0,0.0,5.0,2.0,30.0,0.0,1.2,4833.0,197.0,13.0,63.0,34.0,8.0,14.0,12.0,2.57,1.39,0.57,0.33,31.0,4220.0,264.0,3028.0,928.0,172.0,10.9,0.08,66.7,0.0,0.0,0.0,0.0,0.0,-798.0,-7.0,-666.0,0.0,0.0,0.0,0.0,0.0,0.0,6233.0,0.0,25.0,87.0,10373.0,90.0,16.0,25.0,0.0
Hoit,11.0,2.0,2.0,1.0,25.0,0.0,0.8,7085.0,216.0,14.5,115.0,54.0,24.0,18.0,16.0,3.5,1.64,0.55,0.73,44.4,5078.0,569.0,4183.0,326.0,155.0,9.5,0.09,100.0,0.0,0.0,0.0,0.0,0.0,109.0,-11.0,-517.0,0.0,0.0,0.0,0.0,4009.0,2057.0,11000.0,2306.0,9.0,29.0,8991.0,68.0,20.0,31.0,0.0
Hoit,14.0,0.0,2.0,10.0,34.0,1.0,0.8,9665.0,237.0,13.4,118.0,75.0,21.0,28.0,26.0,2.89,1.84,0.69,0.51,32.9,9799.0,801.0,7566.0,1432.0,240.0,10.1,0.24,66.7,0.0,0.0,0.0,0.0,0.0,-135.0,-6.0,-212.0,-1.0,0.0,1075.0,1075.0,1077.0,0.0,7284.0,8776.0,14.0,148.0,11496.0,49.0,30.0,46.0,0.0
Hoit,9.0,0.0,3.0,0.0,29.0,0.0,1.2,4813.0,198.0,13.4,60.0,37.0,10.0,14.0,12.0,2.46,1.52,0.57,0.41,41.1,1284.0,314.0,760.0,210.0,53.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,3.0,25.0,0.0,0.0,0.0,0.0,93.0,0.0,6151.0,0.0,10.0,50.0,6937.0,71.0,16.0,28.0,0.0
Hoit,11.0,0.0,0.0,5.0,28.0,0.0,1.1,5070.0,195.0,13.2,52.0,36.0,4.0,12.0,9.0,1.99,1.38,0.46,0.15,33.1,3830.0,283.0,3547.0,0.0,147.0,8.8,0.19,100.0,0.0,0.0,0.0,0.0,0.0,-202.0,1.0,703.0,1.0,0.0,0.0,0.0,6978.0,6898.0,899.0,1763.0,20.0,30.0,927.0,0.0,14.0,26.0,0.0
Hoit,16.0,1.0,0.0,12.0,37.0,0.0,0.9,10043.0,248.0,13.5,152.0,113.0,24.0,20.0,19.0,3.75,2.79,0.49,0.59,36.1,5068.0,1171.0,3178.0,719.0,125.0,6.8,0.32,76.5,0.0,0.0,0.0,0.0,0.0,396.0,12.0,253.0,0.0,0.0,2198.0,2198.0,2003.0,0.0,10140.0,8492.0,12.0,246.0,8994.0,0.0,24.0,39.0,3.77
Hoit,13.0,0.0,0.0,8.0,28.0,0.0,0.9,7346.0,233.0,12.0,75.0,50.0,5.0,15.0,15.0,2.38,1.59,0.48,0.16,28.7,2430.0,650.0,993.0,787.0,77.0,5.1,0.25,72.7,0.0,0.0,0.0,0.0,0.0,191.0,15.0,-446.0,-1.0,0.0,240.0,240.0,101.0,0.0,8070.0,0.0,20.0,90.0,4801.0,0.0,17.0,29.0,3.77
Hoit,17.0,0.0,3.0,5.0,353.0,12.0,8.4,15675.0,373.0,22.8,72.0,36.0,11.0,21.0,21.0,1.71,0.86,0.5,0.26,18.5,13177.0,505.0,12672.0,0.0,314.0,14.3,0.12,100.0,0.0,0.0,0.0,0.0,0.0,452.0,10.0,691.0,1.0,0.0,4313.0,4313.0,10057.0,6554.0,12127.0,8508.0,17.0,408.0,16668.0,98.0,23.0,45.0,0.0
Hoit,14.0,2.0,0.0,9.0,43.0,0.0,1.2,8519.0,239.0,13.2,113.0,58.0,18.0,19.0,18.0,3.18,1.63,0.53,0.51,35.9,3099.0,433.0,1902.0,764.0,87.0,4.3,0.31,61.1,0.0,0.0,0.0,0.0,0.0,358.0,-2.0,-119.0,0.0,0.0,204.0,204.0,825.0,0.0,10499.0,0.0,29.0,139.0,7497.0,0.0,22.0,33.0,3.77
Hoit,16.0,0.0,3.0,11.0,36.0,0.0,0.8,9261.0,208.0,11.6,135.0,88.0,15.0,25.0,25.0,3.03,1.98,0.56,0.34,33.3,3554.0,852.0,2077.0,625.0,80.0,4.7,0.25,78.6,0.0,0.0,0.0,0.0,0.0,-351.0,-8.0,20.0,0.0,0.0,143.0,143.0,1378.0,0.0,14709.0,0.0,32.0,144.0,11931.0,45.0,28.0,39.0,3.77
Hoit,11.0,0.0,2.0,4.0,33.0,0.0,1.1,6305.0,202.0,12.6,91.0,60.0,12.0,18.0,16.0,2.91,1.92,0.58,0.38,38.2,2833.0,506.0,1777.0,550.0,91.0,5.4,0.13,66.7,0.0,0.0,0.0,0.0,0.0,-185.0,-4.0,-10.0,0.0,0.0,152.0,152.0,968.0,438.0,7941.0,357.0,14.0,27.0,7710.0,68.0,20.0,33.0,0.0
