,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Kiin,14.0,1.0,2.0,0.0,210.0,9.0,8.6,8563.0,349.0,23.0,25.0,9.0,6.0,3.0,2.0,1.02,0.37,0.12,0.24,12.3,10411.0,9463.0,900.0,48.0,425.0,26.9,0.04,33.3,0.0,0.0,0.0,0.0,0.0,-1298.0,-11.0,-530.0,-1.0,0.0,3148.0,3148.0,2932.0,0.0,14859.0,0.0,26.0,327.0,17635.0,53.0,5.0,20.0,0.0
Kiin,15.0,0.0,2.0,2.0,206.0,8.0,6.3,8886.0,271.0,18.2,29.0,12.0,5.0,6.0,6.0,0.88,0.37,0.18,0.15,11.2,15130.0,2374.0,12756.0,0.0,461.0,28.2,0.06,66.7,0.0,0.0,0.0,0.0,0.0,-440.0,-20.0,-1.0,0.0,0.0,0.0,0.0,15154.0,0.0,30988.0,0.0,30.0,876.0,29336.0,39.0,8.0,23.0,0.0
Kiin,17.0,0.0,8.0,7.0,228.0,5.0,5.6,12451.0,305.0,17.3,45.0,19.0,14.0,14.0,12.0,1.1,0.47,0.34,0.34,12.5,22373.0,2911.0,19462.0,0.0,548.0,23.2,0.17,46.7,0.0,0.0,0.0,0.0,0.0,-35.0,7.0,924.0,0.0,0.0,4036.0,4036.0,16197.0,0.0,59165.0,0.0,58.0,1101.0,52937.0,317.0,16.0,33.0,0.0
Kiin,16.0,0.0,4.0,3.0,238.0,4.0,5.7,11642.0,280.0,18.8,36.0,16.0,7.0,11.0,10.0,0.86,0.38,0.26,0.17,12.2,9049.0,3516.0,5533.0,0.0,217.0,12.1,0.07,100.0,0.0,0.0,0.0,0.0,0.0,-39.0,-11.0,-555.0,0.0,0.0,1634.0,1634.0,3425.0,0.0,60290.0,0.0,28.0,2060.0,38384.0,142.0,12.0,33.0,0.0
Kiin,15.0,0.0,3.0,3.0,219.0,6.0,6.0,9885.0,271.0,17.3,46.0,14.0,11.0,10.0,9.0,1.26,0.38,0.27,0.3,16.7,9173.0,5792.0,3381.0,0.0,251.0,16.2,0.08,50.0,0.0,0.0,0.0,0.0,0.0,44.0,-5.0,353.0,0.0,0.0,774.0,774.0,2509.0,0.0,30884.0,0.0,22.0,603.0,25495.0,99.0,11.0,27.0,0.0
Kiin,15.0,0.0,4.0,3.0,202.0,6.0,5.7,9612.0,270.0,16.8,29.0,15.0,2.0,9.0,9.0,0.81,0.42,0.25,0.06,9.9,13033.0,4926.0,8107.0,0.0,366.0,23.6,0.08,75.0,0.0,0.0,0.0,0.0,0.0,337.0,6.0,293.0,0.0,0.0,0.0,0.0,1965.0,0.0,36991.0,0.0,37.0,903.0,27662.0,132.0,10.0,28.0,0.0
Kiin,12.0,0.0,3.0,0.0,170.0,0.0,7.0,7313.0,300.0,20.3,15.0,9.0,2.0,4.0,3.0,0.62,0.37,0.16,0.08,10.3,8585.0,1895.0,6690.0,0.0,353.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-888.0,-34.0,-1930.0,-2.0,0.0,136.0,136.0,1228.0,0.0,6290.0,0.0,11.0,41.0,9454.0,67.0,7.0,24.0,0.0
Kiin,13.0,2.0,5.0,2.0,184.0,2.0,7.1,8256.0,317.0,21.5,24.0,10.0,6.0,5.0,5.0,0.92,0.38,0.19,0.23,15.3,14499.0,1989.0,8761.0,3749.0,556.0,33.3,0.15,80.0,0.0,1.0,0.0,0.0,0.0,-2108.0,-22.0,-1360.0,-1.0,0.0,93.0,93.0,1996.0,0.0,16290.0,0.0,5.0,47.0,21556.0,135.0,6.0,25.0,0.0
Kiin,18.0,8.0,0.0,7.0,344.0,20.0,8.5,18307.0,452.0,24.6,76.0,14.0,32.0,9.0,9.0,1.88,0.35,0.22,0.79,18.1,23345.0,1632.0,12822.0,8891.0,576.0,31.2,0.37,88.2,0.0,0.0,0.0,0.0,0.0,836.0,21.0,1161.0,1.0,0.0,8999.0,8999.0,4611.0,0.0,29022.0,0.0,7.0,134.0,25286.0,0.0,10.0,31.0,3.77
Kiin,18.0,3.0,0.0,6.0,308.0,31.0,9.8,15729.0,499.0,25.7,40.0,12.0,11.0,10.0,8.0,1.27,0.38,0.32,0.35,15.3,18323.0,14878.0,3397.0,48.0,581.0,38.6,0.29,81.8,0.0,1.0,0.0,0.0,0.0,1278.0,13.0,663.0,0.0,0.0,8565.0,8565.0,5068.0,0.0,12897.0,0.0,26.0,466.0,15877.0,0.0,11.0,33.0,3.77
Kiin,18.0,0.0,5.0,2.0,337.0,39.0,8.0,13965.0,332.0,20.3,49.0,16.0,8.0,9.0,8.0,1.17,0.38,0.21,0.19,12.6,18301.0,16096.0,2205.0,0.0,436.0,19.8,0.05,40.0,0.0,0.0,0.0,0.0,0.0,-532.0,-12.0,-480.0,0.0,0.0,95.0,95.0,4337.0,0.0,37569.0,0.0,40.0,584.0,33164.0,197.0,10.0,33.0,0.0
Kiin,17.0,4.0,2.0,7.0,271.0,19.0,7.6,14689.0,413.0,22.7,33.0,15.0,7.0,6.0,6.0,0.93,0.42,0.17,0.2,10.5,19478.0,16272.0,3206.0,0.0,547.0,27.0,0.31,61.1,0.0,1.0,0.0,0.0,0.0,-831.0,-19.0,-634.0,-1.0,0.0,7551.0,7551.0,8397.0,0.0,22851.0,0.0,21.0,463.0,27102.0,62.0,8.0,27.0,3.77
Kiin,18.0,2.0,3.0,7.0,413.0,24.0,9.3,18807.0,423.0,23.6,65.0,22.0,18.0,16.0,16.0,1.46,0.49,0.36,0.4,16.0,15607.0,12205.0,3402.0,0.0,351.0,20.7,0.2,64.3,0.0,0.0,0.0,0.0,0.0,641.0,13.0,1126.0,1.0,0.0,3925.0,3925.0,4629.0,0.0,28215.0,0.0,22.0,647.0,24614.0,159.0,18.0,39.0,3.77
Kiin,15.0,2.0,4.0,3.0,237.0,16.0,7.6,10516.0,336.0,21.0,37.0,11.0,11.0,8.0,6.0,1.18,0.35,0.26,0.35,15.5,13601.0,2675.0,7702.0,3224.0,435.0,26.1,0.16,83.3,0.0,0.0,0.0,0.0,0.0,-1947.0,-19.0,-773.0,0.0,0.0,688.0,688.0,3090.0,0.0,19644.0,0.0,8.0,178.0,24332.0,89.0,10.0,30.0,0.0
Kiin,18.0,4.0,3.0,1.0,407.0,30.0,8.0,19228.0,380.0,23.9,72.0,22.0,23.0,12.0,11.0,1.42,0.43,0.24,0.45,15.6,19352.0,10437.0,1502.0,7413.0,382.0,17.7,0.1,41.7,0.0,1.0,0.0,0.0,0.0,1817.0,24.0,870.0,0.0,0.0,8755.0,8755.0,9844.0,0.0,73044.0,0.0,8.0,1082.0,51733.0,110.0,13.0,39.0,0.0
Kiin,16.0,2.0,3.0,0.0,295.0,24.0,9.3,11680.0,369.0,23.6,36.0,14.0,7.0,6.0,6.0,1.14,0.44,0.19,0.22,14.2,8120.0,1494.0,3973.0,2653.0,256.0,15.5,0.06,28.6,0.0,1.0,0.0,0.0,0.0,-128.0,2.0,76.0,0.0,0.0,0.0,0.0,1183.0,0.0,18870.0,0.0,0.0,13.0,21347.0,94.0,7.0,24.0,0.0
Kiin,17.0,1.0,1.0,5.0,300.0,6.0,7.5,14427.0,360.0,22.5,45.0,19.0,12.0,13.0,13.0,1.12,0.47,0.32,0.3,13.5,18624.0,342.0,17549.0,733.0,465.0,27.9,0.15,60.0,0.0,0.0,0.0,0.0,0.0,382.0,16.0,481.0,0.0,0.0,6245.0,6245.0,7594.0,0.0,25613.0,0.0,30.0,616.0,27884.0,0.0,15.0,36.0,0.0
Kiin,16.0,0.0,3.0,3.0,268.0,15.0,8.3,12351.0,381.0,23.1,29.0,15.0,5.0,7.0,5.0,0.89,0.46,0.22,0.15,12.2,21748.0,13759.0,6726.0,1263.0,671.0,36.2,0.09,27.3,0.0,0.0,0.0,0.0,0.0,-457.0,-4.0,-835.0,0.0,0.0,2944.0,2944.0,5815.0,0.0,16095.0,0.0,17.0,348.0,23429.0,140.0,7.0,27.0,0.0
Kiin,17.0,1.0,1.0,11.0,270.0,15.0,8.7,12941.0,419.0,21.2,46.0,15.0,8.0,9.0,9.0,1.49,0.49,0.29,0.26,16.4,15773.0,3008.0,8554.0,4211.0,511.0,30.8,0.39,70.6,0.0,0.0,0.0,0.0,0.0,-1337.0,-7.0,754.0,1.0,0.0,12219.0,12219.0,5246.0,0.0,27304.0,0.0,3.0,50.0,25046.0,51.0,11.0,29.0,3.77
Kiin,16.0,3.0,5.0,3.0,276.0,15.0,8.6,12340.0,383.0,24.0,28.0,17.0,7.0,6.0,6.0,0.87,0.53,0.19,0.22,12.7,12908.0,9052.0,3856.0,0.0,401.0,26.0,0.19,85.7,0.0,0.0,0.0,0.0,0.0,1032.0,22.0,-72.0,0.0,1.0,3268.0,3268.0,3185.0,0.0,26759.0,0.0,11.0,58.0,24481.0,144.0,7.0,24.0,0.0
Kiin,18.0,1.0,4.0,3.0,353.0,32.0,8.4,17081.0,406.0,25.1,55.0,22.0,6.0,11.0,8.0,1.31,0.52,0.26,0.14,15.4,31673.0,19370.0,7600.0,4703.0,753.0,34.7,0.1,66.7,0.0,0.0,0.0,0.0,0.0,811.0,12.0,302.0,0.0,0.0,3514.0,3514.0,10240.0,0.0,29205.0,0.0,15.0,351.0,39912.0,166.0,11.0,27.0,0.0
Kiin,15.0,0.0,4.0,1.0,242.0,5.0,9.0,11440.0,426.0,24.8,27.0,14.0,5.0,5.0,5.0,1.01,0.52,0.19,0.19,14.3,16912.0,12120.0,3003.0,1789.0,630.0,41.2,0.04,25.0,0.0,0.0,0.0,0.0,0.0,310.0,12.0,-94.0,0.0,0.0,4787.0,4787.0,3612.0,0.0,11904.0,0.0,8.0,181.0,17998.0,142.0,5.0,22.0,0.0
Kiin,16.0,0.0,3.0,0.0,256.0,14.0,7.5,10675.0,314.0,21.1,26.0,11.0,6.0,5.0,5.0,0.76,0.32,0.15,0.18,10.5,17180.0,14182.0,2788.0,210.0,505.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-856.0,18.0,175.0,0.0,0.0,694.0,694.0,4002.0,0.0,33475.0,0.0,22.0,615.0,37491.0,135.0,6.0,25.0,0.0
Kiin,18.0,4.0,1.0,5.0,339.0,44.0,10.2,16697.0,504.0,25.8,30.0,18.0,1.0,7.0,6.0,0.9,0.54,0.21,0.03,10.2,20495.0,11478.0,1422.0,7595.0,618.0,30.1,0.27,60.0,0.0,0.0,1.0,0.0,0.0,1952.0,14.0,370.0,0.0,0.0,13991.0,13991.0,6103.0,409.0,26997.0,0.0,10.0,245.0,28591.0,48.0,10.0,28.0,3.77
Kiin,14.0,1.0,5.0,0.0,214.0,8.0,8.3,8505.0,331.0,20.7,17.0,11.0,1.0,3.0,3.0,0.66,0.43,0.12,0.04,9.6,8098.0,1483.0,3436.0,3179.0,315.0,27.1,0.04,20.0,0.0,0.0,0.0,0.0,0.0,-1080.0,-14.0,-1416.0,-1.0,0.0,293.0,293.0,1164.0,0.0,12610.0,0.0,1.0,12.0,17337.0,95.0,5.0,18.0,0.0
Kiin,17.0,1.0,1.0,5.0,268.0,18.0,9.2,13265.0,454.0,23.7,38.0,15.0,10.0,7.0,6.0,1.3,0.51,0.24,0.34,17.7,12862.0,11483.0,1111.0,268.0,440.0,31.1,0.21,50.0,0.0,0.0,0.0,0.0,0.0,511.0,9.0,282.0,1.0,0.0,8605.0,8605.0,5774.0,0.0,14774.0,0.0,24.0,522.0,18440.0,32.0,8.0,27.0,3.77
Kiin,18.0,1.0,2.0,6.0,440.0,26.0,9.3,20575.0,437.0,24.1,61.0,13.0,18.0,10.0,8.0,1.29,0.28,0.21,0.38,15.6,24877.0,1745.0,16864.0,6268.0,528.0,30.6,0.15,63.6,0.0,0.0,0.0,0.0,0.0,755.0,29.0,671.0,0.0,0.0,10842.0,10842.0,7723.0,0.0,46868.0,0.0,5.0,64.0,48011.0,123.0,15.0,38.0,3.77
Kiin,17.0,3.0,0.0,2.0,307.0,28.0,10.1,15235.0,502.0,24.9,27.0,14.0,3.0,5.0,4.0,0.89,0.46,0.16,0.1,10.6,12390.0,8918.0,3237.0,235.0,408.0,34.4,0.16,50.0,0.0,0.0,0.0,0.0,0.0,956.0,8.0,103.0,0.0,0.0,7514.0,7514.0,4290.0,0.0,9795.0,0.0,6.0,240.0,14409.0,0.0,5.0,24.0,3.77
Kiin,17.0,0.0,2.0,1.0,309.0,22.0,9.6,12025.0,375.0,24.4,39.0,18.0,8.0,8.0,8.0,1.22,0.56,0.25,0.25,15.9,13574.0,10936.0,2081.0,557.0,424.0,28.9,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-387.0,-3.0,99.0,0.0,0.0,4007.0,4007.0,4804.0,0.0,23248.0,0.0,15.0,499.0,20221.0,8.0,9.0,33.0,0.0
Kiin,15.0,0.0,4.0,1.0,218.0,5.0,7.3,8817.0,296.0,20.2,32.0,12.0,5.0,5.0,3.0,1.07,0.4,0.17,0.17,15.2,7426.0,2213.0,5003.0,210.0,249.0,18.5,0.03,33.3,0.0,0.0,0.0,0.0,0.0,-2871.0,-40.0,-1792.0,-1.0,0.0,221.0,221.0,1329.0,0.0,31648.0,0.0,21.0,1667.0,22922.0,104.0,6.0,24.0,0.0
Kiin,18.0,7.0,0.0,9.0,369.0,42.0,9.5,19698.0,507.0,26.7,43.0,10.0,10.0,5.0,5.0,1.11,0.26,0.13,0.26,11.4,27448.0,21214.0,6078.0,156.0,707.0,35.5,0.41,84.2,0.0,1.0,1.0,0.0,0.0,543.0,5.0,99.0,1.0,0.0,11207.0,11207.0,4025.0,0.0,24396.0,0.0,21.0,567.0,22423.0,0.0,8.0,30.0,3.77
Kiin,17.0,2.0,0.0,6.0,285.0,14.0,9.1,14076.0,450.0,24.6,41.0,19.0,4.0,9.0,9.0,1.31,0.61,0.29,0.13,13.5,19624.0,13870.0,4290.0,1464.0,628.0,33.3,0.26,66.7,0.0,1.0,0.0,0.0,0.0,-208.0,-7.0,60.0,0.0,0.0,6086.0,6086.0,3928.0,0.0,10198.0,0.0,8.0,289.0,13958.0,0.0,9.0,26.0,3.77
Kiin,15.0,0.0,3.0,5.0,239.0,7.0,8.6,9547.0,342.0,21.9,37.0,13.0,9.0,5.0,5.0,1.33,0.47,0.18,0.32,18.1,10529.0,4721.0,5808.0,0.0,377.0,24.7,0.18,62.5,0.0,0.0,0.0,0.0,0.0,-1083.0,-28.0,-1203.0,-1.0,0.0,1112.0,1112.0,6212.0,945.0,7754.0,0.0,4.0,186.0,15595.0,42.0,7.0,24.0,0.0
Kiin,15.0,0.0,3.0,1.0,246.0,8.0,7.7,10397.0,323.0,21.0,34.0,12.0,8.0,7.0,7.0,1.06,0.37,0.22,0.25,13.7,12649.0,504.0,11697.0,448.0,393.0,33.0,0.03,50.0,0.0,0.0,0.0,0.0,0.0,90.0,9.0,-500.0,-1.0,0.0,0.0,0.0,5956.0,0.0,12981.0,0.0,31.0,488.0,16176.0,64.0,9.0,26.0,0.0
Kiin,16.0,1.0,6.0,6.0,289.0,19.0,8.2,13032.0,372.0,21.7,37.0,12.0,11.0,8.0,7.0,1.06,0.34,0.23,0.31,13.5,16369.0,14156.0,2213.0,0.0,467.0,22.1,0.2,53.8,0.0,0.0,0.0,0.0,0.0,669.0,11.0,333.0,0.0,0.0,1880.0,1880.0,3878.0,0.0,29855.0,0.0,28.0,476.0,31761.0,200.0,9.0,29.0,0.0
Kiin,17.0,3.0,4.0,2.0,293.0,13.0,8.8,13509.0,407.0,24.5,33.0,11.0,10.0,5.0,4.0,0.99,0.33,0.15,0.3,13.4,16913.0,4177.0,11839.0,897.0,509.0,27.4,0.15,62.5,0.0,0.0,0.0,0.0,0.0,-916.0,-14.0,-601.0,-1.0,0.0,2626.0,2626.0,6827.0,1165.0,13929.0,0.0,2.0,186.0,20373.0,124.0,8.0,31.0,0.0
Kiin,18.0,2.0,5.0,6.0,351.0,27.0,7.7,17514.0,386.0,21.5,47.0,17.0,11.0,12.0,12.0,1.04,0.37,0.26,0.24,12.4,22929.0,19192.0,3737.0,0.0,506.0,24.7,0.18,57.1,0.0,0.0,0.0,0.0,0.0,-135.0,12.0,-381.0,0.0,0.0,7662.0,7662.0,4599.0,0.0,39024.0,0.0,32.0,569.0,29158.0,191.0,14.0,36.0,0.0
Kiin,16.0,3.0,3.0,1.0,271.0,16.0,8.2,13346.0,402.0,24.9,37.0,18.0,7.0,7.0,7.0,1.12,0.54,0.21,0.21,12.6,20472.0,12553.0,6034.0,1885.0,617.0,33.7,0.12,66.7,1.0,0.0,0.0,0.0,0.0,1483.0,45.0,742.0,1.0,0.0,4071.0,4071.0,3062.0,0.0,11591.0,0.0,12.0,250.0,17800.0,140.0,7.0,25.0,0.0
Kiin,16.0,0.0,3.0,4.0,235.0,8.0,6.4,10937.0,298.0,18.6,44.0,17.0,13.0,12.0,12.0,1.2,0.46,0.33,0.35,14.2,9191.0,5045.0,3190.0,956.0,251.0,15.1,0.11,57.1,0.0,0.0,0.0,0.0,0.0,419.0,-8.0,55.0,0.0,0.0,1747.0,1747.0,2198.0,0.0,33403.0,0.0,15.0,1062.0,23388.0,76.0,13.0,31.0,0.0
Kiin,18.0,3.0,0.0,8.0,292.0,23.0,9.2,14838.0,467.0,22.7,60.0,13.0,18.0,9.0,9.0,1.89,0.41,0.28,0.57,20.5,16482.0,2665.0,9506.0,4311.0,519.0,29.9,0.35,64.7,0.0,0.0,0.0,0.0,0.0,926.0,10.0,223.0,0.0,0.0,10374.0,10374.0,4450.0,0.0,19496.0,0.0,3.0,50.0,20050.0,0.0,10.0,28.0,3.77
Kiin,18.0,3.0,5.0,5.0,292.0,7.0,7.5,14079.0,363.0,21.6,30.0,13.0,7.0,8.0,8.0,0.77,0.34,0.21,0.18,9.8,12394.0,5779.0,5175.0,1440.0,320.0,19.1,0.21,72.7,0.0,1.0,0.0,0.0,0.0,-936.0,-17.0,-577.0,-1.0,0.0,1948.0,1948.0,2118.0,0.0,42532.0,0.0,24.0,1891.0,27808.0,122.0,10.0,30.0,0.0
Kiin,18.0,4.0,2.0,4.0,347.0,23.0,9.1,16886.0,444.0,23.8,44.0,15.0,9.0,10.0,10.0,1.16,0.39,0.26,0.24,11.7,16774.0,2516.0,10219.0,4039.0,441.0,25.7,0.21,66.7,1.0,1.0,0.0,0.0,0.0,-379.0,-6.0,-457.0,-1.0,0.0,12133.0,12133.0,7631.0,0.0,32004.0,0.0,7.0,199.0,31300.0,62.0,12.0,35.0,3.77
Kiin,15.0,3.0,6.0,1.0,212.0,2.0,6.6,10429.0,326.0,20.2,27.0,10.0,5.0,6.0,6.0,0.84,0.31,0.19,0.16,9.0,8758.0,577.0,7537.0,644.0,274.0,18.6,0.13,36.4,0.0,0.0,0.0,0.0,0.0,-862.0,-12.0,373.0,0.0,0.0,0.0,0.0,841.0,0.0,11046.0,0.0,2.0,104.0,21292.0,137.0,7.0,25.0,0.0
Kiin,12.0,0.0,3.0,3.0,147.0,6.0,7.3,6241.0,308.0,20.0,17.0,9.0,4.0,3.0,2.0,0.84,0.44,0.15,0.2,13.4,4917.0,1221.0,3506.0,190.0,243.0,19.1,0.15,75.0,0.0,0.0,0.0,0.0,0.0,-1663.0,-20.0,-363.0,0.0,0.0,0.0,0.0,0.0,0.0,17811.0,0.0,15.0,461.0,15924.0,95.0,4.0,19.0,0.0
Kiin,13.0,0.0,3.0,2.0,189.0,4.0,7.2,7649.0,291.0,19.5,26.0,10.0,6.0,5.0,5.0,0.99,0.38,0.19,0.23,11.5,9459.0,680.0,8779.0,0.0,360.0,24.4,0.08,66.7,0.0,0.0,0.0,0.0,0.0,-44.0,3.0,475.0,0.0,0.0,475.0,475.0,7662.0,0.0,14399.0,0.0,24.0,331.0,19767.0,85.0,7.0,24.0,0.0
Kiin,17.0,3.0,2.0,10.0,292.0,21.0,7.3,15450.0,386.0,22.9,74.0,24.0,19.0,9.0,9.0,1.85,0.6,0.22,0.47,19.4,27856.0,25088.0,1813.0,955.0,696.0,39.3,0.32,81.3,0.0,1.0,0.0,0.0,0.0,896.0,34.0,1034.0,1.0,0.0,13992.0,13992.0,895.0,0.0,9834.0,0.0,6.0,115.0,11954.0,84.0,10.0,34.0,3.77
Kiin,14.0,2.0,4.0,3.0,227.0,5.0,7.4,10524.0,344.0,22.4,39.0,11.0,10.0,6.0,6.0,1.28,0.36,0.2,0.33,16.9,18423.0,17408.0,0.0,1015.0,603.0,27.2,0.16,50.0,1.0,0.0,0.0,0.0,0.0,503.0,7.0,-152.0,0.0,0.0,2263.0,2263.0,7026.0,0.0,31969.0,0.0,26.0,198.0,28625.0,142.0,7.0,28.0,0.0
Kiin,16.0,1.0,0.0,7.0,227.0,19.0,6.5,11318.0,322.0,18.1,46.0,18.0,12.0,14.0,13.0,1.31,0.51,0.4,0.34,15.6,11837.0,1298.0,10056.0,483.0,337.0,22.6,0.23,61.5,0.0,0.0,0.0,0.0,0.0,309.0,-3.0,183.0,0.0,0.0,1342.0,1342.0,15938.0,0.0,31459.0,0.0,31.0,419.0,28876.0,0.0,16.0,31.0,3.77
Kiin,17.0,2.0,2.0,7.0,258.0,6.0,6.4,12320.0,306.0,19.2,64.0,22.0,18.0,18.0,16.0,1.59,0.55,0.45,0.45,18.4,12262.0,663.0,11119.0,480.0,304.0,18.2,0.22,56.3,0.0,1.0,0.0,0.0,0.0,955.0,2.0,528.0,1.0,0.0,0.0,0.0,24845.0,0.0,38840.0,0.0,29.0,440.0,40688.0,49.0,20.0,40.0,0.0
Kiin,18.0,2.0,1.0,11.0,252.0,4.0,6.7,13269.0,354.0,18.6,54.0,22.0,16.0,15.0,15.0,1.44,0.59,0.4,0.43,16.0,10282.0,3546.0,5874.0,862.0,275.0,14.3,0.35,61.9,0.0,0.0,0.0,0.0,0.0,-925.0,3.0,-2.0,0.0,0.0,374.0,374.0,3444.0,0.0,37750.0,0.0,32.0,1021.0,24868.0,53.0,16.0,38.0,3.77
Kiin,18.0,1.0,2.0,5.0,267.0,10.0,6.4,13102.0,315.0,18.3,53.0,17.0,16.0,12.0,12.0,1.27,0.41,0.29,0.38,14.1,16936.0,3001.0,13551.0,384.0,407.0,15.2,0.14,37.5,0.0,0.0,0.0,0.0,0.0,-245.0,-22.0,103.0,0.0,0.0,2066.0,2066.0,20767.0,0.0,38512.0,0.0,39.0,458.0,34702.0,46.0,14.0,38.0,3.77
Kiin,18.0,3.0,2.0,8.0,304.0,18.0,8.7,14500.0,415.0,22.0,45.0,13.0,11.0,8.0,8.0,1.29,0.37,0.23,0.32,13.5,21057.0,20988.0,43.0,26.0,603.0,27.7,0.32,52.4,1.0,0.0,0.0,0.0,0.0,752.0,18.0,507.0,0.0,0.0,1965.0,1965.0,10963.0,0.0,30347.0,0.0,23.0,266.0,25035.0,98.0,10.0,31.0,3.77
Kiin,17.0,3.0,0.0,11.0,237.0,4.0,7.4,11842.0,370.0,19.9,38.0,15.0,5.0,9.0,9.0,1.19,0.47,0.28,0.16,12.5,18867.0,1151.0,17716.0,0.0,590.0,25.0,0.44,87.5,0.0,1.0,0.0,0.0,0.0,-368.0,0.0,637.0,0.0,0.0,3544.0,3544.0,14374.0,0.0,25588.0,0.0,42.0,526.0,24459.0,0.0,11.0,30.0,3.77
Kiin,17.0,7.0,1.0,12.0,243.0,29.0,6.7,13944.0,382.0,20.2,48.0,9.0,15.0,6.0,4.0,1.32,0.25,0.16,0.41,13.1,16814.0,1522.0,15292.0,0.0,461.0,21.7,0.52,76.0,0.0,0.0,1.0,0.0,0.0,835.0,14.0,-147.0,0.0,0.0,2996.0,2996.0,4675.0,0.0,13976.0,0.0,20.0,75.0,16355.0,49.0,8.0,27.0,3.77
Kiin,16.0,4.0,2.0,0.0,251.0,8.0,8.3,11875.0,393.0,25.3,36.0,15.0,5.0,7.0,5.0,1.19,0.5,0.23,0.17,14.5,12716.0,8922.0,3794.0,0.0,421.0,27.0,0.13,100.0,0.0,0.0,0.0,0.0,0.0,942.0,14.0,700.0,1.0,0.0,9523.0,9523.0,2980.0,0.0,17178.0,0.0,8.0,94.0,20161.0,49.0,7.0,23.0,0.0
