,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Moham,13.0,0.0,1.0,3.0,7.0,0.0,0.2,7413.0,178.0,11.9,87.0,70.0,6.0,20.0,20.0,2.09,1.68,0.48,0.14,29.6,4169.0,388.0,2997.0,784.0,100.0,5.6,0.07,100.0,0.0,0.0,0.0,0.0,0.0,28.0,-1.0,-20.0,0.0,0.0,93.0,93.0,518.0,0.0,7215.0,9711.0,19.0,184.0,11666.0,43.0,22.0,35.0,0.0
Moham,12.0,0.0,1.0,3.0,35.0,0.0,1.0,6899.0,189.0,12.1,95.0,68.0,10.0,21.0,19.0,2.6,1.86,0.57,0.27,34.5,2390.0,489.0,1901.0,0.0,65.0,4.2,0.08,50.0,0.0,0.0,0.0,0.0,0.0,132.0,24.0,92.0,0.0,0.0,114.0,114.0,1533.0,506.0,7842.0,3749.0,13.0,174.0,9235.0,0.0,23.0,36.0,0.0
Moham,14.0,1.0,5.0,2.0,42.0,0.0,1.2,7676.0,216.0,13.4,111.0,68.0,17.0,24.0,22.0,3.12,1.91,0.67,0.48,37.9,3267.0,193.0,2464.0,610.0,92.0,5.9,0.08,75.0,0.0,0.0,0.0,0.0,0.0,-11.0,16.0,-665.0,0.0,0.0,0.0,0.0,991.0,651.0,11090.0,778.0,11.0,39.0,13459.0,130.0,26.0,37.0,0.0
Moham,13.0,2.0,2.0,8.0,40.0,0.0,1.0,8446.0,211.0,13.2,107.0,82.0,17.0,29.0,28.0,2.67,2.05,0.72,0.42,32.0,5598.0,1127.0,3871.0,600.0,140.0,8.4,0.25,100.0,0.0,0.0,0.0,0.0,0.0,144.0,11.0,-62.0,0.0,0.0,59.0,59.0,2618.0,1482.0,12271.0,3893.0,18.0,235.0,10961.0,33.0,33.0,53.0,0.0
Moham,12.0,0.0,3.0,9.0,22.0,0.0,0.7,6959.0,215.0,13.0,87.0,46.0,14.0,15.0,13.0,2.68,1.42,0.46,0.43,36.6,4213.0,868.0,2690.0,655.0,130.0,7.0,0.28,81.8,0.0,0.0,0.0,0.0,0.0,-57.0,-9.0,-225.0,0.0,0.0,253.0,253.0,493.0,0.0,10199.0,3031.0,13.0,147.0,9953.0,84.0,17.0,32.0,0.0
Moham,13.0,1.0,1.0,11.0,34.0,0.0,1.1,7936.0,257.0,13.0,74.0,49.0,9.0,17.0,17.0,2.4,1.59,0.55,0.29,26.3,3781.0,338.0,2742.0,701.0,122.0,7.4,0.39,70.6,0.0,0.0,0.0,0.0,0.0,-185.0,-5.0,-509.0,0.0,0.0,239.0,239.0,2439.0,327.0,8847.0,893.0,12.0,50.0,8690.0,21.0,19.0,32.0,3.77
Moham,12.0,0.0,4.0,5.0,20.0,0.0,0.6,6258.0,194.0,12.2,92.0,62.0,12.0,20.0,19.0,2.86,1.92,0.62,0.37,41.8,6081.0,691.0,2905.0,2485.0,189.0,12.2,0.16,71.4,0.0,0.0,0.0,0.0,0.0,-1049.0,5.0,-1166.0,-1.0,0.0,590.0,590.0,188.0,0.0,8630.0,2133.0,13.0,167.0,13296.0,80.0,22.0,35.0,0.0
Moham,14.0,2.0,2.0,2.0,24.0,0.0,0.6,9717.0,231.0,14.3,105.0,77.0,18.0,27.0,24.0,2.5,1.83,0.64,0.43,29.4,3908.0,486.0,2520.0,902.0,93.0,4.3,0.1,66.7,0.0,0.0,0.0,0.0,0.0,572.0,6.0,626.0,0.0,0.0,808.0,808.0,2064.0,743.0,6881.0,7502.0,13.0,164.0,8897.0,89.0,30.0,46.0,0.0
Moham,13.0,0.0,1.0,2.0,221.0,5.0,8.2,9126.0,340.0,19.8,19.0,17.0,1.0,9.0,8.0,0.71,0.63,0.34,0.04,10.1,5222.0,321.0,4901.0,0.0,194.0,12.7,0.07,50.0,0.0,0.0,0.0,0.0,0.0,-736.0,-5.0,280.0,0.0,0.0,348.0,348.0,647.0,280.0,4977.0,971.0,7.0,193.0,5788.0,39.0,11.0,26.0,0.0
Moham,15.0,1.0,4.0,0.0,279.0,3.0,8.2,11496.0,338.0,22.7,32.0,16.0,1.0,6.0,6.0,0.94,0.47,0.18,0.03,13.0,12576.0,447.0,12129.0,0.0,370.0,23.0,0.03,100.0,1.0,0.0,0.0,0.0,0.0,-1153.0,-22.0,-179.0,0.0,0.0,411.0,411.0,8057.0,4891.0,9188.0,6219.0,16.0,445.0,17735.0,72.0,10.0,28.0,0.0
