,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Teddy,12.0,2.0,4.0,0.0,241.0,19.0,9.8,9531.0,389.0,25.6,29.0,14.0,6.0,6.0,6.0,1.18,0.57,0.24,0.24,14.3,6275.0,5412.0,675.0,188.0,256.0,16.2,0.08,66.7,0.0,0.0,0.0,0.0,0.0,-216.0,3.0,-511.0,0.0,0.0,59.0,59.0,285.0,0.0,7202.0,0.0,5.0,252.0,10891.0,60.0,9.0,23.0,0.0
Teddy,14.0,1.0,2.0,2.0,359.0,25.0,10.9,13664.0,416.0,28.0,38.0,15.0,13.0,4.0,4.0,1.16,0.46,0.12,0.4,14.7,14724.0,13123.0,1221.0,380.0,448.0,27.4,0.09,100.0,0.0,0.0,0.0,0.0,0.0,769.0,20.0,456.0,0.0,0.0,2325.0,2325.0,434.0,0.0,5674.0,0.0,11.0,81.0,11048.0,36.0,7.0,25.0,0.0
Teddy,18.0,9.0,2.0,2.0,455.0,43.0,11.1,21199.0,519.0,29.4,71.0,21.0,17.0,6.0,6.0,1.74,0.51,0.15,0.42,19.8,31049.0,28947.0,0.0,2102.0,761.0,32.2,0.27,73.3,0.0,1.0,0.0,0.0,0.0,-172.0,26.0,153.0,0.0,0.0,8501.0,8501.0,4754.0,1320.0,14021.0,0.0,2.0,64.0,16967.0,61.0,11.0,37.0,0.0
Teddy,16.0,2.0,3.0,1.0,401.0,51.0,9.6,16404.0,394.0,26.4,77.0,21.0,31.0,8.0,7.0,1.85,0.5,0.19,0.74,26.2,28497.0,17344.0,11087.0,66.0,684.0,38.0,0.07,100.0,0.0,0.0,0.0,0.0,0.0,-198.0,9.0,-102.0,0.0,0.0,1448.0,1448.0,1667.0,0.0,22046.0,0.0,7.0,294.0,22648.0,100.0,12.0,30.0,0.0
Teddy,16.0,3.0,3.0,1.0,356.0,29.0,9.7,15338.0,420.0,26.8,55.0,17.0,15.0,6.0,6.0,1.51,0.47,0.16,0.41,20.0,24325.0,14916.0,9169.0,240.0,666.0,42.8,0.11,66.7,0.0,1.0,0.0,0.0,0.0,1146.0,6.0,872.0,0.0,0.0,1867.0,1867.0,2657.0,0.0,15676.0,0.0,7.0,184.0,19714.0,91.0,8.0,28.0,0.0
Teddy,17.0,1.0,3.0,1.0,389.0,30.0,10.9,15826.0,445.0,27.6,51.0,18.0,19.0,7.0,7.0,1.43,0.51,0.2,0.53,17.4,13073.0,5626.0,7447.0,0.0,367.0,23.7,0.06,50.0,0.0,0.0,0.0,0.0,0.0,-310.0,-4.0,621.0,1.0,0.0,0.0,0.0,1171.0,0.0,10565.0,0.0,4.0,222.0,16144.0,73.0,8.0,29.0,0.0
Teddy,12.0,1.0,2.0,0.0,230.0,8.0,9.4,9069.0,372.0,25.2,15.0,11.0,7.0,4.0,4.0,0.62,0.45,0.16,0.29,10.3,6177.0,5919.0,0.0,258.0,254.0,23.3,0.04,50.0,0.0,0.0,0.0,0.0,0.0,-1533.0,-26.0,-1060.0,-1.0,0.0,819.0,819.0,1052.0,234.0,3595.0,0.0,0.0,0.0,6778.0,39.0,5.0,19.0,0.0
Teddy,12.0,1.0,2.0,3.0,252.0,12.0,9.7,9470.0,363.0,24.7,33.0,11.0,11.0,5.0,4.0,1.27,0.42,0.19,0.42,21.0,10214.0,5586.0,4628.0,0.0,392.0,23.5,0.15,80.0,0.0,0.0,0.0,0.0,0.0,-686.0,13.0,-547.0,0.0,0.0,271.0,271.0,81.0,0.0,7719.0,0.0,2.0,120.0,11241.0,36.0,6.0,21.0,0.0
Teddy,17.0,4.0,3.0,8.0,350.0,66.0,8.6,17071.0,421.0,22.9,84.0,24.0,25.0,8.0,7.0,2.07,0.59,0.2,0.62,20.0,23766.0,21295.0,1266.0,1205.0,586.0,31.7,0.3,70.6,1.0,1.0,0.0,0.0,0.0,-122.0,-8.0,-649.0,-1.0,0.0,4335.0,4335.0,3280.0,702.0,16972.0,0.0,10.0,256.0,14985.0,61.0,12.0,31.0,3.77
Teddy,16.0,2.0,0.0,7.0,327.0,22.0,10.4,13923.0,442.0,22.8,57.0,16.0,33.0,6.0,6.0,1.81,0.51,0.19,1.05,21.8,11123.0,4572.0,6435.0,116.0,353.0,23.4,0.29,81.8,0.0,0.0,0.0,0.0,0.0,-281.0,-6.0,92.0,0.0,0.0,4127.0,4127.0,1209.0,370.0,5550.0,0.0,5.0,156.0,8356.0,0.0,9.0,26.0,3.77
Teddy,15.0,0.0,1.0,5.0,103.0,33.0,2.5,12166.0,290.0,17.7,161.0,75.0,43.0,12.0,11.0,3.83,1.79,0.29,1.02,41.3,17901.0,16880.0,291.0,730.0,426.0,19.4,0.12,100.0,0.0,0.0,0.0,0.0,0.0,1203.0,6.0,-165.0,-1.0,0.0,2424.0,2424.0,11564.0,5704.0,7695.0,2262.0,35.0,325.0,11109.0,0.0,14.0,30.0,0.0
Teddy,17.0,8.0,0.0,8.0,365.0,73.0,10.3,18587.0,522.0,28.7,73.0,17.0,20.0,5.0,5.0,2.05,0.48,0.14,0.56,23.2,28314.0,24444.0,2828.0,1042.0,796.0,39.2,0.45,88.9,1.0,1.0,0.0,0.0,0.0,1477.0,7.0,548.0,1.0,0.0,12154.0,12154.0,1971.0,0.0,7781.0,0.0,14.0,159.0,12904.0,0.0,9.0,28.0,3.77
Teddy,18.0,5.0,1.0,8.0,508.0,62.0,11.4,22001.0,494.0,27.6,81.0,20.0,26.0,5.0,5.0,1.82,0.45,0.11,0.58,20.0,30517.0,25919.0,2262.0,2336.0,686.0,40.5,0.29,92.9,0.0,0.0,0.0,0.0,0.0,1222.0,20.0,1094.0,1.0,0.0,9117.0,9117.0,3073.0,495.0,6172.0,0.0,15.0,170.0,13960.0,39.0,11.0,31.0,3.77
Teddy,15.0,2.0,2.0,2.0,345.0,41.0,11.0,13272.0,424.0,26.5,44.0,16.0,11.0,6.0,5.0,1.41,0.51,0.19,0.35,18.5,13611.0,12831.0,0.0,780.0,435.0,26.1,0.13,66.7,0.0,0.0,0.0,0.0,0.0,-347.0,5.0,203.0,0.0,0.0,6473.0,6473.0,1698.0,431.0,4869.0,0.0,0.0,15.0,8895.0,90.0,8.0,28.0,0.0
Teddy,16.0,2.0,1.0,7.0,199.0,43.0,3.9,16278.0,322.0,20.2,220.0,93.0,55.0,12.0,11.0,4.35,1.84,0.24,1.09,47.7,36011.0,31551.0,548.0,3912.0,712.0,32.8,0.18,75.0,0.0,0.0,0.0,0.0,0.0,632.0,5.0,-188.0,0.0,0.0,1911.0,1911.0,21649.0,10970.0,11539.0,3726.0,70.0,673.0,18159.0,0.0,14.0,40.0,0.0
Teddy,14.0,2.0,3.0,3.0,304.0,19.0,9.6,11763.0,371.0,23.7,57.0,16.0,22.0,5.0,4.0,1.8,0.5,0.16,0.69,22.5,14691.0,11277.0,3278.0,136.0,464.0,28.0,0.16,71.4,0.0,1.0,0.0,0.0,0.0,-665.0,-12.0,-699.0,-1.0,0.0,0.0,0.0,287.0,0.0,6097.0,0.0,0.0,60.0,13923.0,91.0,8.0,25.0,0.0
Teddy,15.0,4.0,4.0,5.0,334.0,44.0,8.3,16505.0,412.0,25.7,55.0,20.0,19.0,7.0,7.0,1.37,0.5,0.17,0.47,16.5,17236.0,12178.0,2436.0,2622.0,430.0,25.8,0.22,90.0,0.0,0.0,0.0,0.0,0.0,-91.0,23.0,302.0,1.0,0.0,130.0,130.0,3292.0,1138.0,15582.0,0.0,8.0,384.0,22717.0,107.0,11.0,35.0,0.0
Teddy,14.0,5.0,4.0,5.0,288.0,28.0,8.9,13695.0,422.0,25.6,46.0,15.0,14.0,5.0,5.0,1.42,0.46,0.15,0.43,19.3,16882.0,13601.0,772.0,2509.0,521.0,28.1,0.31,90.9,0.0,0.0,0.0,0.0,0.0,877.0,25.0,429.0,1.0,0.0,380.0,380.0,3549.0,881.0,16495.0,0.0,11.0,406.0,23729.0,102.0,8.0,27.0,0.0
Teddy,16.0,4.0,0.0,8.0,312.0,31.0,10.1,15369.0,498.0,25.1,78.0,20.0,26.0,10.0,9.0,2.53,0.65,0.32,0.84,27.8,9929.0,8123.0,1180.0,626.0,322.0,19.4,0.39,70.6,0.0,0.0,0.0,0.0,0.0,962.0,2.0,820.0,0.0,0.0,6064.0,6064.0,1228.0,0.0,5418.0,0.0,9.0,336.0,8802.0,0.0,12.0,30.0,3.77
Teddy,15.0,3.0,4.0,2.0,299.0,16.0,9.3,12907.0,401.0,25.1,36.0,15.0,8.0,9.0,8.0,1.12,0.47,0.28,0.25,16.4,16406.0,14834.0,911.0,661.0,509.0,33.0,0.16,71.4,0.0,1.0,0.0,0.0,0.0,-1458.0,-8.0,166.0,0.0,0.0,1726.0,1726.0,1172.0,0.0,9603.0,0.0,12.0,136.0,15468.0,98.0,12.0,33.0,0.0
Teddy,16.0,1.0,3.0,3.0,411.0,37.0,9.8,17619.0,419.0,25.9,95.0,45.0,25.0,5.0,5.0,2.26,1.07,0.12,0.59,26.6,25581.0,10825.0,13190.0,1566.0,608.0,28.0,0.1,66.7,0.0,0.0,0.0,0.0,0.0,318.0,22.0,240.0,1.0,0.0,3747.0,3747.0,4617.0,648.0,22775.0,0.0,7.0,291.0,19854.0,71.0,10.0,33.0,0.0
Teddy,10.0,0.0,2.0,2.0,34.0,0.0,1.3,6334.0,236.0,13.8,88.0,40.0,19.0,9.0,9.0,3.28,1.49,0.34,0.71,46.6,4408.0,4408.0,0.0,0.0,164.0,10.7,0.07,50.0,0.0,0.0,0.0,0.0,0.0,-325.0,-13.0,-202.0,0.0,0.0,146.0,146.0,3406.0,1534.0,1866.0,327.0,11.0,84.0,4820.0,34.0,11.0,26.0,0.0
Teddy,12.0,0.0,2.0,0.0,54.0,0.0,1.6,8044.0,236.0,15.9,118.0,57.0,32.0,15.0,14.0,3.47,1.67,0.44,0.94,47.8,10462.0,10187.0,275.0,0.0,307.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,-3.0,-149.0,0.0,0.0,543.0,543.0,12505.0,7293.0,5810.0,1853.0,19.0,183.0,10997.0,32.0,17.0,35.0,0.0
Teddy,13.0,1.0,1.0,10.0,87.0,9.0,2.6,11272.0,340.0,17.4,118.0,51.0,29.0,11.0,10.0,3.56,1.54,0.33,0.87,40.1,10988.0,10384.0,0.0,604.0,331.0,16.1,0.33,73.3,1.0,0.0,0.0,0.0,0.0,2251.0,25.0,814.0,1.0,0.0,4514.0,4514.0,10236.0,4894.0,5945.0,603.0,22.0,244.0,9770.0,37.0,14.0,26.0,3.77
Teddy,13.0,0.0,3.0,2.0,265.0,20.0,10.3,9791.0,380.0,23.8,33.0,13.0,9.0,6.0,4.0,1.28,0.51,0.23,0.35,18.6,9138.0,7725.0,631.0,782.0,355.0,30.6,0.08,40.0,0.0,0.0,0.0,0.0,0.0,-940.0,-17.0,-411.0,0.0,0.0,1603.0,1603.0,77.0,0.0,5556.0,0.0,3.0,22.0,8653.0,48.0,10.0,23.0,0.0
Teddy,15.0,5.0,1.0,3.0,292.0,38.0,10.0,14258.0,487.0,25.5,43.0,13.0,9.0,4.0,4.0,1.47,0.44,0.14,0.31,20.0,8338.0,6909.0,1119.0,310.0,285.0,20.2,0.27,66.7,0.0,2.0,0.0,0.0,0.0,28.0,1.0,236.0,0.0,0.0,4027.0,4027.0,1629.0,0.0,6810.0,0.0,7.0,318.0,10267.0,12.0,8.0,28.0,3.77
Teddy,18.0,5.0,4.0,2.0,493.0,77.0,10.5,22327.0,474.0,26.1,49.0,23.0,17.0,6.0,6.0,1.04,0.49,0.13,0.36,12.5,27976.0,20240.0,6396.0,1340.0,594.0,34.4,0.15,63.6,1.0,2.0,0.0,0.0,0.0,-1504.0,-15.0,-644.0,-1.0,0.0,3772.0,3772.0,1588.0,0.0,14433.0,0.0,2.0,125.0,23690.0,138.0,14.0,36.0,3.77
Teddy,15.0,6.0,2.0,3.0,320.0,28.0,10.5,15473.0,510.0,25.3,43.0,12.0,11.0,6.0,6.0,1.42,0.4,0.2,0.36,16.9,11557.0,6287.0,4783.0,487.0,381.0,32.1,0.3,90.0,0.0,0.0,0.0,0.0,0.0,2088.0,41.0,236.0,1.0,0.0,5654.0,5654.0,275.0,0.0,6244.0,0.0,2.0,63.0,10491.0,31.0,11.0,31.0,3.77
Teddy,15.0,0.0,1.0,2.0,318.0,8.0,9.9,11810.0,368.0,23.9,33.0,20.0,14.0,11.0,10.0,1.03,0.62,0.34,0.44,13.4,12791.0,10405.0,1891.0,495.0,399.0,27.2,0.06,100.0,0.0,0.0,0.0,0.0,0.0,-277.0,-16.0,-1228.0,-1.0,0.0,1683.0,1683.0,2049.0,0.0,7056.0,0.0,10.0,188.0,9788.0,0.0,15.0,31.0,0.0
Teddy,13.0,0.0,3.0,2.0,290.0,1.0,9.7,10849.0,364.0,24.9,28.0,19.0,7.0,8.0,7.0,0.94,0.64,0.27,0.23,13.3,10336.0,9580.0,751.0,5.0,346.0,25.8,0.07,66.7,0.0,0.0,0.0,0.0,0.0,-444.0,9.0,-45.0,0.0,0.0,953.0,953.0,1470.0,0.0,6915.0,0.0,6.0,315.0,14105.0,50.0,12.0,34.0,0.0
Teddy,15.0,2.0,1.0,14.0,48.0,5.0,1.2,9991.0,257.0,13.6,171.0,104.0,18.0,15.0,15.0,4.4,2.68,0.39,0.46,45.2,12761.0,8273.0,4014.0,474.0,328.0,16.5,0.41,84.2,0.0,0.0,0.0,0.0,0.0,361.0,-2.0,-478.0,0.0,0.0,1101.0,1101.0,1630.0,582.0,3163.0,0.0,46.0,458.0,6446.0,21.0,17.0,33.0,3.77
Teddy,13.0,2.0,0.0,10.0,62.0,4.0,2.0,9665.0,309.0,16.9,142.0,57.0,35.0,17.0,15.0,4.54,1.82,0.54,1.12,46.9,10872.0,10710.0,162.0,0.0,348.0,18.4,0.38,100.0,0.0,0.0,0.0,0.0,0.0,907.0,-13.0,137.0,0.0,1.0,2875.0,2875.0,8814.0,4428.0,3901.0,1548.0,22.0,201.0,6709.0,0.0,19.0,37.0,3.77
Teddy,11.0,2.0,1.0,5.0,76.0,4.0,2.7,8131.0,291.0,18.7,85.0,51.0,28.0,14.0,13.0,3.04,1.83,0.5,1.0,41.7,12425.0,12329.0,0.0,96.0,445.0,29.1,0.25,87.5,0.0,0.0,0.0,0.0,0.0,1029.0,33.0,1461.0,2.0,0.0,148.0,148.0,12151.0,6058.0,5425.0,1464.0,23.0,277.0,12085.0,0.0,17.0,32.0,0.0
Teddy,15.0,1.0,4.0,0.0,336.0,25.0,10.5,12983.0,404.0,26.2,42.0,9.0,17.0,4.0,2.0,1.31,0.28,0.12,0.53,16.9,6760.0,2263.0,4497.0,0.0,210.0,17.6,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-632.0,-2.0,-723.0,0.0,0.0,136.0,136.0,102.0,0.0,6770.0,0.0,3.0,160.0,11482.0,80.0,7.0,20.0,0.0
Teddy,16.0,4.0,3.0,7.0,329.0,25.0,9.4,14811.0,423.0,24.7,34.0,15.0,10.0,3.0,3.0,0.97,0.43,0.09,0.29,12.4,26883.0,20505.0,6206.0,172.0,767.0,36.3,0.31,84.6,1.0,0.0,0.0,0.0,0.0,-866.0,-21.0,-450.0,-1.0,0.0,5004.0,5004.0,958.0,0.0,9127.0,0.0,4.0,139.0,18125.0,97.0,8.0,32.0,0.0
Teddy,14.0,3.0,3.0,3.0,310.0,45.0,9.3,13846.0,417.0,25.1,51.0,15.0,13.0,3.0,3.0,1.54,0.45,0.09,0.39,20.6,23842.0,15415.0,7425.0,1002.0,718.0,38.6,0.18,75.0,1.0,0.0,0.0,0.0,0.0,602.0,-2.0,-574.0,-1.0,0.0,3620.0,3620.0,101.0,0.0,10817.0,0.0,5.0,205.0,13850.0,71.0,6.0,31.0,0.0
Teddy,18.0,7.0,3.0,5.0,497.0,61.0,11.0,22888.0,505.0,28.1,58.0,22.0,23.0,6.0,6.0,1.28,0.49,0.13,0.51,15.3,41278.0,30262.0,10153.0,863.0,910.0,44.5,0.26,85.7,0.0,0.0,0.0,0.0,0.0,-517.0,-6.0,-48.0,0.0,0.0,4215.0,4215.0,3740.0,0.0,20520.0,0.0,9.0,369.0,24812.0,116.0,11.0,39.0,0.0
Teddy,15.0,1.0,2.0,1.0,312.0,25.0,9.4,12273.0,370.0,22.9,38.0,13.0,13.0,7.0,6.0,1.15,0.39,0.21,0.39,12.9,17882.0,14299.0,3235.0,348.0,539.0,29.5,0.06,33.3,0.0,0.0,0.0,0.0,0.0,-1277.0,-16.0,-830.0,0.0,0.0,55.0,55.0,479.0,84.0,7177.0,0.0,4.0,180.0,12025.0,44.0,10.0,29.0,0.0
Teddy,15.0,2.0,3.0,4.0,353.0,40.0,9.6,14375.0,392.0,24.5,53.0,20.0,17.0,8.0,8.0,1.45,0.55,0.22,0.46,17.1,15303.0,12919.0,1079.0,1305.0,417.0,25.1,0.16,85.7,0.0,0.0,0.0,0.0,0.0,298.0,22.0,281.0,0.0,0.0,2757.0,2757.0,1324.0,0.0,10013.0,0.0,6.0,103.0,14736.0,123.0,13.0,32.0,0.0
