,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Aiming,16.0,0.0,2.0,2.0,330.0,28.0,9.6,13166.0,385.0,22.8,47.0,14.0,11.0,5.0,5.0,1.37,0.41,0.15,0.32,17.0,6337.0,5461.0,720.0,156.0,185.0,16.1,0.06,50.0,0.0,0.0,0.0,0.0,0.0,-234.0,-10.0,164.0,1.0,0.0,852.0,852.0,2057.0,602.0,17525.0,565.0,5.0,66.0,16705.0,35.0,9.0,30.0,0.0
Aiming,15.0,4.0,2.0,4.0,323.0,37.0,10.1,14959.0,467.0,27.8,35.0,14.0,11.0,5.0,5.0,1.09,0.44,0.16,0.34,17.7,20181.0,14052.0,3873.0,2256.0,630.0,30.1,0.25,72.7,0.0,0.0,0.0,0.0,0.0,-80.0,-17.0,-336.0,0.0,0.0,1417.0,1417.0,1865.0,0.0,9328.0,0.0,1.0,78.0,15419.0,33.0,8.0,24.0,0.0
Aiming,15.0,4.0,3.0,6.0,305.0,24.0,9.8,14965.0,481.0,24.9,37.0,11.0,16.0,3.0,2.0,1.19,0.35,0.1,0.51,15.1,13766.0,8239.0,4188.0,1339.0,442.0,20.4,0.32,50.0,0.0,1.0,0.0,0.0,0.0,693.0,2.0,-202.0,0.0,0.0,7133.0,7133.0,1054.0,0.0,8052.0,0.0,1.0,26.0,12339.0,102.0,6.0,25.0,3.77
Aiming,15.0,2.0,1.0,5.0,252.0,28.0,9.5,11688.0,442.0,20.3,17.0,11.0,3.0,4.0,4.0,0.64,0.42,0.15,0.11,8.9,6982.0,6183.0,577.0,222.0,264.0,12.6,0.26,31.8,0.0,0.0,0.0,0.0,0.0,-2598.0,-22.0,472.0,1.0,0.0,4265.0,4265.0,3901.0,1491.0,6225.0,0.0,7.0,110.0,11428.0,16.0,7.0,21.0,3.77
Aiming,18.0,2.0,2.0,3.0,479.0,73.0,11.6,19630.0,474.0,26.8,48.0,19.0,22.0,6.0,6.0,1.16,0.46,0.14,0.53,12.3,19051.0,18078.0,0.0,973.0,460.0,23.8,0.12,45.5,0.0,0.0,0.0,0.0,0.0,316.0,2.0,110.0,0.0,0.0,6142.0,6142.0,2910.0,0.0,11740.0,0.0,2.0,65.0,15482.0,12.0,8.0,31.0,0.0
Aiming,17.0,7.0,1.0,0.0,465.0,67.0,11.1,21215.0,506.0,30.3,68.0,16.0,39.0,5.0,5.0,1.62,0.38,0.12,0.93,19.4,31030.0,15344.0,15404.0,282.0,740.0,43.1,0.17,87.5,0.0,2.0,0.0,0.0,0.0,-185.0,8.0,-985.0,-1.0,0.0,2636.0,2636.0,503.0,0.0,23457.0,0.0,8.0,213.0,18337.0,30.0,7.0,31.0,0.0
Aiming,17.0,5.0,2.0,5.0,389.0,24.0,9.6,17183.0,426.0,24.2,68.0,17.0,16.0,4.0,4.0,1.68,0.42,0.1,0.4,20.1,21238.0,19275.0,1866.0,97.0,526.0,28.0,0.25,66.7,0.0,1.0,0.0,0.0,0.0,-1010.0,22.0,-180.0,0.0,0.0,10389.0,10389.0,3255.0,0.0,10273.0,0.0,12.0,244.0,12725.0,58.0,8.0,30.0,3.77
Aiming,15.0,4.0,0.0,4.0,299.0,25.0,9.7,14688.0,478.0,24.8,67.0,17.0,18.0,7.0,7.0,2.18,0.55,0.23,0.59,22.8,12538.0,8141.0,3488.0,909.0,408.0,22.6,0.26,57.1,0.0,0.0,0.0,0.0,0.0,10.0,5.0,510.0,1.0,0.0,10383.0,10383.0,508.0,0.0,7295.0,0.0,1.0,65.0,12586.0,0.0,10.0,31.0,3.77
Aiming,16.0,2.0,4.0,5.0,337.0,37.0,8.4,16004.0,400.0,24.3,54.0,15.0,20.0,6.0,6.0,1.35,0.37,0.15,0.5,15.8,8173.0,7531.0,546.0,96.0,204.0,11.7,0.17,58.3,0.0,0.0,0.0,0.0,0.0,-1173.0,-7.0,-237.0,-1.0,0.0,2420.0,2420.0,3572.0,882.0,20065.0,0.0,12.0,419.0,17631.0,97.0,9.0,37.0,0.0
Aiming,17.0,1.0,3.0,1.0,409.0,32.0,9.5,16553.0,386.0,24.1,57.0,16.0,31.0,4.0,4.0,1.33,0.37,0.09,0.72,17.4,21503.0,10262.0,10268.0,973.0,502.0,24.6,0.05,50.0,0.0,0.0,0.0,0.0,0.0,-879.0,-15.0,-963.0,-1.0,0.0,2142.0,2142.0,2774.0,0.0,11192.0,0.0,6.0,321.0,18220.0,78.0,8.0,32.0,0.0
