,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Aria,18.0,5.0,1.0,4.0,408.0,40.0,10.3,17891.0,453.0,26.2,60.0,24.0,10.0,10.0,10.0,1.52,0.61,0.25,0.25,15.5,29062.0,3603.0,24221.0,1238.0,736.0,28.2,0.23,90.0,0.0,1.0,0.0,0.0,0.0,-1108.0,-31.0,-252.0,-1.0,0.0,370.0,370.0,706.0,0.0,11260.0,0.0,1.0,32.0,13320.0,0.0,14.0,34.0,0.0
Aria,18.0,1.0,1.0,6.0,371.0,40.0,9.9,14903.0,397.0,22.5,89.0,30.0,18.0,17.0,15.0,2.37,0.8,0.45,0.48,20.5,29570.0,3563.0,24020.0,1987.0,787.0,30.2,0.19,87.5,0.0,0.0,0.0,0.0,0.0,188.0,9.0,163.0,0.0,0.0,0.0,0.0,4760.0,0.0,13293.0,0.0,9.0,197.0,17783.0,0.0,20.0,37.0,0.0
Aria,17.0,0.0,1.0,6.0,310.0,4.0,8.9,13184.0,380.0,19.8,78.0,33.0,18.0,12.0,12.0,2.25,0.95,0.35,0.52,26.7,14998.0,894.0,13854.0,250.0,432.0,21.2,0.17,66.7,0.0,0.0,0.0,0.0,0.0,455.0,4.0,416.0,0.0,0.0,1900.0,1900.0,3496.0,0.0,15513.0,0.0,28.0,227.0,14960.0,46.0,12.0,29.0,3.77
Aria,17.0,2.0,1.0,5.0,338.0,4.0,9.5,14554.0,407.0,21.3,57.0,27.0,12.0,13.0,13.0,1.6,0.76,0.36,0.34,16.6,12868.0,667.0,11751.0,450.0,360.0,24.5,0.2,100.0,0.0,0.0,0.0,0.0,0.0,-229.0,-3.0,-99.0,0.0,0.0,3367.0,3367.0,2505.0,0.0,8607.0,0.0,12.0,236.0,11649.0,52.0,14.0,32.0,3.77
Aria,18.0,7.0,2.0,6.0,366.0,8.0,8.3,18193.0,410.0,22.9,97.0,39.0,19.0,11.0,11.0,2.19,0.88,0.25,0.43,20.4,32163.0,1628.0,22013.0,8522.0,725.0,32.0,0.29,68.4,1.0,2.0,0.0,0.0,0.0,-785.0,-6.0,-442.0,-1.0,0.0,4554.0,4554.0,5466.0,0.0,12487.0,0.0,30.0,117.0,16004.0,57.0,13.0,31.0,0.0
Aria,16.0,1.0,2.0,2.0,275.0,16.0,9.0,11174.0,365.0,21.2,70.0,28.0,13.0,10.0,10.0,2.28,0.91,0.33,0.42,23.3,10811.0,1013.0,7274.0,2524.0,353.0,27.1,0.1,42.9,0.0,0.0,0.0,0.0,0.0,-10.0,-7.0,388.0,0.0,0.0,168.0,168.0,3661.0,0.0,6552.0,0.0,14.0,78.0,14295.0,49.0,10.0,27.0,0.0
Aria,17.0,6.0,2.0,9.0,273.0,8.0,8.5,14304.0,448.0,22.7,36.0,18.0,6.0,8.0,7.0,1.13,0.56,0.25,0.19,11.6,21636.0,663.0,20178.0,795.0,678.0,28.2,0.47,83.3,0.0,1.0,0.0,0.0,0.0,1020.0,-2.0,297.0,0.0,0.0,3716.0,3716.0,222.0,0.0,9797.0,0.0,13.0,211.0,11639.0,49.0,10.0,24.0,3.77
Aria,17.0,1.0,3.0,2.0,326.0,0.0,9.3,12804.0,367.0,22.2,57.0,30.0,15.0,14.0,13.0,1.63,0.86,0.4,0.43,19.5,9363.0,929.0,7935.0,499.0,269.0,17.4,0.09,60.0,0.0,0.0,0.0,0.0,0.0,-1301.0,-21.0,-703.0,0.0,0.0,685.0,685.0,3088.0,0.0,11522.0,0.0,20.0,264.0,18837.0,98.0,15.0,33.0,0.0
Aria,16.0,1.0,3.0,2.0,242.0,1.0,7.4,10561.0,322.0,20.0,46.0,24.0,11.0,10.0,9.0,1.4,0.73,0.31,0.34,19.2,7193.0,55.0,6833.0,305.0,220.0,13.7,0.09,50.0,0.0,0.0,0.0,0.0,0.0,-1273.0,-33.0,-374.0,0.0,0.0,304.0,304.0,916.0,0.0,22154.0,780.0,7.0,67.0,21510.0,92.0,12.0,28.0,0.0
Aria,15.0,0.0,4.0,4.0,237.0,4.0,7.0,10153.0,301.0,18.6,47.0,25.0,13.0,12.0,11.0,1.4,0.74,0.36,0.39,18.7,15237.0,1609.0,13628.0,0.0,452.0,21.8,0.12,57.1,0.0,0.0,0.0,0.0,0.0,-200.0,14.0,152.0,0.0,0.0,134.0,134.0,1329.0,0.0,9334.0,0.0,9.0,48.0,17914.0,106.0,12.0,27.0,0.0
Aria,16.0,0.0,3.0,0.0,269.0,0.0,8.4,10385.0,324.0,20.4,35.0,14.0,11.0,8.0,8.0,1.09,0.44,0.25,0.34,17.9,10092.0,351.0,9734.0,7.0,315.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-946.0,-6.0,-489.0,-1.0,0.0,0.0,0.0,1858.0,0.0,6714.0,0.0,7.0,183.0,12823.0,68.0,8.0,26.0,0.0
Aria,14.0,0.0,1.0,1.0,228.0,2.0,8.2,9885.0,355.0,23.7,18.0,10.0,3.0,6.0,5.0,0.65,0.36,0.22,0.11,10.2,6765.0,491.0,5848.0,426.0,243.0,22.5,0.04,50.0,0.0,0.0,0.0,0.0,0.0,-167.0,-23.0,-325.0,0.0,0.0,0.0,0.0,3007.0,120.0,5276.0,0.0,21.0,198.0,11298.0,30.0,6.0,18.0,0.0
Aria,17.0,2.0,2.0,3.0,283.0,0.0,8.3,12418.0,365.0,22.2,56.0,30.0,12.0,12.0,10.0,1.65,0.88,0.35,0.35,23.7,10621.0,1292.0,8106.0,1223.0,312.0,20.5,0.15,62.5,0.0,0.0,0.0,0.0,0.0,58.0,-18.0,-15.0,0.0,0.0,284.0,284.0,5036.0,0.0,10314.0,0.0,11.0,74.0,17211.0,46.0,12.0,32.0,0.0
Aria,18.0,0.0,1.0,4.0,336.0,20.0,8.5,14396.0,363.0,20.8,94.0,45.0,23.0,17.0,17.0,2.37,1.13,0.43,0.58,24.7,18917.0,1230.0,17662.0,25.0,477.0,29.3,0.1,57.1,0.0,0.0,0.0,0.0,0.0,124.0,6.0,-432.0,-1.0,0.0,1916.0,1916.0,5024.0,0.0,9726.0,0.0,6.0,41.0,17568.0,0.0,18.0,36.0,0.0
Aria,14.0,3.0,2.0,3.0,198.0,0.0,6.6,9756.0,327.0,20.5,51.0,32.0,13.0,6.0,6.0,1.71,1.07,0.2,0.44,23.0,7722.0,1009.0,6139.0,574.0,259.0,18.7,0.2,66.7,0.0,0.0,0.0,0.0,0.0,-1523.0,-40.0,-1033.0,-1.0,0.0,0.0,0.0,2776.0,0.0,8468.0,0.0,16.0,444.0,11283.0,27.0,6.0,21.0,0.0
Aria,18.0,1.0,0.0,3.0,318.0,0.0,9.1,13990.0,400.0,21.1,79.0,40.0,17.0,12.0,12.0,2.26,1.14,0.34,0.49,23.0,9184.0,1114.0,7032.0,1038.0,263.0,17.2,0.11,50.0,0.0,0.0,0.0,0.0,0.0,360.0,-5.0,47.0,0.0,0.0,2285.0,2285.0,6334.0,0.0,6334.0,0.0,12.0,70.0,11225.0,0.0,13.0,30.0,3.77
Aria,12.0,1.0,6.0,1.0,167.0,0.0,7.6,7266.0,330.0,18.6,22.0,11.0,6.0,7.0,5.0,1.0,0.5,0.32,0.27,17.7,6186.0,526.0,5660.0,0.0,281.0,19.1,0.09,25.0,0.0,0.0,0.0,0.0,0.0,-1268.0,-10.0,-722.0,-1.0,0.0,607.0,607.0,829.0,0.0,3948.0,459.0,13.0,223.0,10037.0,126.0,7.0,18.0,0.0
Aria,18.0,4.0,1.0,12.0,315.0,1.0,9.7,13560.0,416.0,21.8,32.0,10.0,4.0,7.0,5.0,0.98,0.31,0.21,0.12,14.5,20549.0,1243.0,18982.0,324.0,631.0,24.2,0.49,64.0,0.0,1.0,0.0,0.0,0.0,64.0,3.0,91.0,1.0,0.0,153.0,153.0,2075.0,296.0,18506.0,0.0,33.0,712.0,13931.0,35.0,7.0,25.0,0.0
Aria,17.0,5.0,2.0,12.0,273.0,28.0,7.3,14881.0,398.0,21.7,55.0,10.0,16.0,7.0,7.0,1.47,0.27,0.19,0.43,17.6,18061.0,3558.0,14093.0,410.0,482.0,24.4,0.45,81.0,0.0,2.0,0.0,0.0,0.0,888.0,-3.0,468.0,0.0,0.0,8154.0,8154.0,4733.0,279.0,6650.0,0.0,44.0,205.0,12954.0,104.0,8.0,20.0,3.77
Aria,17.0,1.0,2.0,1.0,330.0,8.0,8.2,13412.0,335.0,21.2,93.0,46.0,24.0,17.0,17.0,2.32,1.15,0.42,0.6,23.4,17158.0,1270.0,15888.0,0.0,429.0,40.6,0.05,66.7,1.0,0.0,0.0,0.0,0.0,-367.0,-5.0,324.0,1.0,0.0,138.0,138.0,4019.0,0.0,8600.0,0.0,12.0,50.0,15850.0,38.0,17.0,38.0,0.0
Aria,18.0,2.0,3.0,14.0,345.0,10.0,7.7,17206.0,386.0,20.8,45.0,27.0,6.0,12.0,11.0,1.01,0.61,0.27,0.13,12.6,31652.0,544.0,31070.0,38.0,710.0,27.0,0.36,88.9,0.0,0.0,0.0,0.0,0.0,-715.0,-24.0,-1018.0,-1.0,0.0,5556.0,5556.0,3773.0,0.0,27374.0,0.0,27.0,484.0,19910.0,120.0,12.0,33.0,3.77
Aria,15.0,0.0,2.0,1.0,242.0,8.0,7.4,10017.0,306.0,19.9,30.0,13.0,6.0,9.0,8.0,0.92,0.4,0.27,0.18,12.4,4273.0,1573.0,2700.0,0.0,130.0,15.7,0.03,50.0,0.0,0.0,0.0,0.0,0.0,-1245.0,-23.0,-534.0,-1.0,0.0,1192.0,1192.0,2777.0,0.0,12243.0,176.0,9.0,425.0,18821.0,42.0,11.0,28.0,0.0
