,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Cuzz,14.0,0.0,2.0,4.0,174.0,144.0,5.1,9634.0,282.0,16.7,68.0,16.0,20.0,13.0,11.0,1.99,0.47,0.38,0.58,24.5,6976.0,3522.0,2873.0,581.0,204.0,17.7,0.12,100.0,0.0,0.0,0.0,0.0,0.0,692.0,6.0,525.0,1.0,0.0,0.0,0.0,6681.0,262.0,27117.0,0.0,16.0,345.0,21957.0,36.0,14.0,30.0,0.0
Cuzz,13.0,0.0,3.0,7.0,143.0,120.0,4.5,8427.0,263.0,15.6,57.0,19.0,16.0,17.0,14.0,1.78,0.59,0.53,0.5,28.8,7156.0,3121.0,3707.0,328.0,223.0,10.7,0.22,63.6,0.0,0.0,0.0,0.0,0.0,421.0,9.0,73.0,0.0,0.0,0.0,0.0,7829.0,331.0,24930.0,0.0,20.0,266.0,25736.0,131.0,17.0,33.0,0.0
Cuzz,14.0,1.0,0.0,11.0,162.0,128.0,5.2,9659.0,310.0,16.1,68.0,12.0,19.0,11.0,10.0,2.19,0.39,0.35,0.61,27.8,8449.0,4293.0,3966.0,190.0,272.0,12.5,0.39,60.0,0.0,0.0,0.0,0.0,0.0,-21.0,24.0,452.0,1.0,0.0,937.0,937.0,9616.0,301.0,24644.0,0.0,23.0,334.0,19654.0,0.0,11.0,27.0,3.77
Cuzz,13.0,5.0,2.0,10.0,137.0,105.0,5.2,9926.0,376.0,17.2,37.0,11.0,10.0,9.0,9.0,1.4,0.42,0.34,0.38,19.5,8827.0,6192.0,1431.0,1204.0,334.0,16.0,0.57,68.2,2.0,0.0,0.0,0.0,0.0,767.0,4.0,249.0,0.0,0.0,659.0,659.0,5807.0,0.0,19750.0,0.0,21.0,972.0,16219.0,57.0,9.0,27.0,3.77
Cuzz,15.0,4.0,4.0,5.0,176.0,148.0,4.3,12601.0,304.0,17.2,73.0,18.0,23.0,15.0,15.0,1.76,0.43,0.36,0.56,18.7,12594.0,5920.0,5443.0,1231.0,304.0,15.7,0.22,81.8,0.0,0.0,0.0,0.0,0.0,1841.0,19.0,895.0,1.0,0.0,1314.0,1314.0,11790.0,273.0,51512.0,0.0,27.0,574.0,31642.0,116.0,15.0,40.0,0.0
Cuzz,15.0,1.0,6.0,4.0,182.0,141.0,4.3,11001.0,262.0,15.7,93.0,15.0,35.0,13.0,13.0,2.22,0.36,0.31,0.83,26.5,7744.0,5370.0,1946.0,428.0,185.0,10.8,0.12,62.5,0.0,0.0,0.0,0.0,0.0,110.0,3.0,-635.0,-1.0,1.0,403.0,403.0,18750.0,0.0,24817.0,0.0,35.0,495.0,41046.0,240.0,14.0,32.0,0.0
Cuzz,17.0,3.0,2.0,8.0,243.0,196.0,6.0,14465.0,358.0,20.4,73.0,11.0,25.0,10.0,10.0,1.81,0.27,0.25,0.62,21.5,14722.0,12312.0,1765.0,645.0,365.0,19.4,0.27,73.3,0.0,1.0,0.0,0.0,0.0,493.0,-1.0,-528.0,-1.0,0.0,4577.0,4577.0,17264.0,0.0,35054.0,0.0,17.0,196.0,37938.0,71.0,11.0,32.0,3.77
Cuzz,14.0,1.0,1.0,6.0,168.0,154.0,5.5,10266.0,334.0,17.3,42.0,7.0,8.0,7.0,6.0,1.37,0.23,0.23,0.26,14.3,6885.0,5939.0,530.0,416.0,224.0,12.4,0.23,50.0,0.0,0.0,0.0,0.0,0.0,-65.0,0.0,-106.0,0.0,0.0,2985.0,2985.0,9643.0,0.0,19865.0,0.0,8.0,169.0,23862.0,40.0,7.0,27.0,3.77
Cuzz,15.0,3.0,3.0,8.0,132.0,113.0,3.3,12430.0,310.0,18.9,64.0,16.0,13.0,15.0,14.0,1.6,0.4,0.37,0.32,18.8,11807.0,8355.0,2620.0,832.0,295.0,16.9,0.27,91.7,0.0,0.0,0.0,0.0,0.0,-24.0,2.0,-177.0,-1.0,0.0,1096.0,1096.0,19726.0,0.0,34367.0,0.0,53.0,630.0,36587.0,103.0,15.0,37.0,0.0
Cuzz,16.0,1.0,2.0,2.0,229.0,198.0,5.3,12866.0,300.0,18.7,80.0,15.0,25.0,15.0,13.0,1.87,0.35,0.35,0.58,24.5,14069.0,12331.0,1104.0,634.0,328.0,16.1,0.07,75.0,0.0,0.0,0.0,0.0,0.0,1008.0,35.0,1056.0,1.0,0.0,0.0,0.0,15885.0,0.0,27889.0,0.0,17.0,291.0,30358.0,105.0,13.0,34.0,0.0
