,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Life,13.0,0.0,2.0,1.0,23.0,7.0,0.7,7050.0,206.0,12.2,103.0,59.0,13.0,11.0,9.0,3.01,1.73,0.32,0.38,37.2,2382.0,406.0,1976.0,0.0,70.0,6.0,0.03,25.0,0.0,0.0,0.0,0.0,0.0,141.0,2.0,571.0,1.0,0.0,114.0,114.0,11811.0,7082.0,7540.0,6135.0,3.0,3.0,11413.0,73.0,13.0,26.0,0.0
Life,12.0,0.0,1.0,10.0,5.0,0.0,0.2,6688.0,209.0,12.4,61.0,55.0,4.0,17.0,14.0,1.9,1.72,0.53,0.12,30.8,5116.0,667.0,4395.0,54.0,160.0,7.6,0.31,90.9,0.0,0.0,0.0,0.0,0.0,-623.0,-9.0,-666.0,-1.0,0.0,262.0,262.0,10296.0,7225.0,4220.0,0.0,19.0,129.0,8813.0,0.0,19.0,30.0,0.0
Life,12.0,1.0,1.0,13.0,7.0,0.0,0.2,8389.0,270.0,14.0,80.0,54.0,5.0,11.0,9.0,2.57,1.74,0.35,0.16,32.7,6965.0,844.0,6121.0,0.0,224.0,10.3,0.45,70.0,0.0,0.0,0.0,0.0,0.0,139.0,-9.0,394.0,1.0,0.0,2421.0,2421.0,7453.0,4949.0,5426.0,0.0,23.0,118.0,7676.0,37.0,13.0,25.0,3.77
Life,12.0,2.0,2.0,11.0,21.0,0.0,0.8,8516.0,322.0,14.8,83.0,51.0,10.0,12.0,11.0,3.14,1.93,0.45,0.38,43.7,10600.0,675.0,8954.0,971.0,401.0,19.2,0.49,59.1,0.0,0.0,0.0,0.0,0.0,427.0,6.0,869.0,1.0,0.0,452.0,452.0,3421.0,1040.0,4008.0,0.0,32.0,121.0,8844.0,21.0,14.0,26.0,3.77
Life,13.0,0.0,5.0,8.0,45.0,0.0,1.1,9175.0,222.0,12.5,164.0,109.0,24.0,22.0,22.0,3.96,2.63,0.53,0.58,41.9,5528.0,934.0,3748.0,846.0,134.0,6.9,0.19,72.7,0.0,0.0,0.0,0.0,0.0,-637.0,11.0,-845.0,-1.0,0.0,592.0,592.0,2192.0,0.0,18866.0,0.0,48.0,198.0,18960.0,104.0,24.0,37.0,0.0
Life,15.0,0.0,2.0,7.0,5.0,0.0,0.1,8387.0,200.0,12.0,90.0,68.0,0.0,18.0,18.0,2.15,1.62,0.43,0.0,25.6,5249.0,259.0,4678.0,312.0,125.0,7.3,0.17,87.5,0.0,0.0,0.0,0.0,0.0,337.0,4.0,150.0,1.0,0.0,224.0,224.0,13617.0,13503.0,1662.0,2567.0,16.0,40.0,3489.0,48.0,20.0,36.0,0.0
Life,14.0,0.0,5.0,8.0,18.0,0.0,0.4,8008.0,198.0,11.3,109.0,65.0,10.0,14.0,14.0,2.7,1.61,0.35,0.25,32.2,4058.0,492.0,2578.0,988.0,101.0,5.4,0.2,53.3,0.0,0.0,0.0,0.0,0.0,-446.0,5.0,-1132.0,-1.0,0.0,519.0,519.0,809.0,0.0,5336.0,7026.0,18.0,217.0,11119.0,118.0,16.0,30.0,3.77
Life,13.0,2.0,1.0,11.0,18.0,0.0,0.6,8715.0,284.0,14.7,105.0,62.0,16.0,8.0,8.0,3.42,2.02,0.26,0.52,35.7,5860.0,543.0,5317.0,0.0,191.0,10.5,0.42,92.9,0.0,0.0,0.0,0.0,0.0,300.0,-2.0,205.0,0.0,0.0,673.0,673.0,8293.0,5340.0,3388.0,0.0,15.0,109.0,6608.0,30.0,11.0,23.0,3.77
Life,14.0,1.0,4.0,8.0,36.0,4.0,0.9,8448.0,211.0,12.8,115.0,81.0,6.0,14.0,13.0,2.87,2.02,0.35,0.15,33.7,7834.0,200.0,6659.0,975.0,196.0,11.2,0.22,75.0,1.0,0.0,0.0,0.0,0.0,-118.0,-7.0,-205.0,0.0,0.0,0.0,0.0,4769.0,164.0,24539.0,5456.0,20.0,172.0,20449.0,89.0,18.0,34.0,0.0
Life,14.0,0.0,1.0,3.0,22.0,0.0,0.5,8568.0,200.0,12.5,109.0,79.0,15.0,20.0,19.0,2.54,1.84,0.47,0.35,33.3,3960.0,727.0,3093.0,140.0,92.0,4.5,0.07,75.0,0.0,0.0,0.0,0.0,0.0,-282.0,0.0,-343.0,0.0,0.0,313.0,313.0,1953.0,456.0,8885.0,5402.0,25.0,211.0,11353.0,43.0,22.0,36.0,0.0
