,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Rascal,17.0,3.0,2.0,0.0,301.0,36.0,8.8,15732.0,460.0,27.2,28.0,15.0,6.0,5.0,5.0,0.82,0.44,0.15,0.18,10.1,8721.0,6671.0,1951.0,99.0,255.0,22.1,0.09,75.0,0.0,0.0,0.0,0.0,0.0,-345.0,-23.0,-1117.0,-1.0,0.0,11156.0,11156.0,3586.0,0.0,27231.0,0.0,12.0,960.0,22112.0,35.0,6.0,26.0,0.0
Rascal,17.0,4.0,3.0,5.0,269.0,30.0,8.4,12663.0,395.0,23.5,27.0,11.0,5.0,6.0,6.0,0.84,0.34,0.19,0.16,13.6,17762.0,17415.0,283.0,64.0,554.0,26.5,0.28,81.8,0.0,1.0,0.0,0.0,0.0,-760.0,5.0,121.0,0.0,0.0,0.0,0.0,15147.0,0.0,25004.0,0.0,18.0,191.0,35076.0,59.0,7.0,26.0,0.0
Rascal,16.0,5.0,3.0,6.0,205.0,8.0,6.6,12431.0,399.0,20.7,38.0,12.0,8.0,7.0,6.0,1.22,0.39,0.22,0.26,15.5,12336.0,7036.0,5295.0,5.0,396.0,18.3,0.35,55.0,2.0,1.0,0.0,0.0,0.0,943.0,-1.0,643.0,0.0,0.0,7500.0,7500.0,1541.0,0.0,58849.0,0.0,31.0,1181.0,26747.0,119.0,8.0,25.0,3.77
Rascal,16.0,6.0,1.0,5.0,254.0,48.0,9.6,13959.0,528.0,24.2,26.0,10.0,7.0,3.0,2.0,0.98,0.38,0.11,0.26,13.7,10869.0,7680.0,2317.0,872.0,411.0,19.6,0.42,50.0,0.0,1.0,1.0,0.0,0.0,941.0,17.0,553.0,1.0,0.0,6539.0,6539.0,4686.0,0.0,19423.0,0.0,12.0,764.0,16951.0,16.0,4.0,20.0,3.77
Rascal,18.0,1.0,4.0,2.0,338.0,56.0,8.2,15247.0,368.0,20.8,51.0,11.0,15.0,4.0,4.0,1.23,0.27,0.1,0.36,13.0,19685.0,17796.0,1390.0,499.0,475.0,24.6,0.07,27.3,0.0,0.0,0.0,0.0,0.0,1277.0,37.0,1338.0,1.0,0.0,5978.0,5978.0,21758.0,0.0,33761.0,0.0,16.0,240.0,47158.0,170.0,6.0,26.0,0.0
Rascal,18.0,0.0,2.0,4.0,314.0,20.0,7.5,13977.0,333.0,19.9,50.0,14.0,14.0,9.0,9.0,1.19,0.33,0.21,0.33,14.2,12915.0,1961.0,10954.0,0.0,308.0,17.9,0.1,50.0,0.0,0.0,0.0,0.0,0.0,507.0,6.0,-453.0,-1.0,0.0,2661.0,2661.0,19628.0,0.0,53742.0,0.0,35.0,1628.0,36538.0,66.0,13.0,30.0,0.0
Rascal,18.0,2.0,2.0,7.0,307.0,7.0,7.6,14560.0,361.0,20.5,41.0,14.0,10.0,9.0,9.0,1.02,0.35,0.22,0.25,12.1,16083.0,5542.0,10291.0,250.0,398.0,21.2,0.22,60.0,0.0,0.0,0.0,0.0,0.0,1032.0,7.0,-336.0,0.0,0.0,2998.0,2998.0,7974.0,0.0,69012.0,0.0,28.0,1540.0,38725.0,100.0,11.0,31.0,3.77
Rascal,16.0,2.0,2.0,7.0,250.0,24.0,8.1,12053.0,393.0,20.4,42.0,16.0,8.0,5.0,4.0,1.37,0.52,0.16,0.26,14.3,18318.0,1468.0,16600.0,250.0,597.0,32.9,0.29,64.3,0.0,0.0,0.0,0.0,0.0,325.0,-6.0,-145.0,0.0,0.0,4564.0,4564.0,7147.0,0.0,14133.0,0.0,40.0,279.0,18669.0,48.0,8.0,26.0,3.77
Rascal,17.0,3.0,3.0,5.0,250.0,10.0,6.2,13533.0,338.0,20.6,44.0,12.0,13.0,9.0,7.0,1.1,0.3,0.22,0.32,12.9,15653.0,4968.0,10685.0,0.0,391.0,22.4,0.2,66.7,0.0,1.0,0.0,0.0,0.0,-76.0,-12.0,-225.0,0.0,0.0,3500.0,3500.0,4664.0,0.0,64756.0,0.0,36.0,2130.0,29535.0,89.0,10.0,31.0,0.0
Rascal,17.0,0.0,3.0,4.0,286.0,13.0,6.7,13705.0,320.0,20.0,44.0,15.0,21.0,10.0,10.0,1.03,0.35,0.23,0.49,13.5,17490.0,8083.0,7701.0,1706.0,408.0,20.0,0.09,100.0,0.0,0.0,0.0,0.0,0.0,-164.0,7.0,155.0,0.0,0.0,2486.0,2486.0,6875.0,0.0,63000.0,0.0,31.0,1841.0,34955.0,138.0,11.0,31.0,0.0
Rascal,18.0,2.0,5.0,5.0,330.0,16.0,8.9,13912.0,374.0,22.8,36.0,10.0,17.0,6.0,6.0,0.97,0.27,0.16,0.46,14.5,18329.0,14984.0,3345.0,0.0,493.0,27.5,0.19,77.8,0.0,0.0,0.0,0.0,0.0,204.0,13.0,-147.0,0.0,0.0,369.0,369.0,16100.0,0.0,45652.0,0.0,16.0,51.0,44254.0,178.0,8.0,22.0,0.0
Rascal,17.0,4.0,3.0,10.0,262.0,12.0,9.1,14084.0,488.0,22.7,31.0,9.0,9.0,6.0,5.0,1.07,0.31,0.21,0.31,12.6,20643.0,18052.0,2591.0,0.0,716.0,23.2,0.49,56.0,1.0,1.0,0.0,0.0,0.0,1013.0,28.0,317.0,1.0,0.0,8479.0,8479.0,13442.0,0.0,25967.0,0.0,21.0,47.0,32311.0,74.0,7.0,23.0,3.77
Rascal,17.0,2.0,2.0,9.0,270.0,9.0,7.1,13004.0,341.0,19.8,50.0,19.0,14.0,14.0,14.0,1.31,0.5,0.37,0.37,17.2,14294.0,7655.0,5181.0,1458.0,375.0,21.9,0.29,78.6,1.0,0.0,0.0,0.0,0.0,137.0,4.0,915.0,0.0,0.0,3472.0,3472.0,4467.0,0.0,59781.0,0.0,26.0,1283.0,34691.0,45.0,18.0,40.0,0.0
Rascal,15.0,5.0,0.0,6.0,215.0,8.0,8.8,11093.0,454.0,22.8,18.0,8.0,4.0,4.0,4.0,0.74,0.33,0.16,0.16,10.1,11954.0,5833.0,5160.0,961.0,490.0,21.2,0.45,68.8,1.0,1.0,0.0,0.0,0.0,215.0,-5.0,-138.0,0.0,0.0,5500.0,5500.0,2540.0,0.0,21682.0,0.0,21.0,1164.0,15139.0,0.0,7.0,23.0,3.77
Rascal,15.0,2.0,0.0,3.0,247.0,28.0,10.2,11933.0,493.0,22.5,26.0,6.0,8.0,3.0,2.0,1.07,0.25,0.12,0.33,12.1,11886.0,10159.0,1695.0,32.0,491.0,20.0,0.21,29.4,0.0,0.0,0.0,0.0,0.0,2309.0,63.0,2225.0,2.0,0.0,5505.0,5505.0,5188.0,0.0,13667.0,0.0,10.0,36.0,16429.0,0.0,4.0,20.0,3.77
Rascal,18.0,0.0,1.0,8.0,362.0,41.0,9.6,15110.0,401.0,21.2,53.0,13.0,16.0,8.0,8.0,1.41,0.34,0.21,0.42,16.2,15276.0,2298.0,9362.0,3616.0,405.0,18.8,0.21,50.0,0.0,0.0,0.0,0.0,0.0,-302.0,-10.0,-513.0,-1.0,0.0,2516.0,2516.0,4637.0,0.0,21000.0,0.0,3.0,52.0,29200.0,61.0,10.0,28.0,0.0
Rascal,18.0,6.0,1.0,6.0,271.0,16.0,8.8,13658.0,445.0,21.2,26.0,9.0,5.0,5.0,5.0,0.85,0.29,0.16,0.16,9.4,18848.0,887.0,15556.0,2405.0,614.0,31.7,0.39,54.5,3.0,1.0,0.0,0.0,0.0,1121.0,12.0,1175.0,1.0,0.0,2687.0,2687.0,3283.0,0.0,10712.0,0.0,3.0,170.0,17307.0,0.0,6.0,25.0,3.77
