,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Vicla,16.0,1.0,6.0,0.0,305.0,22.0,8.9,12193.0,357.0,21.1,31.0,17.0,6.0,6.0,6.0,0.91,0.5,0.18,0.18,11.2,15023.0,543.0,14163.0,317.0,439.0,38.1,0.03,25.0,0.0,0.0,0.0,0.0,0.0,-282.0,8.0,-126.0,0.0,0.0,1313.0,1313.0,972.0,0.0,8185.0,0.0,28.0,640.0,15854.0,147.0,8.0,26.0,0.0
Vicla,16.0,3.0,5.0,5.0,258.0,8.0,8.1,11155.0,348.0,20.7,18.0,14.0,2.0,9.0,5.0,0.56,0.44,0.28,0.06,9.1,16901.0,845.0,15692.0,364.0,528.0,25.2,0.25,72.7,0.0,0.0,0.0,0.0,0.0,-534.0,-14.0,-580.0,0.0,0.0,1821.0,1821.0,6892.0,353.0,19959.0,0.0,34.0,209.0,25631.0,163.0,11.0,30.0,0.0
Vicla,17.0,9.0,2.0,6.0,285.0,17.0,9.2,14598.0,469.0,24.3,22.0,6.0,8.0,0.0,0.0,0.71,0.19,0.0,0.26,9.0,25942.0,497.0,25113.0,332.0,834.0,38.5,0.48,75.0,0.0,1.0,0.0,0.0,0.0,-232.0,-7.0,299.0,0.0,0.0,4295.0,4295.0,2112.0,35.0,10381.0,0.0,33.0,591.0,14122.0,72.0,1.0,18.0,3.77
Vicla,16.0,7.0,1.0,10.0,254.0,8.0,9.6,13517.0,512.0,23.5,27.0,11.0,7.0,8.0,8.0,1.02,0.42,0.3,0.26,14.2,18053.0,84.0,17324.0,645.0,683.0,32.6,0.64,77.3,1.0,0.0,0.0,0.0,0.0,1828.0,-1.0,572.0,1.0,0.0,10609.0,10609.0,4581.0,0.0,13999.0,0.0,22.0,542.0,20039.0,32.0,10.0,27.0,3.77
Vicla,18.0,4.0,3.0,4.0,361.0,33.0,8.7,16696.0,403.0,22.8,55.0,20.0,7.0,10.0,5.0,1.33,0.48,0.24,0.17,14.1,23178.0,611.0,21590.0,977.0,560.0,29.0,0.19,72.7,0.0,0.0,0.0,0.0,0.0,389.0,0.0,-7.0,-1.0,0.0,3800.0,3800.0,4497.0,192.0,8785.0,0.0,28.0,598.0,17496.0,102.0,14.0,32.0,0.0
Vicla,18.0,0.0,5.0,6.0,396.0,57.0,9.4,15511.0,370.0,22.1,50.0,20.0,6.0,10.0,10.0,1.19,0.48,0.24,0.14,14.2,15087.0,607.0,14189.0,291.0,360.0,20.9,0.14,75.0,0.0,0.0,0.0,0.0,0.0,-877.0,2.0,-26.0,0.0,0.0,0.0,0.0,2330.0,0.0,9407.0,0.0,25.0,770.0,19800.0,235.0,11.0,29.0,0.0
Vicla,18.0,5.0,3.0,7.0,355.0,4.0,8.8,16723.0,414.0,23.6,48.0,18.0,10.0,16.0,16.0,1.19,0.45,0.4,0.25,14.2,19683.0,934.0,18274.0,475.0,488.0,26.0,0.3,80.0,1.0,0.0,0.0,0.0,0.0,561.0,19.0,396.0,0.0,0.0,798.0,798.0,5925.0,0.0,19318.0,0.0,20.0,690.0,26878.0,74.0,23.0,45.0,3.77
Vicla,17.0,5.0,0.0,7.0,294.0,32.0,9.6,13452.0,438.0,22.7,38.0,16.0,7.0,13.0,13.0,1.24,0.52,0.42,0.23,12.9,12000.0,53.0,11947.0,0.0,391.0,21.6,0.39,85.7,0.0,1.0,0.0,0.0,0.0,784.0,-5.0,88.0,0.0,0.0,1418.0,1418.0,2572.0,0.0,13025.0,0.0,20.0,546.0,17679.0,0.0,14.0,34.0,3.77
Vicla,18.0,3.0,5.0,4.0,362.0,34.0,9.0,15437.0,385.0,23.4,64.0,21.0,18.0,12.0,10.0,1.6,0.52,0.3,0.45,18.8,26345.0,2278.0,23971.0,96.0,658.0,37.7,0.17,58.3,0.0,0.0,0.0,0.0,0.0,-1239.0,-19.0,-1025.0,-1.0,0.0,274.0,274.0,1310.0,0.0,16117.0,0.0,13.0,247.0,23853.0,220.0,15.0,38.0,0.0
Vicla,18.0,2.0,3.0,0.0,420.0,16.0,9.8,16927.0,395.0,24.7,37.0,23.0,12.0,12.0,10.0,0.86,0.54,0.28,0.28,11.3,30320.0,365.0,29930.0,25.0,707.0,34.7,0.05,50.0,0.0,0.0,0.0,0.0,0.0,-73.0,-1.0,-406.0,-1.0,0.0,1503.0,1503.0,3880.0,0.0,18694.0,0.0,16.0,372.0,26017.0,68.0,13.0,34.0,0.0
