,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Clozer,13.0,1.0,3.0,2.0,212.0,0.0,9.0,8351.0,355.0,23.9,22.0,15.0,3.0,4.0,4.0,0.93,0.64,0.17,0.13,18.6,10491.0,1190.0,6758.0,2543.0,446.0,25.3,0.13,100.0,0.0,0.0,0.0,0.0,0.0,-223.0,15.0,29.0,0.0,0.0,557.0,557.0,2219.0,0.0,5175.0,0.0,8.0,42.0,10780.0,56.0,6.0,21.0,0.0
Clozer,18.0,1.0,2.0,4.0,331.0,0.0,9.2,13170.0,368.0,21.7,27.0,7.0,6.0,5.0,4.0,0.75,0.2,0.14,0.17,10.6,11862.0,13.0,11849.0,0.0,331.0,20.2,0.14,83.3,0.0,0.0,0.0,0.0,0.0,-1484.0,-34.0,-1714.0,-2.0,0.0,297.0,297.0,3858.0,0.0,20637.0,0.0,20.0,588.0,22887.0,32.0,7.0,27.0,0.0
Clozer,17.0,3.0,1.0,4.0,291.0,4.0,9.8,13040.0,437.0,21.8,32.0,14.0,8.0,7.0,6.0,1.07,0.47,0.23,0.27,12.7,16371.0,332.0,15547.0,492.0,549.0,27.3,0.23,50.0,0.0,0.0,0.0,0.0,0.0,-755.0,-14.0,-181.0,0.0,0.0,6266.0,6266.0,1713.0,0.0,8129.0,0.0,10.0,203.0,12071.0,12.0,12.0,32.0,3.77
Clozer,17.0,6.0,1.0,9.0,336.0,19.0,9.0,15204.0,406.0,22.8,35.0,3.0,10.0,2.0,1.0,0.93,0.08,0.05,0.27,11.0,24579.0,1668.0,15622.0,7289.0,657.0,33.8,0.4,71.4,1.0,0.0,0.0,0.0,0.0,271.0,-18.0,-872.0,-1.0,0.0,4185.0,4185.0,9266.0,287.0,16141.0,0.0,17.0,69.0,20992.0,0.0,3.0,22.0,3.77
Clozer,18.0,1.0,2.0,2.0,370.0,38.0,9.9,16196.0,434.0,26.4,22.0,16.0,4.0,4.0,4.0,0.59,0.43,0.11,0.11,7.8,31611.0,720.0,29619.0,1272.0,848.0,38.1,0.08,42.9,0.0,0.0,0.0,0.0,0.0,-179.0,-6.0,-303.0,0.0,0.0,2207.0,2207.0,1846.0,0.0,16138.0,0.0,14.0,292.0,16586.0,56.0,8.0,24.0,0.0
Clozer,16.0,2.0,1.0,3.0,280.0,0.0,7.6,12310.0,333.0,22.6,35.0,23.0,6.0,5.0,5.0,0.95,0.62,0.14,0.16,12.5,19573.0,1442.0,14010.0,4121.0,530.0,31.1,0.14,100.0,0.0,0.0,0.0,0.0,0.0,225.0,6.0,-393.0,-1.0,0.0,3172.0,3172.0,5118.0,0.0,9408.0,0.0,22.0,73.0,16034.0,0.0,8.0,25.0,0.0
Clozer,13.0,0.0,3.0,1.0,192.0,0.0,6.7,8130.0,284.0,20.1,29.0,10.0,9.0,7.0,7.0,1.01,0.35,0.24,0.31,14.4,11686.0,1624.0,10062.0,0.0,408.0,28.4,0.03,100.0,0.0,0.0,0.0,0.0,0.0,-141.0,14.0,-195.0,0.0,0.0,0.0,0.0,2692.0,0.0,10510.0,0.0,15.0,44.0,21133.0,94.0,9.0,29.0,0.0
Clozer,17.0,7.0,1.0,7.0,292.0,0.0,8.8,15804.0,477.0,25.1,41.0,5.0,10.0,3.0,3.0,1.24,0.15,0.09,0.3,13.4,18984.0,1405.0,13715.0,3864.0,573.0,32.6,0.42,77.8,0.0,2.0,0.0,0.0,0.0,415.0,4.0,-38.0,0.0,0.0,4833.0,4833.0,5513.0,310.0,7921.0,0.0,18.0,64.0,11948.0,38.0,3.0,23.0,3.77
Clozer,15.0,0.0,3.0,0.0,259.0,0.0,8.0,10376.0,320.0,21.6,31.0,8.0,10.0,6.0,6.0,0.96,0.25,0.19,0.31,15.5,5866.0,375.0,3094.0,2397.0,181.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,1.0,79.0,0.0,0.0,1252.0,1252.0,1669.0,357.0,7973.0,0.0,11.0,43.0,11393.0,62.0,6.0,21.0,0.0
Clozer,12.0,0.0,3.0,2.0,190.0,0.0,8.4,7631.0,338.0,23.1,19.0,6.0,5.0,3.0,3.0,0.84,0.27,0.13,0.22,16.0,4469.0,0.0,4357.0,112.0,198.0,16.9,0.09,66.7,0.0,0.0,0.0,0.0,0.0,-521.0,-25.0,-1188.0,-1.0,0.0,0.0,0.0,931.0,0.0,10598.0,0.0,11.0,318.0,17246.0,74.0,5.0,22.0,0.0
