,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Croco,11.0,0.0,5.0,3.0,123.0,118.0,5.2,6320.0,269.0,18.1,18.0,7.0,4.0,6.0,5.0,0.76,0.3,0.25,0.17,15.3,5128.0,4234.0,380.0,514.0,218.0,12.4,0.13,100.0,0.0,0.0,0.0,0.0,0.0,-966.0,10.0,-202.0,0.0,0.0,0.0,0.0,4910.0,0.0,17570.0,0.0,16.0,205.0,19800.0,138.0,6.0,20.0,0.0
Croco,14.0,0.0,4.0,4.0,183.0,161.0,5.1,10295.0,287.0,17.0,63.0,11.0,22.0,11.0,10.0,1.76,0.31,0.31,0.61,24.8,6134.0,5374.0,583.0,177.0,171.0,10.4,0.11,66.7,0.0,0.0,0.0,0.0,0.0,-281.0,-23.0,-446.0,-1.0,0.0,1263.0,1263.0,7820.0,0.0,21250.0,0.0,8.0,212.0,23901.0,170.0,11.0,30.0,0.0
Croco,15.0,5.0,0.0,6.0,163.0,134.0,5.5,11600.0,389.0,19.4,51.0,8.0,14.0,6.0,6.0,1.71,0.27,0.2,0.47,20.2,11975.0,9572.0,1445.0,958.0,402.0,20.0,0.37,78.6,1.0,1.0,0.0,0.0,0.0,-34.0,1.0,-160.0,0.0,0.0,3421.0,3421.0,9616.0,0.0,17465.0,0.0,8.0,147.0,21092.0,0.0,6.0,26.0,3.77
Croco,16.0,5.0,1.0,10.0,163.0,130.0,4.4,12739.0,340.0,19.1,69.0,9.0,23.0,7.0,7.0,1.84,0.24,0.19,0.61,21.8,12971.0,7991.0,4292.0,688.0,347.0,17.8,0.4,71.4,2.0,1.0,0.0,0.0,0.0,1018.0,4.0,227.0,1.0,0.0,1216.0,1216.0,27706.0,0.0,48866.0,0.0,50.0,1236.0,47377.0,45.0,7.0,28.0,3.77
Croco,14.0,2.0,5.0,3.0,149.0,124.0,4.0,10179.0,273.0,16.6,61.0,14.0,19.0,14.0,12.0,1.64,0.38,0.38,0.51,21.7,7176.0,3443.0,3365.0,368.0,192.0,8.6,0.13,71.4,0.0,0.0,0.0,0.0,0.0,-58.0,4.0,814.0,0.0,0.0,0.0,0.0,6974.0,319.0,36037.0,0.0,20.0,336.0,40177.0,123.0,14.0,34.0,0.0
Croco,14.0,0.0,3.0,4.0,171.0,145.0,4.6,9757.0,264.0,17.9,62.0,14.0,23.0,16.0,12.0,1.68,0.38,0.43,0.62,22.2,5978.0,2696.0,2999.0,283.0,162.0,9.5,0.11,80.0,0.0,0.0,0.0,0.0,0.0,429.0,12.0,48.0,0.0,0.0,1071.0,1071.0,18227.0,0.0,46677.0,0.0,26.0,1189.0,37956.0,87.0,16.0,35.0,0.0
Croco,11.0,1.0,3.0,0.0,137.0,121.0,4.8,7624.0,266.0,18.9,36.0,7.0,10.0,5.0,5.0,1.26,0.24,0.17,0.35,17.8,7655.0,4985.0,2088.0,582.0,267.0,18.6,0.03,100.0,0.0,0.0,0.0,0.0,0.0,173.0,12.0,436.0,1.0,0.0,0.0,0.0,12758.0,0.0,21855.0,0.0,24.0,378.0,27382.0,103.0,5.0,26.0,0.0
Croco,15.0,2.0,2.0,13.0,168.0,132.0,5.1,11179.0,337.0,17.8,74.0,11.0,30.0,9.0,9.0,2.23,0.33,0.27,0.9,24.2,7094.0,3358.0,3185.0,551.0,214.0,12.2,0.45,83.3,1.0,0.0,0.0,0.0,0.0,469.0,27.0,-26.0,0.0,0.0,2271.0,2271.0,18380.0,0.0,39179.0,0.0,21.0,907.0,28769.0,63.0,10.0,25.0,3.77
Croco,13.0,0.0,4.0,0.0,180.0,157.0,5.6,9341.0,288.0,19.5,28.0,8.0,13.0,8.0,7.0,0.86,0.25,0.25,0.4,14.0,7116.0,6023.0,421.0,672.0,220.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-905.0,5.0,191.0,0.0,1.0,1291.0,1291.0,6520.0,0.0,26656.0,0.0,19.0,471.0,22450.0,116.0,9.0,28.0,0.0
Croco,11.0,1.0,5.0,2.0,117.0,113.0,5.2,6801.0,301.0,20.6,20.0,6.0,3.0,5.0,4.0,0.88,0.27,0.22,0.13,16.8,5872.0,5181.0,522.0,169.0,260.0,22.2,0.13,100.0,0.0,0.0,0.0,0.0,0.0,-77.0,-16.0,-539.0,0.0,0.0,0.0,0.0,5823.0,0.0,15381.0,0.0,11.0,158.0,20613.0,162.0,5.0,19.0,0.0
