,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Dove,11.0,2.0,5.0,1.0,142.0,4.0,6.0,7409.0,315.0,21.2,8.0,4.0,1.0,1.0,0.0,0.34,0.17,0.04,0.04,6.8,11245.0,11231.0,14.0,0.0,478.0,27.2,0.13,100.0,0.0,0.0,0.0,0.0,0.0,-1291.0,-19.0,-1233.0,-2.0,0.0,0.0,0.0,5848.0,0.0,12439.0,0.0,12.0,66.0,20165.0,141.0,2.0,16.0,0.0
Dove,18.0,2.0,1.0,1.0,348.0,4.0,9.7,15065.0,421.0,24.9,30.0,11.0,7.0,8.0,7.0,0.84,0.31,0.22,0.2,11.8,19589.0,11167.0,1650.0,6772.0,547.0,33.3,0.08,50.0,0.0,1.0,0.0,0.0,0.0,-192.0,4.0,-171.0,-1.0,0.0,7886.0,7886.0,17329.0,927.0,47835.0,0.0,18.0,115.0,31839.0,0.0,9.0,28.0,0.0
Dove,17.0,2.0,1.0,4.0,260.0,15.0,8.7,12909.0,433.0,21.6,28.0,10.0,4.0,5.0,5.0,0.94,0.34,0.17,0.13,11.1,13215.0,8398.0,1591.0,3226.0,443.0,22.1,0.2,42.9,0.0,0.0,0.0,0.0,0.0,1028.0,14.0,-114.0,0.0,0.0,8706.0,8706.0,8059.0,0.0,15292.0,0.0,8.0,99.0,21633.0,38.0,6.0,22.0,3.77
Dove,16.0,1.0,2.0,14.0,220.0,0.0,5.9,11729.0,313.0,17.6,36.0,16.0,3.0,7.0,7.0,0.96,0.43,0.19,0.08,11.4,13962.0,4860.0,9102.0,0.0,373.0,19.2,0.4,71.4,0.0,0.0,0.0,0.0,0.0,-420.0,-21.0,-319.0,0.0,0.0,1155.0,1155.0,7049.0,0.0,47501.0,0.0,36.0,1199.0,33066.0,51.0,8.0,29.0,3.77
Dove,16.0,0.0,5.0,1.0,268.0,0.0,7.2,11650.0,312.0,19.0,38.0,11.0,8.0,7.0,7.0,1.02,0.3,0.19,0.21,13.5,18858.0,15380.0,3478.0,0.0,506.0,22.7,0.03,14.3,0.0,0.0,0.0,0.0,0.0,75.0,7.0,49.0,0.0,0.0,1339.0,1339.0,4029.0,0.0,23939.0,0.0,24.0,496.0,26997.0,193.0,8.0,24.0,0.0
Dove,14.0,1.0,5.0,3.0,167.0,2.0,4.5,9494.0,257.0,17.4,27.0,14.0,8.0,7.0,7.0,0.73,0.38,0.19,0.22,9.7,9699.0,2830.0,6869.0,0.0,262.0,15.4,0.11,80.0,0.0,0.0,0.0,0.0,0.0,-1025.0,-46.0,-996.0,0.0,0.0,1452.0,1452.0,606.0,0.0,37103.0,0.0,27.0,994.0,27971.0,170.0,8.0,31.0,0.0
Dove,14.0,0.0,6.0,0.0,202.0,8.0,7.0,8581.0,299.0,21.2,23.0,9.0,7.0,4.0,3.0,0.8,0.31,0.14,0.24,11.4,8768.0,8768.0,0.0,0.0,306.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-633.0,-24.0,-616.0,-1.0,0.0,0.0,0.0,6969.0,0.0,16737.0,0.0,15.0,109.0,25916.0,172.0,5.0,26.0,0.0
Dove,16.0,5.0,4.0,8.0,198.0,4.0,6.0,11880.0,358.0,18.9,26.0,11.0,6.0,7.0,7.0,0.78,0.33,0.21,0.18,8.5,13730.0,13730.0,0.0,0.0,414.0,23.6,0.39,72.2,1.0,0.0,0.0,0.0,0.0,-7.0,-26.0,-499.0,0.0,0.0,510.0,510.0,12764.0,0.0,26679.0,0.0,16.0,234.0,27981.0,145.0,9.0,24.0,3.77
Dove,15.0,0.0,1.0,0.0,217.0,0.0,6.7,9715.0,300.0,20.3,44.0,16.0,13.0,10.0,10.0,1.36,0.49,0.31,0.4,22.0,6051.0,300.0,5751.0,0.0,187.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-849.0,-28.0,-878.0,0.0,0.0,1447.0,1447.0,7944.0,0.0,12883.0,0.0,15.0,431.0,16562.0,51.0,12.0,26.0,0.0
Dove,13.0,0.0,4.0,1.0,179.0,4.0,7.9,6940.0,307.0,21.0,12.0,6.0,1.0,4.0,3.0,0.53,0.27,0.18,0.04,10.1,7641.0,6334.0,1277.0,30.0,338.0,28.9,0.04,33.3,0.0,0.0,0.0,0.0,0.0,-271.0,-8.0,-652.0,0.0,0.0,2648.0,2648.0,4533.0,0.0,13138.0,0.0,5.0,25.0,18558.0,110.0,5.0,17.0,0.0
