,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Ice,15.0,4.0,4.0,4.0,320.0,32.0,9.2,14748.0,423.0,26.7,64.0,16.0,18.0,7.0,6.0,1.83,0.46,0.2,0.52,20.9,17116.0,15431.0,1067.0,618.0,490.0,31.8,0.23,100.0,0.0,0.0,0.0,0.0,0.0,344.0,-17.0,149.0,1.0,0.0,3605.0,3605.0,889.0,0.0,5642.0,0.0,7.0,57.0,12905.0,134.0,10.0,31.0,0.0
Ice,14.0,0.0,3.0,3.0,298.0,20.0,9.3,11414.0,357.0,22.0,25.0,9.0,8.0,3.0,2.0,0.78,0.28,0.09,0.25,12.9,13583.0,11760.0,1719.0,104.0,425.0,21.0,0.09,60.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,-303.0,-1.0,0.0,2961.0,2961.0,3105.0,0.0,13181.0,0.0,12.0,158.0,11120.0,73.0,6.0,20.0,0.0
Ice,12.0,0.0,5.0,4.0,213.0,0.0,8.6,8248.0,331.0,21.6,21.0,8.0,4.0,3.0,2.0,0.84,0.32,0.12,0.16,12.4,10135.0,6656.0,1151.0,2328.0,407.0,26.8,0.16,50.0,0.0,0.0,0.0,0.0,0.0,-1006.0,-1.0,-542.0,-1.0,0.0,2383.0,2383.0,805.0,0.0,8235.0,0.0,0.0,0.0,16236.0,131.0,4.0,20.0,0.0
Ice,10.0,0.0,4.0,0.0,172.0,0.0,8.0,6646.0,308.0,20.6,10.0,7.0,2.0,0.0,0.0,0.46,0.32,0.0,0.09,9.5,5151.0,4650.0,379.0,122.0,239.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3303.0,-29.0,-1721.0,-2.0,0.0,0.0,0.0,1106.0,0.0,3664.0,0.0,7.0,129.0,9111.0,60.0,5.0,15.0,0.0
Ice,18.0,6.0,2.0,6.0,434.0,44.0,10.6,20298.0,494.0,26.0,52.0,13.0,16.0,3.0,3.0,1.27,0.32,0.07,0.39,15.3,26013.0,21991.0,1866.0,2156.0,633.0,28.5,0.29,63.2,0.0,0.0,0.0,0.0,0.0,-824.0,-16.0,248.0,0.0,0.0,5966.0,5966.0,5307.0,0.0,26888.0,0.0,14.0,210.0,21384.0,66.0,8.0,29.0,3.77
Ice,14.0,3.0,3.0,1.0,253.0,0.0,8.4,11480.0,383.0,25.5,48.0,13.0,14.0,5.0,4.0,1.6,0.43,0.17,0.47,20.9,8521.0,7929.0,328.0,264.0,284.0,27.0,0.13,80.0,0.0,0.0,0.0,0.0,0.0,-231.0,-6.0,-479.0,0.0,0.0,348.0,348.0,0.0,0.0,5442.0,0.0,3.0,27.0,10408.0,118.0,9.0,27.0,0.0
Ice,12.0,0.0,4.0,0.0,230.0,4.0,8.9,8614.0,332.0,21.6,16.0,8.0,4.0,2.0,1.0,0.62,0.31,0.08,0.15,11.3,5151.0,4486.0,665.0,0.0,198.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2064.0,-23.0,-873.0,-1.0,0.0,0.0,0.0,3086.0,308.0,6277.0,0.0,5.0,68.0,10522.0,60.0,5.0,20.0,0.0
Ice,13.0,0.0,3.0,0.0,250.0,12.0,8.7,10011.0,348.0,21.4,24.0,9.0,7.0,3.0,3.0,0.83,0.31,0.1,0.24,12.4,12302.0,7702.0,3764.0,836.0,428.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2533.0,-34.0,-626.0,-1.0,0.0,0.0,0.0,1799.0,540.0,7064.0,0.0,8.0,136.0,13932.0,108.0,7.0,26.0,0.0
Ice,18.0,1.0,3.0,1.0,446.0,33.0,11.2,16616.0,418.0,26.0,43.0,15.0,15.0,5.0,4.0,1.08,0.38,0.13,0.38,14.6,12615.0,11503.0,848.0,264.0,317.0,23.6,0.05,50.0,0.0,0.0,0.0,0.0,0.0,39.0,9.0,713.0,0.0,0.0,521.0,521.0,1830.0,0.0,14137.0,0.0,9.0,275.0,8637.0,24.0,8.0,24.0,0.0
Ice,18.0,3.0,2.0,8.0,416.0,13.0,10.0,18933.0,455.0,23.9,47.0,16.0,14.0,6.0,5.0,1.13,0.38,0.14,0.34,13.4,19952.0,18596.0,1356.0,0.0,479.0,25.0,0.26,68.8,0.0,0.0,0.0,0.0,0.0,-403.0,-2.0,-420.0,-1.0,0.0,10251.0,10251.0,3836.0,0.0,8331.0,0.0,21.0,265.0,14309.0,66.0,11.0,28.0,3.77
