,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Kael,9.0,0.0,5.0,3.0,16.0,0.0,0.7,4811.0,204.0,13.7,58.0,34.0,12.0,10.0,9.0,2.46,1.44,0.42,0.51,49.2,4066.0,824.0,3242.0,0.0,173.0,9.8,0.13,100.0,0.0,0.0,0.0,0.0,0.0,-588.0,1.0,-499.0,-1.0,0.0,386.0,386.0,1637.0,1250.0,5280.0,2394.0,18.0,129.0,9288.0,128.0,12.0,24.0,0.0
Kael,13.0,2.0,1.0,4.0,17.0,0.0,0.5,8178.0,228.0,13.5,102.0,83.0,12.0,20.0,20.0,2.85,2.32,0.56,0.34,40.2,4504.0,565.0,3650.0,289.0,126.0,7.7,0.17,100.0,0.0,0.0,0.0,0.0,0.0,46.0,-4.0,267.0,0.0,0.0,715.0,715.0,8083.0,5151.0,4150.0,0.0,9.0,130.0,7759.0,46.0,22.0,35.0,0.0
Kael,12.0,0.0,2.0,10.0,11.0,0.0,0.4,8580.0,288.0,14.4,106.0,76.0,11.0,20.0,18.0,3.56,2.55,0.67,0.37,42.1,4198.0,420.0,3514.0,264.0,141.0,7.0,0.34,71.4,0.0,0.0,0.0,0.0,0.0,891.0,1.0,290.0,0.0,0.0,674.0,674.0,5028.0,4131.0,3674.0,0.0,13.0,131.0,5954.0,79.0,22.0,36.0,3.77
Kael,13.0,0.0,3.0,13.0,39.0,0.0,1.0,8121.0,217.0,12.2,119.0,76.0,17.0,25.0,23.0,3.18,2.03,0.67,0.45,37.5,4230.0,1404.0,2240.0,586.0,113.0,5.8,0.35,61.9,0.0,0.0,0.0,0.0,0.0,-404.0,-24.0,-482.0,0.0,0.0,224.0,224.0,1611.0,0.0,16491.0,228.0,26.0,110.0,16676.0,78.0,27.0,41.0,3.77
Kael,14.0,1.0,2.0,5.0,14.0,0.0,0.4,8188.0,220.0,13.4,114.0,77.0,11.0,13.0,13.0,3.06,2.07,0.35,0.3,40.6,12581.0,631.0,11950.0,0.0,337.0,15.2,0.16,85.7,0.0,0.0,0.0,0.0,0.0,-141.0,-9.0,1939.0,2.0,0.0,0.0,0.0,9458.0,8818.0,3289.0,3407.0,23.0,58.0,5725.0,42.0,15.0,29.0,0.0
Kael,13.0,0.0,2.0,5.0,39.0,0.0,1.1,7359.0,199.0,13.5,98.0,62.0,16.0,17.0,15.0,2.65,1.68,0.46,0.43,35.1,2690.0,620.0,2070.0,0.0,73.0,4.3,0.14,100.0,0.0,0.0,0.0,0.0,0.0,314.0,18.0,-109.0,0.0,0.0,77.0,77.0,2451.0,1787.0,4982.0,4986.0,18.0,99.0,9860.0,67.0,20.0,38.0,0.0
Kael,10.0,0.0,2.0,0.0,26.0,0.0,0.9,5297.0,185.0,13.1,62.0,47.0,5.0,15.0,13.0,2.16,1.64,0.52,0.17,30.7,1478.0,110.0,1368.0,0.0,52.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-439.0,8.0,-376.0,0.0,0.0,0.0,0.0,1892.0,1057.0,5019.0,3587.0,18.0,111.0,8318.0,14.0,17.0,28.0,0.0
Kael,13.0,0.0,2.0,13.0,41.0,0.0,1.2,7972.0,240.0,12.7,87.0,57.0,12.0,16.0,16.0,2.62,1.72,0.48,0.36,28.4,4289.0,689.0,2524.0,1076.0,129.0,7.4,0.39,72.2,0.0,0.0,0.0,0.0,0.0,-178.0,22.0,-21.0,0.0,0.0,443.0,443.0,2585.0,382.0,8809.0,4306.0,11.0,146.0,10946.0,63.0,21.0,34.0,3.77
Kael,11.0,0.0,3.0,1.0,11.0,0.0,0.3,6373.0,197.0,13.3,62.0,41.0,10.0,18.0,16.0,1.91,1.27,0.56,0.31,31.0,1921.0,370.0,1547.0,4.0,59.0,5.8,0.03,100.0,0.0,0.0,0.0,0.0,0.0,-1508.0,-12.0,-223.0,-1.0,0.0,0.0,0.0,1947.0,1184.0,6043.0,3579.0,11.0,106.0,9707.0,81.0,20.0,32.0,0.0
Kael,8.0,1.0,3.0,2.0,26.0,0.0,1.2,4636.0,205.0,14.0,52.0,35.0,8.0,13.0,12.0,2.3,1.55,0.58,0.35,43.7,1446.0,274.0,893.0,279.0,64.0,5.5,0.13,100.0,0.0,0.0,0.0,0.0,0.0,-212.0,19.0,-2268.0,-2.0,0.0,0.0,0.0,1290.0,685.0,8243.0,1322.0,7.0,34.0,10266.0,72.0,15.0,25.0,0.0
Kael,13.0,0.0,4.0,15.0,38.0,0.0,1.2,7661.0,243.0,12.2,84.0,55.0,18.0,18.0,17.0,2.66,1.74,0.57,0.57,35.4,6092.0,699.0,4003.0,1390.0,193.0,6.4,0.48,65.2,0.0,0.0,0.0,0.0,0.0,193.0,-1.0,-13.0,0.0,0.0,124.0,124.0,1002.0,0.0,19094.0,2102.0,49.0,273.0,15178.0,101.0,20.0,35.0,3.77
Kael,13.0,1.0,6.0,2.0,44.0,0.0,1.2,8507.0,232.0,13.2,113.0,73.0,17.0,29.0,27.0,3.09,1.99,0.79,0.46,41.1,4113.0,511.0,2945.0,657.0,112.0,5.9,0.08,42.9,0.0,0.0,0.0,0.0,0.0,463.0,-1.0,366.0,0.0,0.0,0.0,0.0,885.0,0.0,21734.0,444.0,46.0,259.0,17247.0,182.0,32.0,48.0,0.0
