,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Prince,11.0,0.0,5.0,3.0,197.0,12.0,8.4,8122.0,345.0,23.2,12.0,9.0,3.0,2.0,2.0,0.51,0.38,0.08,0.13,10.2,10458.0,9603.0,211.0,644.0,444.0,25.3,0.13,100.0,0.0,0.0,0.0,0.0,0.0,-2111.0,-26.0,-1314.0,-1.0,0.0,334.0,334.0,990.0,0.0,6039.0,0.0,0.0,25.0,11401.0,143.0,6.0,22.0,0.0
Prince,16.0,1.0,3.0,3.0,367.0,28.0,10.2,13894.0,388.0,22.9,32.0,15.0,11.0,5.0,3.0,0.89,0.42,0.14,0.31,12.6,16668.0,11622.0,4934.0,112.0,465.0,28.4,0.11,66.7,0.0,0.0,0.0,0.0,0.0,-130.0,-8.0,-502.0,0.0,0.0,2310.0,2310.0,696.0,0.0,11675.0,0.0,1.0,60.0,19342.0,153.0,11.0,31.0,0.0
Prince,15.0,4.0,1.0,6.0,277.0,16.0,9.3,13587.0,456.0,22.8,35.0,12.0,10.0,2.0,2.0,1.17,0.4,0.07,0.34,13.9,14154.0,9320.0,4300.0,534.0,475.0,23.6,0.34,71.4,0.0,0.0,0.0,0.0,0.0,303.0,-11.0,-626.0,-1.0,0.0,4392.0,4392.0,246.0,0.0,4885.0,0.0,0.0,64.0,8216.0,0.0,7.0,25.0,3.77
Prince,17.0,9.0,2.0,6.0,358.0,21.0,9.6,18928.0,506.0,28.4,58.0,26.0,10.0,2.0,2.0,1.55,0.69,0.05,0.27,18.3,17036.0,14687.0,2325.0,24.0,455.0,23.4,0.4,71.4,0.0,3.0,0.0,0.0,0.0,1803.0,30.0,1575.0,2.0,0.0,7245.0,7245.0,5071.0,843.0,25728.0,0.0,7.0,526.0,21724.0,101.0,5.0,21.0,3.77
Prince,17.0,3.0,5.0,3.0,348.0,28.0,9.3,15039.0,403.0,24.6,46.0,28.0,10.0,5.0,5.0,1.23,0.75,0.13,0.27,16.4,12816.0,12600.0,0.0,216.0,344.0,15.4,0.16,85.7,0.0,0.0,0.0,0.0,0.0,458.0,-7.0,1110.0,1.0,0.0,2234.0,2234.0,3604.0,300.0,22088.0,244.0,7.0,149.0,28343.0,187.0,6.0,29.0,0.0
Prince,15.0,2.0,2.0,2.0,392.0,32.0,10.6,15621.0,423.0,28.6,57.0,20.0,24.0,6.0,6.0,1.54,0.54,0.16,0.65,20.4,25052.0,22970.0,959.0,1123.0,678.0,39.8,0.11,80.0,0.0,0.0,0.0,0.0,0.0,233.0,5.0,-183.0,-1.0,0.0,1350.0,1350.0,664.0,0.0,8604.0,0.0,0.0,0.0,12373.0,47.0,11.0,33.0,0.0
Prince,14.0,0.0,0.0,0.0,304.0,30.0,10.6,10803.0,377.0,26.7,52.0,31.0,18.0,4.0,4.0,1.81,1.08,0.14,0.63,25.7,11607.0,7665.0,3758.0,184.0,405.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,18.0,642.0,0.0,0.0,0.0,0.0,1679.0,0.0,9165.0,0.0,4.0,125.0,9599.0,0.0,6.0,23.0,0.0
Prince,16.0,4.0,2.0,7.0,340.0,34.0,10.3,16005.0,483.0,25.5,78.0,40.0,21.0,4.0,4.0,2.35,1.21,0.12,0.63,25.5,14172.0,12742.0,1106.0,324.0,428.0,24.3,0.33,61.1,0.0,0.0,0.0,0.0,0.0,884.0,16.0,655.0,1.0,0.0,10628.0,10628.0,415.0,0.0,11649.0,0.0,6.0,194.0,6282.0,63.0,8.0,26.0,3.77
Prince,14.0,1.0,2.0,0.0,306.0,13.0,9.4,12123.0,374.0,25.3,35.0,28.0,16.0,3.0,3.0,1.08,0.86,0.09,0.49,17.5,11971.0,10187.0,1369.0,415.0,370.0,36.4,0.03,100.0,0.0,0.0,0.0,0.0,0.0,-497.0,0.0,-659.0,-1.0,0.0,0.0,0.0,790.0,0.0,10800.0,0.0,13.0,180.0,8926.0,69.0,7.0,24.0,0.0
Prince,11.0,1.0,3.0,1.0,161.0,10.0,7.1,7059.0,312.0,21.3,16.0,14.0,2.0,4.0,4.0,0.71,0.62,0.18,0.09,13.4,7019.0,4328.0,2691.0,0.0,311.0,26.5,0.09,66.7,0.0,0.0,0.0,0.0,0.0,-1450.0,-32.0,245.0,0.0,0.0,690.0,690.0,51.0,0.0,6101.0,0.0,2.0,31.0,9695.0,94.0,7.0,21.0,0.0
