,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Bdd,15.0,1.0,1.0,6.0,224.0,1.0,9.1,10809.0,441.0,21.2,17.0,12.0,7.0,3.0,3.0,0.69,0.49,0.12,0.29,10.2,14957.0,444.0,13912.0,601.0,610.0,28.8,0.29,41.2,0.0,0.0,0.0,0.0,0.0,504.0,2.0,-54.0,0.0,0.0,3558.0,3558.0,1478.0,0.0,7486.0,0.0,11.0,208.0,10409.0,32.0,4.0,20.0,3.77
Bdd,16.0,3.0,0.0,8.0,273.0,20.0,8.3,12668.0,386.0,22.3,33.0,11.0,8.0,9.0,9.0,1.01,0.34,0.27,0.24,13.6,24749.0,742.0,23932.0,75.0,754.0,41.4,0.34,100.0,0.0,0.0,0.0,0.0,0.0,-59.0,-18.0,-862.0,-1.0,0.0,3293.0,3293.0,2245.0,0.0,7725.0,0.0,36.0,674.0,12630.0,0.0,10.0,26.0,3.77
Bdd,16.0,4.0,2.0,7.0,253.0,16.0,7.9,13336.0,417.0,21.5,46.0,13.0,9.0,8.0,8.0,1.44,0.41,0.25,0.28,18.0,17664.0,806.0,16020.0,838.0,553.0,19.7,0.34,52.4,1.0,2.0,0.0,0.0,0.0,749.0,7.0,415.0,1.0,0.0,5145.0,5145.0,2448.0,0.0,8062.0,0.0,8.0,204.0,13957.0,42.0,11.0,28.0,3.77
Bdd,16.0,6.0,0.0,8.0,273.0,8.0,8.3,13761.0,420.0,21.3,55.0,27.0,9.0,12.0,12.0,1.68,0.82,0.37,0.27,19.7,25395.0,2835.0,17501.0,5059.0,776.0,30.2,0.43,93.3,0.0,1.0,0.0,0.0,0.0,2150.0,24.0,1449.0,1.0,0.0,2834.0,2834.0,4259.0,0.0,8116.0,0.0,28.0,105.0,11493.0,0.0,15.0,29.0,3.77
Bdd,16.0,4.0,8.0,2.0,242.0,0.0,6.9,12293.0,353.0,20.5,44.0,18.0,9.0,8.0,7.0,1.26,0.52,0.23,0.26,15.0,14304.0,1024.0,9543.0,3737.0,411.0,17.9,0.17,40.0,0.0,0.0,0.0,0.0,0.0,-1656.0,-30.0,-1232.0,-1.0,0.0,1385.0,1385.0,2876.0,0.0,12671.0,0.0,15.0,95.0,23341.0,239.0,9.0,27.0,0.0
Bdd,18.0,10.0,0.0,6.0,271.0,22.0,8.0,15893.0,467.0,23.7,41.0,11.0,9.0,9.0,9.0,1.2,0.32,0.26,0.26,13.8,24559.0,20.0,24482.0,57.0,721.0,32.8,0.47,76.2,1.0,0.0,1.0,0.0,0.0,-359.0,-3.0,344.0,0.0,0.0,6934.0,6934.0,7936.0,0.0,25762.0,0.0,27.0,394.0,27845.0,0.0,12.0,32.0,3.77
Bdd,15.0,0.0,2.0,6.0,263.0,0.0,9.1,9792.0,337.0,21.0,33.0,8.0,10.0,2.0,2.0,1.14,0.28,0.07,0.34,14.2,6918.0,858.0,6060.0,0.0,238.0,15.3,0.21,66.7,0.0,0.0,0.0,0.0,0.0,-249.0,-1.0,-223.0,0.0,0.0,127.0,127.0,3339.0,965.0,7542.0,3062.0,18.0,239.0,13164.0,62.0,4.0,20.0,0.0
Bdd,14.0,1.0,3.0,3.0,234.0,12.0,8.3,9899.0,353.0,22.4,27.0,8.0,8.0,5.0,5.0,0.96,0.29,0.18,0.29,15.4,14590.0,1113.0,13439.0,38.0,520.0,29.0,0.14,57.1,0.0,0.0,0.0,0.0,0.0,-861.0,1.0,-534.0,-1.0,0.0,54.0,54.0,2358.0,97.0,7906.0,0.0,14.0,47.0,15688.0,75.0,5.0,19.0,0.0
Bdd,18.0,2.0,3.0,10.0,331.0,8.0,7.7,15882.0,370.0,20.1,58.0,16.0,14.0,13.0,13.0,1.35,0.37,0.3,0.33,17.5,18177.0,723.0,16599.0,855.0,423.0,16.4,0.28,80.0,0.0,0.0,0.0,0.0,0.0,216.0,-17.0,-528.0,-1.0,0.0,2851.0,2851.0,6972.0,0.0,14606.0,0.0,15.0,77.0,20652.0,117.0,15.0,33.0,3.77
Bdd,18.0,8.0,4.0,9.0,322.0,28.0,8.5,16992.0,448.0,26.2,31.0,21.0,4.0,9.0,9.0,0.82,0.55,0.24,0.11,11.9,34335.0,1402.0,32597.0,336.0,906.0,28.1,0.45,85.0,1.0,0.0,0.0,0.0,0.0,-453.0,-11.0,-451.0,0.0,0.0,0.0,0.0,2403.0,0.0,11083.0,0.0,34.0,613.0,16302.0,137.0,11.0,32.0,0.0
