,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Canna,15.0,2.0,0.0,11.0,231.0,6.0,9.4,11871.0,484.0,23.3,25.0,9.0,4.0,8.0,7.0,1.02,0.37,0.33,0.16,15.0,13270.0,11137.0,1989.0,144.0,541.0,25.6,0.53,76.5,0.0,1.0,0.0,0.0,0.0,1298.0,11.0,530.0,1.0,0.0,6952.0,6952.0,10563.0,0.0,17960.0,0.0,16.0,51.0,21338.0,0.0,9.0,25.0,3.77
Canna,16.0,2.0,0.0,5.0,286.0,20.0,8.7,12786.0,389.0,22.5,38.0,8.0,10.0,5.0,5.0,1.16,0.24,0.15,0.3,15.7,12094.0,11272.0,822.0,0.0,368.0,20.2,0.21,63.6,0.0,0.0,0.0,0.0,0.0,440.0,20.0,1.0,0.0,0.0,5350.0,5350.0,13203.0,0.0,21906.0,0.0,17.0,38.0,25717.0,0.0,6.0,22.0,3.77
Canna,17.0,2.0,0.0,6.0,260.0,21.0,8.1,11926.0,373.0,19.3,38.0,15.0,4.0,8.0,8.0,1.19,0.47,0.25,0.13,14.9,17300.0,15068.0,2232.0,0.0,541.0,19.3,0.25,38.1,0.0,0.0,0.0,0.0,0.0,-328.0,-3.0,233.0,0.0,0.0,3866.0,3866.0,13537.0,0.0,22741.0,0.0,17.0,39.0,28444.0,0.0,9.0,25.0,3.77
Canna,17.0,1.0,1.0,5.0,292.0,17.0,8.9,13408.0,410.0,20.7,31.0,9.0,5.0,4.0,4.0,0.95,0.27,0.12,0.15,11.1,15208.0,13004.0,2204.0,0.0,465.0,18.1,0.18,40.0,0.0,0.0,0.0,0.0,0.0,351.0,8.0,-651.0,0.0,0.0,5508.0,5508.0,11529.0,0.0,23962.0,0.0,21.0,51.0,27012.0,32.0,5.0,20.0,3.77
Canna,15.0,1.0,3.0,4.0,234.0,28.0,6.7,11240.0,323.0,18.7,36.0,13.0,5.0,5.0,5.0,1.03,0.37,0.14,0.14,12.3,16956.0,3592.0,13168.0,196.0,487.0,21.3,0.14,33.3,0.0,0.0,0.0,0.0,0.0,408.0,19.0,603.0,0.0,0.0,4134.0,4134.0,1818.0,0.0,40092.0,0.0,47.0,1353.0,25897.0,130.0,6.0,25.0,0.0
Canna,17.0,3.0,0.0,8.0,231.0,2.0,6.8,12755.0,375.0,19.0,36.0,18.0,4.0,7.0,7.0,1.06,0.53,0.21,0.12,12.1,14559.0,3794.0,10615.0,150.0,428.0,19.4,0.32,52.4,0.0,1.0,0.0,0.0,0.0,110.0,-3.0,116.0,0.0,0.0,7387.0,7387.0,3470.0,0.0,41939.0,0.0,32.0,920.0,19911.0,0.0,8.0,29.0,3.77
Canna,14.0,4.0,4.0,2.0,215.0,13.0,7.4,11255.0,387.0,24.1,34.0,7.0,10.0,3.0,3.0,1.17,0.24,0.1,0.34,14.6,15590.0,11624.0,3306.0,660.0,537.0,34.6,0.21,66.7,0.0,1.0,0.0,0.0,0.0,-118.0,-2.0,-69.0,0.0,0.0,1935.0,1935.0,2560.0,0.0,16727.0,0.0,21.0,373.0,20351.0,112.0,5.0,21.0,0.0
Canna,15.0,3.0,4.0,0.0,248.0,21.0,8.8,10833.0,386.0,24.5,21.0,8.0,4.0,3.0,3.0,0.75,0.29,0.11,0.14,12.0,10591.0,9448.0,1143.0,0.0,377.0,21.0,0.11,42.9,0.0,1.0,0.0,0.0,0.0,509.0,31.0,1007.0,1.0,0.0,1682.0,1682.0,5391.0,0.0,18329.0,0.0,17.0,44.0,27340.0,149.0,4.0,19.0,0.0
Canna,18.0,1.0,2.0,7.0,329.0,21.0,7.7,15323.0,357.0,19.4,79.0,25.0,23.0,11.0,10.0,1.84,0.58,0.26,0.54,23.8,16784.0,14488.0,1714.0,582.0,391.0,15.1,0.19,53.3,0.0,0.0,0.0,0.0,0.0,1507.0,40.0,1393.0,1.0,0.0,4760.0,4760.0,16954.0,0.0,63130.0,0.0,21.0,50.0,45647.0,95.0,13.0,31.0,3.77
Canna,17.0,4.0,8.0,11.0,267.0,20.0,7.0,14707.0,388.0,22.6,43.0,17.0,8.0,6.0,6.0,1.13,0.45,0.16,0.21,16.5,41005.0,5777.0,35228.0,0.0,1081.0,33.5,0.4,75.0,0.0,1.0,0.0,0.0,0.0,476.0,8.0,263.0,1.0,0.0,3236.0,3236.0,3862.0,0.0,58829.0,0.0,8.0,902.0,49369.0,299.0,8.0,28.0,0.0
