,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Dread,13.0,5.0,0.0,7.0,133.0,114.0,5.4,9504.0,388.0,18.7,32.0,5.0,14.0,5.0,5.0,1.31,0.2,0.2,0.57,19.2,8767.0,6778.0,1549.0,440.0,358.0,16.9,0.49,70.6,0.0,1.0,0.0,0.0,0.0,784.0,3.0,203.0,0.0,0.0,2593.0,2593.0,7654.0,0.0,11789.0,0.0,7.0,154.0,17757.0,0.0,5.0,22.0,3.77
Dread,14.0,3.0,0.0,6.0,180.0,149.0,5.5,11080.0,337.0,19.5,64.0,9.0,18.0,8.0,8.0,1.95,0.27,0.24,0.55,26.4,8321.0,7795.0,385.0,141.0,253.0,13.9,0.27,81.8,0.0,0.0,0.0,0.0,0.0,644.0,18.0,358.0,0.0,2.0,2795.0,2795.0,8723.0,0.0,15598.0,0.0,9.0,179.0,19265.0,0.0,8.0,21.0,3.77
Dread,15.0,5.0,2.0,13.0,165.0,137.0,5.2,12200.0,382.0,19.7,44.0,13.0,10.0,14.0,13.0,1.38,0.41,0.44,0.31,17.3,21248.0,17437.0,2446.0,1365.0,665.0,23.7,0.56,85.7,0.0,1.0,1.0,0.0,0.0,1062.0,7.0,1064.0,1.0,0.0,1256.0,1256.0,14383.0,0.0,29891.0,0.0,20.0,285.0,26741.0,55.0,15.0,34.0,3.77
Dread,15.0,3.0,0.0,8.0,197.0,174.0,6.0,12715.0,388.0,19.6,51.0,12.0,8.0,12.0,10.0,1.56,0.37,0.37,0.24,18.3,10432.0,9586.0,166.0,680.0,319.0,12.4,0.34,73.3,0.0,0.0,0.0,0.0,0.0,1457.0,-12.0,-306.0,0.0,0.0,2870.0,2870.0,9382.0,0.0,24414.0,0.0,24.0,264.0,17144.0,0.0,13.0,31.0,3.77
Dread,15.0,0.0,3.0,11.0,172.0,143.0,4.9,10297.0,296.0,17.2,50.0,16.0,12.0,18.0,16.0,1.44,0.46,0.52,0.34,17.1,10075.0,6915.0,1371.0,1789.0,289.0,12.6,0.32,73.3,0.0,0.0,0.0,0.0,0.0,-1677.0,-16.0,2.0,0.0,1.0,716.0,716.0,8892.0,0.0,33741.0,0.0,18.0,541.0,28544.0,69.0,20.0,39.0,0.0
Dread,17.0,5.0,1.0,10.0,207.0,166.0,6.1,12896.0,379.0,19.2,57.0,14.0,14.0,12.0,12.0,1.67,0.41,0.35,0.41,19.2,13273.0,12246.0,593.0,434.0,390.0,17.7,0.44,71.4,2.0,0.0,0.0,0.0,0.0,-303.0,-4.0,-139.0,0.0,0.0,358.0,358.0,11421.0,0.0,39012.0,0.0,24.0,238.0,22071.0,16.0,13.0,36.0,3.77
Dread,13.0,5.0,3.0,3.0,146.0,116.0,5.0,9476.0,326.0,20.3,44.0,11.0,11.0,14.0,10.0,1.51,0.38,0.48,0.38,18.9,10038.0,8591.0,672.0,775.0,346.0,22.3,0.28,88.9,1.0,1.0,0.0,0.0,0.0,-24.0,-24.0,-1018.0,-1.0,0.0,0.0,0.0,7314.0,0.0,19606.0,0.0,11.0,190.0,25417.0,125.0,14.0,32.0,0.0
Dread,12.0,2.0,1.0,4.0,155.0,124.0,5.5,8478.0,302.0,19.2,60.0,14.0,17.0,12.0,12.0,2.14,0.5,0.43,0.61,34.3,5740.0,5112.0,337.0,291.0,205.0,11.4,0.21,85.7,1.0,0.0,0.0,0.0,0.0,430.0,9.0,6.0,0.0,0.0,0.0,0.0,9194.0,0.0,12936.0,0.0,9.0,109.0,20254.0,41.0,12.0,28.0,0.0
Dread,18.0,4.0,2.0,6.0,287.0,238.0,6.7,16016.0,373.0,20.3,46.0,12.0,8.0,11.0,11.0,1.07,0.28,0.26,0.19,13.9,26937.0,419.0,21486.0,5032.0,627.0,24.3,0.23,66.7,0.0,0.0,0.0,0.0,0.0,799.0,-2.0,-94.0,0.0,1.0,1795.0,1795.0,11408.0,0.0,12333.0,0.0,33.0,792.0,21397.0,87.0,12.0,29.0,3.77
Dread,15.0,6.0,7.0,6.0,168.0,124.0,4.4,11526.0,304.0,17.7,47.0,16.0,16.0,17.0,16.0,1.24,0.42,0.45,0.42,18.0,11247.0,9406.0,1398.0,443.0,297.0,9.2,0.32,60.0,0.0,1.0,0.0,0.0,0.0,-411.0,-12.0,-359.0,-1.0,0.0,0.0,0.0,7586.0,0.0,40002.0,0.0,25.0,565.0,32484.0,228.0,17.0,38.0,0.0
Dread,12.0,2.0,3.0,0.0,128.0,104.0,4.1,8114.0,259.0,15.7,44.0,13.0,14.0,11.0,11.0,1.41,0.42,0.35,0.45,19.7,2626.0,2429.0,115.0,82.0,84.0,7.4,0.06,66.7,0.0,0.0,0.0,0.0,0.0,-964.0,-31.0,-1557.0,-2.0,0.0,0.0,0.0,5133.0,0.0,13319.0,0.0,3.0,154.0,17844.0,47.0,11.0,26.0,0.0
Dread,13.0,0.0,2.0,2.0,157.0,140.0,5.0,9023.0,289.0,17.5,57.0,27.0,11.0,11.0,10.0,1.82,0.86,0.35,0.35,24.2,4603.0,3900.0,332.0,371.0,147.0,10.2,0.06,40.0,0.0,0.0,0.0,0.0,0.0,533.0,5.0,400.0,0.0,0.0,576.0,576.0,10016.0,0.0,15223.0,0.0,127.0,455.0,22425.0,40.0,11.0,29.0,0.0
