,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Effort,11.0,1.0,1.0,13.0,36.0,0.0,1.5,6756.0,276.0,13.3,56.0,38.0,10.0,12.0,12.0,2.28,1.55,0.49,0.41,33.5,4240.0,1216.0,2320.0,704.0,173.0,8.2,0.57,82.4,0.0,0.0,0.0,0.0,0.0,798.0,7.0,666.0,0.0,0.0,126.0,126.0,1317.0,0.0,7551.0,0.0,26.0,102.0,7835.0,0.0,14.0,24.0,3.77
Effort,12.0,0.0,5.0,2.0,32.0,0.0,1.0,6238.0,196.0,12.9,75.0,52.0,7.0,17.0,15.0,2.36,1.63,0.53,0.22,35.7,2809.0,80.0,2729.0,0.0,88.0,4.2,0.06,50.0,0.0,0.0,0.0,0.0,0.0,-758.0,15.0,-334.0,-1.0,0.0,0.0,0.0,2973.0,434.0,21963.0,4758.0,12.0,103.0,16800.0,120.0,19.0,33.0,0.0
Effort,12.0,0.0,2.0,4.0,32.0,0.0,0.9,7261.0,195.0,12.8,100.0,76.0,8.0,28.0,27.0,2.69,2.05,0.75,0.22,34.8,5089.0,456.0,3644.0,989.0,137.0,10.6,0.11,80.0,0.0,0.0,0.0,0.0,0.0,-44.0,-3.0,57.0,0.0,0.0,0.0,0.0,1586.0,0.0,12106.0,334.0,30.0,112.0,14391.0,32.0,31.0,45.0,0.0
Effort,13.0,0.0,2.0,3.0,205.0,0.0,6.5,9445.0,298.0,18.0,32.0,22.0,6.0,14.0,13.0,1.01,0.69,0.44,0.19,15.0,2732.0,177.0,2555.0,0.0,86.0,5.9,0.09,75.0,0.0,0.0,0.0,0.0,0.0,-195.0,-8.0,48.0,0.0,0.0,841.0,841.0,4079.0,0.0,33272.0,1510.0,4.0,857.0,22567.0,44.0,16.0,36.0,0.0
Effort,12.0,0.0,4.0,6.0,42.0,0.0,1.2,7505.0,219.0,12.6,80.0,57.0,11.0,17.0,16.0,2.33,1.66,0.5,0.32,31.6,4785.0,329.0,3471.0,985.0,140.0,6.9,0.18,60.0,0.0,0.0,0.0,0.0,0.0,-329.0,21.0,-117.0,0.0,0.0,512.0,512.0,2232.0,170.0,22371.0,3008.0,11.0,90.0,17490.0,104.0,20.0,34.0,0.0
Effort,11.0,1.0,3.0,7.0,34.0,0.0,1.1,6805.0,230.0,14.2,77.0,70.0,8.0,13.0,13.0,2.6,2.37,0.44,0.27,34.8,5415.0,232.0,4417.0,766.0,183.0,11.2,0.27,80.0,0.0,0.0,0.0,0.0,0.0,179.0,5.0,411.0,1.0,0.0,0.0,0.0,5638.0,3523.0,3783.0,0.0,16.0,136.0,8590.0,29.0,16.0,31.0,0.0
Effort,12.0,0.0,2.0,5.0,10.0,0.0,0.3,7566.0,206.0,12.8,95.0,71.0,5.0,20.0,19.0,2.59,1.93,0.54,0.14,28.8,4154.0,206.0,3764.0,184.0,113.0,6.5,0.14,83.3,0.0,0.0,0.0,0.0,0.0,-650.0,-20.0,-175.0,-1.0,0.0,741.0,741.0,8937.0,6553.0,4660.0,0.0,15.0,161.0,10196.0,79.0,22.0,37.0,0.0
Effort,13.0,0.0,3.0,7.0,41.0,0.0,1.0,9036.0,230.0,12.6,122.0,78.0,18.0,24.0,23.0,3.1,1.98,0.61,0.46,36.1,3189.0,401.0,2366.0,422.0,81.0,3.9,0.18,46.7,0.0,0.0,0.0,0.0,0.0,30.0,13.0,-152.0,0.0,0.0,1110.0,1110.0,2572.0,516.0,21319.0,4051.0,15.0,42.0,17585.0,80.0,26.0,40.0,0.0
Effort,12.0,3.0,5.0,6.0,63.0,0.0,2.1,8670.0,284.0,15.1,157.0,89.0,40.0,17.0,15.0,5.14,2.91,0.56,1.31,56.3,5331.0,3653.0,0.0,1678.0,174.0,6.7,0.29,75.0,0.0,1.0,0.0,0.0,0.0,-106.0,21.0,-186.0,0.0,0.0,0.0,0.0,2314.0,0.0,6485.0,0.0,9.0,23.0,14181.0,110.0,19.0,35.0,0.0
Effort,15.0,2.0,1.0,9.0,216.0,0.0,6.2,11567.0,330.0,18.0,26.0,24.0,5.0,16.0,16.0,0.74,0.68,0.46,0.14,8.2,9897.0,686.0,9211.0,0.0,282.0,13.4,0.31,73.3,0.0,0.0,0.0,0.0,0.0,-545.0,-28.0,-287.0,0.0,0.0,1204.0,1204.0,10107.0,0.0,33331.0,881.0,30.0,1014.0,22722.0,37.0,18.0,37.0,3.77
Effort,10.0,2.0,5.0,4.0,24.0,0.0,0.9,6486.0,245.0,15.8,70.0,36.0,16.0,11.0,9.0,2.64,1.36,0.42,0.6,43.2,7566.0,7566.0,0.0,0.0,286.0,17.9,0.23,100.0,0.0,0.0,0.0,0.0,0.0,611.0,8.0,-329.0,-1.0,0.0,0.0,0.0,7420.0,3673.0,6128.0,1357.0,22.0,134.0,11731.0,119.0,13.0,29.0,0.0
Effort,12.0,0.0,4.0,4.0,125.0,0.0,4.5,7224.0,260.0,16.4,19.0,17.0,1.0,14.0,12.0,0.68,0.61,0.5,0.04,9.7,3575.0,188.0,3387.0,0.0,129.0,8.5,0.14,80.0,0.0,0.0,0.0,0.0,0.0,-2059.0,-45.0,-308.0,-1.0,0.0,94.0,94.0,2283.0,148.0,28931.0,1863.0,10.0,311.0,20805.0,111.0,15.0,29.0,0.0
Effort,12.0,0.0,5.0,4.0,12.0,0.0,0.4,6789.0,199.0,12.1,65.0,59.0,10.0,17.0,16.0,1.91,1.73,0.5,0.29,28.9,5857.0,420.0,5220.0,217.0,172.0,9.2,0.12,100.0,0.0,0.0,0.0,0.0,0.0,-1072.0,-3.0,-566.0,0.0,0.0,129.0,129.0,11564.0,8235.0,7598.0,0.0,28.0,183.0,14447.0,98.0,19.0,32.0,0.0
Effort,13.0,1.0,2.0,5.0,54.0,0.0,1.5,7948.0,227.0,13.5,118.0,71.0,30.0,22.0,22.0,3.37,2.02,0.63,0.86,40.0,3765.0,366.0,2693.0,706.0,107.0,7.2,0.17,75.0,0.0,0.0,0.0,0.0,0.0,-110.0,20.0,-593.0,-1.0,0.0,595.0,595.0,3026.0,1286.0,13773.0,2466.0,10.0,22.0,12760.0,67.0,24.0,38.0,3.77
Effort,11.0,0.0,4.0,6.0,37.0,0.0,1.2,6423.0,212.0,13.5,79.0,50.0,11.0,14.0,12.0,2.61,1.65,0.46,0.36,45.7,4884.0,951.0,3181.0,752.0,162.0,7.8,0.2,100.0,0.0,0.0,0.0,0.0,0.0,-691.0,14.0,-662.0,-1.0,0.0,0.0,0.0,3284.0,1230.0,16827.0,2435.0,18.0,31.0,16887.0,121.0,16.0,31.0,0.0
Effort,12.0,0.0,0.0,15.0,38.0,0.0,1.4,7127.0,258.0,13.4,84.0,39.0,14.0,11.0,11.0,3.04,1.41,0.4,0.51,36.7,4999.0,416.0,4073.0,510.0,181.0,8.8,0.54,83.3,0.0,0.0,0.0,0.0,0.0,235.0,1.0,768.0,1.0,0.0,1361.0,1361.0,4887.0,1815.0,11844.0,1731.0,20.0,58.0,9927.0,0.0,14.0,26.0,3.77
Effort,12.0,0.0,4.0,9.0,45.0,0.0,1.4,7736.0,233.0,12.0,119.0,58.0,21.0,19.0,19.0,3.58,1.75,0.57,0.63,35.7,3966.0,380.0,2819.0,767.0,119.0,6.7,0.27,60.0,0.0,0.0,0.0,0.0,0.0,-196.0,0.0,106.0,0.0,0.0,337.0,337.0,3817.0,1740.0,16617.0,2489.0,20.0,44.0,14882.0,101.0,22.0,35.0,3.77
Effort,15.0,0.0,4.0,12.0,58.0,0.0,1.3,9978.0,220.0,11.5,161.0,101.0,32.0,32.0,32.0,3.55,2.23,0.71,0.71,36.9,3632.0,209.0,2493.0,930.0,80.0,4.0,0.26,60.0,0.0,0.0,0.0,0.0,0.0,194.0,-1.0,58.0,0.0,0.0,536.0,536.0,3708.0,1185.0,24230.0,3504.0,12.0,34.0,18159.0,164.0,35.0,47.0,3.77
Effort,16.0,2.0,4.0,8.0,158.0,1.0,3.4,11842.0,255.0,14.2,55.0,36.0,9.0,20.0,19.0,1.18,0.77,0.43,0.19,13.6,9615.0,1206.0,6862.0,1547.0,207.0,8.3,0.22,40.0,0.0,0.0,0.0,0.0,0.0,-1012.0,-33.0,-675.0,0.0,0.0,1560.0,1560.0,10862.0,423.0,55938.0,3199.0,19.0,593.0,41274.0,155.0,24.0,42.0,0.0
