,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Ghost,13.0,8.0,1.0,3.0,222.0,8.0,9.1,12013.0,490.0,23.6,37.0,13.0,10.0,5.0,4.0,1.51,0.53,0.2,0.41,22.2,10665.0,9496.0,1169.0,0.0,435.0,20.5,0.45,64.7,0.0,2.0,0.0,0.0,0.0,216.0,-3.0,511.0,0.0,0.0,5194.0,5194.0,877.0,0.0,6054.0,0.0,4.0,121.0,6346.0,12.0,8.0,24.0,3.77
Ghost,15.0,3.0,2.0,3.0,287.0,35.0,8.7,12899.0,393.0,22.7,29.0,16.0,7.0,7.0,7.0,0.88,0.49,0.21,0.21,12.0,11620.0,9358.0,1233.0,1029.0,354.0,19.4,0.18,54.5,0.0,1.0,0.0,0.0,0.0,-769.0,-20.0,-456.0,0.0,0.0,4853.0,4853.0,1044.0,0.0,9669.0,0.0,14.0,290.0,11117.0,54.0,10.0,25.0,3.77
Ghost,16.0,8.0,3.0,8.0,281.0,20.0,8.8,15452.0,483.0,24.9,37.0,15.0,7.0,6.0,5.0,1.16,0.47,0.19,0.22,14.5,26779.0,24316.0,2379.0,84.0,838.0,29.9,0.5,76.2,0.0,2.0,0.0,0.0,0.0,1462.0,6.0,1005.0,1.0,0.0,9553.0,9553.0,2947.0,0.0,15149.0,0.0,8.0,150.0,12694.0,97.0,9.0,23.0,3.77
Ghost,17.0,3.0,0.0,9.0,337.0,20.0,10.3,16037.0,490.0,24.8,50.0,14.0,19.0,4.0,4.0,1.53,0.43,0.12,0.58,17.9,27489.0,25376.0,86.0,2027.0,840.0,32.7,0.37,80.0,0.0,0.0,0.0,0.0,0.0,1051.0,-10.0,70.0,0.0,0.0,8073.0,8073.0,1537.0,0.0,7662.0,0.0,4.0,43.0,11278.0,0.0,6.0,25.0,3.77
Ghost,17.0,8.0,3.0,2.0,327.0,41.0,9.4,17134.0,492.0,28.6,36.0,11.0,9.0,5.0,4.0,1.03,0.32,0.14,0.26,12.3,20364.0,15180.0,2989.0,2195.0,585.0,25.5,0.29,66.7,0.0,0.0,1.0,0.0,0.0,525.0,0.0,555.0,0.0,0.0,2852.0,2852.0,2488.0,0.0,17440.0,0.0,13.0,481.0,22423.0,103.0,7.0,29.0,0.0
Ghost,17.0,2.0,1.0,8.0,381.0,32.0,11.2,16386.0,481.0,24.4,62.0,17.0,15.0,7.0,7.0,1.82,0.5,0.21,0.44,20.9,17390.0,14873.0,185.0,2332.0,511.0,23.2,0.29,47.6,0.0,0.0,0.0,0.0,0.0,-74.0,-6.0,260.0,0.0,0.0,10056.0,10056.0,3535.0,0.0,11915.0,0.0,0.0,10.0,15730.0,43.0,9.0,28.0,3.77
Ghost,14.0,0.0,4.0,6.0,245.0,4.0,8.4,10052.0,346.0,21.6,25.0,12.0,6.0,2.0,2.0,0.86,0.41,0.07,0.21,10.7,9292.0,8301.0,991.0,0.0,320.0,20.6,0.21,66.7,0.0,0.0,0.0,0.0,0.0,-131.0,11.0,200.0,0.0,0.0,1324.0,1324.0,2443.0,496.0,9569.0,0.0,10.0,96.0,16825.0,154.0,5.0,20.0,0.0
Ghost,13.0,1.0,4.0,5.0,227.0,10.0,8.1,9581.0,341.0,21.7,18.0,11.0,1.0,3.0,3.0,0.64,0.39,0.11,0.04,10.3,14489.0,13183.0,1150.0,156.0,516.0,28.8,0.21,85.7,0.0,0.0,0.0,0.0,0.0,-222.0,17.0,103.0,0.0,0.0,1480.0,1480.0,1776.0,356.0,8863.0,0.0,14.0,252.0,16251.0,112.0,6.0,19.0,0.0
Ghost,18.0,7.0,1.0,6.0,484.0,30.0,11.3,22062.0,514.0,28.0,44.0,17.0,26.0,5.0,5.0,1.02,0.4,0.12,0.61,13.3,42872.0,39287.0,0.0,3585.0,999.0,38.7,0.3,86.7,1.0,1.0,0.0,0.0,0.0,895.0,-1.0,169.0,0.0,0.0,4962.0,4962.0,3691.0,0.0,14423.0,0.0,0.0,71.0,15252.0,50.0,9.0,27.0,3.77
Ghost,17.0,1.0,8.0,13.0,305.0,21.0,8.0,13593.0,358.0,20.9,38.0,19.0,8.0,6.0,5.0,1.0,0.5,0.16,0.21,14.6,28170.0,25197.0,2487.0,486.0,743.0,23.0,0.37,70.0,0.0,0.0,0.0,0.0,0.0,-1181.0,-4.0,50.0,0.0,0.0,129.0,129.0,3829.0,0.0,14439.0,0.0,9.0,125.0,26141.0,262.0,8.0,23.0,0.0
Ghost,16.0,1.0,1.0,0.0,321.0,12.0,10.3,11943.0,382.0,23.1,33.0,13.0,10.0,4.0,4.0,1.05,0.42,0.13,0.32,14.8,5968.0,5332.0,259.0,377.0,191.0,16.8,0.03,33.3,1.0,0.0,0.0,0.0,0.0,-584.0,-4.0,275.0,1.0,0.0,209.0,209.0,314.0,0.0,4568.0,0.0,4.0,340.0,6802.0,10.0,7.0,23.0,0.0
Ghost,15.0,2.0,1.0,1.0,311.0,6.0,10.0,12286.0,393.0,23.9,36.0,14.0,12.0,5.0,5.0,1.15,0.45,0.16,0.38,15.3,9404.0,4970.0,4434.0,0.0,301.0,20.9,0.1,60.0,0.0,0.0,0.0,0.0,0.0,-706.0,-17.0,-899.0,0.0,0.0,0.0,0.0,1440.0,0.0,11214.0,0.0,2.0,103.0,15559.0,50.0,8.0,31.0,0.0
Ghost,14.0,2.0,0.0,12.0,269.0,14.0,9.6,11700.0,417.0,22.8,32.0,13.0,9.0,5.0,5.0,1.14,0.46,0.18,0.32,13.9,17632.0,16356.0,0.0,1276.0,629.0,25.0,0.5,87.5,0.0,0.0,0.0,0.0,0.0,1056.0,-5.0,-349.0,0.0,0.0,5967.0,5967.0,789.0,133.0,4737.0,0.0,0.0,0.0,9304.0,0.0,8.0,23.0,3.77
Ghost,16.0,3.0,2.0,3.0,330.0,38.0,10.9,12283.0,406.0,23.9,28.0,17.0,7.0,9.0,9.0,0.93,0.56,0.3,0.23,11.3,12974.0,12870.0,0.0,104.0,429.0,23.0,0.2,60.0,0.0,1.0,0.0,0.0,0.0,-111.0,-8.0,-318.0,0.0,0.0,0.0,0.0,71.0,0.0,5936.0,530.0,7.0,127.0,11383.0,32.0,12.0,29.0,0.0
Ghost,16.0,5.0,0.0,5.0,328.0,23.0,10.3,14766.0,464.0,25.2,40.0,15.0,15.0,7.0,5.0,1.26,0.47,0.22,0.47,16.1,18322.0,16678.0,1396.0,248.0,576.0,27.9,0.31,71.4,0.0,0.0,1.0,0.0,0.0,625.0,29.0,1112.0,1.0,0.0,7009.0,7009.0,2392.0,0.0,16041.0,0.0,7.0,185.0,11886.0,0.0,11.0,26.0,3.77
Ghost,13.0,1.0,2.0,2.0,255.0,12.0,7.6,10959.0,326.0,21.0,51.0,29.0,16.0,9.0,8.0,1.52,0.86,0.27,0.48,21.6,16677.0,11085.0,5345.0,247.0,496.0,25.8,0.09,75.0,0.0,0.0,0.0,0.0,0.0,-820.0,-5.0,-188.0,0.0,0.0,622.0,622.0,1642.0,0.0,7864.0,0.0,40.0,760.0,11805.0,41.0,13.0,28.0,0.0
Ghost,17.0,4.0,1.0,10.0,302.0,47.0,8.6,15358.0,439.0,22.7,49.0,15.0,13.0,6.0,5.0,1.4,0.43,0.17,0.37,18.4,24062.0,22121.0,1319.0,622.0,687.0,27.6,0.4,66.7,0.0,1.0,0.0,0.0,0.0,-844.0,-20.0,-336.0,0.0,0.0,10586.0,10586.0,7328.0,0.0,12643.0,0.0,18.0,222.0,15517.0,14.0,9.0,29.0,3.77
Ghost,13.0,1.0,3.0,2.0,271.0,11.0,8.5,11672.0,367.0,24.1,36.0,17.0,19.0,6.0,6.0,1.13,0.53,0.19,0.6,17.1,22863.0,21357.0,1156.0,350.0,718.0,34.2,0.09,75.0,0.0,0.0,0.0,0.0,0.0,261.0,2.0,-177.0,0.0,0.0,1802.0,1802.0,4383.0,0.0,13668.0,0.0,14.0,138.0,18401.0,89.0,9.0,23.0,0.0
