,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Peter,11.0,0.0,1.0,2.0,5.0,0.0,0.2,5744.0,186.0,12.2,70.0,49.0,4.0,11.0,11.0,2.26,1.58,0.36,0.13,32.3,4606.0,620.0,3426.0,560.0,149.0,10.2,0.06,66.7,0.0,0.0,0.0,0.0,0.0,-645.0,-3.0,-220.0,0.0,0.0,0.0,0.0,10448.0,10483.0,2374.0,2272.0,10.0,38.0,3410.0,33.0,13.0,22.0,0.0
Peter,15.0,0.0,4.0,10.0,42.0,0.0,1.0,9420.0,218.0,12.0,132.0,84.0,23.0,24.0,24.0,3.05,1.94,0.55,0.53,35.8,2997.0,418.0,1663.0,916.0,69.0,4.0,0.23,66.7,0.0,0.0,0.0,0.0,0.0,14.0,-1.0,-526.0,-1.0,0.0,0.0,0.0,3253.0,232.0,22279.0,1164.0,13.0,62.0,22049.0,134.0,26.0,40.0,3.77
Peter,9.0,1.0,4.0,1.0,5.0,0.0,0.2,5159.0,199.0,13.6,39.0,32.0,2.0,6.0,5.0,1.51,1.24,0.23,0.08,28.7,4683.0,436.0,3778.0,469.0,181.0,12.9,0.08,66.7,0.0,0.0,0.0,0.0,0.0,-1340.0,-1.0,-1349.0,-1.0,0.0,0.0,0.0,4607.0,4467.0,3218.0,1215.0,17.0,35.0,5607.0,91.0,9.0,20.0,0.0
Peter,13.0,0.0,4.0,7.0,28.0,0.0,0.8,6683.0,198.0,11.7,78.0,56.0,7.0,16.0,14.0,2.31,1.66,0.47,0.21,34.7,2910.0,129.0,2151.0,630.0,86.0,5.3,0.21,70.0,0.0,0.0,0.0,0.0,0.0,-162.0,-3.0,-612.0,0.0,0.0,453.0,453.0,2427.0,175.0,14437.0,3808.0,7.0,44.0,14338.0,129.0,18.0,32.0,0.0
Peter,14.0,0.0,2.0,13.0,41.0,4.0,1.1,8855.0,238.0,12.7,99.0,66.0,11.0,18.0,18.0,2.66,1.77,0.48,0.3,31.9,2410.0,319.0,1682.0,409.0,65.0,3.3,0.35,86.7,0.0,0.0,0.0,0.0,0.0,460.0,8.0,-76.0,0.0,0.0,393.0,393.0,407.0,220.0,10027.0,3857.0,9.0,132.0,7022.0,71.0,20.0,33.0,3.77
Peter,13.0,0.0,3.0,0.0,5.0,0.0,0.1,6095.0,180.0,11.9,53.0,42.0,3.0,12.0,10.0,1.57,1.24,0.35,0.09,26.5,7555.0,749.0,6806.0,0.0,223.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-722.0,-20.0,573.0,1.0,0.0,0.0,0.0,6863.0,5822.0,2838.0,146.0,17.0,43.0,6023.0,41.0,15.0,28.0,0.0
Peter,11.0,0.0,9.0,4.0,31.0,0.0,1.1,5738.0,195.0,12.5,55.0,39.0,5.0,13.0,12.0,1.87,1.33,0.44,0.17,28.9,3145.0,323.0,2216.0,606.0,107.0,7.0,0.14,66.7,0.0,0.0,0.0,0.0,0.0,-588.0,11.0,-106.0,0.0,0.0,0.0,0.0,279.0,77.0,15861.0,195.0,17.0,91.0,16656.0,266.0,16.0,28.0,0.0
Peter,14.0,0.0,0.0,13.0,56.0,0.0,1.4,9755.0,245.0,12.6,149.0,81.0,32.0,22.0,22.0,3.75,2.04,0.55,0.81,37.7,3955.0,335.0,2996.0,624.0,99.0,5.9,0.33,76.5,0.0,0.0,0.0,0.0,0.0,381.0,1.0,305.0,0.0,0.0,427.0,427.0,4622.0,1349.0,10983.0,2874.0,12.0,43.0,9808.0,0.0,24.0,40.0,3.77
Peter,14.0,2.0,4.0,7.0,36.0,0.0,0.9,9258.0,222.0,12.5,108.0,77.0,12.0,24.0,23.0,2.59,1.85,0.58,0.29,33.5,4093.0,109.0,3024.0,960.0,98.0,4.9,0.22,75.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,245.0,0.0,0.0,0.0,0.0,4769.0,2854.0,32532.0,89.0,25.0,36.0,18663.0,111.0,26.0,44.0,0.0
Peter,13.0,0.0,3.0,7.0,36.0,4.0,1.3,6985.0,252.0,12.6,72.0,45.0,8.0,14.0,13.0,2.6,1.63,0.51,0.29,30.8,1999.0,299.0,1352.0,348.0,72.0,5.1,0.25,50.0,0.0,0.0,0.0,0.0,0.0,-65.0,2.0,221.0,0.0,0.0,610.0,610.0,373.0,350.0,11882.0,230.0,15.0,87.0,6972.0,38.0,16.0,28.0,3.77
