,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
SnowFlower,12.0,0.0,1.0,10.0,32.0,0.0,1.0,7459.0,227.0,13.1,78.0,54.0,10.0,15.0,15.0,2.38,1.64,0.46,0.3,32.2,3012.0,917.0,1355.0,740.0,92.0,5.0,0.3,90.9,0.0,0.0,0.0,0.0,0.0,-109.0,11.0,517.0,0.0,0.0,960.0,960.0,1070.0,0.0,13999.0,610.0,22.0,104.0,12615.0,28.0,18.0,31.0,3.77
SnowFlower,14.0,2.0,2.0,16.0,42.0,0.0,1.3,9032.0,283.0,14.6,90.0,42.0,16.0,13.0,13.0,2.82,1.31,0.41,0.5,35.3,6531.0,1528.0,3929.0,1074.0,204.0,7.3,0.56,85.7,0.0,0.0,0.0,0.0,0.0,812.0,14.0,1234.0,1.0,0.0,96.0,96.0,3674.0,0.0,19927.0,0.0,37.0,159.0,16702.0,65.0,16.0,32.0,3.77
SnowFlower,12.0,2.0,1.0,11.0,22.0,0.0,0.7,8809.0,269.0,13.6,92.0,46.0,18.0,18.0,16.0,2.81,1.41,0.55,0.55,33.0,5448.0,679.0,4193.0,576.0,166.0,6.5,0.4,86.7,0.0,0.0,0.0,0.0,0.0,779.0,-4.0,32.0,1.0,0.0,1065.0,1065.0,288.0,0.0,6401.0,3379.0,18.0,171.0,5717.0,39.0,22.0,35.0,3.77
SnowFlower,14.0,2.0,3.0,11.0,32.0,0.0,0.9,9044.0,260.0,15.1,127.0,91.0,12.0,20.0,21.0,3.65,2.61,0.57,0.34,43.3,18069.0,12449.0,4202.0,1418.0,519.0,22.7,0.37,86.7,0.0,0.0,0.0,0.0,0.0,246.0,-5.0,-319.0,-1.0,0.0,637.0,637.0,1440.0,582.0,4135.0,0.0,79.0,641.0,9139.0,42.0,25.0,38.0,0.0
SnowFlower,14.0,1.0,0.0,12.0,28.0,4.0,0.8,9129.0,268.0,13.6,101.0,54.0,15.0,14.0,13.0,2.97,1.59,0.41,0.44,34.0,5146.0,1042.0,3787.0,317.0,151.0,6.9,0.38,61.9,0.0,0.0,0.0,0.0,0.0,304.0,-22.0,-145.0,0.0,0.0,1048.0,1048.0,1943.0,242.0,8079.0,3818.0,14.0,238.0,8766.0,0.0,23.0,35.0,3.77
SnowFlower,10.0,0.0,3.0,6.0,40.0,0.0,1.4,6050.0,208.0,13.0,97.0,56.0,14.0,17.0,17.0,3.34,1.93,0.59,0.48,41.6,3234.0,457.0,2396.0,381.0,111.0,7.2,0.21,66.7,0.0,0.0,0.0,0.0,0.0,-184.0,-2.0,289.0,1.0,0.0,0.0,0.0,4509.0,2865.0,12326.0,0.0,29.0,100.0,15233.0,63.0,20.0,31.0,0.0
SnowFlower,10.0,0.0,2.0,6.0,2.0,0.0,0.1,5418.0,193.0,12.3,49.0,29.0,2.0,8.0,8.0,1.75,1.03,0.29,0.07,28.0,4975.0,1108.0,3487.0,380.0,177.0,9.9,0.21,85.7,0.0,0.0,0.0,0.0,0.0,-531.0,-26.0,-525.0,-1.0,0.0,0.0,0.0,10572.0,9575.0,6092.0,1965.0,13.0,33.0,8521.0,48.0,13.0,24.0,0.0
SnowFlower,15.0,1.0,2.0,9.0,40.0,0.0,0.9,9573.0,223.0,12.1,105.0,70.0,16.0,20.0,20.0,2.45,1.63,0.47,0.37,31.6,6095.0,340.0,4859.0,896.0,142.0,5.5,0.23,66.7,0.0,0.0,0.0,0.0,0.0,173.0,-1.0,233.0,1.0,0.0,0.0,0.0,8531.0,411.0,29047.0,4839.0,13.0,85.0,20154.0,88.0,28.0,42.0,3.77
SnowFlower,13.0,1.0,7.0,13.0,47.0,0.0,1.2,8149.0,215.0,12.5,102.0,65.0,16.0,22.0,21.0,2.69,1.71,0.58,0.42,39.1,7643.0,1344.0,4947.0,1352.0,202.0,6.2,0.37,70.0,0.0,0.0,0.0,0.0,0.0,208.0,4.0,442.0,0.0,0.0,0.0,0.0,2965.0,0.0,32871.0,0.0,43.0,146.0,30639.0,157.0,31.0,46.0,0.0
SnowFlower,10.0,0.0,2.0,1.0,36.0,0.0,1.2,6118.0,196.0,11.8,76.0,50.0,13.0,16.0,14.0,2.43,1.6,0.51,0.42,34.1,1733.0,128.0,1381.0,224.0,55.0,4.9,0.03,33.3,0.0,0.0,0.0,0.0,0.0,-184.0,-4.0,-491.0,-1.0,0.0,0.0,0.0,692.0,0.0,6554.0,0.0,17.0,98.0,7372.0,70.0,19.0,30.0,0.0
SnowFlower,11.0,0.0,6.0,3.0,30.0,0.0,1.0,6384.0,204.0,12.4,82.0,47.0,10.0,18.0,16.0,2.62,1.5,0.58,0.32,34.7,3182.0,428.0,2274.0,480.0,102.0,7.1,0.1,60.0,0.0,0.0,0.0,0.0,0.0,-527.0,-7.0,-460.0,-1.0,0.0,0.0,0.0,3.0,0.0,12830.0,0.0,28.0,140.0,12301.0,172.0,22.0,33.0,0.0
SnowFlower,11.0,1.0,0.0,14.0,5.0,0.0,0.2,7005.0,250.0,13.7,58.0,36.0,4.0,13.0,13.0,2.07,1.28,0.46,0.14,25.1,6043.0,539.0,4919.0,585.0,216.0,8.6,0.54,93.8,0.0,0.0,0.0,0.0,0.0,623.0,0.0,1214.0,1.0,0.0,362.0,362.0,11996.0,11797.0,1937.0,2838.0,24.0,52.0,2018.0,0.0,19.0,30.0,3.77
SnowFlower,11.0,0.0,2.0,9.0,47.0,0.0,1.6,6877.0,227.0,13.4,112.0,51.0,25.0,19.0,19.0,3.7,1.69,0.63,0.83,45.2,4988.0,825.0,3599.0,564.0,165.0,8.8,0.3,90.0,0.0,0.0,0.0,0.0,0.0,236.0,7.0,588.0,1.0,0.0,470.0,470.0,2670.0,1372.0,11266.0,2142.0,22.0,46.0,9978.0,52.0,26.0,37.0,0.0
SnowFlower,13.0,0.0,4.0,13.0,27.0,0.0,0.8,7495.0,236.0,12.8,78.0,47.0,8.0,14.0,13.0,2.45,1.48,0.44,0.25,31.3,4003.0,294.0,3315.0,394.0,126.0,6.1,0.41,92.9,0.0,0.0,0.0,0.0,0.0,319.0,3.0,-73.0,0.0,0.0,452.0,452.0,8298.0,5652.0,25546.0,869.0,33.0,106.0,18518.0,110.0,20.0,32.0,3.77
SnowFlower,11.0,0.0,4.0,2.0,43.0,0.0,1.3,6733.0,200.0,12.9,88.0,62.0,15.0,20.0,19.0,2.62,1.84,0.59,0.45,37.3,2505.0,149.0,2356.0,0.0,74.0,3.9,0.06,50.0,0.0,0.0,0.0,0.0,0.0,-183.0,26.0,-485.0,-1.0,0.0,0.0,0.0,2143.0,119.0,13915.0,4155.0,7.0,73.0,15016.0,107.0,22.0,35.0,0.0
SnowFlower,15.0,2.0,0.0,15.0,34.0,0.0,1.0,9126.0,261.0,13.5,87.0,48.0,7.0,15.0,15.0,2.48,1.37,0.43,0.2,32.6,5791.0,1307.0,4102.0,382.0,165.0,6.6,0.49,81.0,0.0,0.0,0.0,0.0,0.0,388.0,5.0,506.0,1.0,0.0,305.0,305.0,3435.0,0.0,19218.0,956.0,44.0,210.0,10494.0,0.0,19.0,31.0,3.77
SnowFlower,10.0,0.0,6.0,1.0,37.0,4.0,1.2,5893.0,199.0,13.2,71.0,37.0,11.0,14.0,12.0,2.39,1.25,0.47,0.37,33.6,2132.0,130.0,1602.0,400.0,72.0,5.6,0.03,33.3,0.0,0.0,0.0,0.0,0.0,-167.0,1.0,-625.0,0.0,0.0,0.0,0.0,463.0,139.0,17266.0,675.0,15.0,70.0,14829.0,142.0,20.0,31.0,0.0
SnowFlower,10.0,0.0,4.0,3.0,32.0,1.0,1.4,4763.0,207.0,14.2,31.0,23.0,2.0,7.0,5.0,1.35,1.0,0.3,0.09,33.0,3741.0,646.0,2445.0,650.0,162.0,10.8,0.13,75.0,0.0,0.0,0.0,0.0,0.0,-782.0,20.0,-145.0,0.0,0.0,0.0,0.0,79.0,0.0,12169.0,0.0,31.0,194.0,10927.0,92.0,9.0,21.0,0.0
SnowFlower,11.0,0.0,5.0,2.0,31.0,0.0,1.2,4971.0,189.0,12.1,49.0,40.0,6.0,16.0,13.0,1.87,1.52,0.61,0.23,32.5,1490.0,144.0,1056.0,290.0,57.0,3.4,0.08,33.3,0.0,0.0,0.0,0.0,0.0,-320.0,-2.0,117.0,0.0,0.0,0.0,0.0,551.0,0.0,13031.0,0.0,19.0,130.0,13287.0,94.0,21.0,32.0,0.0
