,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Faker,18.0,2.0,5.0,4.0,325.0,24.0,7.7,15380.0,365.0,21.3,53.0,21.0,10.0,14.0,9.0,1.26,0.5,0.33,0.24,14.1,22454.0,474.0,21696.0,284.0,533.0,21.5,0.14,60.0,0.0,0.0,0.0,0.0,0.0,-310.0,3.0,585.0,1.0,0.0,2648.0,2648.0,1294.0,0.0,22574.0,0.0,21.0,473.0,20289.0,144.0,15.0,33.0,0.0
Faker,14.0,0.0,3.0,0.0,236.0,4.0,8.2,9302.0,324.0,20.1,22.0,8.0,8.0,6.0,5.0,0.77,0.28,0.21,0.28,11.8,8981.0,800.0,7742.0,439.0,313.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-290.0,-7.0,-87.0,0.0,0.0,0.0,0.0,1759.0,0.0,16601.0,0.0,1.0,75.0,26904.0,113.0,7.0,22.0,0.0
Faker,18.0,2.0,5.0,4.0,325.0,24.0,7.7,15380.0,365.0,21.3,53.0,21.0,10.0,14.0,9.0,1.26,0.5,0.33,0.24,14.1,22454.0,474.0,21696.0,284.0,533.0,21.5,0.14,60.0,0.0,0.0,0.0,0.0,0.0,-310.0,3.0,585.0,1.0,0.0,2648.0,2648.0,1294.0,0.0,22574.0,0.0,21.0,473.0,20289.0,144.0,15.0,33.0,0.0
Faker,14.0,0.0,3.0,0.0,236.0,4.0,8.2,9302.0,324.0,20.1,22.0,8.0,8.0,6.0,5.0,0.77,0.28,0.21,0.28,11.8,8981.0,800.0,7742.0,439.0,313.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-290.0,-7.0,-87.0,0.0,0.0,0.0,0.0,1759.0,0.0,16601.0,0.0,1.0,75.0,26904.0,113.0,7.0,22.0,0.0
Faker,16.0,3.0,5.0,1.0,252.0,20.0,7.8,12707.0,395.0,21.1,35.0,18.0,5.0,10.0,9.0,1.09,0.56,0.31,0.16,12.1,21758.0,884.0,20874.0,0.0,676.0,26.1,0.12,33.3,0.0,0.0,0.0,0.0,0.0,172.0,11.0,113.0,0.0,0.0,5541.0,5541.0,1681.0,0.0,11279.0,0.0,12.0,212.0,19600.0,164.0,13.0,27.0,9.425
Faker,18.0,4.0,5.0,2.0,406.0,29.0,8.8,19088.0,413.0,24.0,66.0,28.0,10.0,13.0,13.0,1.43,0.61,0.28,0.22,13.5,43893.0,1251.0,41078.0,1564.0,950.0,37.2,0.13,46.2,0.0,0.0,0.0,0.0,0.0,-581.0,-35.0,-1003.0,-1.0,0.0,3463.0,3463.0,4698.0,0.0,28876.0,0.0,27.0,573.0,24425.0,159.0,16.0,37.0,0.0
Faker,18.0,6.0,1.0,4.0,306.0,44.0,9.8,15006.0,481.0,24.4,43.0,19.0,8.0,9.0,9.0,1.38,0.61,0.29,0.26,18.0,26015.0,1006.0,24869.0,140.0,835.0,35.9,0.32,66.7,1.0,0.0,0.0,0.0,0.0,454.0,21.0,1137.0,1.0,0.0,11372.0,11372.0,3782.0,0.0,11372.0,0.0,10.0,261.0,15122.0,14.0,11.0,25.0,9.425
Faker,14.0,3.0,3.0,11.0,205.0,8.0,8.2,10914.0,439.0,20.2,26.0,11.0,3.0,3.0,3.0,1.04,0.44,0.12,0.12,16.5,19772.0,312.0,19460.0,0.0,795.0,24.4,0.56,46.7,0.0,0.0,0.0,0.0,0.0,369.0,21.0,475.0,1.0,0.0,9508.0,9508.0,1424.0,0.0,6345.0,0.0,14.0,185.0,11807.0,105.0,5.0,17.0,9.425
Faker,17.0,7.0,3.0,5.0,284.0,28.0,9.2,14585.0,472.0,21.7,25.0,8.0,6.0,4.0,4.0,0.81,0.26,0.13,0.19,9.9,20246.0,286.0,19378.0,582.0,655.0,21.1,0.39,52.2,1.0,0.0,0.0,0.0,0.0,1256.0,11.0,278.0,0.0,0.0,4207.0,4207.0,5866.0,234.0,20252.0,0.0,29.0,111.0,25390.0,139.0,5.0,23.0,9.425
Faker,18.0,0.0,3.0,6.0,293.0,31.0,8.6,14297.0,421.0,21.3,25.0,10.0,5.0,5.0,5.0,0.74,0.29,0.15,0.15,12.0,17882.0,763.0,16869.0,250.0,526.0,20.7,0.18,35.3,0.0,0.0,0.0,0.0,0.0,560.0,24.0,292.0,0.0,0.0,5600.0,5600.0,2657.0,290.0,9616.0,0.0,25.0,92.0,13819.0,42.0,7.0,23.0,9.425
Faker,17.0,2.0,5.0,6.0,263.0,14.0,6.6,13242.0,332.0,19.2,29.0,16.0,5.0,14.0,13.0,0.73,0.4,0.35,0.13,9.0,19929.0,0.0,19779.0,150.0,500.0,22.1,0.2,57.1,0.0,0.0,0.0,0.0,0.0,-195.0,-11.0,-254.0,0.0,0.0,3951.0,3951.0,2022.0,0.0,39323.0,1821.0,38.0,114.0,27331.0,184.0,15.0,32.0,0.0
Faker,15.0,7.0,3.0,7.0,193.0,4.0,7.3,11096.0,418.0,19.9,20.0,10.0,2.0,5.0,5.0,0.75,0.38,0.19,0.08,12.3,20299.0,1685.0,18385.0,229.0,765.0,25.7,0.53,51.9,0.0,1.0,0.0,0.0,0.0,-518.0,-8.0,-778.0,-1.0,0.0,425.0,425.0,1821.0,0.0,12844.0,0.0,1.0,92.0,18508.0,83.0,8.0,21.0,9.425
Faker,18.0,3.0,2.0,6.0,329.0,0.0,7.8,16645.0,396.0,20.9,31.0,14.0,6.0,13.0,12.0,0.74,0.33,0.31,0.14,10.8,26286.0,1513.0,23580.0,1193.0,626.0,25.6,0.21,69.2,0.0,0.0,0.0,0.0,0.0,-288.0,-7.0,-220.0,0.0,0.0,837.0,837.0,2768.0,0.0,19244.0,0.0,1.0,122.0,24627.0,87.0,15.0,36.0,9.425
Faker,18.0,3.0,3.0,7.0,326.0,53.0,8.5,15753.0,413.0,20.7,36.0,21.0,2.0,13.0,12.0,0.94,0.55,0.34,0.05,9.6,24435.0,837.0,22680.0,918.0,640.0,29.8,0.26,66.7,0.0,0.0,0.0,0.0,0.0,-600.0,-27.0,-1251.0,-1.0,0.0,2812.0,2812.0,1377.0,0.0,15091.0,0.0,11.0,430.0,13809.0,57.0,15.0,32.0,9.425
Faker,16.0,6.0,3.0,15.0,208.0,12.0,7.4,12638.0,448.0,21.2,31.0,18.0,4.0,9.0,9.0,1.1,0.64,0.32,0.14,14.7,30137.0,355.0,29026.0,756.0,1067.0,34.5,0.74,87.5,1.0,0.0,0.0,0.0,0.0,369.0,3.0,12.0,0.0,0.0,3797.0,3797.0,1938.0,0.0,15233.0,0.0,28.0,234.0,12895.0,94.0,11.0,23.0,9.425
Faker,13.0,1.0,3.0,5.0,156.0,4.0,6.7,8476.0,364.0,17.4,14.0,7.0,3.0,2.0,1.0,0.6,0.3,0.09,0.13,10.9,10029.0,203.0,9814.0,12.0,430.0,16.7,0.26,37.5,1.0,0.0,0.0,0.0,0.0,-767.0,-4.0,-597.0,0.0,0.0,1144.0,1144.0,4225.0,0.0,9461.0,0.0,9.0,281.0,19586.0,72.0,4.0,17.0,9.425
Faker,15.0,6.0,3.0,1.0,182.0,23.0,6.3,11385.0,391.0,19.9,30.0,10.0,11.0,6.0,6.0,1.03,0.34,0.21,0.38,15.4,13565.0,608.0,12957.0,0.0,466.0,16.6,0.24,46.7,1.0,1.0,0.0,0.0,0.0,-1040.0,-38.0,-1533.0,-1.0,0.0,2995.0,2995.0,5836.0,0.0,13256.0,0.0,28.0,324.0,23450.0,53.0,8.0,24.0,9.425
Faker,14.0,0.0,1.0,9.0,200.0,0.0,8.0,9012.0,360.0,16.8,32.0,7.0,9.0,5.0,5.0,1.28,0.28,0.2,0.36,16.4,6968.0,243.0,6541.0,184.0,279.0,13.3,0.36,50.0,0.0,0.0,0.0,0.0,0.0,-443.0,-22.0,-1239.0,-1.0,0.0,2820.0,2820.0,2137.0,0.0,8863.0,0.0,19.0,163.0,12443.0,38.0,5.0,19.0,9.425
Faker,14.0,1.0,4.0,0.0,202.0,4.0,6.9,9053.0,310.0,19.8,25.0,11.0,6.0,7.0,7.0,0.86,0.38,0.24,0.21,14.5,11608.0,434.0,11174.0,0.0,397.0,25.2,0.03,14.3,0.0,0.0,0.0,0.0,0.0,-519.0,10.0,367.0,0.0,0.0,0.0,0.0,698.0,0.0,13847.0,0.0,1.0,84.0,21319.0,126.0,9.0,23.0,0.0
Faker,13.0,7.0,1.0,7.0,169.0,12.0,7.4,9658.0,423.0,21.2,11.0,6.0,2.0,3.0,3.0,0.48,0.26,0.13,0.09,8.7,12709.0,543.0,12166.0,0.0,556.0,23.0,0.61,77.8,0.0,1.0,0.0,0.0,0.0,115.0,6.0,757.0,1.0,0.0,961.0,961.0,1510.0,0.0,8870.0,0.0,1.0,59.0,16637.0,39.0,4.0,18.0,9.425
Faker,16.0,0.0,2.0,2.0,273.0,5.0,7.9,11826.0,343.0,21.0,43.0,12.0,12.0,11.0,9.0,1.25,0.35,0.32,0.35,16.2,6356.0,242.0,4580.0,1534.0,184.0,12.3,0.06,66.7,0.0,0.0,0.0,0.0,0.0,34.0,-1.0,126.0,0.0,0.0,3349.0,3349.0,4887.0,98.0,11954.0,0.0,11.0,65.0,16229.0,93.0,13.0,27.0,0.0
Faker,14.0,1.0,5.0,0.0,216.0,1.0,8.2,8588.0,328.0,22.1,19.0,9.0,7.0,5.0,5.0,0.73,0.34,0.19,0.27,12.3,7970.0,6931.0,1039.0,0.0,304.0,17.2,0.04,50.0,0.0,0.0,0.0,0.0,0.0,-1519.0,0.0,-583.0,-1.0,0.0,0.0,0.0,4787.0,0.0,14774.0,0.0,12.0,30.0,22268.0,137.0,6.0,19.0,0.0
Faker,18.0,2.0,4.0,4.0,315.0,16.0,8.2,14084.0,368.0,22.2,36.0,4.0,11.0,2.0,2.0,0.94,0.1,0.05,0.29,13.0,13107.0,803.0,7507.0,4797.0,343.0,18.3,0.16,75.0,0.0,0.0,0.0,0.0,0.0,-202.0,-20.0,-247.0,0.0,0.0,3055.0,3055.0,2848.0,206.0,15145.0,0.0,16.0,71.0,19776.0,149.0,2.0,20.0,0.0
Faker,18.0,1.0,1.0,6.0,338.0,4.0,7.9,15254.0,356.0,20.1,67.0,34.0,10.0,12.0,12.0,1.56,0.79,0.28,0.23,18.4,7254.0,101.0,7078.0,75.0,169.0,13.8,0.16,70.0,0.0,0.0,0.0,0.0,0.0,-800.0,-37.0,-463.0,-1.0,0.0,2173.0,2173.0,2211.0,0.0,22623.0,420.0,17.0,111.0,16020.0,46.0,14.0,34.0,3.77
