,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Gumayusi,17.0,1.0,3.0,3.0,356.0,32.0,8.4,16301.0,387.0,22.6,59.0,24.0,11.0,9.0,9.0,1.4,0.57,0.21,0.26,15.6,25817.0,23033.0,2608.0,176.0,613.0,24.7,0.09,40.0,0.0,0.0,0.0,0.0,0.0,756.0,23.0,269.0,0.0,1.0,7094.0,7094.0,3036.0,0.0,8791.0,0.0,27.0,481.0,12202.0,84.0,13.0,31.0,0.0
Gumayusi,14.0,0.0,3.0,3.0,287.0,24.0,10.0,10833.0,377.0,23.4,38.0,14.0,7.0,6.0,6.0,1.32,0.49,0.21,0.24,20.4,8282.0,7332.0,754.0,196.0,288.0,20.5,0.1,75.0,0.0,0.0,0.0,0.0,0.0,-262.0,3.0,112.0,0.0,0.0,2117.0,2117.0,201.0,0.0,11979.0,0.0,8.0,390.0,14302.0,67.0,9.0,29.0,0.0
Gumayusi,17.0,1.0,3.0,3.0,356.0,32.0,8.4,16301.0,387.0,22.6,59.0,24.0,11.0,9.0,9.0,1.4,0.57,0.21,0.26,15.6,25817.0,23033.0,2608.0,176.0,613.0,24.7,0.09,40.0,0.0,0.0,0.0,0.0,0.0,756.0,23.0,269.0,0.0,1.0,7094.0,7094.0,3036.0,0.0,8791.0,0.0,27.0,481.0,12202.0,84.0,13.0,31.0,0.0
Gumayusi,14.0,0.0,3.0,3.0,287.0,24.0,10.0,10833.0,377.0,23.4,38.0,14.0,7.0,6.0,6.0,1.32,0.49,0.21,0.24,20.4,8282.0,7332.0,754.0,196.0,288.0,20.5,0.1,75.0,0.0,0.0,0.0,0.0,0.0,-262.0,3.0,112.0,0.0,0.0,2117.0,2117.0,201.0,0.0,11979.0,0.0,8.0,390.0,14302.0,67.0,9.0,29.0,0.0
Gumayusi,15.0,2.0,2.0,5.0,285.0,44.0,8.9,13881.0,431.0,23.1,33.0,17.0,5.0,8.0,7.0,1.03,0.53,0.25,0.16,11.4,17363.0,11713.0,5016.0,634.0,540.0,20.9,0.22,58.3,0.0,0.0,0.0,0.0,0.0,652.0,53.0,682.0,1.0,1.0,8078.0,8078.0,1706.0,607.0,8764.0,0.0,38.0,399.0,7134.0,35.0,12.0,33.0,9.425
Gumayusi,17.0,1.0,2.0,5.0,364.0,23.0,7.9,16027.0,347.0,20.1,80.0,35.0,15.0,9.0,9.0,1.73,0.76,0.19,0.32,16.3,14568.0,11999.0,2505.0,64.0,315.0,12.4,0.13,46.2,0.0,0.0,0.0,0.0,0.0,778.0,19.0,576.0,1.0,0.0,2746.0,2746.0,4039.0,0.0,13585.0,0.0,46.0,1083.0,20830.0,51.0,13.0,32.0,0.0
Gumayusi,16.0,0.0,0.0,6.0,296.0,41.0,9.5,13345.0,428.0,21.7,52.0,14.0,11.0,4.0,4.0,1.67,0.45,0.13,0.35,21.8,12818.0,8586.0,3858.0,374.0,411.0,17.7,0.19,40.0,0.0,0.0,0.0,0.0,0.0,321.0,10.0,-16.0,0.0,1.0,8200.0,8200.0,4084.0,866.0,8532.0,0.0,26.0,272.0,11208.0,0.0,10.0,26.0,9.425
Gumayusi,14.0,12.0,1.0,11.0,202.0,15.0,8.1,13822.0,555.0,25.6,19.0,12.0,3.0,7.0,6.0,0.76,0.48,0.28,0.12,12.0,23306.0,17790.0,4835.0,681.0,937.0,28.8,0.92,76.7,0.0,3.0,1.0,0.0,0.0,1259.0,16.0,227.0,1.0,0.0,12252.0,12252.0,1103.0,0.0,8092.0,0.0,30.0,239.0,12284.0,42.0,10.0,28.0,9.425
Gumayusi,16.0,7.0,2.0,7.0,318.0,31.0,10.3,16828.0,545.0,25.1,49.0,14.0,14.0,6.0,6.0,1.59,0.45,0.19,0.45,19.4,25239.0,15748.0,7824.0,1667.0,817.0,26.4,0.45,60.9,0.0,2.0,0.0,0.0,0.0,1045.0,29.0,1076.0,1.0,0.0,9504.0,9504.0,1373.0,0.0,8059.0,0.0,3.0,60.0,14598.0,51.0,11.0,32.0,9.425
Gumayusi,17.0,7.0,3.0,4.0,356.0,40.0,10.5,17883.0,526.0,26.6,45.0,16.0,10.0,5.0,5.0,1.32,0.47,0.15,0.29,21.6,32311.0,20557.0,9572.0,2182.0,951.0,37.5,0.32,64.7,0.0,2.0,0.0,0.0,0.0,-351.0,19.0,538.0,1.0,0.0,7143.0,7143.0,22.0,0.0,10126.0,0.0,7.0,122.0,16244.0,83.0,8.0,28.0,9.425
Gumayusi,17.0,5.0,4.0,7.0,410.0,21.0,10.3,20093.0,504.0,29.2,71.0,17.0,30.0,5.0,4.0,1.78,0.43,0.13,0.75,21.9,38224.0,21783.0,14623.0,1818.0,959.0,42.5,0.3,85.7,0.0,0.0,0.0,0.0,0.0,631.0,11.0,259.0,1.0,0.0,3624.0,3624.0,1810.0,0.0,11262.0,0.0,0.0,21.0,18552.0,85.0,13.0,33.0,0.0
Gumayusi,14.0,8.0,2.0,10.0,247.0,18.0,9.3,13312.0,502.0,23.9,28.0,13.0,8.0,8.0,8.0,1.06,0.49,0.3,0.3,17.2,17551.0,13564.0,3891.0,96.0,661.0,22.2,0.68,66.7,1.0,1.0,0.0,0.0,0.0,378.0,8.0,-149.0,0.0,0.0,8389.0,8389.0,2099.0,974.0,8797.0,0.0,29.0,263.0,9085.0,42.0,11.0,28.0,9.425
