,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Keria,13.0,1.0,5.0,3.0,35.0,0.0,0.8,10124.0,240.0,14.0,123.0,75.0,17.0,25.0,23.0,2.92,1.78,0.59,0.4,32.6,10849.0,496.0,9308.0,1045.0,257.0,10.4,0.09,40.0,0.0,0.0,0.0,0.0,0.0,487.0,2.0,-315.0,0.0,0.0,2155.0,2155.0,863.0,0.0,11043.0,3543.0,20.0,224.0,15192.0,155.0,30.0,44.0,0.0
Keria,10.0,2.0,3.0,2.0,16.0,0.0,0.6,6561.0,228.0,14.1,68.0,43.0,9.0,19.0,14.0,2.37,1.5,0.66,0.31,36.6,5922.0,1239.0,4445.0,238.0,206.0,14.7,0.14,100.0,0.0,0.0,0.0,0.0,0.0,482.0,-8.0,-1179.0,-2.0,0.0,227.0,227.0,11796.0,8530.0,5987.0,797.0,34.0,251.0,10021.0,52.0,21.0,38.0,0.0
Keria,13.0,1.0,5.0,3.0,35.0,0.0,0.8,10124.0,240.0,14.0,123.0,75.0,17.0,25.0,23.0,2.92,1.78,0.59,0.4,32.6,10849.0,496.0,9308.0,1045.0,257.0,10.4,0.09,40.0,0.0,0.0,0.0,0.0,0.0,487.0,2.0,-315.0,0.0,0.0,2155.0,2155.0,863.0,0.0,11043.0,3543.0,20.0,224.0,15192.0,155.0,30.0,44.0,0.0
Keria,10.0,2.0,3.0,2.0,16.0,0.0,0.6,6561.0,228.0,14.1,68.0,43.0,9.0,19.0,14.0,2.37,1.5,0.66,0.31,36.6,5922.0,1239.0,4445.0,238.0,206.0,14.7,0.14,100.0,0.0,0.0,0.0,0.0,0.0,482.0,-8.0,-1179.0,-2.0,0.0,227.0,227.0,11796.0,8530.0,5987.0,797.0,34.0,251.0,10021.0,52.0,21.0,38.0,0.0
Keria,14.0,3.0,0.0,8.0,34.0,4.0,1.1,10168.0,316.0,16.9,82.0,47.0,8.0,16.0,16.0,2.55,1.46,0.5,0.25,28.3,12164.0,997.0,10313.0,854.0,378.0,14.6,0.34,91.7,0.0,1.0,0.0,0.0,0.0,499.0,-1.0,-116.0,0.0,0.0,2736.0,2736.0,3013.0,0.0,6580.0,5050.0,18.0,270.0,9958.0,0.0,19.0,32.0,9.425
Keria,15.0,1.0,3.0,10.0,32.0,2.0,0.7,10658.0,231.0,13.4,110.0,83.0,5.0,28.0,27.0,2.38,1.8,0.61,0.11,22.4,12587.0,605.0,10176.0,1806.0,273.0,10.7,0.24,84.6,0.0,0.0,0.0,0.0,0.0,151.0,2.0,294.0,0.0,0.0,195.0,195.0,2837.0,710.0,11712.0,6579.0,34.0,488.0,14536.0,94.0,30.0,52.0,0.0
Keria,13.0,2.0,2.0,7.0,16.0,1.0,0.5,8473.0,272.0,13.8,83.0,62.0,8.0,23.0,23.0,2.66,1.99,0.74,0.26,34.7,5118.0,846.0,2694.0,1578.0,164.0,7.1,0.29,60.0,0.0,0.0,0.0,0.0,0.0,360.0,-5.0,229.0,1.0,0.0,1815.0,1815.0,1348.0,0.0,9704.0,3701.0,13.0,247.0,10685.0,63.0,26.0,39.0,9.425
Keria,12.0,4.0,1.0,21.0,19.0,0.0,0.8,8813.0,354.0,16.3,53.0,36.0,3.0,11.0,11.0,2.13,1.45,0.44,0.12,33.5,6373.0,1397.0,4118.0,858.0,256.0,7.9,1.0,83.3,0.0,1.0,0.0,0.0,0.0,537.0,6.0,1277.0,2.0,0.0,3698.0,3698.0,1446.0,0.0,8869.0,5731.0,20.0,282.0,7903.0,14.0,13.0,31.0,9.425
Keria,14.0,0.0,4.0,18.0,12.0,0.0,0.4,8997.0,291.0,13.4,68.0,50.0,7.0,17.0,17.0,2.2,1.62,0.55,0.23,27.0,8708.0,1045.0,7313.0,350.0,282.0,9.1,0.58,78.3,0.0,0.0,0.0,0.0,0.0,598.0,-5.0,250.0,1.0,0.0,3449.0,3449.0,9895.0,6555.0,5564.0,2300.0,31.0,213.0,13106.0,118.0,19.0,32.0,9.425
Keria,14.0,2.0,1.0,9.0,20.0,0.0,0.6,8835.0,260.0,13.1,84.0,50.0,12.0,17.0,17.0,2.47,1.47,0.5,0.35,40.4,7213.0,1132.0,6081.0,0.0,212.0,8.4,0.32,64.7,0.0,0.0,0.0,0.0,0.0,-104.0,4.0,24.0,0.0,0.0,1247.0,1247.0,9219.0,6713.0,4297.0,2496.0,19.0,188.0,9008.0,45.0,19.0,34.0,9.425
