,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Oner,17.0,2.0,2.0,7.0,256.0,181.0,6.1,14713.0,349.0,20.4,88.0,13.0,33.0,13.0,11.0,2.09,0.31,0.31,0.78,23.3,18047.0,15492.0,1378.0,1177.0,428.0,17.2,0.21,90.0,0.0,0.0,0.0,0.0,0.0,137.0,9.0,368.0,0.0,0.0,1711.0,1711.0,16210.0,0.0,30126.0,0.0,17.0,222.0,31569.0,96.0,12.0,32.0,0.0
Oner,12.0,1.0,3.0,2.0,144.0,125.0,5.0,8346.0,290.0,18.0,38.0,9.0,10.0,8.0,7.0,1.32,0.31,0.28,0.35,20.4,6915.0,3166.0,3134.0,615.0,241.0,17.1,0.1,75.0,0.0,0.0,0.0,0.0,0.0,-144.0,24.0,-271.0,-1.0,0.0,293.0,293.0,6438.0,0.0,18708.0,0.0,22.0,474.0,23671.0,43.0,10.0,28.0,0.0
Oner,17.0,2.0,2.0,7.0,256.0,181.0,6.1,14713.0,349.0,20.4,88.0,13.0,33.0,13.0,11.0,2.09,0.31,0.31,0.78,23.3,18047.0,15492.0,1378.0,1177.0,428.0,17.2,0.21,90.0,0.0,0.0,0.0,0.0,0.0,137.0,9.0,368.0,0.0,0.0,1711.0,1711.0,16210.0,0.0,30126.0,0.0,17.0,222.0,31569.0,96.0,12.0,32.0,0.0
Oner,12.0,1.0,3.0,2.0,144.0,125.0,5.0,8346.0,290.0,18.0,38.0,9.0,10.0,8.0,7.0,1.32,0.31,0.28,0.35,20.4,6915.0,3166.0,3134.0,615.0,241.0,17.1,0.1,75.0,0.0,0.0,0.0,0.0,0.0,-144.0,24.0,-271.0,-1.0,0.0,293.0,293.0,6438.0,0.0,18708.0,0.0,22.0,474.0,23671.0,43.0,10.0,28.0,0.0
Oner,15.0,2.0,4.0,2.0,243.0,148.0,7.6,12570.0,391.0,20.9,110.0,37.0,25.0,9.0,8.0,3.42,1.15,0.28,0.78,37.9,16201.0,14911.0,934.0,356.0,503.0,19.5,0.12,33.3,0.0,0.0,0.0,0.0,0.0,-924.0,13.0,-18.0,0.0,1.0,3306.0,3306.0,9107.0,0.0,13475.0,0.0,17.0,476.0,20887.0,150.0,11.0,37.0,9.425
Oner,18.0,4.0,3.0,7.0,346.0,208.0,7.5,17455.0,378.0,21.9,185.0,72.0,54.0,13.0,13.0,4.01,1.56,0.28,1.17,37.8,26057.0,23781.0,969.0,1307.0,564.0,22.1,0.24,84.6,0.0,0.0,0.0,0.0,0.0,2174.0,21.0,-67.0,0.0,1.0,945.0,945.0,21694.0,0.0,34807.0,0.0,22.0,488.0,37436.0,84.0,16.0,41.0,0.0
Oner,15.0,3.0,1.0,7.0,155.0,129.0,5.0,10450.0,335.0,17.0,35.0,16.0,7.0,6.0,6.0,1.12,0.51,0.19,0.22,14.6,9719.0,7511.0,1530.0,678.0,312.0,13.4,0.32,66.7,1.0,0.0,0.0,0.0,0.0,-371.0,-16.0,-501.0,0.0,0.0,0.0,0.0,11751.0,0.0,25480.0,913.0,13.0,506.0,20447.0,33.0,6.0,23.0,9.425
Oner,14.0,7.0,1.0,17.0,153.0,112.0,6.1,11221.0,451.0,20.8,32.0,8.0,6.0,23.0,7.0,1.29,0.32,0.92,0.24,20.3,18837.0,15807.0,2227.0,803.0,757.0,23.3,0.96,80.0,1.0,1.0,0.0,0.0,0.0,-305.0,-35.0,-994.0,-1.0,0.0,3341.0,3341.0,14462.0,0.0,16841.0,0.0,15.0,180.0,23623.0,16.0,8.0,25.0,9.425
Oner,15.0,5.0,4.0,8.0,171.0,141.0,5.5,11519.0,373.0,17.2,64.0,23.0,12.0,7.0,6.0,2.07,0.74,0.23,0.39,25.4,11557.0,9636.0,1435.0,486.0,374.0,12.1,0.42,56.5,0.0,0.0,0.0,0.0,0.0,-177.0,5.0,110.0,0.0,0.0,4073.0,4073.0,10980.0,0.0,17957.0,0.0,147.0,608.0,25760.0,109.0,8.0,24.0,9.425
Oner,16.0,2.0,2.0,7.0,171.0,134.0,5.0,11165.0,329.0,16.6,31.0,11.0,7.0,10.0,9.0,0.91,0.32,0.29,0.21,14.9,8662.0,4934.0,2852.0,876.0,255.0,10.0,0.26,52.9,0.0,0.0,0.0,0.0,0.0,-1150.0,-28.0,-774.0,0.0,1.0,1032.0,1032.0,8008.0,0.0,36375.0,0.0,32.0,1317.0,22634.0,54.0,11.0,27.0,9.425
