,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,P value
Zeus,18.0,4.0,4.0,3.0,292.0,37.0,6.9,15552.0,369.0,21.6,54.0,15.0,17.0,9.0,8.0,1.28,0.36,0.21,0.4,14.3,27482.0,2756.0,18611.0,6115.0,652.0,26.3,0.17,70.0,0.0,0.0,0.0,0.0,0.0,-637.0,-22.0,-1872.0,-2.0,0.0,5741.0,5741.0,12842.0,0.0,31989.0,0.0,9.0,93.0,36130.0,100.0,11.0,31.0,0.0
Zeus,15.0,1.0,2.0,1.0,237.0,2.0,8.2,11341.0,395.0,24.5,20.0,10.0,4.0,2.0,2.0,0.7,0.35,0.07,0.14,10.8,10305.0,6856.0,544.0,2905.0,359.0,25.5,0.07,50.0,0.0,0.0,0.0,0.0,0.0,-1075.0,-16.0,-1149.0,-1.0,0.0,9507.0,9507.0,8201.0,296.0,19837.0,0.0,11.0,87.0,21487.0,72.0,3.0,28.0,0.0
Zeus,18.0,4.0,4.0,3.0,292.0,37.0,6.9,15552.0,369.0,21.6,54.0,15.0,17.0,9.0,8.0,1.28,0.36,0.21,0.4,14.3,27482.0,2756.0,18611.0,6115.0,652.0,26.3,0.17,70.0,0.0,0.0,0.0,0.0,0.0,-637.0,-22.0,-1872.0,-2.0,0.0,5741.0,5741.0,12842.0,0.0,31989.0,0.0,9.0,93.0,36130.0,100.0,11.0,31.0,0.0
Zeus,15.0,1.0,2.0,1.0,237.0,2.0,8.2,11341.0,395.0,24.5,20.0,10.0,4.0,2.0,2.0,0.7,0.35,0.07,0.14,10.8,10305.0,6856.0,544.0,2905.0,359.0,25.5,0.07,50.0,0.0,0.0,0.0,0.0,0.0,-1075.0,-16.0,-1149.0,-1.0,0.0,9507.0,9507.0,8201.0,296.0,19837.0,0.0,11.0,87.0,21487.0,72.0,3.0,28.0,0.0
Zeus,15.0,2.0,1.0,7.0,150.0,0.0,4.7,10766.0,335.0,17.9,30.0,15.0,5.0,10.0,10.0,0.93,0.47,0.31,0.16,10.3,15760.0,1813.0,13729.0,218.0,490.0,18.9,0.28,75.0,0.0,0.0,0.0,0.0,0.0,397.0,-14.0,-38.0,0.0,0.0,4354.0,4354.0,15822.0,0.0,33995.0,0.0,41.0,919.0,27155.0,27.0,12.0,29.0,9.425
Zeus,18.0,3.0,5.0,5.0,328.0,44.0,7.1,16348.0,354.0,20.5,49.0,12.0,10.0,11.0,11.0,1.06,0.26,0.24,0.22,10.0,20795.0,20795.0,0.0,0.0,450.0,17.6,0.17,61.5,0.0,0.0,0.0,0.0,0.0,104.0,-2.0,-516.0,-1.0,0.0,602.0,602.0,17611.0,0.0,45238.0,0.0,20.0,259.0,36282.0,155.0,12.0,34.0,0.0
Zeus,17.0,4.0,1.0,5.0,274.0,12.0,8.8,14176.0,455.0,23.1,26.0,11.0,2.0,6.0,6.0,0.83,0.35,0.19,0.06,10.9,18701.0,11503.0,4569.0,2629.0,600.0,25.8,0.29,60.0,1.0,1.0,0.0,0.0,0.0,711.0,14.0,301.0,1.0,0.0,3165.0,3165.0,2636.0,0.0,21025.0,0.0,15.0,122.0,17125.0,48.0,7.0,22.0,9.425
Zeus,14.0,4.0,1.0,16.0,147.0,4.0,5.9,9148.0,368.0,17.0,28.0,14.0,2.0,9.0,9.0,1.13,0.56,0.36,0.08,17.7,12613.0,2232.0,10381.0,0.0,507.0,15.6,0.8,66.7,0.0,0.0,0.0,0.0,0.0,-618.0,-5.0,496.0,0.0,0.0,1021.0,1021.0,9883.0,0.0,25763.0,0.0,30.0,974.0,20385.0,35.0,11.0,27.0,9.425
Zeus,17.0,4.0,5.0,13.0,211.0,28.0,6.8,15208.0,492.0,22.7,46.0,11.0,7.0,3.0,3.0,1.49,0.36,0.1,0.23,18.3,29977.0,17682.0,6369.0,5926.0,970.0,31.3,0.55,73.9,1.0,0.0,0.0,0.0,0.0,-1251.0,-24.0,-598.0,-1.0,0.0,8898.0,8898.0,4564.0,0.0,17396.0,0.0,15.0,262.0,22108.0,142.0,3.0,20.0,9.425
Zeus,18.0,6.0,3.0,6.0,290.0,18.0,8.5,15059.0,443.0,22.4,23.0,10.0,5.0,5.0,5.0,0.68,0.29,0.15,0.15,11.1,20196.0,12485.0,5923.0,1788.0,594.0,23.4,0.35,70.6,0.0,2.0,0.0,0.0,0.0,-16.0,3.0,320.0,0.0,0.0,4221.0,4221.0,2193.0,0.0,24564.0,0.0,37.0,198.0,20001.0,148.0,6.0,26.0,9.425
Zeus,18.0,2.0,5.0,6.0,288.0,27.0,7.2,13886.0,348.0,20.2,52.0,14.0,15.0,9.0,9.0,1.3,0.35,0.23,0.38,16.0,13711.0,8531.0,1335.0,3845.0,344.0,15.2,0.2,57.1,0.0,1.0,0.0,0.0,0.0,-561.0,-10.0,413.0,1.0,0.0,334.0,334.0,6043.0,0.0,42332.0,0.0,15.0,291.0,31498.0,164.0,11.0,31.0,0.0
